SPK_SPKC01a (NA),SPK_SPKC05a (excited),SPK_SPKC05b (no effect),SPK_SPKC05c (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (excited)
0.04595,0.137725,0.00735,0.043275,0.045225,0.007075
0.060875,0.238825,0.05855,0.069125,0.0729,0.014675
0.073875,0.36075,0.327775,0.08315,0.136325,0.0244
0.128375,1.068975,0.45675,0.112775,0.298125,0.034525
0.3986,1.1865,0.950175,0.178225,0.3026,0.04405
0.428875,1.387825,0.9989,0.1925,0.3144,0.060325
0.4884,1.431975,1.0635,0.25595,0.317325,0.07015
0.563525,1.8222,1.0894,0.319275,0.38845,0.0772
0.579225,1.828475,1.35225,0.3775,0.390925,0.0887
0.584375,4.311675,1.425675,0.414675,0.4408,0.10275
0.5997,4.35785,1.520025,0.46675,0.51375,0.1385
0.6342,5.117825,1.52595,0.491875,0.514825,0.147975
0.693725,5.123225,1.7397,0.5184,0.5284,0.160025
0.764725,5.37775,1.812225,0.572075,0.6175,0.1856
0.817,5.903425,1.81665,0.6441,0.75805,0.19665
0.901675,6.2707,1.8243,0.667775,0.8282,0.20535
0.9414,6.345675,1.82965,0.70625,0.951525,0.216925
0.971425,6.59735,1.837975,0.739025,0.987525,0.21995
1.067,6.656775,2.00495,0.757575,1.0134,0.231625
1.07925,6.759125,2.2498,0.8082,1.042725,0.232925
1.237675,6.8886,2.262025,0.831625,1.054575,0.2451
1.492975,6.90235,2.282625,0.87925,1.056425,0.26285
1.524775,7.214575,2.337475,0.93125,1.062675,0.29265
1.5654,7.47375,2.39705,0.992975,1.0713,0.31055
1.7943,9.22965,2.486475,1.006725,1.081025,0.3302
1.8406,9.249725,2.524475,1.0585,1.097825,0.352325
1.940775,9.501425,2.568325,1.0814,1.385825,0.36745
1.98315,9.578175,2.58755,1.108875,1.41295,0.3902
2.04995,9.582725,2.6343,1.135875,1.430025,0.407025
2.0587,9.660075,2.676175,1.142025,1.492775,0.4245
2.23175,9.6716,2.73255,1.28325,1.505025,0.42945
2.36355,9.6935,2.756725,1.304425,1.526975,0.449875
2.5591,9.704675,2.834975,1.351175,1.703925,0.477225
2.58715,9.7135,2.8488,1.406,1.8044,0.498475
2.597,9.7771,2.9636,1.49345,1.811475,0.52025
2.715675,9.837275,3.027325,1.675375,1.8157,0.5695
2.885625,9.8813,3.033425,1.730775,1.8301,0.58865
2.919325,9.898,3.1229,1.818475,1.951425,0.61135
2.9422,10.1113,3.17985,1.833125,1.961225,0.62965
3.504825,10.30525,3.235875,1.845925,1.971625,0.64805
3.6061,10.37995,3.432925,2.0471,1.987075,0.674775
3.671975,10.398525,3.47585,2.1113,1.988375,0.69295
3.8192,10.6499,3.518825,2.23125,2.00525,0.733475
3.862375,10.781375,3.607275,2.245225,2.124675,0.797825
3.8723,10.815525,3.650625,2.289575,2.252075,0.804025
3.9512,11.178625,3.80315,2.32585,2.26455,0.841275
4.00045,11.345575,3.81785,2.343325,2.27665,0.87785
4.13585,11.404525,3.83265,2.4561,2.296725,0.91305
4.14425,13.0751,3.953325,2.504325,2.324125,0.94165
4.273375,13.4487,4.13255,2.5435,2.478375,0.9809
4.307325,13.49875,4.1569,2.563825,2.54145,1.019425
4.3112,13.661075,4.3476,2.597725,2.711925,1.079525
4.33045,15.1921,4.413175,2.6865,2.7358,1.090475
4.4442,15.685925,4.574975,2.7238,2.7493,1.09735
4.478875,16.5674,4.591325,2.799025,2.788275,1.12275
4.631875,17.17985,4.613775,2.8389,2.855025,1.167025
4.637475,17.3848,4.651475,2.887575,2.858025,1.22915
4.730325,17.44925,4.793625,2.92975,2.878075,1.2506
4.79005,17.6593,4.8292,3.15055,2.92235,1.281575
4.986725,18.134425,4.9096,3.1835,2.9818,1.303925
5.073925,18.599525,5.0372,3.197375,2.99895,1.3503
5.16075,18.632225,5.261725,3.2092,3.01165,1.395525
5.203475,19.192275,5.3317,3.22345,3.02295,1.423475
5.31015,20.64995,5.398425,3.250225,3.07765,1.446725
5.52425,20.65335,5.455825,3.28955,3.130475,1.47205
5.80385,21.536025,5.5514,3.296525,3.165775,1.491675
5.8883,24.075075,5.609575,3.335925,3.22385,1.50665
5.91115,27.9282,5.633025,3.37495,3.233325,1.529775
6.135675,28.7021,5.8203,3.4001,3.27305,1.553
6.2382,29.6127,5.905775,3.4669,3.300925,1.5758
6.25635,30.076925,5.93155,3.5111,3.36135,1.603
6.2989,30.845575,5.96615,3.5557,3.400975,1.631725
6.33535,30.926425,6.081775,3.5706,3.50165,1.664325
6.525375,30.957925,6.159775,3.61245,3.528725,1.7003
6.530375,31.273725,6.2453,3.848525,3.55975,1.719
6.556725,31.320225,6.277975,3.88505,3.68025,1.7472
6.570425,31.697825,6.34155,3.908325,3.873975,1.770625
6.587775,31.780775,6.4201,3.97545,3.934175,1.79925
6.6101,32.34085,6.479875,4.0963,3.971425,1.813925
6.63085,33.1306,6.505825,4.107325,4.068825,1.8251
6.94885,33.30485,6.654475,4.131625,4.081875,1.9239
6.9612,33.376375,6.77635,4.15145,4.109375,1.9476
6.977125,33.43025,6.80455,4.197275,4.24815,1.9518
