SPK_SPKC06a (excited),SPK_SPKC12a (no effect),SPK_SPKC12b (NA),SPK_SPKC16a (no effect),SPK_SPKC16b (short inhibition)
0.03495,0.005825,0.0078,0.458625,0.113875
0.04335,0.0097,0.040475,0.55815,0.178775
0.07275,0.1427,0.070225,1.36965,0.70395
0.0986,0.259725,0.1137,3.9511,1.08
0.15885,0.2773,0.178175,5.17465,1.707625
0.23545,0.426325,0.23,5.37255,1.753075
0.320125,0.4908,0.3097,6.27905,4.1759
0.748775,0.525975,0.35395,6.414925,4.417225
0.764875,0.623325,0.38105,6.89355,4.8074
0.810975,0.624825,0.411525,7.741925,4.83965
0.817825,0.639575,0.442975,7.847825,4.9821
0.883375,0.8393,0.471925,8.961425,6.530825
0.9165,0.9201,0.49875,9.354,6.756725
0.95325,1.437575,0.54585,9.42365,6.794525
1.09145,1.60275,0.576625,9.969575,6.856925
1.203825,1.620625,0.6602,10.0187,7.1044
1.20965,1.68615,0.72835,10.450525,7.518425
1.371975,1.802375,0.757325,11.5058,7.672475
1.410025,1.810075,0.776775,11.62335,7.83465
1.418025,1.89925,0.818425,11.9211,7.9933
1.436875,1.915825,0.8455,12.2823,8.251825
1.507475,2.373925,0.88025,12.5169,8.255175
1.557275,2.4198,0.943725,13.258275,8.6549
1.564425,2.536325,1.02625,13.4594,9.083375
1.573725,2.559475,1.167825,14.337025,9.720225
1.723675,2.567625,1.27545,14.7722,10.577725
1.757425,2.600275,1.319525,16.07495,10.63595
1.7632,2.6097,1.351125,16.6621,11.25825
1.80925,2.6352,1.399325,16.74065,11.295325
1.85985,2.685125,1.43625,16.91165,12.08175
1.8976,2.71405,1.464825,16.93695,13.503
2.020975,2.739025,1.506425,16.99115,13.8292
2.073825,2.752925,1.706275,17.0092,14.512175
2.10395,3.0113,1.746025,17.760975,14.531925
2.1421,3.1149,1.74945,17.927725,15.40475
2.149125,3.274375,1.77655,18.3003,15.5365
2.15765,3.3798,1.843175,18.301375,16.21945
2.191775,3.4408,1.879775,18.725725,16.71125
2.280325,3.588325,1.929725,18.94955,17.2708
2.290725,3.697575,1.962525,19.17515,17.6357
2.306725,4.067825,1.980775,20.20475,17.781825
2.4664,4.26,2.003075,20.657475,18.285625
