SPK_SPKC04a (inhibited),SPK_SPKC16a (short excitation)
0.00435,0.027975
0.2714,0.0415
0.32435,0.056425
0.3618,0.06545
0.4269,0.0861
0.475575,0.0962
0.679125,0.105175
0.70575,0.112475
0.782775,0.1211
0.80365,0.127625
0.8656,0.131675
0.953475,0.15055
0.9863,0.174875
1.160475,0.20045
1.19085,0.209925
1.245675,0.240025
1.293225,0.2541
1.5974,0.27255
1.68655,0.2927
1.72715,0.31435
1.7767,0.345325
1.8408,0.357825
1.935225,0.379175
1.957,0.408775
2.01685,0.4266
2.30425,0.44745
2.857075,0.4573
3.1217,0.465025
3.22765,0.4784
3.32685,0.49955
3.3634,0.514675
3.554,0.52945
3.592575,0.547
3.709975,0.55945
3.7216,0.604775
3.74505,0.6404
3.9406,0.660275
4.049,0.670025
4.167275,0.6786
4.1872,0.700225
4.29605,0.7291
4.406675,0.74385
4.47745,0.764725
4.63645,0.793575
4.65585,0.8087
4.68665,0.830975
4.75535,0.872575
4.88765,0.886325
4.957425,0.890375
5.1598,0.913125
5.238625,0.950725
5.276675,0.975775
5.314825,0.997075
5.35545,1.05215
5.418225,1.08595
5.440425,1.1562
5.625025,1.15835
5.6526,1.21595
5.826,1.27785
5.858675,1.295325
5.922975,1.345725
6.17985,1.365275
6.20505,1.373125
6.223225,1.39625
6.281075,1.4615
6.29215,1.504725
6.376525,1.522575
6.4069,1.54985
6.44415,1.609675
6.4581,1.638325
6.783225,1.64655
6.869525,1.667625
6.87195,1.7232
7.041975,1.73215
7.292,1.73575
7.322025,1.7553
7.385225,1.7722
7.525475,1.82695
7.588175,1.8555
7.653275,1.865225
7.845375,1.882875
7.911475,1.8996
7.99355,1.921375
8.046675,1.97795
8.10725,2.02505
8.205925,2.057225
8.266175,2.063175
8.302175,2.09355
8.376675,2.112125
8.488675,2.12265
8.51435,2.15695
8.55265,2.176125
8.6138,2.22645
8.726725,2.23235
8.7593,2.238825
8.8391,2.2738
9.032775,2.282425
9.0704,2.29295
9.145225,2.311375
9.193675,2.352125
9.21275,2.38585
9.2722,2.39855
9.2817,2.42245
9.35125,2.44365
9.564575,2.47595
9.6771,2.51575
9.6962,2.54355
9.910175,2.568825
9.94015,2.591325
10.075375,2.61125
10.2535,2.63015
10.2821,2.6659
10.37035,2.724025
10.414325,2.81615
10.4301,2.99665
10.450275,3.1046
10.488825,3.1543
10.54155,3.2001
10.56945,3.245575
10.600325,3.29665
10.6282,3.30335
10.73005,3.322125
10.7504,3.355475
10.774425,3.377575
10.827875,3.399625
10.867675,3.41015
10.8882,3.426475
10.9171,3.43575
10.992325,3.439475
11.010925,3.442525
11.13325,3.4538
11.199375,3.49295
11.22675,3.520375
11.26205,3.545625
11.39885,3.56935
11.43255,3.58835
11.66685,3.602325
11.715325,3.62605
11.739575,3.63965
11.76165,3.65045
11.797025,3.7189
11.8227,3.7645
11.8444,3.7885
12.217675,3.8071
12.25955,3.85165
12.281375,3.88685
12.401225,3.908775
12.552475,3.92885
12.5965,3.959575
12.75065,3.9916
12.786075,4.054675
12.8405,4.07155
12.889775,4.1269
12.96085,4.206575
13.02625,4.235525
13.06595,4.2862
13.0916,4.323475
13.1214,4.352825
13.19015,4.357425
13.445075,4.3732
13.58705,4.406475
13.67205,4.438575
13.718325,4.479775
13.797,4.503075
13.835275,4.5624
14.0904,4.593325
14.27355,4.607475
14.304475,4.6373
14.3415,4.688925
14.3792,4.7336
14.402325,4.797225
14.465775,4.826575
14.4877,4.8527
14.572325,4.8753
14.5977,4.9162
14.63165,4.970575
14.653775,4.994825
14.71405,5.020425
14.750575,5.0447
14.906025,5.075425
14.96035,5.1033
14.9836,5.13905
