SPK_SPKC01a (excited),SPK_SPKC08b (excited),SPK_SPKC09a (excited),SPK_SPKC11a (no effect)
0.087575,0.89395,0.009275,0.37275
0.389875,1.058225,0.03035,0.71125
0.3958,2.3187,0.053,0.885125
0.56675,2.622625,0.0799,1.625825
0.86765,2.732075,0.10215,1.787475
1.10305,3.78675,0.142375,2.243725
1.321225,3.8997,0.1799,2.523225
1.398,5.1044,0.21285,3.20315
1.4062,5.205275,0.2366,4.509075
1.449775,5.2164,0.2745,5.195725
1.46335,6.464725,0.303125,5.19755
1.525875,6.5656,0.334475,5.252825
1.720425,8.204425,0.38735,5.818025
1.99545,9.366925,0.441725,5.97255
2.052725,9.723175,0.462425,6.32305
2.10805,9.7658,0.48745,6.3872
2.2083,9.923975,0.520325,6.798725
2.287725,10.3977,0.5538,6.973075
2.2986,10.524525,0.583575,7.215825
2.3147,10.578975,0.626925,7.895775
2.556325,10.66185,0.655775,8.2092
2.67235,11.617275,0.67615,9.018425
2.72475,11.7946,0.712575,9.557425
2.9129,12.3861,0.7727,9.644
2.95145,12.785125,0.815,9.68245
3.032225,13.047575,0.85625,9.7333
3.496175,13.2383,0.88635,9.80715
3.553875,13.48715,0.9029,9.875925
3.565775,13.531825,0.9456,9.976575
3.576575,13.889225,0.97305,10.021275
3.5876,14.050325,1.000325,10.02805
3.59405,14.6016,1.031225,10.167125
3.61925,15.211725,1.0601,10.264925
3.622425,15.56445,1.0897,10.326525
3.76215,16.006025,1.1311,10.38505
3.810275,16.174225,1.1683,10.43195
3.868575,16.59765,1.21165,10.48275
3.91825,16.639525,1.2316,10.529925
4.3042,17.94445,1.25215,10.6307
4.36395,19.1911,1.2882,10.659575
4.419025,19.229275,1.3438,10.680625
4.47865,19.4981,1.405625,10.703575
4.520525,20.32955,1.43655,10.739375
4.621575,20.6033,1.471125,10.77735
4.70605,22.69095,1.4916,10.79845
4.77675,23.08695,1.522325,10.8201
4.808025,23.902525,1.550025,10.8523
4.87975,24.1908,1.585425,10.89815
4.940075,24.242275,1.625825,10.92675
4.987425,24.682,1.648475,10.964625
5.15345,25.138725,1.666525,11.01195
5.196225,25.39365,1.7402,11.040925
5.1984,25.6286,1.76105,11.0807
5.207375,25.91595,1.78745,11.119525
5.252375,25.985675,1.80635,11.1516
5.495825,27.154925,1.831125,11.18605
5.62465,27.217725,1.843825,11.2176
5.722575,27.52835,1.8662,11.255175
5.770325,28.711625,1.8804,11.306925
5.7813,29.3701,1.8987,11.349875
6.0368,29.563175,1.924975,11.394625
6.0686,29.6085,1.950475,11.4463
6.188725,31.468425,1.994475,11.478375
6.375675,32.554375,2.0517,11.51535
6.423075,33.95465,2.071075,11.588075
6.601875,34.1725,2.097,11.646075
6.930025,34.3983,2.1192,11.72665
6.99505,34.6237,2.145275,11.79315
7.06545,34.6786,2.1675,11.846275
7.0896,34.80925,2.192375,11.90965
7.131,35.278575,2.243725,12.039775
7.137175,35.303325,2.275975,12.12765
7.222675,36.601675,2.2934,12.221775
7.28375,36.7113,2.310175,12.329175
7.35375,36.768825,2.32835,12.431875
7.382425,37.383,2.351625,12.4909
7.555925,37.730075,2.385175,12.566325
7.582075,38.431875,2.399725,12.638075
7.619775,38.6163,2.41325,12.7321
7.637075,38.644275,2.4253,12.813425
7.661825,39.210925,2.4412,12.9039
7.683925,39.261825,2.461775,13.03945
7.6975,39.5932,2.481775,13.09495
7.73375,40.673575,2.5062,13.145875
7.8082,40.83895,2.5232,13.1868
7.821825,41.076725,2.55135,13.236225
7.841925,41.287425,2.568025,13.32225
7.8738,42.4359,2.58515,13.385775
7.88725,43.236725,2.6088,13.43315
7.899375,43.450675,2.634475,13.49725
7.99275,43.63275,2.654075,13.6169
8.05115,43.86915,2.6659,13.681375
8.1036,44.023175,2.6918,13.83675
8.122475,44.371175,2.712575,13.95315
8.180875,44.6527,2.72975,13.9542
8.302075,44.861325,2.745425,14.371425
8.338075,45.273375,2.76525,14.421775
8.365325,45.780275,2.7851,14.52855
8.52585,46.013975,2.79935,14.6233
8.570225,46.257525,2.8236,14.800375
8.602,46.83965,2.8467,15.192975
8.6296,47.19605,2.8705,15.339825
8.640375,47.405175,2.89605,15.932525
8.67445,47.52905,2.9126,16.035175
8.6942,48.056775,2.927875,16.168575
8.6982,48.491575,2.946225,16.249825
8.73065,48.98235,2.9869,16.2984
8.80595,49.40385,3.01095,16.64625
8.82835,49.6727,3.03565,16.734875
8.8505,49.762475,3.0634,16.8776
8.876675,49.92095,3.08725,17.043825
8.91515,50.278225,3.10655,17.1138
8.935,50.38195,3.137475,17.275925
8.9634,50.4321,3.1761,17.381525
8.98635,50.668925,3.20315,17.4204
9.0275,50.739975,3.23235,17.535325
9.04815,51.648975,3.253075,18.10505
9.076375,51.699925,3.26845,18.2236
9.090925,52.07115,3.293275,18.311825
9.168875,52.42775,3.316125,20.36685
9.19715,52.774925,3.329225,20.812975
9.28985,53.126575,3.3598,23.007225
9.29985,53.253325,3.3805,25.15175
9.351075,53.287875,3.39855,30.218575
9.364675,53.680375,3.427625,36.326575
9.396925,54.45705,3.44995,36.768625
9.412225,54.60175,3.470025,36.86595
9.46835,54.790175,3.4976,36.961925
9.494475,55.715275,3.508175,37.011225
9.51615,56.15295,3.5326,37.320725
9.566575,56.69905,3.546025,38.316025
9.63855,57.51485,3.57485,43.320675
9.6639,57.64485,3.5869,45.091325
9.6902,58.023275,3.597575,45.5677
9.70045,58.17785,3.61475,46.42575
9.711125,58.6,3.62795,53.052275
9.728825,58.783025,3.659625,54.369375
9.747775,58.806475,3.6651,54.53415
9.7695,59.4541,3.700425,54.740875
9.832925,59.472725,3.736775,54.908525
9.854125,59.66955,3.7679,55.032325
9.8827,60.015475,3.78675,55.140375
9.927475,60.4079,3.832275,55.3733
9.988275,60.455725,3.85785,55.527025
9.996725,60.860775,3.88485,55.597625
10.0169,61.244975,3.903425,55.65685
10.0732,61.369175,3.9443,55.712675
10.0924,62.158775,3.965125,55.743025
10.116825,62.23965,3.9793,55.78335
10.1415,62.7455,4.0025,55.8429
10.160375,64.156275,4.0245,55.86895
10.203275,64.60275,4.047575,55.92165
10.2203,65.2605,4.083,56.018525
10.23005,65.491775,4.10565,56.054175
10.253875,66.017675,4.131275,56.16645
10.276575,66.465175,4.145475,56.30445
10.305275,66.537225,4.19075,56.428625
10.334,66.6012,4.214125,56.4882
10.37435,66.81115,4.248475,56.611575
10.400675,67.059975,4.266575,56.672375
10.43845,67.0977,4.2954,56.749825
10.45025,68.09305,4.328825,56.81035
10.465225,68.1165,4.3464,56.91145
10.516775,68.146,4.373275,57.0165
10.534825,68.293325,4.412925,57.058025
10.572775,68.994,4.436325,57.217375
10.590025,69.361075,4.47685,57.289275
10.59795,69.6449,4.509075,57.654875
10.605725,70.546375,4.53865,57.835275
10.621925,71.3556,4.585075,61.237275
10.63375,71.39495,4.624425,61.288975
10.653775,71.52875,4.688225,61.351075
10.674625,71.591225,4.7299,61.394525
10.704275,71.9623,4.7771,61.448825
10.720875,72.63525,4.80655,61.5425
10.74205,72.685675,4.8703,61.60765
10.755925,72.9184,4.9052,61.6802
10.7662,73.38305,4.949425,61.7583
10.784875,73.9078,4.98025,61.804175
10.797975,74.28715,5.0468,61.84455
10.808625,74.87625,5.081675,61.9158
10.823375,74.892825,5.122525,61.952125
10.8352,75.29815,5.19755,61.98195
10.850975,75.68215,5.2075,62.04585
10.881325,76.4972,5.21265,62.094925
10.8912,76.5446,5.243275,62.149925
10.921625,76.807525,5.259925,62.19935
10.963425,76.882725,5.280625,62.251225
10.97345,77.265475,5.3021,62.350475
10.9793,77.473925,5.3318,62.4374
11.023975,77.8152,5.34755,62.511025
11.043875,78.1557,5.39355,62.68605
11.069675,78.500275,5.42805,62.7626
11.07545,78.6654,5.4566,62.858275
11.079225,78.8841,5.479925,63.16365
11.0977,79.563825,5.51115,63.2113
11.132175,79.852425,5.534625,63.439475
11.14445,79.9418,5.5734,63.850925
11.173075,80.1607,5.624925,64.020525
11.20375,80.83925,5.662925,64.171325
11.234525,81.017125,5.676275,65.3454
11.2502,81.1623,5.725025,66.54365
11.257925,81.4861,5.75285,66.688575
11.3043,81.601025,5.80515,67.654675
11.335625,81.76055,5.831125,80.09635
11.40485,81.891525,5.849575,81.79945
11.4394,81.947425,5.873525,89.515325
11.462625,82.368575,5.890325,89.660575
11.520475,82.470625,5.9126,89.765825
11.561525,83.32335,5.934925,89.84195
11.615425,83.397725,5.965525,90.0403
11.794275,83.65555,5.986125,90.0898
11.866475,84.4042,6.01015,90.128325
12.036425,84.5344,6.044175,90.23
12.072675,84.7508,6.06335,90.31565
12.245475,85.543075,6.10655,90.354275
12.46025,86.829,6.13565,90.4025
12.55965,86.96695,6.172575,90.44545
12.63345,86.977975,6.199875,90.49425
12.64575,87.386425,6.241475,90.536125
12.709425,87.9474,6.2616,90.561875
12.834125,88.705825,6.298825,90.629775
13.009525,88.93295,6.3283,90.6934
13.0511,89.188225,6.351425,90.733275
13.083925,90.000475,6.3872,90.883875
13.165075,90.20805,6.41325,90.938025
13.17805,90.73665,6.44225,91.20205
13.2486,91.55745,6.475125,91.2825
13.3156,92.7286,6.5023,91.33325
13.35,94.044775,6.52355,109.1564
13.398475,94.107475,6.56235,120.027225
13.420175,94.314425,6.589475,120.0727
13.481425,94.321125,6.6129,120.755325
13.582275,94.917675,6.6477,120.90495
13.594175,94.994875,6.686575,121.114875
13.68175,95.87735,6.740475,121.20885
13.7331,96.197375,6.780975,121.275475
13.760125,96.496975,6.8099,121.46665
13.8655,96.604625,6.849025,121.560025
13.8952,97.703325,6.928675,121.59165
13.972975,97.80465,6.969125,121.744375
14.003525,98.452675,6.979675,121.93895
14.036525,98.60195,6.995175,122.151025
14.14805,98.735375,7.010825,122.454675
14.2421,98.935275,7.021925,122.578275
14.311625,99.0682,7.03815,122.6573
14.33075,99.299925,7.059475,122.832775
14.394925,99.67885,7.0793,126.3107
14.427725,100.1883,7.103325,126.582475
14.48415,100.594175,7.126725,127.268125
14.527325,101.7107,7.160325,127.38315
14.53495,102.356475,7.181725,127.442325
14.541125,102.720625,7.2158,127.50775
14.605,103.039525,7.247,127.677075
14.622275,103.243975,7.28495,139.872375
14.6389,103.534725,7.333525,139.93735
