SPK_SPKC01a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10b (NA),SPK_SPKC14a (NA)
0.002575,0.009275,0.05145,0.073925
0.027975,0.023625,0.072075,0.266375
0.0492,0.0341,0.13285,0.295425
0.0708,0.0563,0.149025,0.39905
0.0939,0.1087,0.174075,0.54985
0.111725,0.113425,0.214375,0.63035
0.135875,0.1237,0.240075,0.673575
0.155275,0.135575,0.251525,0.836425
0.175975,0.159,0.270475,0.870975
0.1969,0.179175,0.289075,0.9615
0.217375,0.1917,0.300675,0.992125
0.234925,0.20855,0.326225,1.051175
0.274275,0.2322,0.34505,1.0759
0.284975,0.24645,0.374,1.628875
0.31375,0.259075,0.44555,1.932725
0.335775,0.272375,0.53695,1.9529
0.35565,0.295125,0.5799,2.37845
0.379325,0.308425,0.6131,2.95285
0.39925,0.34735,0.641275,2.973125
0.41485,0.36975,0.6738,2.99165
0.441775,0.3808,0.6963,3.134925
0.466425,0.39655,0.722925,3.2492
0.521125,0.41175,0.757975,3.2791
0.538275,0.4355,0.76,3.410025
0.56835,0.452525,0.7795,3.43705
0.593525,0.468475,0.806,3.5293
0.635975,0.489575,0.846175,3.614175
0.65915,0.531375,0.8582,3.886075
0.693325,0.55675,0.8821,3.905075
0.713475,0.571675,0.923025,3.922075
0.7365,0.58295,0.94085,4.03745
0.75755,0.629925,0.9697,4.140725
0.786275,0.6843,0.995075,4.21255
0.804575,0.74045,1.01325,4.240575
0.818825,0.764825,1.03685,4.374975
0.842375,0.788475,1.065875,4.444475
0.85655,0.790875,1.10295,4.51335
0.8794,0.809525,1.117175,4.547775
0.9019,0.825,1.152125,4.76005
0.929525,0.8662,1.18705,4.7879
0.95885,0.887675,1.213875,4.967725
0.98945,0.9031,1.226425,5.008925
1.022225,0.913625,1.26275,5.12855
1.0509,0.9299,1.28355,5.174825
1.096575,0.9461,1.30935,5.225525
1.138875,1.025425,1.330975,5.23675
1.19245,1.04435,1.3586,5.479525
1.219325,1.056225,1.36965,5.5496
1.243975,1.0724,1.3855,6.594825
1.2701,1.085075,1.405425,6.816175
1.28905,1.09875,1.409175,6.8408
1.320375,1.1081,1.42065,6.9968
1.3449,1.128475,1.429975,7.01725
1.373075,1.141675,1.448625,7.3921
1.4075,1.1643,1.469275,7.5556
1.4304,1.18555,1.495375,7.56715
1.446925,1.19705,1.512375,7.6094
1.4771,1.221175,1.57995,7.93895
1.498275,1.229275,1.626675,8.456375
1.52755,1.259925,1.64695,9.433075
1.553575,1.2696,1.665825,9.54
1.579525,1.285375,1.690725,9.55735
1.60465,1.29725,1.719775,10.07305
1.633975,1.326475,1.751,10.1683
1.669375,1.3681,1.78955,10.2435
1.6995,1.39875,1.820025,10.4714
1.7468,1.4547,1.838575,10.609275
1.769925,1.486475,1.871925,10.74535
1.800725,1.5092,1.902275,10.76935
1.8521,1.5241,1.987175,10.906175
1.8743,1.567975,2.0229,10.952425
1.901525,1.5824,2.050625,11.62335
1.936075,1.612425,2.10045,12.414725
1.9678,1.63205,2.13825,12.66655
1.98955,1.654025,2.16155,12.69015
2.022275,1.68435,2.164475,12.85765
2.040675,1.700925,2.17565,13.571825
2.067225,1.726175,2.202025,13.841675
2.083175,1.781325,2.2265,14.0785
2.103225,1.812625,2.25165,14.719175
2.12025,1.847025,2.275525,15.23995
2.14165,1.876225,2.281075,15.289375
2.14635,1.894725,2.3017,15.33425
2.171525,1.907375,2.331975,15.8799
2.19455,1.917675,2.3509,16.091425
2.2121,1.948875,2.355375,16.126425
2.230775,1.964225,2.3733,16.1469
2.252475,1.983975,2.378,16.447675
2.2767,1.998875,2.39775,16.6945
2.292475,2.007975,2.448425,16.744275
2.30875,2.0216,2.46435,17.7013
2.32425,2.035075,2.510325,17.71265
2.342825,2.0428,2.5191,17.977275
2.3698,2.0727,2.54335,18.10585
2.39005,2.076625,2.564,18.2585
2.4091,2.085025,2.581875,18.3287
2.42325,2.090225,2.607325,18.342175
2.44035,2.09505,2.67475,18.795225
2.452325,2.098075,2.697675,19.12515
2.46625,2.105075,2.725275,19.202775
2.508375,2.11585,2.737325,19.4969
2.531575,2.1254,2.784275,19.620275
2.5458,2.133175,2.79035,19.693875
2.567425,2.141425,2.8592,19.75535
2.584375,2.15385,2.90205,19.98435
2.60515,2.1744,2.940975,20.138525
2.62405,2.192825,2.97485,20.201425
2.6477,2.2067,2.9957,20.286225
2.67255,2.21905,3.041125,20.319725
2.68755,2.229325,3.11385,20.343475
2.7059,2.237,3.1397,20.5212
2.729425,2.24825,3.1653,21.472175
2.7556,2.261825,3.223075,21.812925
2.776725,2.26565,3.25115,21.95295
2.796675,2.309475,3.2801,22.05745
2.813275,2.3199,3.362425,23.106525
2.833775,2.340875,3.417325,23.578275
2.852025,2.356875,3.5331,23.812775
2.935125,2.3615,3.549625,24.17245
2.9595,2.36915,3.5752,24.34585
2.978575,2.393175,3.6138,24.540025
3.00285,2.40375,3.642475,24.771175
3.029125,2.409825,3.6662,24.808225
3.0505,2.4203,3.698375,24.86285
3.105275,2.432475,3.71575,24.9693
3.133975,2.437425,3.766825,25.165675
3.159025,2.4598,3.799025,25.3247
3.185525,2.4661,3.823275,25.471775
3.20985,2.483875,3.867,26.444475
3.2379,2.5302,3.87475,26.4771
3.261025,2.552925,3.912925,26.5707
3.286425,2.562475,3.97395,27.31925
3.31255,2.580425,3.999075,28.47405
3.33115,2.6131,4.016825,28.5701
3.352375,2.6271,4.01875,28.737425
3.374275,2.63205,4.03995,29.30305
3.40635,2.670725,4.084175,29.414
3.4301,2.68895,4.115175,29.6635
3.466125,2.7148,4.140475,29.817675
3.4876,2.752175,4.17095,30.051525
3.5518,2.776125,4.195775,30.46895
3.594575,2.80275,4.211375,30.6294
3.630875,2.81635,4.2276,31.7589
3.658425,2.831625,4.25165,32.1152
3.67875,2.850275,4.28065,32.2432
3.706075,2.879675,4.301225,32.52035
3.7297,2.9043,4.336275,32.67815
3.77755,2.9167,4.341725,32.83085
3.781175,2.95265,4.3587,33.5392
3.800925,2.9797,4.39515,33.5801
3.8237,3.007725,4.4115,33.6527
3.845675,3.03425,4.43595,34.653775
3.877475,3.0571,4.4619,34.8999
3.9102,3.09935,4.47875,34.9111
3.9375,3.130025,4.510825,35.09995
3.973075,3.1619,4.53035,35.5586
3.99675,3.206875,4.568175,35.57775
4.02105,3.231925,4.58915,35.818975
4.0336,3.262025,4.6067,35.84045
4.057875,3.282975,4.627675,36.363
4.07805,3.301975,4.6458,36.6934
4.119975,3.360675,4.667725,36.842775
4.1435,3.38545,4.695525,36.87365
4.17435,3.396825,4.72345,36.939525
4.243375,3.42035,4.74155,36.96215
4.27305,3.460675,4.788225,37.059225
4.298575,3.467475,4.8225,37.25825
4.3211,3.49975,4.853775,37.514525
4.347225,3.52005,4.87935,37.835075
4.364825,3.529025,4.886925,38.1476
4.39385,3.546675,4.911075,38.831775
4.419025,3.555125,4.949275,38.90145
4.451,3.5717,5.0038,39.43025
4.5027,3.586525,5.094475,39.585425
4.537875,3.603725,5.118925,39.92215
4.554625,3.62415,5.1443,40.6624
4.578275,3.649225,5.1999,40.708475
4.609325,3.663,5.212625,40.8716
4.639775,3.677575,5.262775,41.107525
4.67235,3.6867,5.30345,41.379875
4.705425,3.711375,5.348375,41.432425
4.73715,3.725875,5.368075,41.557775
4.76145,3.756125,5.383475,41.693675
4.804925,3.778,5.39755,41.997475
4.827325,3.829125,5.417675,42.03255
4.861275,3.840925,5.449375,42.4623
4.889275,3.84985,5.479175,42.732175
4.899075,3.92835,5.49155,42.7895
4.9144,3.95875,5.506325,43.231775
4.9464,3.99255,5.528675,43.9349
4.978025,4.008675,5.53565,43.9722
5.007525,4.037175,5.54905,44.084325
5.030725,4.059425,5.567425,44.871925
5.06005,4.075875,5.583775,44.919725
5.118175,4.090175,5.6242,45.02635
5.143775,4.101075,5.65995,45.119175
5.170025,4.12585,5.68865,45.3393
5.195125,4.13435,5.721175,45.668475
5.214725,4.150475,5.748375,46.1207
5.234275,4.17255,5.75125,46.157625
5.2721,4.188975,5.7915,46.408025
5.29895,4.20355,5.821475,46.5291
5.328625,4.22255,5.8511,46.6834
5.347225,4.2376,5.8649,46.9449
5.3726,4.245175,5.87875,47.0979
5.40195,4.254875,5.882075,47.1087
5.462725,4.2711,5.90715,47.133825
5.49555,4.296925,5.98625,47.247275
5.518775,4.3094,6.00455,47.3304
5.53335,4.349175,6.020075,47.46045
5.54915,4.3622,6.066725,47.825975
5.568625,4.373625,6.090675,47.88125
5.583275,4.4097,6.12855,47.999275
5.60415,4.4271,6.156925,48.59835
5.622175,4.4537,6.1886,49.271625
5.648925,4.48505,6.220275,49.451975
5.67845,4.493275,6.242925,49.54645
5.70315,4.503825,6.27485,49.685925
5.7306,4.51275,6.30735,49.731975
5.76555,4.51965,6.3417,49.9237
5.79075,4.54465,6.366925,50.2487
5.8204,4.552875,6.395125,50.306775
5.85035,4.558875,6.399425,51.145875
5.871425,4.577675,6.41925,51.812575
5.898775,4.58635,6.5245,51.958125
5.91845,4.5903,6.55035,51.9661
5.94685,4.638625,6.564775,52.0219
5.959275,4.658125,6.633725,52.28805
5.98585,4.6764,6.650125,52.63795
6.016525,4.68445,6.666425,52.7241
6.039075,4.70765,6.674425,53.13945
6.067675,4.7262,6.684325,53.23965
6.0922,4.753275,6.694725,53.917775
6.111175,4.76765,6.708625,53.995075
6.133025,4.775125,6.738575,54.708575
6.16455,4.7997,6.750875,54.891275
6.27625,4.81525,6.764675,54.9186
6.299225,4.83295,6.790925,55.12955
6.326325,4.84085,6.79975,55.26525
6.342775,4.849375,6.815825,55.5008
6.366725,4.8686,6.817575,55.51775
6.3906,4.91625,6.84435,55.5316
6.4216,4.935225,6.862025,55.578775
6.466725,4.951875,6.87685,55.91515
6.522125,4.961175,6.9051,56.0231
6.52885,4.983325,6.950825,56.896925
6.549925,4.989375,6.9886,56.9398
6.56445,5.018725,7.065825,57.1664
6.57915,5.031125,7.0935,57.32265
6.5941,5.05725,7.1587,57.3883
6.61015,5.068975,7.1843,57.5887
6.633725,5.07955,7.1997,58.159175
6.651375,5.09185,7.228275,58.5485
6.680225,5.100925,7.2428,58.990825
6.692275,5.11575,7.24705,59.093225
6.703975,5.12615,7.255525,59.530175
6.71845,5.154575,7.2729,59.736525
6.732175,5.1742,7.290225,60.491025
6.747575,5.1904,7.30195,60.80825
6.7611,5.218475,7.329825,60.8657
6.7759,5.282425,7.357375,60.958225
6.791075,5.300625,7.419,60.96945
6.81075,5.326225,7.4697,61.4844
6.8276,5.344625,7.536025,61.58655
6.844,5.365175,7.584975,62.263625
6.865425,5.380675,7.618325,62.45625
6.878575,5.416175,7.630875,62.70785
6.905475,5.43335,7.690675,62.8488
6.926425,5.498275,7.695425,63.1099
6.940475,5.5122,7.73355,63.25435
6.960125,5.519125,7.757425,63.274475
6.978775,5.5416,7.802225,63.3201
6.9944,5.579175,7.841575,63.34005
7.06435,5.5992,7.880325,63.413825
7.08335,5.61575,7.8984,63.429675
7.09665,5.647775,7.90715,63.87395
7.117275,5.678375,7.927575,64.5927
7.130025,5.695225,7.95175,64.65825
7.183725,5.708175,8.006975,64.683825
7.210025,5.764025,8.040775,64.908725
7.227975,5.776475,8.07065,65.023375
7.24715,5.7981,8.104025,65.0959
7.259525,5.806525,8.1411,65.317425
7.28255,5.8483,8.175125,65.660525
7.324725,5.901675,8.2037,65.887875
7.3437,5.923075,8.219025,66.091425
7.36075,5.95765,8.251275,66.463475
7.378775,5.980225,8.293625,66.494625
7.434525,6.007275,8.319325,66.668275
7.444675,6.033925,8.366525,67.01995
7.460725,6.044775,8.388425,67.3286
7.478775,6.0623,8.3985,67.394825
