SPK_SPKC03a (excited),SPK_SPKC09a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10c (no effect)
4.112725,0.206225,0.0222,0.358525
4.213775,0.211525,0.047375,0.4264
4.231325,0.253525,0.10565,0.49115
4.448375,0.332575,0.160625,0.656525
4.652175,0.39775,0.2242,0.8337
4.9391,0.567875,0.3418,0.926675
5.005475,0.60895,0.37205,1.0032
5.0276,0.6343,0.405975,1.0939
5.076175,0.647,0.483125,1.26545
5.1611,0.704575,0.50995,1.307225
5.241925,0.746275,0.5403,1.4462
5.4535,0.927925,0.56145,1.517125
5.681325,0.9687,0.591225,1.558225
5.848325,1.00055,0.686875,1.6945
5.9014,1.029775,0.71895,1.73505
6.16065,1.356125,0.752,1.956075
6.2342,1.404975,0.7907,2.015575
6.466325,1.4525,0.850225,2.7129
6.47095,1.535025,0.899075,2.82165
6.524825,1.678425,0.91715,2.850375
6.8499,2.060125,0.9672,2.979725
7.734675,2.195,1.03115,3.023625
8.6228,2.281875,1.083925,3.609925
9.9272,2.431725,1.1452,3.64255
11.15755,2.460875,1.1594,3.743475
11.547,2.55635,1.199575,3.9753
11.884275,2.741075,1.252725,4.029275
11.913325,2.8431,1.338475,4.053175
11.9168,2.8451,1.374025,5.1115
11.96255,3.10015,1.40845,6.159725
11.987975,3.16215,1.457775,6.3899
11.998775,3.3634,1.542075,6.696625
12.3908,3.393775,1.600675,6.97235
12.583925,3.5166,1.621225,7.127225
12.721425,3.55205,1.705725,7.4106
12.791375,3.5849,1.723075,7.580675
12.814275,3.869725,1.741225,7.644525
13.0009,3.936475,1.765225,8.417525
13.33005,4.003075,1.7796,8.51655
13.396075,4.084575,1.79885,8.572675
13.664625,4.1124,1.818775,8.755875
13.729375,4.231075,1.8392,8.89455
13.808025,4.3011,1.867275,9.028425
13.883375,4.349025,1.894175,9.6895
13.8905,4.37425,2.006275,9.73475
13.9716,4.392775,2.011225,9.960675
13.99555,4.576075,2.05825,11.72125
14.18795,4.5831,2.085275,11.903975
14.3252,4.637925,2.100425,12.041325
14.446425,4.69985,2.19385,12.65795
14.587475,4.812875,2.265975,12.853075
14.667375,4.887925,2.295975,12.9192
15.039,4.97565,2.31455,13.1358
15.1933,5.198175,2.345375,13.53345
15.2079,5.229875,2.386025,13.5748
15.21425,5.312,2.4706,13.73465
15.21705,5.547875,2.493375,14.522475
15.334025,5.601625,2.517525,15.012275
15.337725,5.694025,2.550325,15.55255
15.42205,5.804375,2.572925,16.937575
15.5047,5.911725,2.586625,17.08315
15.516275,6.0454,2.6011,17.691975
15.566475,6.183275,2.616,17.868525
15.587125,6.380775,2.62885,18.29605
15.770225,6.446525,2.647725,18.3641
15.775475,6.478725,2.6607,19.023075
15.816925,6.690375,2.690275,19.524575
15.850325,7.005075,2.71065,20.60675
15.9983,7.0861,2.72565,20.7557
16.675425,7.166,2.78185,21.285025
17.29865,7.3002,2.814675,21.4154
17.349975,7.389925,2.833075,21.435775
17.490725,7.461425,2.869525,21.62285
17.67355,7.667075,2.885725,22.515
17.707625,7.74115,3.013675,22.695925
19.568575,7.901775,3.0326,23.461875
19.8198,8.15755,3.07655,23.485575
19.976625,8.2366,3.1057,23.726875
20.063175,8.4085,3.161475,23.777775
20.2278,8.4316,3.178775,23.89435
20.31925,8.4604,3.196375,24.2137
21.84725,8.481,3.209325,24.549275
21.871625,8.50105,3.242775,24.719575
22.064325,8.547425,3.26315,24.785575
23.29205,8.607675,3.29895,24.8707
24.04175,8.834575,3.365075,25.18955
24.57665,8.85985,3.37985,25.4319
24.927325,9.00395,3.399225,26.17895
24.929225,9.216675,3.489275,26.530375
25.009975,9.23335,3.5159,26.5725
25.285575,9.2405,3.52525,26.6871
25.54975,9.2948,3.555725,27.241425
25.857225,9.320875,3.593975,27.59345
26.324625,9.369725,3.6505,27.931475
27.2882,9.4423,3.74085,28.1721
28.019125,9.75895,3.753725,28.27735
28.2379,9.831625,3.780875,28.402875
28.2632,10.236375,3.8015,28.7407
28.28005,10.292125,3.838175,28.80935
29.468425,10.315825,3.8537,29.2866
30.68375,10.3379,3.870175,29.5865
32.076625,10.447925,3.894,29.62
32.8978,10.4814,3.9555,29.85075
32.98135,10.54045,4.020425,29.9828
33.17755,10.5417,4.04445,30.04475
33.3622,10.625425,4.0667,30.457625
33.550875,10.6471,4.2106,31.030825
33.74145,10.705,4.2278,31.0743
33.791975,11.00695,4.23965,31.2274
33.912375,11.065675,4.262675,31.27135
35.14425,11.077275,4.27625,32.69735
35.542325,11.169825,4.31095,32.744575
35.597675,11.19015,4.34605,33.538
36.1232,11.27265,4.391425,33.9613
37.536975,11.31665,4.430525,34.391975
37.56755,11.392725,4.44855,34.608825
37.958725,11.447675,4.465875,34.676475
38.5499,11.496675,4.486625,35.3898
38.720175,11.551775,4.5138,35.648825
38.84665,11.67155,4.54015,35.892375
