SPK_SPKC02a (no effect),SPK_SPKC08a (inhibited),SPK_SPKC09a (inhibited),SPK_SPKC13a (inhibited)
1.051475,0.18065,0.03795,0.02085
1.713875,1.037025,0.077375,0.04175
2.1441,1.5895,0.086125,0.074725
2.32295,1.6951,0.147525,0.09345
2.3393,2.32365,0.162475,0.15855
2.576325,2.3262,0.180675,0.17275
2.911275,2.366475,0.1971,0.213925
3.68875,2.461975,0.23395,0.237125
3.919875,2.8766,0.264,0.262025
4.307275,3.7257,0.30215,0.3388
4.894525,4.625475,0.3285,0.354425
5.340675,4.902725,0.343275,0.424425
5.54475,5.175425,0.4612,0.435975
6.4371,7.79915,0.46245,0.47405
6.839925,8.162125,0.47815,0.504775
6.881575,8.53705,0.503625,0.5148
7.03325,8.8094,0.538025,0.52625
7.30665,10.381425,0.59085,0.539325
7.934025,10.88355,0.620975,0.5579
8.01835,10.9473,0.67275,0.567
8.021575,10.98605,0.7642,0.5814
8.294875,11.29645,0.8106,0.614075
8.297825,12.1712,0.8307,0.6223
8.3088,12.74875,0.9104,0.639475
8.338425,13.773125,0.9519,0.665925
8.359475,13.906975,0.977875,0.73
8.677,14.203225,0.998125,0.79065
9.090125,14.694725,1.03705,0.828775
9.1623,14.800325,1.05715,0.837825
9.164775,16.473875,1.0788,0.847825
9.344425,17.669475,1.17165,0.8579
9.462675,18.49755,1.208225,0.866975
10.92765,18.576675,1.30925,0.887425
10.976325,18.585975,1.3361,0.898875
11.01095,18.797975,1.3665,0.907375
11.37545,19.6695,1.413825,0.965425
11.735775,19.75155,1.453225,0.9848
12.225275,20.4483,1.5091,1.018425
12.798575,20.8479,1.54135,1.038525
13.17125,21.06985,1.58955,1.0591
13.26135,21.767375,1.627975,1.09185
13.36255,21.813125,1.6819,1.132575
13.374975,22.178125,1.685075,1.144125
13.3911,22.199675,1.695125,1.1784
13.454425,22.327725,1.7158,1.1865
13.517275,22.435975,1.752,1.2124
13.54405,22.551425,1.78625,1.221
13.557075,23.2891,1.8347,1.229925
13.6088,23.59445,1.890075,1.24775
13.85315,23.6502,1.931275,1.281725
13.91135,25.3796,1.9826,1.3513
14.145825,25.486025,1.997825,1.365625
14.18765,26.78455,2.016525,1.390425
14.240925,26.85645,2.0426,1.4288
14.31615,26.962525,2.0601,1.4686
14.348925,27.1834,2.132725,1.481275
14.367025,27.316,2.1895,1.49145
14.382125,27.423275,2.2162,1.535525
14.4658,27.58985,2.24535,1.557
14.471375,27.63345,2.27425,1.569075
14.61965,27.815525,2.313325,1.682325
14.761825,28.56445,2.370875,1.7861
14.999075,28.739225,2.39615,1.793875
15.0417,29.10035,2.462025,1.830125
15.0443,29.1477,2.481675,1.8466
15.054075,29.219575,2.54075,1.854175
15.075825,29.906125,2.564225,1.864625
15.401625,30.468275,2.60455,1.876875
15.429475,30.539675,2.673125,1.886175
15.46685,31.030375,2.685875,1.90855
15.891,31.471225,2.709825,1.932325
16.200675,31.50015,2.755675,1.9417
16.594875,31.5356,2.802375,1.94975
16.757325,31.682625,2.8246,1.9538
16.94045,31.922625,2.857075,1.961625
16.97255,31.964125,2.876625,1.971025
17.252775,32.08625,2.918775,2.040175
17.303475,32.167625,2.93305,2.0722
17.5432,32.608425,2.9668,2.11205
17.7231,32.631475,2.996325,2.1234
17.83605,32.92945,3.007675,2.134775
17.9214,33.5718,3.0253,2.1837
18.369425,33.848375,3.043675,2.1957
18.485175,33.8711,3.056,2.2025
18.848475,33.908825,3.125725,2.2153
19.244175,33.928975,3.1461,2.23555
19.249425,34.10765,3.198175,2.24335
19.620475,35.2369,3.226375,2.26495
19.74785,35.570325,3.2406,2.283775
20.1827,36.088075,3.259775,2.305825
20.26205,36.104575,3.2741,2.343625
20.34785,36.965825,3.28745,2.350275
20.618,37.037125,3.2975,2.3737
21.64095,37.5149,3.306225,2.382425
21.9866,37.88945,3.31705,2.4032
22.264225,37.9424,3.3347,2.454825
22.31825,38.68715,3.38335,2.4807
22.4429,38.820725,3.4521,2.525575
22.481175,38.96355,3.46305,2.546825
22.490025,39.085475,3.479775,2.5547
22.60985,39.802075,3.488825,2.5634
22.900775,39.993075,3.503825,2.576925
22.91545,40.04245,3.5153,2.586175
22.99295,40.601375,3.5223,2.615275
23.44535,41.201225,3.5309,2.673975
23.478775,41.302825,3.5423,2.679625
23.7338,42.0803,3.5553,2.6817
24.6739,42.3723,3.58705,2.68895
24.845525,43.3884,3.599375,2.70685
25.40595,44.03525,3.613125,2.739475
25.449275,45.431875,3.63535,2.790125
25.5874,45.65585,3.651175,2.809575
26.4914,45.808425,3.725725,2.8602
26.505575,45.917225,3.755675,2.87195
26.550125,46.05315,3.77375,2.885525
26.789275,46.176325,3.7952,2.89285
27.01165,46.18505,3.81355,2.926525
