SPK_SPKC02a (short inhibition),SPK_SPKC04a (inhibited),SPK_SPKC05a (excited),SPK_SPKC07a (short excitation),SPK_SPKC10a (short excitation)
0.01095,0.026825,0.153425,0.048325,0.0182
0.15565,0.062975,0.87895,0.07525,0.036225
0.279875,0.097475,1.217525,0.111475,0.062525
0.297225,0.168525,1.321775,0.113,0.0997
0.330675,0.184175,1.333275,0.119175,0.1809
0.380575,0.2032,1.901275,0.137425,0.211375
0.551275,0.28535,1.9031,0.18585,0.23565
0.5618,0.30195,2.3857,0.244375,0.261275
0.889975,0.355725,2.59395,0.28195,0.293525
0.937975,0.44945,2.6998,0.285375,0.36945
0.951275,0.534075,2.743375,0.327875,0.448125
0.97145,0.576,2.81645,0.361225,0.468175
0.9974,0.58445,2.941025,0.37325,0.55205
1.057025,0.6027,3.1297,0.457325,0.607325
1.1392,0.6531,3.98825,0.5026,0.633025
1.154475,0.6912,4.034425,0.534525,0.662725
1.17745,0.706725,4.685375,0.5803,0.68625
1.212,0.717975,4.698225,0.611225,0.703575
1.56625,0.72755,4.863175,0.61565,0.758675
1.771275,0.779325,5.175525,0.642775,0.7833
1.9121,0.8774,5.49935,0.65025,0.8332
1.965675,0.879,5.8639,0.667325,0.865825
2.041375,0.924975,5.961975,0.715625,0.889325
2.050425,0.944175,6.16725,0.71685,0.91365
2.302775,0.967775,6.187325,0.7727,0.937775
2.3634,1.007075,6.776,0.820975,0.956125
2.378275,1.0673,6.814325,0.85395,0.990375
2.3991,1.081875,7.13125,0.873325,1.017975
2.452075,1.179825,7.562975,0.87895,1.05795
2.487225,1.21085,7.7786,0.903775,1.073325
2.49055,1.227575,7.78085,0.90625,1.08995
2.589,1.26685,8.00265,0.934325,1.1511
2.649625,1.29995,8.0436,0.967975,1.178575
2.6944,1.317175,8.4009,1.02665,1.228475
2.8163,1.345325,8.669475,1.053425,1.2402
2.93945,1.407975,8.898625,1.07685,1.2789
3.016275,1.4838,10.0388,1.118075,1.296625
3.041775,1.557325,10.33615,1.153275,1.350025
3.056625,1.5862,10.351775,1.16505,1.378275
3.103425,1.6346,10.893675,1.179075,1.410275
3.1196,1.668925,10.909925,1.21165,1.441075
3.145425,1.686375,11.28895,1.23505,1.486525
3.205375,1.77005,11.61735,1.29805,1.54695
3.36145,1.8473,11.70465,1.3277,1.575875
3.3747,1.881075,11.7375,1.34735,1.609925
3.3949,1.899725,11.78735,1.353125,1.642275
3.40985,1.9906,12.589575,1.377975,1.680225
3.46785,2.018125,12.82895,1.3799,1.6898
3.543625,2.079875,12.9958,1.434725,1.711375
3.57115,2.12095,13.398,1.469225,1.72765
3.598425,2.19755,13.462575,1.47995,1.790925
3.661275,2.245925,13.66175,1.50115,1.8273
3.868975,2.257275,13.743925,1.510075,1.861525
3.9167,2.283525,13.9251,1.55935,1.915
3.93395,2.35845,14.510875,1.578275,1.920275
4.0642,2.39385,15.423875,1.608775,1.9697
4.067825,2.423025,15.560125,1.624075,2.011025
4.135325,2.46335,15.877575,1.6475,2.064525
4.146475,2.48745,16.24855,1.675075,2.06795
4.1608,2.502175,16.290575,1.7011,2.09535
4.191925,2.61765,16.402225,1.725225,2.15485
4.2218,2.645925,16.46175,1.741725,2.1736
4.2841,2.681675,16.6363,1.7755,2.208025
4.31585,2.718925,16.75625,1.784725,2.25055
4.50805,2.744925,16.980775,1.80255,2.28795
4.5531,2.760325,17.902625,1.827725,2.342025
4.69765,2.85675,18.369775,1.85245,2.364075
4.7658,2.8758,18.741825,1.888125,2.390525
4.775225,2.892925,18.80625,1.8937,2.434175
4.837725,2.994225,18.9507,1.93725,2.4746
4.9138,3.024325,19.298025,1.964375,2.512
5.027,3.0668,19.915575,1.97865,2.56815
5.035575,3.1502,19.9339,1.991275,2.613
5.0861,3.175225,21.30735,1.9967,2.65245
5.095675,3.218175,21.366225,2.02225,2.6807
5.1581,3.2918,21.4247,2.050575,2.764775
5.2002,3.39675,21.545825,2.113325,2.808275
5.2549,3.4411,21.61965,2.115375,2.827775
5.327625,3.49755,21.6868,2.17025,2.848575
5.3697,3.532575,21.715575,2.202925,2.875075
5.39255,3.650925,21.72115,2.212275,2.9172
5.4159,3.676,21.8215,2.21635,2.9463
5.4462,3.79285,22.518175,2.235425,2.992275
5.470275,3.836075,23.05775,2.23695,3.018975
5.48595,3.900325,23.330125,2.26685,3.043625
5.591275,3.958825,23.3848,2.27505,3.106625
5.627225,3.986925,23.73205,2.29285,3.186725
5.687825,4.04745,24.346325,2.31655,3.22135
5.7686,4.081425,24.353925,2.343525,3.2987
5.9376,4.135825,24.399575,2.385725,3.31925
6.056625,4.1688,25.984225,2.40735,3.34705
6.079275,4.226925,26.807075,2.43865,3.379075
6.150725,4.332425,26.9017,2.51025,3.400775
6.1781,4.3733,27.1983,2.512725,3.4241
6.2192,4.4395,27.7841,2.532075,3.45675
6.31175,4.483175,28.268525,2.551075,3.50385
6.329,4.54495,29.3442,2.566475,3.5423
6.68715,4.574675,29.563675,2.58125,3.615775
6.751775,4.60905,29.96725,2.619775,3.6508
6.82235,4.65425,30.187325,2.6243,3.676775
6.83565,4.72885,30.249,2.639625,3.694225
6.84775,4.739825,31.006625,2.6548,3.75885
6.8588,4.7911,31.33075,2.672725,3.776
6.971225,4.811,31.334275,2.68295,3.82265
7.031925,4.842025,31.6509,2.708125,3.8452
7.135,4.86685,31.727225,2.7236,3.876425
7.222475,4.9028,31.74725,2.734625,3.902925
7.23085,4.99285,31.77605,2.762275,3.928075
7.243575,5.00815,32.385975,2.779875,3.95145
7.28115,5.115925,33.233975,2.79165,3.9754
7.3271,5.168825,33.69505,2.813575,3.9966
7.364775,5.17815,34.006675,2.836,4.04005
7.43445,5.222475,34.814275,2.8566,4.062925
7.61935,5.227475,34.905425,2.8764,4.1002
7.62485,5.2549,34.90995,2.898125,4.12275
7.73255,5.31095,34.9836,2.918925,4.177325
7.8234,5.347325,35.4722,2.929525,4.21525
7.87735,5.396225,35.68765,2.954925,4.26485
7.916025,5.44195,35.7413,2.98465,4.319225
7.944675,5.4559,35.7569,3.0002,4.3796
8.073125,5.531275,35.9312,3.007875,4.38945
8.14215,5.53855,35.99275,3.04015,4.4195
8.341,5.564825,36.064675,3.0412,4.449575
8.448075,5.62845,36.584875,3.05245,4.4902
8.470625,5.67905,36.663175,3.06955,4.524075
8.49095,5.73965,36.804,3.07585,4.54685
8.50965,5.745175,36.849475,3.08785,4.6047
8.542175,5.758875,37.0684,3.1233,4.644725
8.641175,5.845725,37.40565,3.129725,4.68515
8.676275,5.891675,37.5136,3.144575,4.7281
8.688025,5.9276,38.26655,3.16395,4.7454
8.772275,5.9541,38.636425,3.1818,4.7765
8.8907,5.97825,39.410175,3.1936,4.80195
8.901525,6.05605,40.156325,3.201325,4.849525
8.933175,6.1055,40.4811,3.223275,4.873675
9.00025,6.1165,41.019925,3.235175,4.89505
9.072125,6.197075,41.138675,3.25435,4.961925
9.111275,6.23125,41.147475,3.256325,4.9984
9.16435,6.25565,41.22575,3.2687,5.0665
9.196,6.288125,41.251225,3.3018,5.10285
9.21715,6.31595,41.25995,3.3044,5.149475
9.25,6.3279,41.307425,3.316325,5.15545
9.320925,6.4003,42.053925,3.360575,5.255225
9.387675,6.437175,42.07965,3.3852,5.281825
9.458075,6.4547,42.140475,3.391575,5.308825
9.46555,6.47305,42.2503,3.407825,5.323075
9.48575,6.532525,43.137125,3.438625,5.40845
9.497625,6.564025,43.62085,3.450475,5.44345
9.530675,6.6023,43.6747,3.480425,5.48575
9.5665,6.614725,43.87495,3.519475,5.526325
9.626675,6.673625,44.927325,3.547675,5.58775
9.663025,6.751875,45.183875,3.575425,5.69825
9.688125,6.8519,45.872975,3.58705,5.796025
9.8257,6.920225,46.873175,3.603475,5.892625
9.928675,6.95915,47.03655,3.6198,5.894075
9.94385,6.97435,47.35365,3.62665,5.897375
9.98305,7.006875,47.46085,3.63675,6.01395
10.00775,7.092425,47.798475,3.673275,6.039375
10.099025,7.10625,47.896525,3.7135,6.077825
10.11785,7.163775,48.380875,3.73405,6.134175
10.17815,7.232325,48.703875,3.7605,6.189475
10.2061,7.2505,48.73205,3.765325,6.2213
10.24775,7.310475,48.760075,3.79955,6.324325
10.258925,7.3377,49.322675,3.8327,6.36545
10.332,7.36665,49.6272,3.8625,6.4726
10.444025,7.40885,49.64075,3.911,6.526325
10.52325,7.41965,50.052325,3.95845,6.54595
10.60625,7.44455,50.1716,3.967675,6.579975
10.7221,7.48985,50.24255,3.988275,6.62775
10.754925,7.5171,50.4789,3.9982,6.708475
10.842375,7.564475,51.21635,4.021,6.764
10.8747,7.604825,51.239175,4.034425,6.8118
10.911625,7.66525,51.79465,4.060825,6.816225
11.006375,7.67635,52.6771,4.121725,6.847225
11.0277,7.70035,52.720025,4.140125,6.87755
11.136025,7.70795,52.72225,4.17165,6.9226
11.588525,7.7208,52.723825,4.18785,7.039
11.6686,7.74935,52.754475,4.2202,7.068325
11.736675,7.792825,52.846,4.228475,7.103375
11.800175,7.845225,52.862275,4.2739,7.1395
11.83955,7.893775,52.916525,4.321925,7.159325
11.861575,7.932175,53.179675,4.3451,7.1738
11.891275,7.95885,53.4598,4.40875,7.183425
11.9118,8.016525,53.90025,4.449225,7.21065
11.9439,8.03465,54.0381,4.4536,7.256225
11.98165,8.03655,54.63665,4.47445,7.2916
12.00715,8.099025,54.82165,4.525375,7.316225
12.053975,8.104025,54.85125,4.547975,7.354975
12.0962,8.112575,54.919975,4.561,7.381225
12.125175,8.136975,54.951975,4.5797,7.420225
12.1481,8.167025,55.529025,4.635075,7.445925
12.231425,8.21825,55.63165,4.670325,7.4628
12.285,8.337175,55.84635,4.7509,7.492975
12.305225,8.339275,56.1334,4.759675,7.517575
12.320075,8.3614,56.2429,4.825175,7.55965
12.535025,8.38155,56.347,4.830725,7.578525
12.5923,8.3849,56.366975,4.89175,7.6037
12.662175,8.45215,56.73375,4.8942,7.621775
12.7499,8.491525,57.131475,4.944775,7.66355
12.7639,8.5128,57.227725,4.967525,7.694225
12.783775,8.52615,57.513975,5.01155,7.7364
12.7893,8.5834,57.6043,5.08905,7.76005
12.810375,8.6079,57.780075,5.110275,7.777475
12.9644,8.70925,57.96815,5.13705,7.82675
13.220225,8.78375,58.130675,5.207375,7.847675
13.235225,8.819375,58.203875,5.22995,7.874175
13.266975,8.825975,58.216125,5.255025,7.904625
13.27655,8.857625,58.2901,5.286575,7.94605
13.33515,8.88055,58.2932,5.302475,7.976225
13.38045,8.977375,58.5721,5.395675,7.99225
13.409825,9.01485,58.63015,5.425275,8.027575
13.42115,9.057,59.6626,5.4514,8.104975
13.4495,9.0813,60.6045,5.5368,8.134675
13.472575,9.091775,60.9537,5.563675,8.1859
13.49525,9.126775,61.20035,5.58675,8.2119
13.51855,9.143825,61.282875,5.5963,8.239125
13.5392,9.191575,61.323325,5.666925,8.2593
13.672075,9.226325,61.33845,5.692975,8.333825
13.769475,9.230275,61.4352,5.706125,8.3736
13.8523,9.234625,61.48075,5.722375,8.4312
13.90285,9.375475,61.61825,5.724925,8.4708
14.063975,9.44915,62.00665,5.76185,8.5426
14.1697,9.490625,62.1192,5.767775,8.57365
14.272775,9.52125,62.315325,5.810825,8.632475
14.32565,9.58565,62.382575,5.8347,8.70685
14.346075,9.60835,62.629375,5.836975,8.7367
14.3893,9.658025,63.132625,5.872825,8.7756
14.497375,9.693125,63.401625,5.88475,8.800375
14.54865,9.719625,64.083825,5.941975,8.8331
14.74375,9.7272,64.315875,5.9642,8.859975
14.786475,9.79035,64.465925,6.0119,8.8836
14.8107,9.8586,64.7563,6.024075,8.892675
14.8399,9.861775,65.110675,6.0517,8.9237
14.920725,9.8691,65.1668,6.069375,8.950725
15.025325,9.90435,65.3482,6.086975,8.9832
15.1064,9.987175,65.356725,6.167275,9.0275
15.1553,9.9915,65.737325,6.1691,9.08495
15.2705,10.0078,65.874975,6.20115,9.118575
15.385575,10.035975,65.930425,6.231575,9.1429
15.422875,10.0961,66.081025,6.252975,9.170525
15.4558,10.149575,66.355975,6.295275,9.176775
15.467375,10.155175,66.3652,6.3337,9.2208
15.6056,10.205275,66.36895,6.354025,9.237275
15.741325,10.242825,66.521975,6.370475,9.27795
15.75805,10.26965,66.63385,6.4429,9.38855
15.8262,10.3189,67.1166,6.473125,9.412725
15.924575,10.344325,67.13205,6.52065,9.432925
15.9972,10.375075,67.286825,6.554825,9.462375
16.04515,10.4012,67.742125,6.574175,9.483675
16.055225,10.408925,68.0911,6.587175,9.522875
16.0718,10.527775,68.097125,6.602825,9.5923
16.230275,10.571975,68.241575,6.61995,9.612225
16.31225,10.604725,68.291775,6.64465,9.6553
16.3642,10.658025,68.63455,6.681575,9.66865
16.414975,10.679975,70.439275,6.685375,9.7227
16.42695,10.694675,70.47665,6.7075,9.744625
16.447,10.7053,70.5913,6.711575,9.77085
16.496175,10.795575,70.8146,6.7412,9.81425
16.52585,10.92285,70.97305,6.7459,9.843
16.6872,10.967475,71.02595,6.804425,9.887675
16.8244,11.016525,71.059275,6.83715,9.9254
16.835225,11.055525,71.644975,6.863925,9.996325
16.8453,11.086825,71.966125,6.87545,10.033825
16.897875,11.091825,72.161075,6.88405,10.083125
