SPK_SPKC04a (no effect),SPK_SPKC05a (excited),SPK_SPKC06a (no effect),SPK_SPKC08a (NA)
0.01935,0.287175,0.0329,0.13365
0.03165,1.160725,0.50095,0.1493
0.0691,1.26375,0.92495,0.1966
0.099025,1.37735,0.98935,0.230675
0.110225,1.4765,1.0621,0.24505
0.1613,1.61545,1.12935,0.5073
0.17385,1.908625,1.254875,0.6074
0.2505,2.070425,1.33655,0.633025
0.320925,2.2137,1.374575,0.801325
0.353725,2.4849,1.6056,1.025075
0.408525,2.512025,1.72015,1.093275
0.4911,2.9757,1.754725,1.16135
0.56725,3.268325,1.9464,1.245025
0.64165,3.441425,1.990325,1.33925
0.758475,3.83585,2.043975,1.4225
0.828,4.01825,2.13845,1.4998
0.942075,4.38705,2.1781,1.69345
1.039375,4.4387,2.269025,1.77335
1.0664,5.092975,2.297225,1.83935
1.1944,5.48865,2.353,2.095675
1.275325,5.58525,2.439975,2.20325
1.330025,5.820525,2.563725,2.31665
1.4131,5.928625,2.650775,2.381925
1.493775,6.14235,2.687475,2.494475
1.54685,6.318375,2.77725,2.596675
1.61805,6.483525,2.9845,2.670375
1.714925,6.56895,3.30905,2.7428
1.807525,6.61895,3.591475,2.81175
1.917725,6.76835,3.641675,2.838625
1.9746,6.8356,4.235475,2.946375
2.052325,6.94715,4.3335,3.1094
2.192225,7.137225,4.67505,3.331425
2.233125,7.248275,4.751075,3.386975
2.311725,7.48165,4.86245,3.4907
2.441725,7.590725,5.28565,3.561575
2.516225,7.800325,5.63195,3.640375
2.613375,7.82995,5.92865,3.6958
2.702625,7.92935,6.1176,3.75505
2.826,8.04135,6.177025,3.933075
2.85615,8.1876,7.564225,4.015575
2.8772,9.082875,7.7281,4.306625
2.9341,9.45115,7.800325,4.336675
2.972925,9.529725,7.9443,4.36975
3.045975,9.5417,9.6307,4.58785
3.179425,9.7715,9.821025,4.75725
3.321725,10.075425,11.88875,4.871475
3.40735,10.177175,12.570975,4.95715
3.452,10.24515,13.427775,5.02225
3.568625,10.31195,13.4945,5.09555
3.6136,10.3661,13.71965,5.191325
3.64875,10.433375,13.928375,5.33185
