SPK_SPKC02a (inhibited),SPK_SPKC07a (inhibited),SPK_SPKC12a (no effect)
1.263925,0.002975,2.039875
1.3015,0.027125,9.341375
2.04945,0.0421,10.27835
2.310625,0.062075,12.073325
2.442875,0.092075,14.51095
3.142625,0.187775,17.4099
4.652,0.2253,18.6218
6.51795,0.26735,21.81525
7.431725,0.3034,22.71475
8.41815,0.31875,26.28475
9.67665,0.340725,36.103275
9.957925,0.35955,41.578475
10.216975,0.4191,44.21145
10.3677,0.43195,77.0432
10.6204,0.443475,111.18855
10.713375,0.45815,113.230325
11.11175,0.472825,116.42025
11.277275,0.5689,127.943025
11.478375,0.5811,136.041525
11.73895,0.5999,138.056675
11.84745,0.612025,140.75895
12.353975,0.639375,153.270325
12.4117,0.689825,160.170525
12.4853,0.705225,160.822725
12.653375,0.7214,163.091925
12.722075,0.7441,163.8284
12.944775,0.774375,169.634275
13.05125,0.8431,169.674075
13.133325,0.871925,173.987125
14.001325,0.90065,177.186925
14.221575,0.91345,177.54155
14.58285,0.953875,177.6468
14.691925,0.968875,181.35505
14.7723,0.984625,202.566525
14.98865,1.02655,208.23485
15.045975,1.062875,210.458525
15.312825,1.07895,211.8677
15.574275,1.0903,212.4865
15.961625,1.106875,222.03535
16.000125,1.17485,226.0293
16.199725,1.204125,226.52615
16.42725,1.2349,226.781725
16.742125,1.3079,227.00355
17.044975,1.328075,229.35625
17.06165,1.34655,230.6174
17.219375,1.371575,236.4557
17.4283,1.383475,241.35
17.859025,1.404475,245.7809
18.285125,1.4165,247.862225
18.326425,1.439625,250.520425
18.585225,1.452675,254.786075
18.720825,1.46845,256.995075
18.773125,1.485175,257.1689
18.8107,1.49725,257.693375
19.006075,1.506675,258.6911
19.046725,1.5349,259.089775
19.153925,1.5898,259.161025
19.3947,1.603125,261.69935
19.584275,1.6132,265.43405
19.6399,1.6269,266.4678
19.9989,1.642125,267.107025
20.34505,1.6561,267.609125
20.63025,1.675625,267.980425
20.732675,1.691825,268.21935
20.819975,1.7055,275.6038
20.845425,1.721175,276.951175
21.02395,1.7486,288.160025
21.09095,1.762725,289.380475
21.120075,1.782625,291.24495
21.6826,1.794725,293.03365
21.72205,1.82085,293.063325
21.841425,1.844075,293.418875
22.206925,1.87495,294.19835
22.393825,1.892725,294.564775
22.8086,1.929675,300.058425
25.13555,1.947975,308.887325
27.382875,1.972875,310.6255
28.039825,1.983275,310.842175
28.378375,2.011025,312.01355
32.895625,2.022025,312.711175
35.6359,2.0417,313.889775
35.747725,2.060025,321.75175
36.960675,2.089,322.886525
37.01705,2.103375,323.888975
37.235825,2.1154,324.709075
37.616825,2.154975,327.142775
38.116025,2.1671,332.130275
38.21775,2.183375,339.81225
38.870275,2.203275,339.929675
38.941,2.21595,349.154925
39.5103,2.23725,350.0296
39.650975,2.251825,350.2019
39.734925,2.267075,350.3664
39.8035,2.30615,352.106325
40.415525,2.33225,353.416675
40.607725,2.35685,355.367075
41.18855,2.36795,355.700875
41.3286,2.384125,356.56255
41.455275,2.399175,357.859725
41.550325,2.41935,359.734925
41.869625,2.435025,359.736775
42.048625,2.47205,359.8897
42.0841,2.484775,363.493725
42.603775,2.52085,363.553225
42.68985,2.5338,364.950325
42.742225,2.56535,365.8537
42.84705,2.58185,373.283325
43.121125,2.597425,373.413125
43.33345,2.612875,373.48645
43.539675,2.627875,375.343825
43.592775,2.64415,375.6747
43.993025,2.66215,521.342975
44.5774,2.6811,558.380375
44.6265,2.738925,587.084425
44.650075,2.763525,592.448275
45.030875,2.776875,593.899175
45.049325,2.81035,615.944725
45.6203,2.845275,624.642
45.720075,2.8689,630.3554
45.740625,2.911375,637.45425
45.76295,2.93385,638.42605
45.978175,2.9757,639.0207
46.129225,2.99365,641.315425
46.2808,3.008,650.760375
46.405225,3.055325,650.876675
46.481,3.07505,651.06855
46.702875,3.102925,660.17845
46.7494,3.117525,661.320675
47.411725,3.1463,666.2333
47.43715,3.18385,675.1023
47.483425,3.20095,696.369825
47.7664,3.236525,697.346
47.79855,3.25675,701.0517
47.826575,3.293325,701.81485
48.1963,3.32185,720.71075
48.80215,3.34085,722.1848
48.856325,3.35525,722.32695
49.03275,3.37965,722.5415
49.034075,3.40835,722.7671
49.545225,3.430325,722.8935
49.7653,3.460025,723.11925
50.12235,3.4914,723.242325
50.2882,3.50525,723.4799
50.435325,3.528725,723.605925
50.52725,3.5645,723.748875
50.803125,3.596075,723.888825
51.5813,3.62605,723.96465
51.620175,3.670725,724.016225
51.6224,3.689525,724.208975
51.8613,3.701725,724.2534
52.121625,3.71555,724.306025
52.365975,3.74615,724.487175
52.4561,3.7669,724.52755
52.56525,3.78345,724.735775
52.574025,3.824275,724.8917
52.733525,3.8786,725.020575
52.796325,3.891225,730.201225
52.866575,3.91305,732.696375
52.902475,3.935925,734.6703
53.402625,4.003125,735.273775
53.45495,4.017525,735.326225
54.233625,4.025325,735.4246
54.33835,4.0391,741.520425
55.07065,4.0831,741.662775
55.09255,4.112575,742.526275
56.91725,4.129825,742.598825
57.7168,4.1536,742.61815
57.787775,4.188825,742.709125
58.172925,4.199525,742.83745
58.52,4.2178,742.864225
58.5812,4.239425,742.9202
58.668525,4.274675,742.991825
58.9727,4.286275,743.005425
59.151675,4.365775,743.09365
59.19635,4.3933,743.3683
59.22705,4.432025,743.496325
59.4749,4.45065,743.5746
59.556125,4.4707,743.613775
59.643825,4.497,743.815425
59.719575,4.5159,743.84675
59.76055,4.5349,744.104525
59.8729,4.549825,744.2866
59.9957,4.57,744.923425
60.016275,4.5901,745.151075
60.112875,4.62485,745.17885
60.19595,4.639075,745.19125
60.2202,4.6499,745.268075
60.3132,4.662075,745.30315
60.391875,4.6832,745.343825
60.442375,4.698425,745.430625
60.56095,4.713675,745.454925
60.604625,4.735775,745.480325
60.682575,4.761475,745.626825
60.96315,4.797225,745.638525
61.019975,4.821625,745.67355
61.148175,4.8376,745.764375
61.4447,4.851225,745.811475
61.727875,4.8668,745.9019
61.808175,4.8791,745.9808
61.929225,4.8987,746.100275
62.086175,4.932675,746.266825
62.13115,4.952175,746.345975
62.683925,4.983375,746.3793
62.72475,5.01035,746.538675
63.0638,5.034575,746.585025
63.321025,5.062975,746.652675
