SPK_SPKC02a (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (inhibited)
0.078675,0.020225,0.00315
0.14415,0.028775,0.0325
0.189575,0.041125,0.1068
0.191925,0.080425,0.123225
0.2916,0.105575,0.1358
0.429175,0.123075,0.172675
0.514625,0.155,0.187275
0.63465,0.17905,0.197625
0.648925,0.20175,0.237575
0.71585,0.20885,0.27025
0.78085,0.20995,0.305875
0.900975,0.221825,0.34005
1.024925,0.23275,0.376625
1.3181,0.2433,0.39815
1.624175,0.262,0.425175
1.80765,0.271475,0.438175
1.8703,0.278325,0.5397
1.941875,0.287775,0.581225
1.970975,0.2985,0.616125
2.12505,0.317225,0.661175
2.1735,0.33065,0.67165
2.1911,0.3478,0.694175
2.28805,0.3649,0.77995
2.4183,0.3716,0.8082
2.505425,0.386075,0.81815
2.671125,0.412475,0.84375
2.70985,0.431825,0.874025
2.89875,0.45985,0.886675
3.0087,0.47105,0.958225
3.018325,0.48515,0.9994
3.0781,0.4911,1.059725
3.143425,0.515275,1.0872
3.170275,0.5237,1.149275
3.17605,0.56315,1.160575
3.2519,0.585775,1.207825
3.796475,0.599075,1.2742
3.878325,0.639725,1.27805
4.017675,0.6666,1.30215
4.040325,0.692675,1.30895
4.086075,0.715275,1.409625
4.20155,0.733725,1.48095
4.439375,0.763625,1.501025
4.47765,0.78025,1.553
4.514675,0.810175,2.074325
4.734,0.826,2.1213
4.7983,0.8525,2.175575
4.872675,0.8975,2.332075
4.955125,0.938275,2.372975
5.300175,0.948875,2.418075
5.4218,0.96955,2.46555
5.46445,1.0399,2.53145
5.494775,1.060825,3.03335
5.66075,1.07025,3.274575
5.7453,1.09285,3.378525
5.839825,1.102575,4.9286
6.03425,1.10455,5.442425
6.085825,1.123925,8.8506
6.155575,1.161325,10.224875
6.2128,1.169625,10.550775
6.24315,1.175275,10.56085
6.311925,1.1886,10.89025
6.3492,1.21375,11.279025
6.375025,1.21905,11.3762
6.5848,1.2391,11.533225
6.9357,1.269925,11.745175
6.941675,1.278825,12.922675
7.3893,1.288925,14.457525
7.4202,1.325825,14.5241
8.134175,1.381075,14.8662
8.3402,1.395975,14.992125
8.39905,1.41175,15.079075
8.46325,1.43115,15.459875
8.537075,1.4499,15.82565
8.902625,1.454275,15.85635
8.9466,1.4862,15.912075
9.052125,1.4955,16.78425
9.071575,1.51465,18.341975
9.3672,1.5323,18.60395
9.5814,1.5636,19.62985
9.636275,1.58395,19.888675
9.762525,1.601025,19.9066
10.511025,1.612875,22.0619
10.871625,1.636725,22.808925
11.186,1.684975,24.6611
11.310875,1.69305,25.0321
11.620825,1.7691,27.666625
11.690875,1.781025,28.6665
11.752075,1.817625,29.16805
11.7549,1.8296,29.36035
11.78265,1.8564,29.8114
12.14675,1.868125,30.432075
12.371075,1.918275,30.696675
12.417475,1.945375,32.144725
12.434625,1.955275,33.556075
12.673175,1.96215,34.443575
12.674975,1.979025,35.00715
12.724525,1.992275,35.05065
12.919875,2.00565,35.2665
12.960475,2.036325,36.022625
13.01695,2.047175,36.9196
13.218675,2.081525,38.54115
13.249125,2.127175,39.51545
13.259025,2.143125,41.737825
13.277925,2.164975,42.352625
13.38695,2.18215,42.464325
13.5557,2.20665,43.912925
13.56225,2.239075,44.668525
13.58935,2.2429,45.178625
13.72185,2.252925,45.681575
13.737725,2.2757,46.69285
13.905625,2.3345,47.9055
13.9374,2.3694,47.941275
13.957825,2.419825,48.21015
13.988075,2.429975,48.94605
14.020525,2.451725,50.71115
14.1973,2.464825,51.516575
14.464275,2.523325,54.618725
14.47535,2.5361,55.135
14.540525,2.572175,55.410125
14.582425,2.5977,58.481625
14.6914,2.633025,59.127675
14.856125,2.678375,61.707575
15.01935,2.689225,62.2365
15.347225,2.734725,62.5398
15.38555,2.770725,62.69905
15.57925,2.790225,63.48305
15.693125,2.8101,63.6176
15.761425,2.849875,64.4233
15.8339,2.879725,64.953625
16.2607,2.93345,65.2373
16.28415,2.967975,66.48745
16.29885,3.033925,69.856925
16.4116,3.0652,70.534575
16.6289,3.08565,71.182925
16.67125,3.10955,72.3729
16.6881,3.140625,72.7905
16.97025,3.167475,73.355225
17.045575,3.1878,73.610425
17.053875,3.20205,73.949325
17.083875,3.2264,74.557275
17.68005,3.25095,74.78625
18.0352,3.2734,77.445
18.48245,3.295025,77.899525
18.700125,3.3176,77.956725
18.731325,3.361225,79.252925
18.761075,3.437225,79.74405
18.76525,3.45885,80.352675
18.936725,3.517575,81.463975
18.953375,3.556875,81.6435
19.048175,3.60845,81.7308
19.926025,3.6409,81.75805
20.32455,3.68715,81.926675
20.344025,3.756325,82.180825
20.4124,3.77605,82.220875
20.531175,3.80945,83.319375
21.1244,3.8934,83.673825
22.2086,3.9137,84.82015
22.301325,3.98395,85.700375
22.3472,4.0545,85.706875
22.562825,4.091425,85.709675
23.36375,4.105425,85.723475
23.97915,4.1692,85.7654
24.9239,4.2273,85.790375
25.464425,4.2831,85.811475
25.9105,4.296275,85.820675
25.995775,4.4328,85.906625
26.010725,4.48605,85.9333
26.0598,4.52515,85.94405
26.184375,4.526425,85.99075
26.254075,4.55805,86.004875
26.418025,4.605625,86.01505
26.673525,4.616425,86.025025
26.7249,4.686275,86.0654
27.014775,4.74,86.1062
27.01885,4.8105,86.13625
27.073725,4.88225,86.158
27.141575,4.95605,86.19755
27.566425,4.9968,86.22095
28.0988,5.030225,86.26665
28.16045,5.08925,86.29255
29.345925,5.102275,86.375
29.49795,5.16755,86.4009
30.356625,5.18165,86.54215
30.617825,5.208925,86.549575
30.744825,5.272775,87.132225
30.863025,5.3029,87.185375
30.916725,5.35485,87.23475
30.936825,5.431625,87.24365
30.99085,5.535875,87.3379
31.050875,5.62655,87.45335
31.1767,5.653025,87.497775
31.877625,5.72045,87.555625
32.487975,5.7605,87.584725
32.92905,5.915625,87.726975
32.9416,5.9835,87.92965
34.4265,6.0168,88.3774
34.85385,6.0427,88.807725
35.538325,6.068425,90.31585
35.783975,6.199875,90.47385
35.96725,6.396725,90.933675
36.816875,6.541625,90.960125
36.9524,6.593425,91.760725
36.998725,6.64875,92.2006
37.159775,6.673225,92.25515
37.2764,6.718825,92.479525
37.323125,6.764725,92.808025
37.501775,6.7827,92.82695
37.555625,6.82,92.96255
37.65155,6.87045,93.0458
37.81625,6.988375,93.105675
37.84795,7.0369,93.2959
37.862875,7.26445,93.424
37.9862,7.380675,93.493425
38.019475,7.506375,93.9757
38.06445,7.60805,94.071025
38.08355,7.8074,94.46455
38.333925,7.825325,94.48795
38.391725,7.947475,96.86515
38.51625,8.07275,97.152375
38.61935,8.282175,98.435875
38.63595,8.34535,99.141925
38.681375,8.385975,99.783725
38.7406,8.429525,101.7791
38.780975,8.481675,102.3788
38.804925,8.50035,103.39645
38.974725,8.514675,104.310725
39.243425,8.5439,106.603725
39.316225,8.68015,106.686475
39.41255,8.7046,106.794075
39.555025,8.81425,107.698275
39.634575,8.854975,108.30835
39.919825,8.856825,108.900075
39.9943,8.905525,109.665325
40.069,8.93245,109.769225
40.230675,8.97055,109.89775
40.315075,9.030625,110.422025
40.318725,9.0575,110.6592
40.32385,9.098825,111.059525
40.425275,9.1267,112.4057
40.542475,9.151625,112.78265
40.77385,9.209575,112.96485
40.818425,9.238775,113.138325
40.92585,9.30125,114.021625
40.9357,9.331925,114.1932
40.9881,9.368425,114.3265
40.991125,9.393525,114.938775
41.440375,9.433025,115.06895
42.576575,9.4577,115.6384
42.634625,9.482575,116.131375
42.8536,9.493475,116.84925
43.245725,9.508925,117.341175
43.2766,9.552725,118.13855
43.3633,9.572475,118.2273
43.51855,9.60005,120.045875
43.685225,9.731425,122.6493
43.824575,9.764325,123.304175
44.071025,9.82585,123.924725
44.296275,9.87435,124.933275
44.678875,9.89215,126.4822
44.887025,9.938125,127.17815
45.018375,9.9768,127.424425
45.11045,10.02075,127.6297
45.3349,10.035775,127.723125
45.605125,10.093925,128.53425
45.807825,10.186125,128.9725
45.84545,10.280925,130.52895
45.911175,10.32865,130.827275
45.924825,10.391325,131.222025
46.060175,10.44895,131.4995
46.20145,10.48395,131.678125
46.308225,10.6661,132.418425
46.48475,10.72115,133.3639
46.587325,10.74265,133.5421
46.611775,10.831025,133.770375
46.653625,10.91055,134.13035
46.682275,11.071075,134.4461
46.795925,11.178175,134.662725
47.089225,11.2792,135.50875
47.850375,11.312,135.9617
47.89535,11.3551,136.4474
48.0226,11.43745,136.791575
48.0403,11.477875,137.3455
48.293725,11.52035,140.34455
49.076975,11.5788,141.35575
49.16155,11.611975,141.62155
49.2931,11.6732,141.817675
49.53815,11.717475,143.39345
49.548025,11.7375,143.7218
49.71165,11.768725,143.96385
49.742625,11.797725,144.3817
49.7848,11.821725,144.8479
49.90905,11.869575,146.188725
50.0015,11.9061,146.6685
50.097975,11.9694,146.80555
50.29455,12.033025,147.701675
50.652525,12.104775,147.711875
51.227475,12.12505,147.7324
51.23295,12.141575,147.76805
51.2932,12.196925,147.793775
51.5643,12.22255,147.833525
51.5795,12.249725,147.844625
52.37145,12.271375,147.894175
52.52455,12.3174,147.913025
52.593675,12.3543,147.915925
52.701475,12.368125,147.929525
52.83685,12.409325,147.96925
53.414,12.42785,147.99695
53.771925,12.453375,148.015525
54.175775,12.46715,148.078625
54.237725,12.55815,148.09145
54.2944,12.600175,148.100625
54.55395,12.681525,148.13365
54.598625,12.711625,148.16925
54.64515,12.7742,148.1929
55.04775,12.80075,148.1979
55.0567,12.827275,148.2442
55.32575,12.9058,148.283075
55.3724,12.971875,148.299525
55.429975,13.021175,148.310625
55.7999,13.059175,148.352425
56.442675,13.107325,148.402
56.8726,13.1698,148.415475
57.2057,13.21715,148.438725
58.016775,13.23705,148.453575
58.0723,13.2644,148.50505
58.0951,13.314125,148.5265
58.144475,13.37355,148.544075
59.26595,13.42815,148.580975
59.84045,13.46005,148.613875
59.905025,13.54715,148.640625
60.43805,13.60575,148.659775
60.472975,13.6389,148.68545
61.028375,13.662975,148.708675
61.067075,13.7124,148.7238
61.225625,13.7476,148.7256
61.265825,13.82425,148.74525
61.413825,13.8458,148.7544
62.1934,13.869425,148.771225
62.229925,13.9237,148.78845
62.247025,13.994425,148.810825
62.2568,14.01885,148.820075
62.295125,14.049325,148.8475
62.32655,14.0757,148.866775
62.351775,14.130975,148.9213
62.36185,14.157075,148.977675
62.43375,14.220075,148.98825
62.4725,14.2552,148.992325
62.488975,14.2919,149.050475
62.501175,14.33045,149.067725
62.5052,14.38775,149.094375
62.613875,14.474375,149.1864
62.616175,14.546925,149.195175
62.63965,14.5919,149.24185
62.7976,14.62775,149.26745
62.874325,14.698025,149.2846
62.970625,14.7262,149.3013
62.9905,14.791775,149.314125
63.02605,14.8804,149.398725
63.042225,14.943325,149.400075
63.0954,14.981525,149.46025
63.14025,15.03095,149.4882
63.1758,15.10235,149.564425
63.420725,15.135075,149.96675
63.484125,15.20215,149.99095
63.504525,15.250625,150.03485
63.614075,15.287475,150.038875
63.61785,15.3613,150.0493
64.058875,15.465325,150.081325
64.549975,15.532075,150.1881
65.030525,15.576625,150.28005
65.0484,15.63325,150.3239
65.5909,15.78605,150.3635
66.547525,15.812275,150.46775
66.738875,15.838,150.5824
66.84265,15.872625,150.61445
67.23425,15.909275,150.749
67.563125,15.92755,150.90745
68.271925,15.9431,151.80745
68.538775,15.948925,152.226875
68.548525,15.960625,152.267675
68.58475,15.971775,152.470375
68.622475,16.000275,152.75185
68.655075,16.011875,153.237075
68.705225,16.026625,153.287875
69.271125,16.05225,153.289825
69.494325,16.058525,153.5648
70.083525,16.0706,153.912075
70.43305,16.0732,153.98135
70.528625,16.097175,154.067625
70.547375,16.11785,154.2996
