SPK_SPKC05a (excited),SPK_SPKC07a (excited),SPK_SPKC08a (inhibited),SPK_SPKC13b (no effect),SPK_SPKC16a (excited)
0.19615,0.031275,0.032625,0.015675,0.080525
0.32905,0.14085,0.099175,0.038625,0.10125
0.377875,0.329075,0.1725,0.064325,0.18825
0.424,0.483275,0.28105,0.115775,0.201325
0.5365,0.543875,0.36295,0.184325,0.210675
0.6657,0.661475,0.397625,0.21175,0.242975
0.721275,0.75365,0.571525,0.234725,0.2908
0.7484,0.819725,0.648625,0.2718,0.30425
0.91805,0.939425,0.737925,0.32445,0.3781
1.070175,1.055575,0.8247,0.364475,0.407125
1.154625,1.100775,0.8811,0.397375,0.4191
1.41855,1.13285,1.045475,0.465175,0.44485
1.47475,1.18315,1.258575,0.502975,0.4623
1.5374,1.262475,1.33045,0.540075,0.504825
1.5806,1.341525,1.356175,0.5987,0.586775
1.644475,1.36855,1.41655,0.62615,0.618875
1.722225,1.42265,1.4892,0.672375,0.636825
1.877,1.695,1.58455,0.72475,0.6531
1.9135,1.75445,1.67235,0.752725,0.672225
1.938425,1.84645,1.710825,0.780175,0.675625
1.9666,1.889325,1.8136,0.8863,0.679775
2.134825,2.0667,1.863725,0.918975,0.767225
2.22,2.192925,1.922625,0.97445,0.82705
2.291725,2.263825,2.067825,0.988425,0.83685
2.393175,2.5202,2.14435,1.030675,0.844275
2.72415,2.576275,2.212525,1.05775,0.8642
2.754425,2.633625,2.268625,1.069875,0.871525
2.785375,2.740975,2.363675,1.092475,0.87815
2.83925,2.87505,2.539975,1.1026,0.88985
2.945825,2.956225,2.6205,1.1144,0.90115
3.0308,3.06525,2.6522,1.13155,1.072725
3.083675,3.17825,2.701175,1.133375,1.0785
3.110325,3.211025,2.732625,1.204625,1.0835
3.198175,3.248475,2.85815,1.233425,1.0973
3.2593,3.4685,2.994375,1.25255,1.114475
3.302625,3.5075,3.1137,1.279625,1.124925
3.3738,3.543825,3.19905,1.32185,1.13015
3.703025,3.733,3.2553,1.35625,1.200675
3.773675,3.91755,3.291625,1.42145,1.225
3.9871,4.112775,3.396975,1.43855,1.255
4.22575,4.177425,3.485825,1.475875,1.277675
4.276,4.415625,3.522225,1.496825,1.345675
4.3174,4.773825,3.5719,1.514475,1.35275
4.383775,4.829875,3.724675,1.58065,1.38915
4.628625,5.00805,3.8798,1.602225,1.418925
4.686975,5.053,3.970225,1.6297,1.514775
4.72515,5.099,4.15445,1.64935,1.5255
4.880325,5.178375,4.199275,1.66255,1.5503
5.219975,5.32015,4.270475,1.6982,1.567175
5.255525,5.3933,4.6002,1.754,1.63155
5.329275,5.58995,4.64685,1.767875,1.649025
5.562375,5.647475,4.81995,1.7991,1.66135
5.6386,5.710025,5.018125,1.822825,1.6937
5.74885,5.778475,5.127425,1.859475,1.710375
5.868925,5.8049,5.33535,1.88115,1.71685
5.918325,5.9272,5.391625,1.901625,1.724625
