SPK_SPKC01a (inhibited),SPK_SPKC04a (excited),SPK_SPKC07a (excited),SPK_SPKC12a (NA)
0.0071,0.0552,0.523425,0.002675
0.01255,0.064425,1.460375,0.011575
0.0156,0.0719,4.046825,0.021275
0.019975,0.101475,4.1957,0.024625
0.080175,0.12165,4.435025,0.0458
0.091,0.161175,6.14155,0.05055
0.103775,0.182825,7.70895,0.076275
0.107225,0.1985,8.95195,0.1053
0.117925,0.246975,9.471575,0.1132
0.124275,0.28215,9.562575,0.121975
0.1496,0.31085,9.671025,0.12625
0.17105,0.33595,9.910325,0.149875
0.178225,0.367525,10.4699,0.156525
0.18825,0.4403,11.548675,0.1903
0.214475,0.49715,12.2095,0.1941
0.254275,0.5213,13.098275,0.208325
0.285775,0.5844,13.86925,0.222725
0.295275,0.72445,14.61725,0.22645
0.30755,0.76885,16.63805,0.231375
0.324525,0.78385,17.216875,0.23495
0.33605,0.81045,17.30885,0.25365
0.353475,0.8152,17.7063,0.29345
0.373225,0.8343,20.21995,0.301775
0.405025,0.8684,20.390825,0.3077
0.455375,0.9206,20.712025,0.3133
0.4815,0.939675,20.784775,0.3298
0.49875,0.952925,21.41725,0.342025
0.50785,0.957625,22.109925,0.70675
0.518525,0.97985,23.69815,0.77045
0.580875,0.99065,23.987875,1.48055
0.58985,1.023675,24.0162,1.7224
0.6305,1.04925,24.3571,3.969775
0.656575,1.090775,24.63635,4.1429
0.6663,1.129025,24.7283,4.145375
0.6704,1.146425,25.0286,4.14775
0.769825,1.231875,25.406275,4.148875
0.800575,1.24635,25.87445,4.1503
0.82015,1.2847,26.428625,4.1527
0.8591,1.303575,26.615025,4.155225
0.873525,1.352025,27.4059,4.166475
0.89195,1.3875,27.548325,4.171975
0.905525,1.405,27.784025,4.175975
0.93675,1.431925,28.638975,4.1788
0.9429,1.45445,28.78765,4.18235
0.96025,1.49015,29.2111,4.18715
0.985025,1.537525,29.276125,4.216925
1.000575,1.561875,29.39355,4.22395
1.048375,1.579525,29.773025,4.244775
1.071225,1.589975,30.03055,4.254875
1.095925,1.605,30.217375,4.269425
1.107,1.616575,30.338,4.273425
1.121375,1.628625,30.904675,4.30385
1.13465,1.6652,31.267875,4.311775
1.156,1.705025,31.657425,4.39205
1.197125,1.723375,31.75065,4.4173
1.2209,1.745525,31.8936,4.492
1.230075,1.783925,32.024075,4.642425
1.242875,1.80715,32.281875,4.64515
1.27275,1.812575,32.571025,4.64785
1.31955,1.850575,32.73055,4.650125
1.34525,1.87025,33.589375,4.65455
1.36025,1.981875,33.63045,4.659875
1.39585,2.006375,33.874,4.662575
1.460625,2.01745,34.92655,4.672625
1.49295,2.054775,37.347975,4.6794
1.504625,2.116075,37.668475,4.68895
1.52515,2.191825,37.806325,4.69455
1.552025,2.231075,39.81415,4.69765
1.563475,2.25265,40.730175,4.701075
1.568425,2.27745,41.00185,4.704325
1.585675,2.368575,41.095875,4.727275
1.60185,2.426075,41.3764,4.73025
1.614725,2.464575,41.64165,4.74225
1.6304,2.505425,41.89915,4.7505
1.654325,2.535725,42.13825,4.7608
1.707475,2.59225,42.439725,4.763175
1.786525,2.670175,42.555525,4.767225
1.821675,2.68785,42.79575,4.7715
1.8742,2.712775,42.98705,4.786725
1.9042,2.759975,43.1711,4.7907
1.919225,2.78465,43.3054,4.80485
1.935825,2.801825,43.810575,4.81325
1.969475,2.82045,44.543725,4.838675
1.984075,2.83665,44.843825,4.842475
2.017125,2.845,45.05995,4.8513
2.0359,2.872525,45.37355,4.88305
2.056375,2.904875,45.505425,4.91015
2.104475,2.940325,45.933625,4.9284
2.12095,2.9597,46.173875,4.937675
2.142725,2.98975,46.3999,4.95435
2.155075,3.045025,46.7196,4.982725
2.179325,3.0859,46.863875,4.9989
2.1983,3.110075,47.034425,5.00445
2.200825,3.1726,47.2805,5.018225
2.2126,3.2017,47.588375,5.04515
2.31185,3.234575,47.889925,5.052725
2.333425,3.262725,48.975925,6.067025
2.344825,3.277375,49.1388,6.3006
2.36375,3.2886,49.1403,6.3079
2.374075,3.300825,49.42435,6.310425
2.397475,3.334775,49.70005,6.313175
2.45375,3.429125,49.77195,6.318725
2.51945,3.460625,49.985725,6.333075
2.536725,3.497825,50.224125,6.34005
2.55765,3.520975,50.789275,6.3515
2.58835,3.557825,51.105675,6.35435
2.6087,3.5864,51.322275,6.363825
2.627625,3.61575,52.617225,6.3741
2.6834,3.631025,52.8406,6.3834
2.69795,3.6515,53.020925,6.38705
2.71135,3.684325,53.25395,6.39125
2.77855,3.717125,53.375075,6.417725
2.802275,3.72935,53.503675,6.421725
2.812725,3.7645,53.6955,6.44795
2.865325,3.79515,53.861875,6.455475
2.867725,3.81525,54.0767,6.45965
2.923575,3.831,54.34515,6.471925
2.9515,3.843125,54.740675,6.475375
2.975575,3.847175,55.08815,6.48305
3.001275,3.89365,55.711425,6.5145
3.021425,3.9102,56.915725,6.518475
