SPK_SPKC01a (NA),SPK_SPKC10a (no effect)
0.08925,0.686525
0.109125,0.821225
0.32715,1.15115
0.3778,2.745575
0.39855,3.32195
0.429175,3.3528
0.462825,3.3608
0.47555,4.433625
0.527075,4.789575
0.533675,6.21785
0.677475,6.458325
0.74155,6.61965
0.744375,7.3017
0.8328,7.326075
0.8856,7.64275
0.93045,7.75815
0.933125,8.401
0.977225,8.80175
0.995675,9.3589
1.021825,10.7132
1.026825,11.2664
1.1292,11.31365
1.150575,13.6705
1.156375,13.76035
1.1607,14.372575
1.196925,14.64625
1.201275,14.919075
1.264075,15.191175
1.27555,15.220775
1.318975,15.338575
1.338275,16.489775
1.38045,16.7844
1.386425,16.907425
1.40845,17.137225
1.46595,17.79945
1.545025,19.407675
1.55505,20.0031
1.57415,20.077425
1.591075,20.43175
1.611375,20.455025
1.622275,20.736025
1.6432,20.851775
1.6457,21.073525
1.693375,21.444
1.72335,21.754025
1.757675,22.235575
1.765775,23.156275
1.77095,23.37775
1.79735,23.666325
1.840875,23.9576
1.863525,24.0561
1.908475,24.2242
1.913475,24.319625
2.01825,24.498575
2.085275,25.3535
2.096175,25.5106
2.199625,25.563725
2.27075,25.6005
2.339675,25.720525
2.3477,25.72665
2.408025,25.77705
2.424875,26.072575
2.44765,26.24705
2.4595,26.433325
2.58585,26.735775
2.6782,26.7527
2.777375,27.210025
2.783975,27.267875
2.80005,27.5395
2.852025,27.570275
2.8578,27.7472
2.91325,27.76925
3.075875,27.819875
3.087775,28.081
3.1066,28.199675
3.12145,28.3363
3.17295,28.550175
3.240775,28.60855
3.2592,28.866925
3.269625,29.181975
3.303875,29.426975
3.334725,29.446725
3.406675,29.4655
3.40995,29.47985
3.445725,29.677775
3.452875,29.78945
3.4921,29.979975
3.49855,30.524475
3.54045,30.780875
3.642175,30.809275
3.687675,31.3078
3.6924,31.8065
3.768025,31.8812
3.78205,31.938
3.850725,31.972575
3.856175,32.3716
3.912925,32.609475
3.95385,32.7203
4.0607,33.223
4.06745,33.2794
4.089075,33.4021
4.1127,33.664525
4.120025,34.254725
4.251775,34.28095
4.259175,34.32565
4.300575,34.3368
4.306275,34.394975
4.352,34.680975
4.355575,34.99035
4.3826,35.234575
4.41145,35.33745
4.493425,35.453825
4.5134,35.652425
4.539,35.668075
4.604875,35.67555
4.6872,35.688875
4.715825,36.053625
4.75235,36.112475
4.755675,36.630575
4.762,36.86235
4.7975,37.141475
4.896025,37.4119
4.9625,37.800575
5.0439,38.1187
5.070925,38.767175
5.109025,38.788625
5.114375,38.810925
5.1236,38.83375
5.131225,39.20175
5.388475,39.2789
5.408125,39.48855
5.479625,39.60185
5.52515,39.638025
5.64205,39.64035
5.662425,39.665875
5.665525,39.902
5.743225,40.127325
5.806275,40.198875
5.817425,40.295975
5.8611,40.489075
5.906275,40.495925
5.913675,40.515725
6.053325,40.6108
6.07015,40.6989
6.088375,40.86075
6.101775,40.93
6.223575,40.956425
6.2508,40.978275
6.252675,41.230775
6.26815,41.266275
6.279975,41.316
6.360475,41.480675
6.474375,41.526125
6.539625,41.598875
6.57035,41.6103
6.586625,41.619175
6.59445,41.9766
6.596225,42.015575
6.61215,42.03385
6.627975,42.03515
6.73175,42.184675
6.759875,42.2471
6.763225,42.369675
6.767625,42.703875
6.849725,42.71565
6.90015,42.8437
6.915825,42.97745
6.919025,42.989675
6.952725,43.0471
6.975075,43.059675
7.001925,43.141575
7.16005,43.65605
7.177,43.661375
7.219175,43.67375
7.2794,43.7952
7.29745,43.849325
7.3094,43.897875
7.34785,43.93145
7.352725,44.1452
7.3657,44.259375
7.38285,44.372
7.415125,44.570025
7.473025,44.6178
7.48225,44.77905
7.50555,44.801
7.5624,44.814425
7.59695,44.9309
7.624,45.0666
7.6735,45.182975
7.731375,45.1894
7.8729,45.1992
7.892125,45.387375
7.919625,45.49395
7.954,45.515925
8.055075,45.545675
8.093775,45.592275
8.098475,45.5992
8.14925,45.6207
8.19425,45.642625
8.27805,45.67135
8.34675,45.69045
8.3902,45.726825
8.394425,45.74835
8.46655,45.862075
8.47875,45.884825
8.484775,45.895375
8.492625,45.935975
8.578875,45.961125
8.5958,46.079175
8.69585,46.0862
8.727225,46.10155
8.761125,46.1161
8.9023,46.1344
8.9738,46.1474
9.04255,46.17995
9.187,46.236925
9.209175,46.268525
9.222175,46.36045
9.259725,46.380325
9.30375,46.449125
9.3522,46.4911
9.35855,46.536075
9.361925,46.596725
9.3719,46.603375
9.4436,46.6966
9.4803,46.70395
9.60495,46.84775
9.633875,46.857575
9.704775,46.933275
9.72855,46.964525
9.74775,47.03415
9.7763,47.086575
9.804575,47.17405
9.8766,47.191675
9.916225,47.203275
9.99875,47.319225
10.057175,47.5534
10.062175,47.600525
10.1445,47.63
10.170775,47.66405
10.218475,47.71865
10.22565,47.731175
10.314075,47.86095
10.3251,47.88165
10.402675,47.9928
10.435325,48.108725
10.49215,48.295525
10.61485,48.298575
10.667975,48.3695
10.772275,48.508475
10.779575,48.5965
10.7807,48.699025
10.90615,48.759975
