SPK_SPKC02a (inhibited),SPK_SPKC04b (excited),SPK_SPKC07a (excited),SPK_SPKC11a (inhibited)
0.025025,0.019925,0.0677,0.025225
0.050425,0.077525,0.176725,0.050625
0.141325,0.0826,0.23645,0.057725
0.252,0.137475,0.32085,0.1184
0.35895,0.211825,0.3821,0.1415
0.451525,0.25665,0.47005,0.15955
0.594975,0.301725,0.5437,0.218925
0.6602,0.3519,0.635325,0.252225
0.72995,0.584975,0.71635,0.283375
0.821925,0.595,0.8194,0.3214
0.836725,0.6115,0.870225,0.345675
0.915375,0.628325,0.9363,0.359225
0.95235,0.6401,1.062025,0.375
1.07255,0.70005,1.19985,0.40405
1.1399,0.7426,1.2518,0.474725
1.2246,0.77315,1.398825,0.5423
1.273275,0.7845,1.669875,0.581925
1.359425,0.811725,1.734875,0.6225
1.3999,0.87155,1.97,0.628475
1.5111,0.987175,2.0611,0.6604
1.602925,1.030975,2.16105,0.681
1.670375,1.064,2.247225,0.722075
1.892375,1.119325,2.384075,0.747625
1.977725,1.170025,2.479525,0.768075
2.0791,1.21895,2.5657,0.7971
2.1002,1.278725,2.815575,0.81385
2.25655,1.331875,2.91085,0.84565
2.3061,1.3842,2.9923,0.855475
2.363025,1.436,3.160075,0.9134
2.451275,1.478325,3.2668,0.915575
2.54405,1.53705,3.418125,0.9382
2.69695,1.598075,3.498,0.988875
2.746675,1.689825,3.560125,1.022025
2.956925,1.7214,3.7423,1.043575
3.022575,1.79745,3.86615,1.0528
3.206325,1.90435,3.961425,1.072725
3.27995,1.9223,4.26505,1.106375
3.37505,2.0288,4.476975,1.140275
3.5069,2.07155,4.5729,1.1966
3.56675,2.14365,4.7063,1.25575
3.75905,2.414625,4.89175,1.283475
3.842125,2.427825,5.12215,1.317325
3.91465,2.474525,5.21545,1.392025
4.026725,2.537825,5.2921,1.425225
4.133725,2.594275,5.379575,1.495775
4.25565,2.6652,5.443125,1.51135
4.48035,2.7049,5.519775,1.53945
4.665775,2.7471,5.64315,1.547875
4.791125,2.815275,5.69695,1.5816
4.835875,2.926575,5.783325,1.61435
4.880225,2.964025,5.875025,1.63825
4.972325,3.007125,6.175625,1.659275
5.0984,3.06215,6.38015,1.6906
5.15895,3.1588,6.517525,1.723925
5.232775,3.20485,6.582725,1.764825
5.387625,3.257275,6.726875,1.802025
5.471775,3.26865,6.81375,1.8498
5.524525,3.32705,6.8572,1.89255
5.61745,3.377025,6.9748,1.9439
5.670025,3.5277,7.252775,1.974675
5.780125,3.584475,7.333425,1.979825
5.862475,3.621625,7.511775,2.0107
6.0086,3.68415,7.649575,2.048975
6.06365,3.85065,7.78005,2.0575
6.1717,3.97385,7.83095,2.07555
6.288575,4.00925,8.01105,2.076525
6.413925,4.012225,8.012025,2.09745
6.5411,4.0465,8.0706,2.10045
6.599075,4.147325,8.1313,2.162475
6.771375,4.1749,8.2426,2.280425
6.89575,4.2132,8.351125,2.3076
6.926125,4.381825,8.435675,2.3356
6.9666,4.4498,8.54905,2.367375
7.0386,4.488575,8.87325,2.444125
7.101575,4.53505,9.101325,2.45145
7.20445,4.740275,9.1521,2.477825
7.3043,4.835075,9.35075,2.483925
7.52865,4.99215,9.482175,2.530025
7.6126,5.045875,9.6694,2.566475
7.731825,5.1125,9.85595,2.56895
7.79435,5.1566,9.908775,2.600725
8.0961,5.182875,10.00765,2.644
8.170725,5.2061,10.05855,2.6514
8.25875,5.268925,10.249275,2.670325
8.473325,5.337125,10.29335,2.754875
8.64845,5.35735,10.3564,2.8502
8.6996,5.392475,10.595775,2.8946
8.761975,5.439275,10.70685,2.93025
8.891975,5.474575,10.887325,2.9571
8.94715,5.603275,10.962725,2.9786
9.005725,5.65045,10.998875,3.004175
9.110375,5.6875,11.336025,3.0573
9.2119,5.746225,11.47795,3.137575
9.221375,5.841375,11.52835,3.1694
9.276525,5.9271,11.918875,3.1887
9.2881,6.09435,11.93525,3.212425
9.3527,6.149875,12.402525,3.289925
9.425175,6.21175,12.810225,3.29335
9.72755,6.3256,13.128875,3.3428
9.770325,6.355225,13.814375,3.37525
9.926625,6.39425,14.774,3.3826
9.978975,6.458375,15.56855,3.4094
10.05625,6.542475,15.63575,3.43805
10.128475,6.586775,15.725075,3.47105
10.17625,6.65865,15.871775,3.5252
10.2991,6.856675,15.907725,3.55965
10.35455,6.873325,15.9818,3.6304
10.479775,6.95245,16.087875,3.66575
10.52475,7.0636,16.17715,3.691175
10.57435,7.13025,16.398575,3.75115
10.59415,7.154375,16.485925,3.777575
10.630975,7.2184,16.7194,3.822825
10.6664,7.281075,16.79815,3.87325
10.714675,7.319825,16.86725,3.917275
10.8209,7.36245,16.956075,3.97845
10.87215,7.406675,17.030225,4.0307
10.908875,7.451125,17.2578,4.148875
10.94885,7.5143,17.5003,4.23455
10.984825,7.604525,17.6599,4.379925
11.02705,7.787125,17.71665,4.4222
11.0614,7.85775,17.9656,4.48365
11.110225,7.894325,18.125425,4.48595
11.1593,8.03325,18.1852,4.61475
11.190125,8.145025,18.331075,4.66825
11.26725,8.234125,18.512525,4.71235
11.32865,8.2785,18.683625,4.793625
11.340225,8.40545,18.763175,4.981075
11.377175,8.468475,18.917525,5.053
11.404775,8.5192,19.004175,5.091875
11.448325,8.56755,19.231425,5.21865
11.462225,8.895625,19.294175,5.287425
11.506275,8.909525,19.57275,5.3879
11.5699,8.9447,19.62905,5.4497
11.6103,8.998175,19.688225,5.471975
11.6436,9.0836,19.805575,5.5003
11.674375,9.130575,19.938125,5.524775
11.7117,9.1569,20.04605,5.6177
11.72745,9.26345,20.4645,5.66305
11.769625,9.3169,20.518875,5.6979
11.793525,9.421825,20.5539,5.780325
11.861575,9.640975,20.62525,6.022175
12.0342,9.6467,20.7014,6.03375
12.042275,9.728175,20.918525,6.07965
12.0789,9.7639,21.096125,6.155
12.1154,9.810075,21.339975,6.1809
12.124375,9.847625,21.497775,6.299
12.2105,9.897575,21.959,6.368575
12.25955,9.946725,22.258475,6.414175
12.3388,10.014625,22.327,6.4647
12.397625,10.071075,22.585225,6.5458
12.418175,10.124475,22.646575,6.585575
12.458,10.239325,22.689975,6.6564
12.6376,10.267825,22.845675,6.658825
12.7263,10.42065,22.9209,6.721975
12.76275,10.53385,23.00005,6.778175
12.841725,10.6281,23.365525,6.8587
12.872575,10.704025,23.551225,6.92155
12.9132,10.728975,23.670225,6.926325
12.9614,10.83165,23.9642,6.965075
13.058475,10.90225,24.776425,6.99495
13.13645,10.935125,26.556525,7.05365
13.165725,10.98485,26.675575,7.094225
13.236875,11.269525,26.718025,7.27655
13.3338,11.354325,26.8007,7.365375
13.377625,11.408625,26.924075,7.40335
13.396,11.446375,27.0455,7.438225
13.4257,11.489925,27.14395,7.5033
13.43565,11.534075,27.305975,7.536975
13.479775,11.547425,27.409575,7.603125
13.54605,11.59105,27.883325,7.6712
13.593425,11.6271,28.31025,7.707675
13.63285,11.63485,28.358875,7.7273
13.705525,11.704625,28.642525,7.7534
13.72975,11.73585,28.71675,7.76565
13.756025,11.775675,28.92,7.79525
13.82075,11.96655,28.946325,7.826425
13.955025,11.976325,29.036175,7.878075
14.0248,12.00525,29.0961,7.94785
14.0722,12.10055,29.157225,7.990325
14.16265,12.184,29.353275,8.021675
14.17165,12.26625,29.418825,8.116075
14.21005,12.287875,29.49055,8.148925
14.392625,12.40245,29.552825,8.191275
14.47495,12.41975,29.78675,8.237225
14.580275,12.45975,30.046775,8.288225
14.5926,12.469,30.1525,8.341275
14.663225,12.484025,30.319025,8.3676
14.700725,12.548425,30.5857,8.402
14.751125,12.56325,30.647475,8.4207
14.819125,12.695025,30.956525,8.4577
14.88165,12.7962,31.08045,8.4735
14.923975,12.84815,31.42545,8.569975
14.98895,12.896475,31.5508,8.5923
15.038375,12.94695,31.646875,8.6537
15.111875,12.962075,31.774175,8.73315
15.118575,13.009225,31.86045,8.76945
15.243875,13.019475,31.97045,8.81105
15.354175,13.0728,32.852275,8.8922
15.457775,13.073975,33.20805,8.897675
15.50035,13.143425,33.26625,8.915975
15.5621,13.2199,33.8695,8.93845
15.657675,13.242525,34.421475,8.956825
15.7163,13.27685,35.3046,8.971725
15.753225,13.327475,35.6313,9.002425
15.818575,13.38155,35.983625,9.0388
15.835275,13.38895,36.038525,9.085975
15.885325,13.4325,37.5163,9.133175
15.93165,13.485125,38.154875,9.1832
15.983475,13.5491,38.76115,9.23975
15.99375,13.5933,38.828875,9.288275
16.114725,13.653975,39.021675,9.3156
16.19055,13.7129,39.282475,9.352925
16.3254,13.78695,39.47675,9.37545
16.41105,13.793,39.574525,9.39475
16.4875,13.8118,39.605525,9.41925
16.626575,13.953025,39.69025,9.425375
16.69405,13.969475,39.7576,9.466475
16.739775,13.98915,39.941075,9.493975
16.907375,14.019275,40.494875,9.5451
17.0572,14.232075,40.56305,9.5699
17.1038,14.282025,40.680975,9.595125
17.12165,14.33675,40.74395,9.6173
17.3069,14.3708,40.792625,9.64225
17.3838,14.45155,40.952725,9.6655
17.446575,14.48605,41.12345,9.68985
17.526025,14.556325,41.294825,9.71805
17.582425,14.596025,41.369125,9.7454
17.6544,14.70855,41.50285,9.7628
17.70465,14.8605,41.591225,9.795375
17.74085,15.0943,41.728425,9.824525
17.81625,15.1747,41.7946,9.854
17.85675,15.232075,41.882025,9.895375
17.90555,15.2355,41.990825,9.91395
17.97255,15.377325,42.0497,9.9391
18.04805,15.408275,42.1011,9.97255
18.09035,15.415225,42.154075,10.017475
18.145925,15.63245,42.18815,10.059375
18.25735,15.68885,42.2509,10.101275
18.34855,15.724825,42.291125,10.1387
18.40575,15.767475,42.333,10.16965
18.466075,15.7704,42.494775,10.1905
18.609925,15.826725,42.5158,10.222325
18.664825,15.904025,42.64075,10.25235
18.714975,15.98285,42.774175,10.259325
18.849225,16.03655,42.821425,10.2859
18.8949,16.06425,42.87905,10.3282
18.963625,16.12875,42.94635,10.452325
19.05385,16.1762,43.054875,10.512625
19.136575,16.182325,43.191075,10.5432
19.207525,16.22705,43.274725,10.562125
19.2511,16.2795,43.4705,10.58685
19.274525,16.317825,43.8242,10.624
19.2912,16.341725,43.929175,10.6407
19.4156,16.39905,44.099375,10.6666
19.466275,16.447475,44.27975,10.69725
19.5059,16.518075,44.534925,10.71805
19.5376,16.525675,44.6296,10.737225
19.58465,16.532875,44.757275,10.745175
19.631775,16.577825,44.882625,10.780725
19.66035,16.600925,44.937475,10.8303
19.7263,16.615525,45.038625,10.851525
19.77255,16.62855,45.188125,10.898775
20.024475,16.644475,45.3108,10.90905
20.061975,16.705275,45.53715,10.943875
