SPK_SPKC03a (excited),SPK_SPKC05a (no effect),SPK_SPKC05b (no effect),SPK_SPKC06b (no effect),SPK_SPKC08a (short inhibition),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect)
0.0776,0.374425,0.010925,3.0467,0.018375,0.8936,0.3238
0.19645,1.48995,0.0233,4.251575,0.0351,2.7185,0.461475
0.2072,2.628425,0.03625,7.131525,0.039275,6.983,0.640275
0.467175,2.911625,0.0492,11.083025,0.050475,10.5537,0.926175
0.503625,2.9501,0.06225,11.89385,0.06115,11.215625,0.97795
0.532225,3.1754,0.0857,12.455225,0.0735,11.262075,1.09635
0.5388,3.66735,0.102075,12.600825,0.110575,12.0591,1.172425
0.558825,3.835025,0.112475,13.2818,0.139325,12.9645,1.543525
0.590925,5.818625,0.1216,18.293775,0.15485,14.334775,2.142075
0.614825,5.98605,0.133375,23.5362,0.17565,15.35215,2.598525
0.636325,6.0209,0.1423,24.205375,0.183575,18.06925,2.8753
0.66415,6.814175,0.156125,24.8913,0.188825,18.37855,2.8922
0.723875,7.087925,0.176775,26.775575,0.20345,19.99215,2.916625
0.946275,7.484,0.189775,27.088,0.2214,20.437375,2.999975
1.061925,7.617725,0.2049,28.233225,0.230275,22.28075,3.002825
1.078875,9.20535,0.2152,33.93225,0.24205,24.353575,3.122025
1.1291,9.378375,0.22855,37.2773,0.3126,25.43525,3.1979
1.299025,9.7413,0.24265,38.237975,0.320725,26.413875,3.335975
1.37745,10.88685,0.257875,38.9387,0.34045,27.804725,3.444525
1.39825,11.21265,0.285225,39.382625,0.40445,29.370975,3.56475
1.424175,11.397525,0.298525,40.671675,0.42165,29.514675,3.57905
1.489825,12.388,0.325325,40.87365,0.432575,30.185025,4.0796
1.55035,12.5378,0.33445,41.326225,0.445525,30.575575,4.1445
1.756375,12.804175,0.357825,41.3475,0.4813,31.865375,4.1695
1.91695,13.4366,0.386125,42.17505,0.4915,34.276775,4.204275
2.1841,15.1423,0.38795,43.916,0.5254,34.989575,4.315225
2.334425,15.2476,0.398,44.376275,0.54705,35.359325,4.3617
2.432275,15.44355,0.426825,45.014325,0.55605,36.220575,4.47785
2.49645,16.04435,0.4545,45.4283,0.57575,36.286275,4.484975
2.531425,16.278025,0.475225,46.53475,0.583725,37.08185,4.50355
2.688125,16.289075,0.500875,46.74,0.58695,37.5083,4.8671
2.9116,16.770425,0.52905,46.825775,0.5891,39.444825,5.616475
2.94375,16.844125,0.542625,48.316125,0.605725,40.22325,5.8465
2.95005,17.040625,0.55525,49.42575,0.611075,44.343275,5.8526
3.2642,18.304125,0.572775,51.67765,0.615075,44.584525,6.0357
3.30465,19.039925,0.60035,56.87635,0.62135,45.29905,6.1413
3.34055,20.29945,0.603275,59.700175,0.631625,45.4847,6.720925
3.4727,20.40105,0.6169,60.654725,0.64595,46.200575,6.8446
3.59945,20.63805,0.636475,62.4184,0.6639,46.759825,7.057175
3.611175,20.64505,0.6612,62.934575,0.677225,47.945075,7.07655
3.8528,21.108025,0.679775,71.345975,0.696675,48.251275,7.46515
3.864225,22.9929,0.6947,71.811375,0.70385,48.367425,7.577675
3.9448,23.168275,0.71415,73.130975,0.7068,48.4596,7.692425
4.1318,23.27175,0.73345,76.5812,0.71695,48.98695,7.91135
4.3162,23.43365,0.80535,79.165625,0.7272,49.539125,7.94865
4.460675,24.3904,0.81765,79.516725,0.7551,49.76075,7.962425
4.50275,24.8544,0.83405,79.846,0.763325,51.88775,8.022975
4.605725,24.9405,0.857525,79.9448,0.81275,54.4134,8.029375
4.6862,27.3135,0.85895,79.958775,0.824575,54.810475,8.1722
4.7062,27.545975,0.873625,80.05435,0.83405,55.696975,8.243425
4.82695,27.5785,0.890175,81.008625,0.84485,56.362275,8.267025
4.9562,29.401725,0.9112,81.8379,0.852825,56.45555,8.334475
5.017825,29.49245,0.932525,82.4883,0.8794,58.793075,8.358675
5.083725,29.61425,0.944,84.68325,0.887575,59.208425,8.375975
5.319375,29.884925,0.9453,84.9592,0.89905,59.64335,8.3915
5.37215,30.152375,0.956175,85.477875,0.907,60.620625,8.8828
5.498825,30.287025,0.9684,88.408775,0.91005,61.103175,8.892075
5.555,30.365375,0.980775,88.457225,0.91385,62.417,9.078675
5.56855,33.8989,1.006675,89.16675,0.928775,63.0686,9.204525
5.637375,33.968425,1.021875,91.482175,0.9621,63.671925,9.228475
5.670725,34.003775,1.038875,93.038225,0.97135,64.3469,9.40275
5.68215,34.064125,1.05265,94.259675,0.982325,65.220525,9.414925
5.6951,34.224325,1.069675,95.903825,0.9926,65.515825,9.514125
5.778325,35.2449,1.0906,97.377825,1.005025,65.5524,9.7133
5.93945,37.17175,1.112825,99.743775,1.01685,65.828775,9.89515
5.985875,37.329225,1.132425,100.17875,1.058,66.3023,9.9913
6.096475,37.5511,1.1485,103.9353,1.085875,67.024425,10.201025
6.1749,37.598125,1.18045,107.3798,1.0907,68.299525,10.267725
6.450275,37.6086,1.19005,115.738575,1.1129,68.794375,10.326075
6.603725,37.7554,1.216575,116.8863,1.13685,69.1052,10.340975
6.64845,37.930825,1.23505,118.406075,1.154625,69.19125,10.62135
6.6803,38.330675,1.2485,120.75075,1.16605,69.539175,10.64755
6.726925,38.545825,1.278125,120.78315,1.179975,70.4353,10.678875
6.83505,40.3919,1.3005,123.891975,1.2013,70.684225,10.817475
6.99375,40.69195,1.31605,125.989575,1.214075,70.866425,11.0479
7.054575,40.76755,1.328675,126.7632,1.2318,72.19245,11.102575
7.103025,41.132975,1.346375,134.83105,1.242375,72.64225,11.1462
7.4287,41.245975,1.347875,135.275325,1.265325,72.721125,11.3575
7.44085,41.3289,1.372225,136.337875,1.27405,73.080525,11.769275
7.48395,41.371425,1.386525,137.9417,1.304125,74.91975,11.861725
7.528925,41.560575,1.404625,139.524775,1.3188,75.109575,11.9931
7.66835,43.5661,1.422575,139.8912,1.32835,75.200925,12.120475
7.740875,44.43935,1.442725,139.93405,1.3719,75.545625,12.39545
7.84,45.340825,1.47795,140.064725,1.401525,76.716425,12.531725
7.8924,47.870025,1.53335,144.708825,1.451725,77.250875,12.8168
7.925775,48.314025,1.551075,148.205175,1.45705,77.363425,13.09575
8.0153,49.440875,1.558875,150.235675,1.47925,78.396375,13.243625
8.021775,49.6284,1.567375,153.852425,1.486975,78.747175,13.61255
8.036375,50.27395,1.583325,154.861475,1.488325,78.93925,13.665375
8.040675,50.6984,1.6079,154.864475,1.50265,79.20755,14.078925
8.1066,50.745625,1.609425,157.269675,1.51785,79.28155,14.500375
8.17285,51.478675,1.621175,157.466825,1.535225,79.37255,14.5525
8.22935,53.034875,1.640425,157.810175,1.5733,79.9446,15.47835
8.26325,53.480275,1.6568,158.06035,1.596925,80.110475,15.69965
8.29765,53.823875,1.686325,158.52005,1.608775,80.3453,15.992875
8.3109,53.874675,1.69895,160.326525,1.620125,80.66935,16.0176
8.40425,54.32055,1.741675,160.637975,1.6373,80.741775,16.251775
8.5318,54.5918,1.755825,160.8932,1.649075,80.802125,16.297975
