SPK_SPKC01a (no effect),SPK_SPKC03a (no effect),SPK_SPKC12a (no effect),SPK_SPKC13a (no effect)
0.0612,0.008375,0.0106,0.0389
0.0724,0.0714,0.026825,0.270925
1.7637,0.1194,0.034475,0.27775
2.121925,0.14545,0.04305,0.459
2.412875,0.19465,0.052025,0.487575
2.581675,0.21455,0.070975,0.9435
2.6119,0.2712,0.0827,1.177275
3.01895,0.334875,0.102625,1.181
3.16995,0.407225,0.12575,1.259925
3.1985,0.486925,0.1364,1.272075
3.436825,0.501925,0.18195,1.355075
3.542175,0.564775,0.207775,1.360625
3.70285,0.630325,0.229175,2.74455
3.859375,0.6759,0.23965,2.748275
4.451625,0.695875,0.252925,2.94685
4.6596,0.7186,0.26345,3.0607
5.118275,0.7488,0.266875,3.27535
6.363025,0.8231,0.2709,3.4303
7.13015,0.863325,0.282225,4.36975
7.15915,0.94015,0.2949,4.442825
7.197875,0.9736,0.29825,4.5877
7.341425,1.05755,0.32995,4.637225
7.3731,1.0935,0.36085,4.684375
7.48255,1.12165,0.3739,4.9434
7.498425,1.145675,0.388825,5.121025
8.1282,1.147725,0.400225,5.136675
8.277,1.213525,0.4156,5.36235
8.2967,1.24495,0.422825,5.737025
8.60305,1.289675,0.428225,5.924825
8.6171,1.300325,0.44605,5.9638
8.681325,1.3432,0.45195,6.130475
8.88955,1.3901,0.459,6.311725
9.08985,1.5449,0.474275,6.583575
10.388,1.601425,0.488825,6.599275
10.4904,1.645275,0.502625,6.62845
11.642275,1.6628,0.517125,6.829375
11.81825,1.6856,0.519325,7.077275
12.199275,1.718425,0.525175,7.12445
12.208175,1.761975,0.5324,7.19315
12.753275,1.818075,0.534675,7.614875
12.9564,1.848125,0.5386,7.973725
13.02855,1.96055,0.543625,8.213
13.480925,2.022625,0.59015,8.22005
13.8296,2.0955,0.6266,8.273575
14.04065,2.1589,0.644525,8.361025
14.047,2.19525,0.66325,8.477125
14.05175,2.20565,0.67675,8.5043
14.088325,2.2092,0.68295,8.556825
14.20515,2.268175,0.6976,8.656625
14.906225,2.39005,0.737725,8.665225
14.920675,2.447175,0.743825,8.84845
15.158325,2.496225,0.753625,8.9731
15.592525,2.542675,0.763175,9.120525
16.493425,2.559375,0.7903,10.6666
16.66045,2.56055,0.812775,10.74375
17.606675,2.574525,0.83135,11.083975
17.6108,2.745,0.848675,11.152725
17.87675,2.772125,0.863025,11.351075
18.152125,2.8399,0.878875,11.592975
18.2093,2.8802,0.8943,11.63275
18.22505,2.9857,0.920025,11.731125
18.233975,3.06025,0.938175,11.8367
18.24155,3.152475,0.94795,12.16895
18.302075,3.1813,1.00835,12.364675
19.169125,3.247675,1.013825,12.6664
19.207175,3.26515,1.03995,12.928725
19.241575,3.289975,1.062325,12.97405
19.33495,3.3505,1.079275,12.98285
19.64175,3.3882,1.091,13.026
19.6535,3.418975,1.124325,13.057525
19.87135,3.5452,1.140375,13.23575
20.22335,3.592825,1.177275,13.329175
20.2427,3.625875,1.19265,14.196425
20.2742,3.664725,1.20515,14.6676
21.06205,3.7248,1.232125,14.7727
21.075925,3.73425,1.240025,15.416025
22.25445,3.89155,1.246325,15.970225
22.283925,3.947125,1.2659,15.982125
22.295125,4.04145,1.272075,16.04375
22.44085,4.0589,1.27745,16.087475
22.6396,4.0854,1.2827,16.269625
23.79385,4.14775,1.300825,16.302075
23.8157,4.180725,1.328725,16.3974
23.86765,4.3117,1.339775,16.6842
23.8779,4.32895,1.368025,16.868375
23.906275,4.330725,1.38385,16.9514
23.921975,4.442425,1.3873,17.3654
24.01815,4.45795,1.408425,17.52995
24.03695,4.501525,1.447225,17.703925
