SPK_SPKC06a (excited),SPK_SPKC07b (no effect),SPK_SPKC09a (excited)
0.001825,0.273575,0.008825
0.0065,0.95315,0.027525
0.075975,1.2161,0.132675
0.14895,1.655925,0.142275
0.169475,1.725125,0.16645
0.211325,2.551975,0.243475
0.299275,2.758,0.3504
0.4065,3.14425,0.36255
0.425475,3.29065,0.3734
0.5253,3.525125,0.38675
0.5842,3.540525,0.4507
0.638725,4.18285,0.55065
0.697275,4.2224,0.614625
0.7075,4.907425,0.6925
0.84255,4.9306,0.828575
0.92795,5.35835,0.8461
0.9853,5.85795,0.8788
1.01335,6.11955,0.9456
1.028475,6.408125,0.9632
1.17205,6.51755,0.99965
1.248975,7.43595,1.01375
1.316075,10.2069,1.0465
1.400525,11.1024,1.0798
1.5468,12.147925,1.140975
1.553525,13.100075,1.23965
1.660925,13.63695,1.249525
1.7027,14.172175,1.31325
1.7698,14.3332,1.4025
1.79965,14.361325,1.42955
1.8328,14.4601,1.44305
1.87445,15.712375,1.454425
1.918375,15.798,1.5054
1.96575,15.812775,1.514275
2.069175,17.068575,1.522775
2.0842,17.769325,1.5555
2.1257,18.1305,1.568975
2.18655,19.1549,1.5773
2.2821,19.27505,1.744925
2.32165,20.1217,1.8523
2.36115,20.645575,1.877275
2.502875,21.882875,1.903625
2.753625,21.91105,1.989225
2.83655,22.5631,2.01185
2.936325,22.83965,2.0177
2.9765,22.85475,2.044475
3.009525,23.730475,2.158025
3.05395,23.863775,2.249925
3.13675,24.027225,2.312225
3.1612,24.419475,2.3512
3.1739,24.474075,2.389975
3.233975,24.672725,2.447
3.37345,26.248425,2.46385
3.417625,26.531475,2.56255
3.5114,27.10715,2.570875
3.5874,28.156925,2.686525
3.6241,28.217025,2.74445
3.731275,28.4545,2.793
3.770975,29.1164,2.891675
3.809575,29.262975,2.995525
3.9696,29.89925,3.00205
4.145875,30.6079,3.063875
4.231575,31.456675,3.155525
4.2909,31.5841,3.197175
4.47885,31.74925,3.203325
4.66685,32.313775,3.235275
4.718475,33.12715,3.255575
4.8111,33.19215,3.27575
4.8325,33.258625,3.502125
4.9074,33.87025,3.50945
5.02215,33.878625,3.647475
5.2799,33.912325,3.675875
5.3945,35.4676,3.691075
5.4381,35.48575,3.7184
5.5018,35.5009,3.759325
5.554,36.179775,3.8789
5.598825,37.176175,3.9935
5.8633,37.6686,4.02245
5.872475,38.004475,4.068675
5.891175,38.3608,4.108425
5.89555,40.682975,4.1515
5.924225,41.529675,4.1981
5.9755,42.04015,4.3402
6.053875,42.232675,4.3513
6.1398,43.191375,4.43785
6.194275,44.264675,4.452775
6.3108,44.4997,4.540475
6.35895,45.19415,4.571775
6.415875,45.365375,4.6242
6.542275,45.51395,4.644125
6.594375,45.940575,4.66285
6.665875,46.20275,4.673475
6.723575,47.407675,4.7253
6.776075,47.7019,4.74675
6.85165,47.91275,4.787325
6.941675,48.001625,4.827025
7.084875,48.069825,4.85715
7.13185,51.519625,4.876125
7.1998,52.08485,4.91085
7.25405,55.2076,4.98785
7.32585,55.24135,5.0398
7.381625,55.397525,5.146625
7.4301,56.181125,5.203925
7.43355,60.8006,5.2447
7.478775,61.0949,5.255475
7.58025,62.24855,5.300775
7.643,62.562675,5.35565
7.674575,64.0987,5.436525
7.7149,64.9269,5.4851
7.92355,65.110825,5.53755
7.978725,66.082,5.60115
8.048725,66.25055,5.716925
8.10905,68.973,5.784625
8.18555,69.2424,5.815175
8.19255,69.34015,5.85385
8.270025,70.738075,5.8624
8.3596,70.837625,5.86975
8.38425,70.8732,5.8975
8.4122,71.300025,5.9676
8.68615,71.4361,6.03445
8.7225,71.77025,6.06105
8.736525,72.298875,6.301475
8.90775,74.404275,6.319875
8.93345,75.0851,6.325875
9.0237,75.590825,6.386075
9.215025,75.801375,6.444825
9.3455,77.7818,6.80055
9.406975,78.088175,6.8613
9.484325,78.203225,6.912225
9.63185,78.363775,6.9328
9.7343,79.4036,6.9613
9.82135,80.563475,7.007775
9.918325,81.04335,7.0165
9.947825,81.76175,7.048
10.009125,84.68565,7.05545
10.067325,85.26155,7.148475
10.086175,85.30105,7.17585
10.088275,85.499375,7.185775
10.106225,85.53425,7.20555
10.11125,85.924225,7.289625
10.1363,87.958975,7.309575
10.285375,88.131625,7.35905
10.364125,89.7134,7.466875
10.40235,90.436375,7.5121
10.45035,91.536075,7.804525
10.54125,91.606275,7.84715
10.58845,92.648625,7.8751
10.652325,94.042675,7.89295
10.69195,96.05275,7.98375
10.781625,97.78885,8.03565
10.852975,98.033325,8.04345
10.920025,98.05105,8.137175
11.137375,98.185975,8.247825
11.1854,98.877775,8.323025
11.215225,99.00025,8.41245
11.251375,99.145475,8.4251
11.295275,99.72615,8.57755
11.506225,100.859575,8.60005
11.844325,100.87905,8.621325
11.88825,101.48345,8.69535
11.928675,102.090575,8.7204
11.9418,102.36045,8.90795
12.097675,102.752175,8.9479
12.267975,102.92155,9.0357
12.336125,102.94505,9.132225
12.458525,103.181675,9.1932
12.5451,103.442725,9.37655
12.620175,104.48225,9.441825
12.68185,105.22895,9.5227
12.699375,105.253125,9.6287
12.739275,106.54525,9.6831
12.817625,106.559175,9.72
12.9115,106.62375,9.81005
13.035325,107.368525,9.91165
13.098625,108.11015,9.928025
13.161975,109.508375,9.94465
13.316825,110.90805,9.95275
13.430975,110.97395,9.96945
13.4573,111.225775,9.9855
13.493525,111.864,10.145075
13.55325,112.5124,10.19075
13.597625,113.671375,10.204575
13.641875,114.1457,10.219875
13.6897,114.931075,10.259975
13.734,115.4343,10.38645
13.777275,116.421375,10.39405
13.79835,116.4484,10.436275
13.81355,116.58235,10.4827
13.853375,117.16495,10.48855
13.869375,117.57735,10.50085
13.934625,117.743325,10.6755
13.947925,118.208325,10.688475
14.018825,119.50565,10.706
14.057825,119.537175,10.91125
14.161975,119.912475,10.973825
14.2096,120.0998,11.021875
14.255525,120.37205,11.09715
14.36505,120.4672,11.13365
14.404775,120.644325,11.13915
14.409725,120.8012,11.192175
14.5064,120.82585,11.227525
14.5307,121.727025,11.291775
14.5405,122.648275,11.34685
14.6865,122.794375,11.430525
14.786225,122.997475,11.625525
14.8351,123.4782,11.642925
14.84605,123.535275,11.700325
14.891725,125.426125,11.7918
14.9939,125.52135,11.89575
15.01495,126.461475,11.9359
15.17065,126.543075,11.980025
15.277325,127.27895,11.994825
15.34555,127.587125,12.005575
15.3995,128.071225,12.06845
15.48335,128.42765,12.07885
15.605875,128.45165,12.12865
15.608725,132.0215,12.22035
15.65905,133.452425,12.278625
