SPK_SPKC06a (no effect),SPK_SPKC09a (excited),SPK_SPKC11a (no effect),SPK_SPKC11b (excited),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect),SPK_SPKC15a (excited)
0.057525,0.3193,0.043925,0.02575,0.01035,0.021925,0.050225
0.7147,0.4849,0.068925,0.06015,0.1398,0.0522,0.323125
0.83245,0.981925,0.119925,0.0796,0.18495,0.0901,0.437425
0.932425,1.289075,0.123875,0.259425,0.219025,0.120075,0.5702
1.057525,1.54785,0.24665,0.2839,0.2806,0.1398,0.711425
1.16,1.65795,0.262775,0.29975,0.29455,0.2057,0.782775
1.388925,1.917475,0.2803,0.36525,0.3072,0.23505,0.87305
1.5805,1.98315,0.416925,0.420525,0.450325,0.2652,1.1447
1.797175,2.15765,0.524575,0.49105,0.4897,0.278025,1.308575
1.899875,2.19555,0.551975,0.574575,0.4964,0.290775,2.14175
2.487925,2.432175,0.560275,0.5959,0.502125,0.307175,2.41575
2.5446,2.530975,0.6007,0.66345,0.5246,0.3492,2.4414
2.59805,2.584175,0.66165,0.672275,0.561325,0.38305,2.44605
2.839175,2.5984,0.67405,0.7843,0.602625,0.450325,2.559675
2.907075,2.611475,0.6865,0.8059,0.654175,0.489725,2.5818
3.002375,2.645175,0.688025,0.84495,0.745825,0.5207,2.63805
3.04105,2.667175,0.721475,0.87865,0.826875,0.5429,2.67305
3.0501,3.15515,0.746925,0.889,0.8424,0.554375,2.841775
3.626575,3.25965,0.750975,0.937375,0.8483,0.567425,2.853375
3.687975,3.561075,0.76135,0.965675,0.85675,0.576,3.260375
3.7223,3.650525,0.77785,1.148925,0.87425,0.618325,3.6321
3.91535,3.778225,0.970025,1.1669,0.9481,0.65415,3.6525
3.9607,3.870375,1.11135,1.20325,0.955725,0.666975,3.72535
4.0058,4.4285,1.143075,1.24295,0.9701,0.700425,3.847525
4.06765,4.471225,1.342275,1.3073,0.988825,0.711425,3.945625
4.131525,4.622025,1.358175,1.327675,0.993625,0.74585,4.04555
4.17425,4.9329,1.37395,1.416425,1.122175,0.75525,4.15135
4.376925,5.102275,1.4519,1.553525,1.16195,0.7615,4.2838
4.410575,5.339,1.48295,1.5964,1.19105,0.76535,4.41035
4.4547,5.697225,1.53035,1.600875,1.22605,0.77575,4.4118
4.547825,5.774525,1.5661,1.643825,1.294775,0.7972,4.49785
4.596225,5.928625,1.73055,1.676125,1.4109,0.842375,4.680725
4.66505,6.067325,1.869525,1.7644,1.48005,0.8516,4.716075
4.900075,6.301875,1.968575,1.86345,1.5634,0.856725,4.9003
5.096425,6.40135,2.1114,1.920525,1.60315,0.861,5.07275
5.1461,6.750225,2.169325,1.9409,1.66905,0.874275,5.56055
5.5456,6.861725,2.173525,2.02435,1.7361,0.896225,5.5761
5.715975,7.0195,2.36525,2.064825,1.781,0.9384,5.798125
6.06815,7.334825,2.472675,2.105175,1.820375,0.965675,5.98515
6.4056,7.433175,2.51665,2.11245,1.9528,0.988825,5.9924
6.5907,7.8438,2.610925,2.127675,1.98105,1.0008,6.349
