SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
0.004675,0.039125
0.016225,0.071625
0.039075,0.1557
0.071525,0.243375
0.137525,0.30045
0.155625,0.426425
0.19555,0.4842
0.21135,0.531875
0.2433,0.546025
0.260125,0.556175
0.27575,0.582075
0.300425,0.686
0.319925,0.828625
0.333875,0.858725
0.33665,0.956
0.37265,0.9849
0.3895,0.993575
0.4042,1.004375
0.426375,1.09225
0.4462,1.2134
0.45425,1.31735
0.48415,1.32835
0.491525,1.517675
0.496025,1.602325
0.511725,1.6783
0.519675,1.7268
0.523125,1.832725
0.5318,1.912425
0.545925,2.07315
0.574025,2.19145
0.582,2.235075
0.588975,2.42085
0.605825,2.459
0.6214,2.5297
0.630325,2.61685
0.6448,2.6404
0.6516,2.72585
0.6689,2.819725
0.71015,2.840725
0.7322,3.05065
0.756625,3.1031
0.773425,3.19045
0.784,3.308325
0.805975,3.405675
0.858675,3.422875
0.874525,3.434925
0.8893,3.450375
0.903075,3.46965
0.936625,3.4872
0.943525,3.49525
0.95595,3.627775
0.984825,3.645425
0.9935,3.751175
1.004325,3.838125
1.017025,3.93675
1.045125,4.22365
1.056875,4.3078
1.06585,4.415825
1.076425,4.564675
1.0922,4.655525
1.120475,4.66915
1.1307,4.6935
1.146275,4.75665
1.21335,4.966075
1.244525,4.983025
1.2618,5.06375
1.29515,5.0775
1.317325,5.088725
1.320675,5.17285
1.328225,5.1925
1.35065,5.241425
1.424275,5.463725
1.438725,5.61915
1.455075,5.6631
1.46025,5.725225
1.470525,5.87115
1.491075,5.9177
1.50615,5.971375
1.517625,5.98405
1.524825,6.20275
1.546275,6.3161
1.560375,6.40155
1.602225,6.43
1.678225,6.462
1.7267,6.56635
1.74065,6.7026
1.764675,6.715475
1.8017,6.72755
1.832625,6.7497
1.8389,7.044975
1.8866,7.096125
1.91235,7.117375
1.921875,7.1621
1.94385,7.218175
1.9611,7.341775
1.991975,7.5319
2.01845,7.640675
2.042125,7.687525
2.0731,7.8779
2.095075,7.920775
2.1181,7.943625
2.191375,7.984875
2.2276,8.007425
2.23505,8.085425
2.26195,8.130625
2.285375,8.141
2.3093,8.226475
2.3388,8.249275
2.35335,8.494975
2.368375,8.6769
2.369675,8.881925
2.38785,8.92835
2.4208,8.98065
2.4589,8.99675
2.471375,9.025425
2.529625,9.096575
2.553525,9.2967
2.5703,9.40075
2.587025,9.520225
2.5952,9.562275
2.616775,9.681325
2.64035,9.70525
2.650225,9.90535
2.6591,9.928075
2.679525,10.0267
2.6896,10.11785
2.69865,10.3452
2.72575,10.5522
2.7422,10.6372
2.786975,10.698075
2.8016,10.7115
2.819625,10.9163
2.8311,10.922575
2.840625,10.950175
2.85215,11.066775
2.860875,11.069475
2.90355,11.18595
2.916175,11.2306
2.924725,11.31695
2.9386,11.379425
2.9633,11.603875
3.017625,11.68895
3.025875,11.700475
3.033325,11.754075
3.050575,11.798775
3.062975,11.819025
3.1295,12.17915
3.1529,12.256275
3.17365,12.301825
3.1904,12.447025
3.202475,12.521775
3.2645,12.63815
3.282375,12.83485
3.308225,13.045325
3.328675,13.08845
3.34285,13.1468
3.36325,13.390125
3.3837,13.44945
3.4056,13.63685
3.42275,13.7415
3.434825,13.823675
3.4503,13.996475
3.4696,14.1621
3.487125,14.178375
3.495175,14.1886
3.51525,14.283025
3.53325,14.357525
3.5529,14.371175
3.5676,14.460975
3.5873,14.747075
3.6023,14.796025
3.627725,14.8198
3.6454,14.875
3.662675,14.909825
3.6763,15.219425
3.702775,15.354175
3.751075,15.415075
3.762325,15.5596
3.7876,15.657775
3.800525,15.679375
3.81255,15.8029
3.838025,15.830625
3.85525,15.875025
3.870975,15.890475
3.88435,15.90195
3.9112,16.00325
3.936675,16.016625
4.017025,16.129475
4.22355,16.27085
4.29195,16.478225
4.30775,16.510375
4.35195,16.57605
4.409075,16.626425
4.41575,16.68515
4.494025,16.74115
4.564625,16.76805
4.60255,16.91585
4.655475,16.99625
4.6798,17.180325
4.69345,17.312925
4.6954,17.33315
4.729575,17.456475
4.756625,17.617875
4.777125,17.95895
4.7984,17.98915
4.850925,18.044575
4.868825,18.104725
4.89125,18.1176
4.923075,18.334175
4.93365,18.377975
4.965975,18.703325
4.982875,18.742875
5.0033,18.78765
5.0235,18.798475
5.03435,18.8443
5.0637,18.859375
5.0774,18.909475
5.08865,19.012325
5.1088,19.025125
5.123825,19.0528
5.14795,19.273725
5.156,19.311275
5.17275,19.3665
5.19245,19.4361
5.19965,19.5869
5.2413,19.6515
5.249675,19.713375
5.25315,19.80355
5.264525,20.1659
5.33225,20.39585
5.3483,20.40315
5.407725,20.550375
5.423875,20.60205
5.4636,20.6232
5.501325,20.663325
