SPK_SPKC01a (no effect),SPK_SPKC09a (no effect),SPK_SPKC09b (no effect),SPK_SPKC12a (excited)
0.003425,0.013875,0.06365,0.055575
0.02455,0.045875,0.206975,0.109075
0.044725,0.093925,0.222325,0.228325
0.0794,0.13955,0.22685,0.323475
0.084825,0.173,0.31305,0.401075
0.095175,0.216725,0.369875,0.46885
0.10885,0.250825,0.42575,0.826075
0.12565,0.281025,0.4739,1.093125
0.148975,0.342925,0.500075,1.427525
0.16525,0.371675,0.5426,1.50185
0.1768,0.4338,0.5881,1.54225
0.19485,0.4696,0.625525,1.687575
0.22805,0.5191,0.653425,1.734475
0.262075,0.564625,0.681025,1.93975
0.26635,0.610525,0.775125,2.10925
0.296225,0.6479,0.809025,2.237575
0.323225,0.679425,0.873075,2.703375
0.345675,0.7117,0.902,3.0121
0.359125,0.752075,0.9335,3.05485
0.38945,0.84925,0.9651,3.088375
0.424075,0.878925,1.0451,3.241475
0.4686,0.90525,1.20805,3.535775
0.50895,0.947175,1.2275,3.59025
0.53945,1.00445,1.397175,3.651525
0.5777,1.0946,1.42225,3.866275
0.610925,1.129875,1.478125,3.937875
0.618125,1.157925,1.5317,4.379875
0.635175,1.218925,1.57085,4.453425
0.66625,1.292375,1.576125,4.55885
0.6939,1.36175,1.6045,4.734975
0.71025,1.452975,1.650075,4.7445
0.7503,1.5016,1.75655,4.84275
0.7928,1.524325,1.782925,4.907175
0.8259,1.54355,1.8156,4.94405
0.873725,1.61205,1.8429,5.0481
0.882675,1.713725,1.957875,5.277725
0.89405,1.7929,1.995875,5.332875
0.953225,1.814175,2.025025,5.4254
0.9684,1.877075,2.0613,5.477525
1.09295,1.897475,2.100025,5.579225
1.12505,1.93895,2.27125,5.596975
1.137025,1.960375,2.350875,5.6188
1.1624,1.972975,2.3647,5.6968
1.188125,2.0141,2.39895,5.81875
1.20535,2.054275,2.431725,5.862125
1.241425,2.11025,2.561225,6.0696
1.269825,2.147525,2.629075,6.29445
1.2952,2.23315,2.66225,6.3264
1.331,2.238325,2.68325,6.75205
1.3808,2.25915,2.71925,6.78755
1.427325,2.295575,2.747825,6.959775
1.437575,2.33535,2.781975,7.00475
1.469725,2.363275,2.797975,7.040825
1.50155,2.434775,2.817225,7.337825
1.51705,2.48615,2.848625,7.44605
1.5248,2.499325,2.91585,7.544925
1.542025,2.515875,2.94065,7.718425
1.577175,2.52,3.005925,7.726975
1.5819,2.54065,3.01395,7.80185
1.6353,2.570525,3.04315,7.805825
1.651325,2.630275,3.07935,8.10015
1.67535,2.648775,3.096,8.324
1.6873,2.671525,3.1796,8.450575
1.734325,2.690825,3.182425,8.6429
1.77425,2.714425,3.210725,8.6581
1.79375,2.731575,3.263175,8.695625
1.86045,2.7553,3.29035,8.721225
1.8938,2.775725,3.37905,8.7858
1.9038,2.795075,3.39065,8.914775
1.914575,2.806175,3.4284,9.3748
1.93955,2.82475,3.445525,9.4287
1.957125,2.8423,3.4799,9.467275
1.99725,2.8578,3.5976,9.52715
2.0269,2.8809,3.66585,9.64335
2.03985,2.89495,3.813125,9.902275
2.0717,2.91175,3.834425,10.00245
2.109,2.92505,3.989375,10.066
2.16835,2.96175,4.006925,10.239925
2.182875,3.00395,4.057375,10.30205
2.2019,3.02645,4.0657,10.342025
2.23735,3.05215,4.079375,10.454825
2.297475,3.0846,4.114575,10.734125
2.33325,3.1176,4.126525,10.77445
2.340525,3.132675,4.269775,11.000625
2.384425,3.1754,4.3358,11.3578
2.4366,3.2085,4.426025,11.390975
2.452825,3.27185,4.52475,11.4161
2.466925,3.292925,4.58535,11.48445
2.472125,3.329825,4.64185,11.538575
2.516125,3.3822,4.70275,11.864975
2.5259,3.437725,4.762275,11.8984
2.55765,3.472825,4.79725,12.227925
2.582775,3.565225,4.8544,12.25995
2.5969,3.6183,4.902025,12.502175
2.606275,3.6963,4.9283,12.901025
2.643175,3.752875,4.956425,13.03235
2.6628,3.75545,4.9872,13.0653
2.68875,3.906025,5.06065,13.18035
2.70315,3.942,5.0632,13.3328
2.75015,4.02645,5.14575,13.41085
2.762975,4.080875,5.176625,13.4179
2.783775,4.12835,5.2008,13.5473
2.80265,4.160525,5.23635,13.5837
2.837925,4.235775,5.241875,13.60555
2.87905,4.28245,5.348,13.752425
2.9015,4.309725,5.3661,14.00355
2.918475,4.33025,5.380175,14.1078
2.945675,4.354575,5.455875,14.1639
2.963875,4.377725,5.4838,14.2209
2.9779,4.43145,5.49,14.27445
3.01185,4.457375,5.56065,14.3002
3.026325,4.512,5.6048,14.358975
3.049,4.59065,5.672625,14.583275
3.05465,4.7081,5.754725,14.621375
3.0798,4.72495,5.82585,14.6612
3.109375,4.7403,5.847175,15.0244
3.121,4.75425,5.878725,15.0776
3.13005,4.769725,5.927625,15.107275
3.15635,4.8006,5.978075,15.2002
3.174225,4.8455,6.030725,15.21925
3.217825,4.88435,6.0796,15.370125
3.241175,4.890725,6.14005,15.622425
3.28445,4.984325,6.20485,15.6541
3.305875,4.998525,6.22525,15.76255
3.317025,5.014175,6.24305,15.828125
3.350575,5.104175,6.2501,16.03255
3.39145,5.11985,6.38145,16.1191
3.407375,5.139425,6.448075,16.394025
3.4206,5.2863,6.511975,16.691725
3.42395,5.3026,6.5314,16.754475
3.441025,5.324475,6.55685,17.3347
3.462675,5.372,6.609525,17.440175
3.481025,5.385425,6.6715,17.473375
3.497875,5.397725,6.71535,17.4855
3.519875,5.43825,6.755475,17.51165
3.53555,5.4638,6.8906,17.67785
3.5701,5.51145,6.933625,17.7312
3.59005,5.554,6.944,17.767625
3.651325,5.59265,7.0083,17.917525
3.69075,5.645275,7.092325,18.060375
3.703725,5.681475,7.119675,18.286975
3.7187,5.726175,7.140425,18.40565
3.73355,5.780275,7.220475,18.734475
3.772,5.8738,7.265575,18.881925
3.7958,5.966025,7.2859,18.9464
3.827275,6.06095,7.388925,19.012475
3.866,6.1251,7.43085,19.015175
3.912825,6.185825,7.4577,19.067775
3.91555,6.223825,7.5077,19.640625
3.937625,6.298575,7.53155,19.664375
3.962275,6.361425,7.551325,20.0299
3.971025,6.398275,7.5663,20.053775
3.9882,6.421475,7.603675,20.091875
4.020875,6.468025,7.612825,20.213975
4.067125,6.5055,7.61695,20.275325
4.082525,6.560325,7.6599,20.343825
4.118975,6.600225,7.7233,20.4356
4.131425,6.714275,7.7697,20.591375
4.228125,6.761325,7.786225,20.848425
4.2581,6.813175,7.791125,20.96755
4.2882,6.837175,7.842775,21.470525
4.354025,6.851575,7.914425,21.645125
4.37365,6.889475,7.929825,21.65735
4.379625,6.929325,7.96515,21.849125
4.4124,6.96305,8.035075,22.1118
4.432175,6.993975,8.0588,22.548875
4.453175,7.04175,8.0863,22.957125
4.4776,7.126325,8.113575,23.016525
4.546225,7.168875,8.16905,23.0751
4.55865,7.344,8.245525,23.3201
4.562675,7.3614,8.28035,23.73415
4.584525,7.373475,8.2924,23.852125
4.67155,7.40385,8.335325,24.09335
4.68405,7.455,8.513325,24.116225
4.71055,7.530025,8.520675,24.163375
4.717975,7.5561,8.545,24.27805
4.74425,7.561,8.570025,24.7355
4.7648,7.5684,8.5914,25.0099
4.794075,7.579825,8.62215,25.063375
4.842525,7.611475,8.66505,25.25915
4.8603,7.62115,8.732375,25.296025
4.888025,7.6269,8.860325,25.371175
4.906925,7.63075,8.888875,25.45735
4.943825,7.64065,8.999225,25.636325
4.966125,7.6855,9.02865,25.666025
4.977225,7.7035,9.198175,25.7088
5.0109,7.7124,9.23215,25.7512
