SPK_SPKC03a (no effect),SPK_SPKC12a (no effect)
0.390125,0.0169
0.65035,0.036625
1.012125,0.04705
1.0947,0.06045
1.235525,0.07685
1.257275,0.0874
1.4829,0.095425
1.51445,0.102025
1.568125,0.1112
1.574775,0.1208
1.8977,0.1332
2.006125,0.151175
2.888925,0.163625
3.250075,0.176425
3.2978,0.189025
3.5328,0.229975
3.575475,0.2427
4.0595,0.253725
4.1659,0.269425
4.187725,0.281625
5.33015,0.3159
6.08105,0.335875
6.39595,0.36115
6.633675,0.3768
7.0873,0.398575
7.835375,0.4139
8.382225,0.441275
8.654875,0.459175
9.145775,0.47625
9.167475,0.515725
9.63245,0.54235
9.671775,0.559725
9.9271,0.5757
10.279425,0.5886
10.89555,0.605425
10.995125,0.6278
11.36825,0.6501
11.53265,0.67045
12.24325,0.69945
12.274775,0.7485
12.4576,0.772
12.79525,0.802325
13.380675,0.830325
13.50535,0.85555
14.089225,0.87735
14.5488,0.895375
15.266525,0.928425
15.286325,0.96215
15.466675,1.0044
16.36435,1.038725
17.2717,1.06105
17.927675,1.078825
18.20475,1.094325
18.7847,1.10875
18.8141,1.12295
19.0661,1.134625
19.273525,1.1487
19.416625,1.175675
19.49485,1.19805
20.77935,1.224425
20.808275,1.258675
20.99655,1.2837
21.1405,1.303175
21.25535,1.32145
21.837425,1.338775
22.190125,1.3679
22.4909,1.387875
22.78845,1.421525
22.932225,1.478075
23.08375,1.5058
23.199875,1.52425
23.59725,1.537
23.6527,1.553825
23.66675,1.5676
23.681575,1.582225
24.1139,1.598125
24.17305,1.609375
24.367225,1.6277
24.9496,1.652475
25.187925,1.66835
25.3627,1.686325
25.4731,1.706
25.893,1.7277
26.78945,1.756425
26.891625,1.79045
27.041175,1.814475
27.203525,1.834475
28.080975,1.856275
28.207175,1.872375
28.351125,1.90075
28.676625,1.9245
29.511275,1.947
29.9652,1.97265
29.988375,1.989075
30.150625,2.010575
30.581525,2.027525
30.75895,2.04385
30.84835,2.06265
32.051525,2.081
32.70035,2.10075
32.775525,2.119425
32.834675,2.15375
33.0082,2.18025
33.63405,2.2081
34.186075,2.22925
34.2932,2.24815
34.345425,2.2593
34.380675,2.277775
34.52135,2.301525
34.674025,2.333275
35.699225,2.356025
36.0307,2.38595
36.64655,2.410675
37.203975,2.44135
37.6265,2.478025
38.00635,2.5146
38.659025,2.55425
39.341175,2.568775
39.37545,2.5772
39.48555,2.590325
39.7156,2.59865
39.80475,2.6071
39.967575,2.6147
40.008875,2.620125
40.0496,2.630825
40.21715,2.636925
40.816525,2.647975
41.531125,2.652275
41.78885,2.6598
42.073225,2.679075
42.631725,2.690025
43.214075,2.6973
43.4678,2.706275
43.906725,2.7238
44.196625,2.735725
44.2038,2.738225
44.3646,2.753
45.707825,2.7687
45.74205,2.772075
45.955125,2.77895
46.1435,2.7983
46.495225,2.8094
47.4645,2.8213
47.4785,2.8359
47.5029,2.85245
47.83595,2.8629
47.88785,2.87435
48.38485,2.88945
48.478275,2.90185
48.66115,2.93085
49.599425,2.94685
49.93745,2.963625
50.27025,2.978575
50.50055,2.9974
50.563875,3.07275
52.108425,3.0952
52.1528,3.12375
52.85905,3.14985
52.91685,3.17715
53.661575,3.19865
54.4952,3.222275
54.57595,3.25275
