SPK_SPKC06a (excited),SPK_SPKC06b (no effect),SPK_SPKC12a (NA)
0.01795,0.02395,0.00325
0.0301,0.07375,0.012275
0.0478,0.209925,0.052925
0.055425,0.3468,0.076925
0.0606,0.5723,0.091975
0.0816,0.845225,0.097
0.13225,0.870175,0.105175
0.147625,0.933375,0.110675
0.16105,1.057175,0.126025
0.191675,1.074775,0.150775
0.207725,1.09095,0.1608
0.229075,1.14355,0.172075
0.24555,1.169075,0.1805
0.276375,1.1959,0.19555
0.300225,1.214275,0.202875
0.359525,1.318825,0.211425
0.389775,1.671975,0.2297
0.41375,1.760925,0.243275
0.428775,1.997025,0.2462
0.4549,2.113225,0.254925
0.4712,2.13565,0.2828
0.4871,2.198475,0.2915
0.5086,2.47385,0.302075
0.5276,2.691475,0.312575
0.544475,2.725625,0.334975
0.591275,2.861325,0.348025
0.62185,2.94435,0.3574
0.639625,3.0483,0.368425
0.658425,3.2741,0.381425
0.699025,3.304025,0.39375
0.7229,3.3288,0.404625
0.737125,3.350125,0.41185
0.752425,3.3599,0.4131
0.782925,3.61725,0.4206
0.8271,3.625975,0.434375
0.8953,3.668825,0.45185
0.914725,3.828475,0.463275
0.962,3.86155,0.471675
0.998275,3.87525,0.476975
1.02715,3.885425,0.481275
1.102325,4.037675,0.490075
1.12145,4.070925,0.49845
1.17985,4.153225,0.51145
1.2401,4.2345,0.530825
1.2856,4.270025,0.548275
1.36255,4.362075,0.5691
1.399025,4.5062,0.57705
1.424975,4.5493,0.584
1.462,4.63365,0.6028
1.47555,4.6952,0.6153
1.48625,4.7995,0.628
1.527625,4.807175,0.6376
1.551225,4.81805,0.648175
1.573325,5.021725,0.671775
1.585075,5.0912,0.6878
1.6338,5.23305,0.699225
1.65225,5.272325,0.7115
1.688075,5.325,0.73085
1.699575,5.472975,0.736775
1.72245,5.7379,0.750825
1.737875,5.841225,0.763825
1.748425,6.083325,0.778675
1.776725,6.159775,0.79645
1.790525,6.1783,0.811425
1.804625,6.257375,0.8405
1.826725,6.3021,0.856275
1.847025,6.3956,0.8842
1.8698,6.64575,0.89815
1.9023,6.790425,0.914575
1.9278,6.83515,0.929
1.9523,6.9044,0.940425
