SPK_SPKC04a (no effect),SPK_SPKC08a (excited)
0.0022,0.20805
0.02345,0.331625
0.04765,0.420025
0.0696,0.4631
0.105675,0.534425
0.172675,0.5519
0.198975,0.643375
0.36745,0.69395
0.38545,0.8221
0.512225,0.86765
0.5495,1.106225
0.586925,1.1541
0.70515,1.186875
0.7272,1.308625
0.78605,1.376325
0.8171,1.3969
0.860475,1.455925
0.888125,1.48005
0.919525,1.49175
0.963225,1.514775
1.051525,1.570025
1.073525,1.615625
1.14425,1.6938
1.257475,1.7346
1.365275,1.758775
1.41325,1.82165
1.423175,1.856375
1.476075,2.034675
1.60225,2.066725
1.620475,2.13635
1.669175,2.1576
1.689075,2.176275
1.7163,2.22425
1.771475,2.26385
1.791725,2.373325
1.8168,2.405075
1.8482,2.45305
1.894375,2.542275
1.9448,2.623
1.947325,2.708475
1.9924,2.750925
2.04085,2.783925
2.059925,2.9069
2.1377,3.122375
2.269175,3.1479
2.2923,3.1753
2.36975,3.265325
2.3978,3.30845
2.4267,3.431275
2.444075,3.483875
2.539225,3.70005
2.669025,3.78645
2.683825,3.843475
2.7235,4.074
2.73955,4.18135
2.7701,4.24395
2.8163,4.30425
2.888075,4.35605
2.89325,4.42165
2.91685,4.527675
2.93715,4.57685
2.952675,4.644425
2.963125,4.673825
2.98295,4.751875
3.070725,4.862025
3.109975,4.90805
3.1222,4.960525
3.138675,4.99905
3.16435,5.07285
3.16655,5.111775
3.1801,5.173325
3.2225,5.305775
3.241275,5.363575
3.268,5.458075
3.2956,5.4839
3.318975,5.54855
3.358,5.648525
3.366875,5.6992
3.378825,5.72925
3.4078,5.9411
3.459325,6.125975
3.472625,6.1957
3.49495,6.218125
3.5611,6.25865
3.630175,6.347825
3.71715,6.3704
3.8685,6.403
3.9338,6.4263
3.960625,6.451275
4.1717,6.499675
4.1995,6.5985
4.203425,6.646425
4.274675,6.71235
4.304375,6.802375
4.3657,6.849575
4.50375,6.92215
4.61695,6.9771
4.63275,7.0265
4.668975,7.06025
4.78195,7.078525
