SPK_SPKC06a (short excitation),SPK_SPKC09a (no effect),SPK_SPKC14a (weak inhibition)
0.022075,0.01815,0.00685
0.0342,0.101,0.018975
3.7056,0.1182,0.044925
4.77615,0.13515,0.072725
5.2275,0.205075,0.0813
5.93395,0.35145,0.1027
6.026,0.415875,0.13395
6.450225,0.42905,0.145875
6.77615,0.520825,0.1552
6.804175,0.55125,0.1706
6.8211,0.560425,0.204775
7.06535,0.600025,0.226325
7.178275,0.61485,0.2936
7.547175,0.634425,0.30945
7.8471,0.65825,0.321475
7.977775,0.6828,0.34855
8.0064,0.836075,0.383925
8.027775,0.9486,0.4153
8.0925,0.977125,0.467525
8.360275,1.21965,0.49525
8.699425,1.38075,0.5233
8.71405,1.414925,0.53945
9.077525,1.49655,0.5694
9.188475,1.594775,0.5906
9.2073,1.629325,0.622075
9.293225,1.643525,0.636025
9.44765,1.850125,0.6788
11.026325,1.900975,0.70115
11.7375,2.06935,0.7509
12.33895,2.10765,0.7692
12.375875,2.12795,0.83875
12.660525,2.151425,0.869475
12.77305,2.17015,0.91735
13.25635,2.2433,0.9796
13.440825,2.35345,1.011575
13.89625,2.407775,1.034975
13.9338,2.437475,1.0524
13.9388,2.540225,1.074225
14.271825,2.581175,1.100075
14.936425,2.670625,1.1378
15.04835,2.71685,1.15775
15.311425,2.74545,1.16865
15.45855,2.7684,1.18375
15.51245,2.792775,1.21435
15.7013,2.83365,1.243525
16.68755,2.85255,1.319775
16.767175,2.873625,1.3506
17.2628,2.921425,1.368775
17.709325,2.93135,1.4129
18.170775,2.9833,1.4496
18.333925,3.0269,1.516
18.75615,3.1126,1.545875
19.450975,3.153175,1.571225
19.454525,3.1802,1.63595
20.106,3.216525,1.673625
20.8968,3.2394,1.692525
21.7056,3.3692,1.70775
22.1417,3.391025,1.719925
22.19345,3.449875,1.78055
22.78735,3.473525,1.796525
22.8034,3.5889,1.814075
22.8194,3.631925,1.85035
23.2792,3.650575,1.871
23.294275,3.65765,1.8814
23.302325,3.7438,1.9047
23.4607,3.8308,1.91805
23.475475,3.916675,1.98045
23.6153,3.96385,1.9903
23.6588,4.0408,2.00655
24.08275,4.14745,2.022375
24.153025,4.18245,2.037075
24.308275,4.26605,2.0631
24.5382,4.315375,2.08615
24.6995,4.332,2.148
24.8062,4.379775,2.2053
24.874175,4.47595,2.23215
25.38875,4.525625,2.2496
25.595125,4.558075,2.27365
25.6124,4.583125,2.3173
25.665675,4.677375,2.33235
25.804475,4.7244,2.358075
25.869025,4.7512,2.38345
25.922575,4.7585,2.41095
25.937275,4.779775,2.436825
26.008125,4.8119,2.492525
26.128875,4.863275,2.5291
26.3316,4.891425,2.554875
26.470825,4.992725,2.5698
26.677475,5.015575,2.6304
26.8168,5.033125,2.642675
26.853625,5.0507,2.6806
26.902575,5.14045,2.73455
27.38985,5.1553,2.80225
27.545175,5.22575,2.83195
27.67255,5.243575,2.870175
28.234475,5.307,2.884
28.695975,5.4972,2.916675
28.868425,5.540675,2.928525
29.616425,5.615425,2.950125
29.7,5.658675,2.987425
30.1392,5.723825,3.019625
30.692725,5.7557,3.049575
31.029525,5.77605,3.08285
31.174125,5.925475,3.094075
32.1262,5.941025,3.11405
32.354925,6.0671,3.1267
32.461775,6.161675,3.1648
32.478525,6.20875,3.18415
33.4237,6.2783,3.201325
34.7023,6.3252,3.2337
35.255875,6.435275,3.271
35.27975,6.476825,3.29875
35.597325,6.494975,3.357925
35.71365,6.543775,3.380175
36.068925,6.62935,3.395175
36.7069,6.649325,3.443175
36.819025,6.68505,3.45645
37.2408,6.727125,3.47325
37.557675,6.820875,3.516325
38.191275,6.84795,3.56625
39.250825,6.86455,3.59835
39.8823,6.8728,3.652825
39.97055,6.885325,3.7858
40.5337,6.898,3.822125
40.858175,6.934525,3.8424
41.56955,7.054575,3.8712
42.472075,7.087525,3.959375
42.548575,7.12295,3.9879
42.94555,7.24295,4.0706
43.868175,7.252425,4.1056
44.339925,7.27075,4.1443
44.40935,7.337875,4.1783
44.542625,7.5463,4.204075
44.8923,7.559375,4.2225
44.910775,7.726625,4.247375
45.136525,7.859675,4.287025
45.144425,7.877625,4.317575
45.1522,7.9255,4.33515
45.475875,7.958225,4.3481
45.493225,8.04495,4.38005
45.59005,8.098625,4.395725
46.0094,8.117125,4.4484
46.195125,8.174925,4.4712
46.2828,8.189575,4.500075
46.462825,8.3882,4.552375
46.547425,8.51665,4.60045
46.6134,8.540875,4.61305
46.814675,8.559425,4.630525
47.010925,8.6085,4.670475
47.0562,8.63265,4.69875
47.3278,8.660375,4.780125
47.374625,8.708475,4.794725
47.48305,8.879,4.846075
48.9496,8.972875,4.921675
49.097425,9.0037,4.93825
49.663225,9.06315,4.9884
49.885575,9.1565,5.009375
49.968125,9.3164,5.03305
50.086325,9.422,5.05205
50.09975,9.4591,5.080025
50.3618,9.475625,5.0924
50.4951,9.507375,5.103725
50.890475,9.57125,5.1054
50.97645,9.608375,5.11745
51.65875,9.6954,5.14355
52.05235,9.794575,5.237075
53.0495,9.827375,5.28885
53.222775,9.850125,5.356925
53.259075,9.879125,5.404675
53.6336,9.9494,5.4406
53.825975,9.9624,5.45115
54.199875,9.973825,5.473375
54.426275,10.065275,5.4928
54.675075,10.184,5.5089
54.8325,10.20525,5.528225
54.887725,10.2337,5.546025
54.9863,10.34965,5.555575
55.088675,10.464575,5.590675
55.23805,10.525475,5.60055
55.2706,10.690825,5.6328
55.61355,10.72325,5.654275
55.786175,10.769875,5.6913
55.789025,10.793475,5.75575
56.04485,10.82115,5.769675
56.1875,11.03035,5.7972
56.19315,11.113425,5.83515
57.095125,11.188425,5.86265
57.372825,11.240425,5.894975
57.7346,11.303475,5.915075
57.9186,11.322275,5.94385
59.462975,11.3427,5.974375
59.716925,11.44225,6.002475
59.783875,11.4833,6.02725
59.802075,11.504225,6.053925
59.878675,11.52105,6.061075
60.200325,11.5534,6.074275
60.209925,11.623875,6.13835
60.28045,11.728525,6.166525
60.767425,11.755775,6.17935
60.783325,11.783925,6.2518
60.825675,11.8178,6.2673
60.8831,11.86175,6.304725
61.07395,11.88045,6.37065
61.183725,11.902675,6.397075
62.30495,11.921725,6.417125
62.46915,11.985125,6.47375
62.9353,12.0164,6.508325
63.072425,12.033175,6.522625
63.299625,12.051025,6.568125
63.355025,12.063125,6.688575
64.301825,12.111875,6.711675
64.37005,12.174775,6.72915
64.42175,12.253725,6.765675
64.568875,12.3169,6.837525
64.654425,12.36535,6.88585
64.67235,12.4212,6.90795
64.705775,12.49,6.983775
64.74265,12.50245,7.04685
65.044,12.5362,7.0968
65.275175,12.581775,7.106125
65.5476,12.60345,7.111325
65.648175,12.631775,7.13365
65.879075,12.6401,7.16255
66.194425,12.780725,7.17905
66.35925,12.790425,7.19135
66.6554,12.8095,7.229975
66.67955,12.82065,7.237925
66.723825,12.845125,7.277025
67.010975,12.893825,7.339475
67.732475,12.918,7.349975
67.76395,12.928875,7.377475
67.930975,13.00325,7.3971
68.023925,13.050175,7.40745
68.088475,13.1671,7.4239
68.123925,13.1823,7.4941
68.6771,13.205125,7.578925
68.701825,13.51075,7.607225
68.747475,13.55965,7.62055
69.35325,13.5748,7.660475
69.483,13.620975,7.679325
69.50915,13.688575,7.7191
69.78355,13.70645,7.763275
70.05245,13.835725,7.775725
70.075225,13.854025,7.809075
71.29665,13.97215,7.89155
71.317525,14.032075,7.952625
72.04915,14.110075,7.982825
72.1786,14.44895,8.00025
72.446925,14.4617,8.03435
72.695625,14.47365,8.10245
73.1953,14.5238,8.12465
73.282225,14.544025,8.1572
73.346875,14.7141,8.172475
73.46555,14.748575,8.238175
73.81975,14.777475,8.2466
74.07435,14.79085,8.3824
74.53685,14.92365,8.45175
74.678525,14.936125,8.486925
75.410475,14.945425,8.5385
75.562125,14.96185,8.72515
75.58,15.0108,8.75095
75.71465,15.03015,8.79385
76.0506,15.04125,8.79925
76.479,15.149375,8.935725
76.65365,15.199175,9.078975
76.660425,15.31035,9.091925
76.74355,15.32395,9.1186
77.242575,15.446775,9.12895
77.3136,15.49645,9.160075
77.4165,15.689675,9.1776
78.35375,15.761575,9.33015
78.38915,15.823975,9.3553
78.426625,15.879875,9.3655
78.547,16.09215,9.427825
78.75165,16.115825,9.516675
78.790625,16.238725,9.573675
78.83155,16.291225,9.583775
79.0196,16.473475,9.597525
79.0301,16.5173,9.644375
79.183125,16.6277,9.719575
79.215975,16.755025,9.729925
79.323475,16.773575,9.792975
79.649075,16.82335,9.8052
80.811625,16.968675,9.818325
81.208325,17.092775,9.858475
81.222625,17.2997,9.86845
81.89185,17.3303,9.910475
82.0469,17.3869,9.9913
82.30375,17.5083,10.067675
82.705875,17.56385,10.08775
83.44805,17.58725,10.2504
83.589575,17.63055,10.30455
84.34645,17.691825,10.315
84.764075,17.791075,10.351875
85.710075,17.8437,10.47595
86.05935,18.067025,10.4957
86.285175,18.2136,10.56765
86.558125,18.247125,10.6112
86.60545,18.341925,10.7013
86.654525,18.438925,10.819525
86.71245,18.4767,10.8845
87.019925,18.514025,11.0324
87.085475,18.53675,11.039925
87.190125,18.57045,11.058825
87.224375,18.7113,11.080175
87.430225,18.72965,11.09095
87.592125,18.74925,11.17655
87.7889,18.789225,11.21375
87.848975,18.92605,11.230525
87.92595,18.935775,11.266025
88.221175,18.9783,11.283475
88.236325,18.9956,11.295675
88.727625,19.01375,11.316775
89.092475,19.078575,11.3259
89.32285,19.086075,11.3564
89.780575,19.089125,11.392075
89.95175,19.095,11.463775
90.060825,19.1017,11.478525
90.129325,19.138975,11.50925
90.277225,19.174675,11.567775
90.34545,19.189875,11.65725
90.476225,19.305525,11.7017
90.525,19.349725,11.733475
90.542125,19.360775,11.756325
90.70385,19.48115,11.7779
90.939775,19.5107,11.800475
91.1418,19.529425,11.81725
91.29375,19.6054,11.833925
91.31565,19.7063,11.849225
91.8598,19.7857,11.86115
91.975825,19.93015,11.890375
92.53095,20.0451,11.902925
92.618425,20.09145,11.94295
93.141025,20.165875,11.97125
93.27375,20.193525,12.0151
93.288425,20.2076,12.02925
93.382875,20.295325,12.0984
93.3922,20.3405,12.125025
93.4829,20.46745,12.19685
93.58295,20.4823,12.235275
94.343875,20.5011,12.27615
94.916025,20.539175,12.31725
95.0204,20.582625,12.3275
95.375725,20.6536,12.3795
95.62065,20.70515,12.4239
95.805875,20.758225,12.4728
96.114775,20.820425,12.4976
96.5907,20.90455,12.536475
96.63825,20.9121,12.540625
96.705025,20.9426,12.592225
96.782525,21.003775,12.7063
97.35135,21.0788,12.722875
97.366325,21.21295,12.74395
98.14815,21.281175,12.745675
98.255725,21.303575,12.75775
98.301375,21.3329,12.79445
98.4965,21.366125,12.853725
98.5852,21.3805,12.88185
98.9383,21.404,12.8967
99.019125,21.42415,12.93185
99.2409,21.54615,12.994525
100.492575,21.5901,13.036175
100.50365,21.608875,13.04965
100.749775,21.662125,13.1156
100.996325,21.68695,13.167425
101.4027,21.8466,13.1869
101.466825,22.000325,13.212425
101.57115,22.01775,13.22715
101.666875,22.0261,13.25165
101.686925,22.060725,13.3327
101.8493,22.08915,13.39895
101.897075,22.11575,13.408175
102.277525,22.1622,13.423175
102.32245,22.195475,13.439375
102.443875,22.2044,13.50635
102.74405,22.355775,13.631125
102.75425,22.36515,13.646825
103.367325,22.373725,13.6734
103.504675,22.392675,13.74965
103.7499,22.4013,13.775925
103.761175,22.431225,13.793675
105.51825,22.494325,13.809725
106.688525,22.519,13.8187
106.813025,22.551825,13.88545
107.07745,22.564175,13.921275
107.194975,22.6634,13.9348
107.2004,22.699675,13.94885
107.29095,22.7188,13.966
107.41225,22.752725,13.9854
107.828325,22.76745,14.06495
108.00205,22.7776,14.092125
108.550475,22.8323,14.1909
108.596975,22.8528,14.241
108.8228,22.872875,14.281475
109.88695,22.930175,14.296375
110.9505,22.970575,14.32185
110.9851,22.994625,14.357425
110.99955,23.042875,14.451925
111.014,23.051375,14.4894
111.20675,23.06175,14.5088
111.288525,23.100875,14.533025
111.524575,23.196875,14.55105
111.565225,23.2137,14.5701
111.7557,23.4924,14.61585
111.792925,23.508475,14.65005
111.943875,23.5406,14.7189
112.13505,23.545925,14.764875
112.24145,23.608675,14.78915
112.671925,23.62715,14.825
112.689525,23.7015,14.886075
113.09765,23.718675,14.961375
113.874525,23.8144,14.97565
114.147175,23.902725,15.02715
114.87955,23.975175,15.07795
115.4487,23.99945,15.115375
115.5736,24.03585,15.1471
115.74605,24.117225,15.1933
115.8011,24.181325,15.32015
115.87635,24.238925,15.33445
116.07385,24.27995,15.3649
116.089125,24.3162,15.400775
116.536825,24.3717,15.4512
116.885925,24.3971,15.5516
116.911925,24.5216,15.589325
117.70455,24.580175,15.617875
117.90725,24.608675,15.64775
117.975375,24.6409,15.65775
118.32945,24.726925,15.7179
118.726525,24.7476,15.7303
119.013375,24.7846,15.744675
119.03045,24.80905,15.771325
119.0946,24.8126,15.779475
119.218,24.8858,15.850575
119.25745,24.95855,15.897675
119.618275,24.993325,15.935
119.691,25.1364,15.943625
120.010775,25.18835,15.9917
120.144475,25.333625,16.001125
120.288075,25.369175,16.161375
120.368075,25.54,16.19125
120.61425,25.5657,16.209725
120.67495,25.6176,16.27275
120.690875,25.66535,16.366375
120.87505,25.68155,16.39675
121.38315,25.706175,16.414025
121.4591,25.7232,16.43935
121.462225,25.742675,16.470525
121.4834,25.78645,16.501525
121.79775,25.804175,16.530525
123.26605,25.922375,16.549275
123.3312,25.989325,16.561425
123.56735,26.009675,16.576175
123.60655,26.071425,16.623625
123.717125,26.207225,16.636775
123.723675,26.309125,16.6515
124.074875,26.4612,16.72165
124.231275,26.46685,16.7902
124.35195,26.507775,16.79895
124.4726,26.52595,16.8141
124.867225,26.57825,16.82795
125.04705,26.630025,16.8683
125.146,26.756975,16.92615
125.36615,26.7735,16.9654
125.46145,26.897225,16.9818
125.585425,26.91975,17.020125
126.6232,27.02695,17.055875
126.681575,27.045525,17.0772
127.21465,27.090775,17.0939
127.294075,27.294125,17.1584
127.41515,27.32785,17.19435
127.524975,27.35065,17.241975
127.7004,27.374625,17.25925
127.72145,27.498625,17.27065
127.738875,27.5928,17.2919
127.928425,27.615325,17.31285
127.936925,27.63675,17.336275
128.098325,27.71035,17.3937
128.3416,27.728625,17.43575
128.52485,27.8692,17.451375
128.9031,27.8873,17.47055
129.008,27.910925,17.50185
129.097175,27.93165,17.517975
129.116175,28.078825,17.539225
129.272475,28.1145,17.55845
129.4834,28.130225,17.58835
130.032175,28.146325,17.6246
130.174975,28.175225,17.64405
130.369825,28.203025,17.69745
130.531,28.230125,17.72365
130.570675,28.2756,17.77215
131.1389,28.287675,17.8482
131.20725,28.324,17.916275
131.2545,28.378175,17.9374
131.346225,28.502275,17.95405
131.418975,28.52355,18.0439
131.629525,28.5381,18.07635
131.812,28.706875,18.091175
132.1334,28.769975,18.121325
132.157275,28.78365,18.1373
132.3112,28.845675,18.154825
