SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
0.1195,0.1934,0.00315,0.00925,0.153125
1.010325,1.090675,0.044275,0.02895,0.199325
1.255575,2.722175,0.1413,0.051175,0.228225
1.425775,3.494675,0.173775,0.145075,0.255375
1.44515,3.768275,0.181775,0.1763,0.26895
1.645925,3.779525,0.193425,0.194825,0.370325
1.86255,6.185175,0.237975,0.242725,0.4703
2.498625,6.94325,0.2431,0.280125,0.47625
3.05705,7.7401,0.26095,0.293,0.569925
3.279975,8.073275,0.29515,0.349525,0.58885
3.876175,8.299775,0.310575,0.373925,0.608475
4.439,8.9529,0.31605,0.40675,0.66895
4.607975,9.70165,0.362475,0.470175,0.7311
4.866775,10.151475,0.407675,0.509,0.767425
4.8975,10.973475,0.43525,0.569825,0.84915
5.0319,11.19075,0.495025,0.58415,0.864875
6.77735,12.502425,0.52455,0.610775,0.927575
7.324925,13.20335,0.5675,0.634825,0.99935
7.72015,13.366475,0.5992,0.678875,1.178225
7.744125,14.008375,0.630325,0.73155,1.251525
8.059925,15.188775,0.6519,0.7882,1.267275
8.377975,15.59875,0.681925,0.81145,1.281125
8.54435,15.90775,0.714275,0.871875,1.355025
8.6758,16.483325,0.743375,0.910575,1.51855
8.754575,16.500225,0.78055,0.93595,1.534975
9.3332,17.2206,0.817825,1.0008,1.5949
10.1017,17.274675,0.850875,1.02735,1.6327
10.183775,18.402375,0.8808,1.082725,1.68965
10.215625,21.758425,0.916975,1.104425,1.71585
10.381025,21.95185,0.9466,1.147975,1.87525
10.4003,22.012775,0.94935,1.16485,1.8996
10.568975,22.972425,0.9777,1.1985,1.91825
10.6539,22.9982,1.055925,1.237125,2.0182
10.92435,23.045925,1.074125,1.2511,2.036825
11.202925,24.010425,1.09065,1.299,2.08405
11.22065,26.325175,1.128775,1.382225,2.113675
11.234275,26.71005,1.135975,1.465175,2.18135
11.320125,26.9264,1.1798,1.500275,2.218925
11.702175,28.78695,1.193725,1.520225,2.328025
12.045325,29.1875,1.2703,1.5588,2.374175
12.05975,29.743625,1.27695,1.582,2.40415
12.084875,31.1025,1.286425,1.6112,2.431525
12.161275,31.149075,1.3437,1.6386,2.4621
12.360975,31.7878,1.36035,1.69855,2.54925
12.3715,34.710525,1.361675,1.717875,2.591275
12.682,35.19725,1.374,1.75005,2.66485
13.149325,35.52125,1.38335,1.7743,2.684175
13.611125,35.63525,1.408925,1.8152,2.72415
13.9991,35.718675,1.431625,1.836775,2.7582
14.0546,35.846325,1.450975,1.859875,2.80345
14.30795,36.124875,1.460175,1.886325,2.861375
14.385175,36.308475,1.463025,1.9138,2.888525
14.9476,36.817425,1.65005,1.946325,2.9178
15.053175,36.843925,1.68835,1.978825,2.951525
15.112775,37.149575,1.7284,2.023525,3.07105
15.236725,38.18575,1.764975,2.041025,3.143525
15.302825,38.2176,1.786,2.070575,3.251825
15.48715,38.32505,1.790425,2.0956,3.577075
15.705025,38.356575,1.9276,2.111375,3.5995
15.842325,38.8681,1.961725,2.12945,3.6051
15.90935,38.879775,2.006575,2.18585,3.64325
15.975025,38.9302,2.029825,2.21695,3.792
16.046175,38.9946,2.057125,2.27175,3.935125
16.3328,39.170525,2.0736,2.287725,3.96555
16.5005,39.1956,2.087925,2.307825,4.1938
16.545825,39.783375,2.132825,2.3459,4.2219
16.931925,39.8253,2.15805,2.420875,4.253375
16.944925,40.085275,2.219425,2.4919,4.376075
16.98765,40.12835,2.268425,2.515425,4.405575
17.195075,41.21055,2.315375,2.533675,4.61715
17.654275,41.87685,2.3283,2.55045,4.75305
18.414975,42.09765,2.390975,2.5789,4.808025
18.421625,42.171275,2.395825,2.6139,4.81815
18.465825,42.199575,2.42275,2.658075,4.834325
18.473675,42.6761,2.44885,2.674675,4.847025
18.537925,43.473425,2.49975,2.690975,4.898125
18.5759,44.027875,2.520775,2.708075,4.938675
18.618325,44.494575,2.553575,2.76415,5.07645
18.8597,45.1279,2.5677,2.808625,5.12245
19.053425,45.227275,2.584775,2.887575,5.1435
19.0887,46.063125,2.607325,2.918875,5.17645
19.647725,46.240725,2.67485,2.947625,5.26405
19.97395,46.4823,2.760675,2.987,5.3811
20.0897,46.725125,2.80025,3.020025,5.3947
20.115425,46.9461,2.840775,3.061525,5.3968
20.197925,47.211275,2.875575,3.10235,5.4873
20.7199,47.66645,2.906975,3.13455,5.498675
20.959875,48.113775,2.9615,3.173175,5.562175
21.044275,48.6556,2.99945,3.202175,5.5865
21.843575,48.84525,3.035125,3.256775,5.6662
21.9241,50.209275,3.11945,3.291075,5.67945
22.316175,50.304675,3.1862,3.316825,5.720175
23.084375,50.338925,3.232175,3.343525,5.74
23.126375,50.985,3.259225,3.4337,5.771725
24.386275,51.749575,3.271825,3.475425,5.858425
24.526275,52.635475,3.355725,3.50125,5.9129
24.59255,52.963575,3.40335,3.53005,5.933425
24.942975,52.9751,3.4334,3.56705,5.971375
25.187325,53.542625,3.493225,3.587775,5.999475
25.40685,54.1531,3.494675,3.6032,6.102125
25.5008,55.178325,3.537125,3.630725,6.14915
25.931175,55.415325,3.5673,3.661875,6.187625
26.003675,56.1784,3.592075,3.727975,6.227475
26.210875,56.365775,3.59655,3.74955,6.2401
26.57495,56.637125,3.627575,3.799375,6.2508
26.7633,56.9937,3.655375,3.8516,6.314825
27.113725,57.139225,3.707025,3.901775,6.378075
27.355625,57.17455,3.7296,4.027775,6.406825
27.403375,59.742375,3.755075,4.063575,6.493525
27.95175,60.231275,3.844325,4.087275,6.51065
28.03265,60.45995,3.862875,4.139525,6.619575
28.144025,60.650825,3.895275,4.3038,6.69265
28.20745,60.9843,3.907925,4.32385,6.73935
28.378275,61.30685,3.9338,4.387725,6.793525
28.53275,61.3667,3.936425,4.483875,6.859925
29.223375,61.4198,4.016675,4.530875,6.891275
29.266725,61.4786,4.053525,4.64275,6.95775
29.484925,61.87695,4.083775,4.6609,6.985
29.550625,61.909725,4.111775,4.738675,7.028975
29.68205,62.472025,4.131225,4.830225,7.18845
30.265675,62.933675,4.1545,4.85085,7.255925
30.477675,63.9831,4.1722,4.8661,7.3096
30.57475,65.335925,4.211225,4.895175,7.377325
31.036925,65.617475,4.234575,4.932775,7.40725
31.103925,66.034125,4.258075,4.95355,7.416725
31.296525,66.085,4.356275,5.002275,7.688075
31.609675,66.301775,4.42565,5.019725,7.7007
31.638875,66.377375,4.5175,5.0794,7.716325
31.660275,66.650675,4.559325,5.120575,7.7402
31.7525,66.7555,4.6012,5.138625,7.763525
32.235175,66.9222,4.624575,5.210125,7.78635
32.516475,67.27025,4.637575,5.244075,7.8056
32.722975,67.3263,4.69555,5.27305,7.819675
32.7921,68.089525,4.70235,5.318975,7.85005
32.812325,69.827225,4.72485,5.404125,7.88845
32.93015,69.868025,4.7654,5.4629,7.899075
33.12415,70.88545,4.784575,5.47615,7.928025
33.449925,71.781875,4.812675,5.491375,7.9322
34.0089,71.8142,4.821675,5.519425,7.94915
34.47135,71.917025,4.847975,5.535425,7.98145
34.513075,72.254175,4.854575,5.564575,8.042475
34.51445,72.395275,4.868575,5.600675,8.146225
34.61905,72.429725,4.916975,5.651675,8.199475
34.90015,72.64115,4.955525,5.706675,8.2178
34.974175,72.87235,4.993625,5.7456,8.230675
35.02405,72.9086,5.0267,5.807025,8.332625
35.101725,73.2493,5.054425,5.863775,8.351325
35.311625,74.259175,5.133375,5.8902,8.3668
35.432475,74.446025,5.1434,5.969825,8.385475
35.4483,74.550025,5.18175,5.999275,8.422
35.50475,75.1822,5.23445,6.0164,8.4243
35.5719,75.406625,5.262875,6.0437,8.4554
35.5784,75.549175,5.394475,6.094225,8.549675
35.830325,75.62065,5.4358,6.181775,8.5606
35.894,75.681525,5.465925,6.198375,8.569075
36.0738,76.469175,5.512775,6.203475,8.593675
36.3061,77.9723,5.521475,6.238425,8.609025
36.430075,78.1266,5.52915,6.274075,8.64345
36.503325,79.145725,5.5477,6.295525,8.6626
36.5481,79.1657,5.567075,6.306025,8.70505
36.70595,79.48085,5.653975,6.33105,8.8083
36.8149,79.517025,5.697725,6.369025,8.8793
37.1667,80.0358,5.730275,6.407225,8.88685
37.202775,80.852375,5.764425,6.44085,8.8965
37.2889,82.236025,5.81855,6.52155,8.951975
37.3479,82.6342,5.865425,6.53605,8.970775
37.51195,83.194,5.903975,6.628775,8.9832
37.610525,83.281,6.01665,6.65015,9.00105
37.72415,83.284025,6.1088,6.668825,9.0395
37.92605,83.6856,6.140475,6.71715,9.051825
38.112475,84.038575,6.19785,6.766725,9.06265
38.825925,84.04675,6.215575,6.813225,9.1559
38.95875,84.307775,6.268325,6.8373,9.21025
