SPK_SPKC01a (no effect),SPK_SPKC09a (inhibited)
0.032875,0.002625
0.05855,0.1119
0.066225,0.2176
0.094175,0.41885
0.128675,0.48695
0.149075,0.528325
0.1871,0.540575
0.199425,0.70275
0.2397,0.730225
0.2818,0.844575
0.292725,0.879325
0.323,0.94245
0.3334,1.171975
0.3853,1.221925
0.4173,1.302875
0.454725,1.43655
0.4795,1.507625
0.509575,1.561
0.5382,1.5783
0.585525,1.602425
0.614,1.806975
0.63655,1.884825
0.6686,1.944125
0.70225,1.981
0.7129,2.0134
0.74255,2.0814
0.77375,2.344825
0.81695,2.438125
0.861,2.493025
0.88585,2.699975
0.922825,2.79365
0.937325,2.890975
0.97725,2.8991
1.001425,2.93865
1.0517,3.131675
1.084025,3.19785
1.13415,3.3528
1.1514,3.4906
1.1787,3.63705
1.208575,4.0017
1.2356,4.5355
1.249825,4.6339
1.32965,4.638025
1.374625,4.840975
1.42535,5.1471
1.4764,5.221675
1.538875,5.3653
1.5781,5.386525
1.651675,5.507825
1.702175,5.513325
1.727975,5.5607
1.75645,5.57555
1.807275,5.632275
1.834975,5.897025
1.8678,6.198325
1.931975,6.23275
1.9687,6.299575
1.9997,6.345925
2.037375,6.7635
2.0759,6.815775
2.18445,6.888225
2.2271,6.916825
2.2804,6.93985
2.36355,7.06145
2.3755,7.089625
2.420575,7.116525
2.443025,7.11785
2.492525,7.350875
2.54585,7.4616
2.58495,7.548175
2.62675,7.74445
2.70475,7.787475
2.751375,7.854875
2.78145,7.863675
2.81965,8.077125
2.859225,8.256975
2.90105,8.276425
2.946525,8.38385
2.9813,8.437375
3.041675,8.54495
3.09265,8.627475
3.1148,8.73905
3.145075,9.104575
3.187625,9.139525
3.2109,9.177625
3.2272,9.42375
3.2524,9.43685
3.2876,9.713075
3.320975,9.853075
3.3666,9.856225
3.449175,9.9027
3.4799,9.946325
3.5126,10.107325
3.5583,10.19245
3.582,10.23445
3.624425,10.37925
3.6661,10.527575
3.715125,10.554225
3.766225,10.65345
3.788725,10.949425
3.814475,11.115475
3.843525,11.1693
3.865375,11.20295
3.885375,11.6014
3.9,11.6887
3.9489,11.734225
3.9803,11.8883
4.00315,11.980775
4.022425,11.993675
4.06755,12.21575
4.0998,12.393725
4.12315,12.4524
4.1849,12.50715
4.214075,12.623275
4.225875,12.756475
4.25915,12.7963
4.28455,13.07905
4.307475,13.10965
4.3305,13.4615
4.3569,13.490925
4.415625,13.661875
4.44025,13.72155
4.493875,14.333425
4.537875,14.4254
4.559725,14.8781
4.57745,14.8808
4.597375,14.953125
4.614025,14.976775
4.634275,14.981475
4.661275,15.305225
4.694175,15.44525
4.7031,15.4492
4.753,15.579025
4.783775,15.68215
4.814375,15.7338
4.83645,15.9533
4.8739,16.3053
4.88815,16.873225
4.900725,16.886025
4.92535,16.89185
4.961725,16.949775
4.9845,17.341925
5.00645,17.49835
5.03805,17.91715
5.058175,18.1159
5.09995,18.14515
5.122275,18.2362
5.15735,18.52305
5.19365,18.762575
5.227775,19.026375
5.264675,19.0702
5.297825,19.1703
5.321675,19.225025
5.3785,19.40955
5.421725,19.561425
5.469125,19.591825
5.497475,19.608575
5.5337,19.778675
5.586175,19.842225
5.65975,20.08705
5.7011,20.200175
5.79515,20.28435
5.829725,20.46535
5.851475,20.5725
5.8939,20.60595
5.925325,20.62715
5.9749,20.69885
6.010975,20.839975
6.0725,21.001175
6.124775,21.211125
6.18425,21.2208
6.2411,21.264175
6.293125,21.272525
6.3201,21.354175
6.3487,21.375275
6.41015,21.437725
6.439825,21.461175
6.513075,21.51705
6.590625,21.5661
6.6294,21.711175
6.6796,21.814025
6.72005,21.90185
6.778775,22.054175
6.820175,22.1142
6.8787,22.332
6.94085,22.35665
6.978425,22.4514
7.01065,22.538275
7.05085,22.864525
7.078475,23.03835
7.104525,23.5918
7.168875,23.66435
7.192625,23.671975
7.244425,23.79805
7.289,23.829125
7.35165,24.271325
7.433575,24.35415
7.4769,24.78615
7.509625,25.50045
7.556925,25.76555
7.5917,26.109975
7.62265,26.1546
7.650375,26.165825
7.71495,26.19765
7.75445,26.63315
7.793825,26.7634
7.8542,27.0659
7.88275,27.298775
7.91135,27.68425
7.969925,27.87185
8.009925,28.0535
8.030225,28.0885
8.083875,28.1197
8.128,28.193475
8.1796,28.349625
8.1973,28.665625
8.2355,28.709475
8.2641,28.87835
8.2928,29.589275
8.32355,29.685725
8.353575,29.895125
8.375475,29.9206
8.40925,30.111725
8.4127,30.693375
8.47755,30.813025
8.499975,30.94135
8.53675,31.053025
8.55635,31.173
8.577025,31.223575
8.6053,31.4688
8.645425,31.88145
8.668475,31.902675
8.712575,32.01465
8.757025,32.065125
8.82995,32.271725
8.85585,33.001375
8.883675,33.499225
8.912525,34.220475
8.936675,34.65815
8.995625,34.73735
9.020075,34.890225
9.072675,35.0172
9.0745,35.530775
9.140925,35.96585
9.179525,36.38125
9.23745,36.66415
9.2748,36.8296
9.309875,36.89355
9.335175,36.99385
9.36915,37.5627
9.392,38.398025
9.43125,38.43205
9.484475,39.1067
9.5223,39.2522
9.5493,39.92595
9.584975,40.6594
9.596425,41.0248
9.631075,41.160675
9.659975,41.24485
9.70325,41.3225
9.739825,41.8471
9.7766,42.458725
9.817125,43.90375
9.845175,44.91605
9.8864,44.987225
9.934325,45.308775
9.95495,46.121025
9.975875,48.1182
10.01255,49.08715
10.0324,50.0188
10.0438,50.313025
10.0536,50.320875
10.089375,50.932975
10.103825,51.46365
10.129675,52.220875
10.1484,52.731225
10.1723,53.3777
10.207525,54.345825
10.228725,55.671725
10.273125,56.770725
10.336425,56.8729
10.3974,57.311925
10.4226,57.52205
10.456625,58.149425
10.49105,59.0229
10.5027,59.70735
10.51885,60.55035
10.54895,60.60515
10.628825,60.714675
10.6883,61.511
10.7337,62.3199
10.7594,62.32135
10.773975,64.6642
10.822075,65.5617
10.869625,66.821775
10.903625,67.60645
10.952675,69.505275
10.994825,69.9455
11.012075,71.9821
11.03265,72.143575
11.073025,72.33255
11.086025,72.42765
11.1217,73.3489
11.1542,73.6562
11.210875,73.727675
11.254775,75.09255
11.305225,75.44095
11.340725,76.5895
11.347475,76.596975
11.393975,76.6607
11.4463,76.82015
11.480225,77.205175
11.497,77.94375
11.577575,77.94785
11.6208,77.955975
11.661475,78.31905
11.693475,78.44035
11.7214,78.496325
11.742325,79.49605
11.797075,79.5159
11.823475,79.767
11.859225,80.29665
11.8911,80.2993
11.928425,80.318125
11.97235,80.51835
11.987725,80.74525
12.0111,80.787825
12.052425,80.793175
12.079675,81.107675
12.121125,81.13275
12.14725,81.304825
12.179725,81.59505
12.19685,81.608775
12.230425,81.619225
12.252175,81.6564
12.300325,82.373625
12.344175,82.398575
12.360325,82.4353
12.371625,82.468425
12.4097,82.7043
12.456575,82.82615
12.48465,83.035075
12.518,83.0482
12.5752,83.0819
12.6104,83.093975
12.648325,83.114575
12.680375,83.2904
12.71055,83.441175
12.75145,83.44965
12.785875,83.48745
12.814675,83.49525
12.84315,83.556525
12.8975,83.59875
12.936275,83.635725
12.97765,83.764225
13.011275,83.907175
13.063625,83.931875
13.0923,84.142925
13.119325,84.164025
13.1674,84.272725
13.1897,84.680225
13.2324,84.697225
13.273325,84.714375
13.3187,84.72955
13.3788,84.808425
13.415775,84.880925
13.463925,84.956475
13.491175,85.095125
13.546,85.1047
13.57015,85.490175
13.5952,85.545125
13.620375,85.6951
13.648325,85.8701
13.658275,86.005375
13.719225,86.2897
13.783525,86.3028
13.810825,86.399475
13.8546,86.439075
13.87975,87.05325
13.90085,87.321075
13.930025,87.42815
13.950375,87.559975
13.977975,87.624525
13.995475,87.737175
14.026075,87.754675
14.04875,87.779725
14.087175,87.800525
14.12085,88.09405
14.13245,88.1943
14.232,88.230775
14.275825,88.294625
14.311825,88.309825
14.345275,88.60495
14.35845,88.621525
14.3924,88.646875
14.436775,88.66965
14.47105,88.6744
14.504275,89.20375
14.538675,89.238325
14.56635,89.4109
14.588475,89.448675
14.62525,89.494125
14.641575,89.5918
14.6697,89.62605
14.70985,89.709575
14.74845,89.7283
14.795875,89.84405
14.867125,89.927475
14.89435,90.02325
14.9474,90.110625
15.01275,90.524325
15.05145,90.53975
15.120725,90.626625
15.184725,90.652425
15.240225,91.01475
15.290375,91.0451
15.341225,91.076625
15.384275,91.101175
15.43135,91.204275
15.52435,91.2307
15.592325,91.314375
15.626825,91.35035
15.7,91.39465
15.73805,91.456875
15.814425,91.52165
15.86945,91.56045
15.888425,91.584025
15.95275,91.680675
16.0151,91.78885
16.06045,91.804575
16.120925,91.827025
16.160325,91.908425
16.225775,91.98645
16.339,92.062225
16.370075,92.11255
16.42235,92.127075
16.4731,92.135875
16.52695,92.146125
16.5768,92.22465
16.604025,92.302275
16.6628,92.329875
16.72875,92.367325
16.785975,92.37055
16.8083,92.54515
16.84215,92.5688
16.90675,92.5914
16.948725,92.59705
16.966725,92.651375
17.0052,92.717375
17.0507,92.847725
17.0648,92.894975
17.08475,93.07125
17.1055,93.112375
17.15135,93.1226
17.1876,93.143325
17.2162,93.153625
17.290975,93.1666
17.319825,93.20515
17.381525,93.2228
17.42625,93.246025
17.45885,93.280575
17.4901,93.482275
17.532025,93.497375
17.574325,93.53095
