SPK_SPKC01a (no effect),SPK_SPKC09a (weak excitation),SPK_SPKC15a (no effect)
0.114825,0.027325,0.002975
0.2965,0.1925,0.020825
0.5313,0.287375,0.056425
0.884025,0.3691,0.12845
1.033775,0.61825,0.2127
1.0955,0.639225,0.227675
1.534725,0.7037,0.266
1.743325,0.74025,0.291125
1.88505,0.94135,0.304725
2.216,0.9775,0.321925
2.386025,1.158875,0.387225
2.63865,1.191325,0.46845
2.995925,1.457525,0.56405
3.1014,1.497725,0.600525
3.186975,1.53535,0.684475
3.2511,1.60425,0.692975
3.287525,1.6774,0.70605
3.40965,1.776325,0.72595
3.551875,1.808575,0.742075
3.633525,1.843475,0.800575
3.7083,1.87105,0.866875
3.81465,1.90835,0.93105
3.993875,1.963475,0.9653
4.032825,2.008425,0.96775
4.108775,2.1346,0.988725
4.3411,2.1695,1.041175
4.468925,2.194425,1.1178
4.53445,2.396575,1.1399
4.8438,2.438425,1.1853
4.934325,2.580225,1.2152
5.091225,2.7076,1.288775
5.302175,2.7584,1.33125
5.66775,2.923575,1.357875
5.7381,2.9923,1.380175
5.84255,3.3029,1.427525
5.955675,3.43145,1.449225
6.0832,3.524475,1.477025
6.3837,3.642175,1.561525
6.5704,3.679075,1.59545
6.730775,3.69205,1.627525
6.77725,3.75525,1.670075
6.98945,3.788125,1.735925
7.047175,3.835075,1.748775
7.166025,4.00015,1.77785
7.250325,4.0681,1.80045
7.63315,4.1509,1.8123
7.89865,4.270525,1.840875
8.101875,4.4254,1.87035
8.33745,4.463725,1.88035
8.475675,4.494875,1.9657
8.585825,4.607125,1.981275
8.806275,4.626925,1.999575
9.040825,4.686,2.00785
9.53185,4.854425,2.049075
9.66455,5.0012,2.066425
9.73415,5.0511,2.102675
9.931875,5.0873,2.169075
10.3066,5.158,2.191725
10.683025,5.3177,2.219225
11.010825,5.49835,2.247
11.298075,5.588275,2.2682
11.51345,5.6146,2.28185
11.62635,5.769775,2.32375
11.97875,5.801,2.34875
12.01615,5.892025,2.38925
12.194825,5.943925,2.3968
12.397725,5.975775,2.45335
12.6024,6.001175,2.512425
12.681925,6.122025,2.519925
12.750925,6.158775,2.521875
13.432325,6.41465,2.558725
13.887725,6.470475,2.581925
14.10435,6.49905,2.604425
14.5896,6.541775,2.6359
14.711125,6.693025,2.6643
14.76715,6.7712,2.701525
14.863775,6.84695,2.762325
14.934525,7.013,2.807
14.956075,7.042575,2.847975
15.00405,7.0683,2.874875
15.122925,7.100175,2.902875
15.226625,7.1469,2.92025
15.4444,7.175225,2.929425
15.57315,7.20505,2.965725
15.68185,7.2697,2.99695
15.735425,7.329125,3.0354
15.850025,7.481925,3.059275
16.24655,7.5591,3.095425
16.57545,7.770825,3.161875
16.73705,7.8477,3.213925
16.93595,7.905225,3.2384
17.2367,7.993725,3.2551
17.450975,8.0253,3.288825
17.48255,8.21235,3.2948
17.6957,8.249275,3.31205
