SPK_SPKC07b,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC09b
0.0894,0.084175,0.18045,1.5502
0.256075,0.209625,1.4933,1.999575
0.293275,0.312925,1.8606,2.1668
0.674375,0.400325,2.029375,2.8755
1.19715,0.4762,2.220225,3.54935
1.3387,0.64105,2.88235,3.6594
1.555175,0.709175,2.969825,4.346925
1.99205,0.7804,3.050725,5.704425
2.416475,0.960175,3.09915,5.9788
3.070725,1.075775,3.225625,6.44535
3.104425,1.126525,4.11545,6.60505
3.620775,1.1575,4.185275,6.619575
3.674025,1.195425,4.260175,7.233775
3.9622,1.267925,4.361575,7.458725
4.1147,1.344925,4.43725,7.4958
4.160075,1.42615,4.8042,7.549825
4.42335,1.476,5.1151,7.62295
4.6545,1.511425,5.786375,8.100825
4.86435,1.556325,5.98485,8.668475
4.977825,1.604175,6.145725,9.208225
5.256525,1.658925,6.4219,9.654525
5.456725,1.714025,6.586275,10.4519
5.76285,1.9562,6.690625,10.59495
6.032075,2.005275,7.07655,11.1975
6.1922,2.115,7.173225,11.738325
6.5766,2.17755,7.466925,11.7968
6.73205,2.4165,7.71375,11.92855
7.046275,2.508975,7.797075,12.1856
7.519775,2.58865,7.865175,12.6863
7.959575,2.654,8.02495,12.75775
8.0092,2.769875,8.1437,13.165475
8.0785,2.8258,8.3375,13.69625
8.337175,3.086825,8.564125,13.811425
8.47565,3.315925,8.679675,14.112025
8.508525,3.4671,8.8958,15.158125
9.082475,3.677925,9.0412,15.1851
9.4804,3.843375,9.25315,15.2973
9.654425,3.932725,9.6128,16.2749
10.306375,4.01925,9.7142,16.664925
10.45075,4.07435,10.6681,16.912575
10.75615,4.1298,11.206625,17.009525
10.831525,4.167675,12.25685,19.505625
10.924275,4.21075,12.68155,19.53495
11.466625,4.27945,13.59115,19.563425
11.812575,4.42825,13.863725,20.752725
12.039375,4.586475,14.0069,21.1269
12.190625,4.730925,14.3066,22.59075
12.276425,5.061,14.7783,22.831925
12.53325,5.14355,14.9478,22.878375
13.093,5.29195,15.019575,23.248225
13.18535,5.39,15.440175,23.446275
13.527,5.454925,15.71885,23.5
13.629825,5.5133,15.833175,24.029275
13.9197,5.82245,16.016225,24.945775
14.018025,5.927525,16.15965,24.9846
14.1551,6.00655,16.217825,25.5265
14.4604,6.036775,16.4046,25.589075
14.653275,6.101025,16.501925,26.065825
14.881125,6.20095,16.579175,26.360125
15.0665,6.29715,16.7145,27.22795
15.88465,6.42885,16.768425,27.365025
15.933875,6.505625,16.835,28.2626
15.984375,6.6824,17.3048,29.276075
16.804375,6.927325,17.392125,29.869975
17.254075,7.0281,17.45765,30.7127
17.63635,7.09335,17.5895,31.37875
17.79955,7.14875,17.6473,32.98125
17.8657,7.2126,17.721075,33.3581
17.90305,7.268775,17.791275,33.638025
18.2879,7.3258,17.853,34.196175
19.055875,7.375375,17.963775,34.6793
19.203725,7.42115,18.295675,34.97835
19.48135,7.618275,18.36935,35.220925
19.6671,7.6937,18.5243,35.3413
19.7096,7.74775,18.67595,36.5082
19.76875,7.8938,18.85485,36.7648
19.955225,7.9448,19.294275,37.235125
20.130275,8.032525,19.552925,37.359175
20.72655,8.093525,19.61625,37.780125
20.790775,8.25435,19.656225,37.98785
20.923225,8.323275,19.7569,38.07795
20.9945,8.435625,19.8819,38.2896
22.46105,8.542725,20.736225,38.38905
22.59175,8.614625,20.869875,39.17145
22.794225,8.689275,20.971475,39.29
22.879175,8.7552,21.16945,39.51185
22.9464,8.852025,21.2587,39.72915
23.173675,8.93615,21.32755,40.640775
23.459925,9.087225,21.349725,41.58295
23.492625,9.2655,21.38325,42.312225
23.930975,9.3465,21.449075,43.655075
24.080775,9.401925,21.5046,43.810275
24.107325,9.49855,21.6783,43.976825
24.5265,9.6197,21.78085,44.431375
24.601625,9.696975,21.99865,44.602475
24.836575,10.028725,22.2223,44.689975
25.241125,10.121925,22.35605,44.821725
25.583875,10.16785,22.4561,45.976625
25.646975,10.413,22.6179,46.216775
25.666275,10.49555,22.82515,46.28155
25.9028,10.5884,22.872325,46.31805
26.0112,10.655325,22.907125,46.727575
26.6801,10.806325,23.12755,47.026425
27.062375,11.001925,23.168225,47.2427
27.08895,11.143075,23.212625,47.676975
27.21985,11.20665,23.240975,48.245325
27.311175,11.2301,23.5284,48.5794
27.67995,11.2885,23.599025,48.7945
28.0774,11.346675,23.688425,49.060675
28.2339,11.43125,23.752425,49.49515
28.263225,11.50815,23.793375,49.596325
28.59865,11.660625,23.862775,49.71705
28.85925,11.821625,23.9216,49.9894
29.220575,11.8917,23.965625,50.001825
29.280875,12.030175,24.15585,50.364375
29.478875,12.2627,24.221425,50.607325
30.338825,12.504525,24.3211,50.786475
30.709775,12.56485,24.41895,51.285125
30.875375,12.617025,24.58595,51.55995
31.439975,12.97455,24.7944,51.9098
32.233075,13.113075,24.910775,52.10345
32.36675,13.2017,25.048225,52.569825
32.426725,13.2628,25.273675,52.7499
32.549825,13.333125,25.30965,53.153525
32.92305,13.397675,25.353325,53.8628
33.185575,13.472075,25.3935,54.193275
33.400575,13.516775,25.539275,54.500225
33.4506,13.5825,25.761475,54.888625
33.8154,13.6298,26.20115,55.576225
33.85985,13.764075,26.278625,55.759825
34.14205,13.796825,26.39225,56.407025
34.7183,13.83835,26.423575,57.10035
34.963875,13.96335,26.468425,57.48505
35.81325,14.021725,26.50675,57.64625
36.284875,14.103475,26.555775,58.503175
36.3162,14.22345,26.654275,59.7787
36.35185,14.311675,26.69465,60.478725
36.725025,14.5908,26.7368,60.767875
36.870275,14.70985,26.89385,62.00625
36.97605,14.765225,27.173525,62.331725
37.19095,14.814175,27.2525,62.500575
37.422125,14.8697,27.4377,63.0777
37.6895,15.004175,27.545425,63.1382
38.196075,15.07385,27.73975,63.58815
38.289575,15.21375,27.8179,63.627825
38.5491,15.3516,28.05145,63.76495
38.616975,15.429975,28.12845,63.810475
38.93055,15.531525,28.429325,64.438975
38.98445,15.60925,28.496375,64.455425
39.328725,15.665125,29.119675,64.6261
39.50465,15.804,29.2549,64.829625
39.909425,15.85565,29.3314,65.058375
40.3601,16.0305,29.6639,65.117125
40.36295,16.1131,29.776675,65.394825
40.414175,16.19635,30.401875,65.41335
40.7824,16.325675,30.588925,66.150425
41.02925,16.4228,30.641025,66.25645
41.093025,16.503775,30.814475,66.48565
41.25005,16.7045,30.874,66.780525
41.528875,16.786,30.943,66.801025
41.632225,16.962925,31.0382,67.235625
42.4374,17.064275,31.16125,69.267925
42.548575,17.2531,31.23495,69.723375
42.5963,17.463175,31.390575,70.026975
42.8209,17.803425,31.509725,70.972075
42.869925,17.898125,31.700675,71.087425
42.94495,18.0057,31.999675,71.308725
43.0359,18.156625,32.449025,71.782325
43.17495,18.3908,32.646025,71.86585
43.32365,18.475025,33.729275,72.3973
43.597925,18.5382,33.97765,72.607025
43.69085,18.636525,34.451325,72.866025
43.741525,18.68505,34.938075,73.201425
43.7901,18.758775,35.26635,73.27365
43.9146,18.83405,35.378725,73.96085
44.139625,19.093775,35.559275,74.428225
44.411175,19.196675,35.644425,74.951125
44.642025,19.305575,35.763125,74.993475
44.746325,19.359425,35.854175,75.5477
44.809275,19.53385,35.9538,75.62815
45.341575,19.6085,36.0559,76.87925
45.621,19.67185,36.1695,77.72735
45.698625,19.766425,36.2677,78.159325
45.831275,19.886075,36.343325,78.2641
45.894575,20.291225,36.5152,78.362775
46.04855,20.52305,37.151325,79.396525
46.08045,20.5918,37.316425,79.730375
46.12875,20.725175,38.107275,79.84775
46.17565,20.92695,38.2025,80.130925
46.273775,20.9729,38.254975,80.207225
46.308175,21.07475,38.312275,80.418425
46.34235,21.10585,38.49775,80.529975
46.3937,21.156525,38.52755,80.664325
46.438825,21.200625,38.5781,80.92715
46.620225,21.230575,38.65075,81.049375
46.660675,21.27005,38.722875,81.173575
46.954575,21.292725,38.755825,81.2305
47.29255,21.359525,38.932425,81.299125
47.37495,21.410875,39.011925,81.477
47.608175,21.4623,39.232725,81.9135
47.82955,21.64175,39.4278,82.4626
47.95695,21.701625,39.545275,82.598325
48.164275,21.89935,39.639275,82.658825
48.394025,21.97325,39.80595,82.70445
48.60935,22.05645,39.946525,83.18965
48.641025,22.1197,40.122475,83.2459
48.808525,22.2789,40.257525,83.278975
49.01385,22.4032,40.333675,83.473325
49.050575,22.59075,40.48745,83.50945
49.1429,22.72565,40.681825,83.662875
49.19855,22.779625,40.75285,83.851625
49.304325,22.856075,40.9039,83.884225
49.5064,23.04095,40.99765,84.744025
49.700775,23.1015,41.0929,85.624025
49.802675,23.15675,41.1722,85.9998
50.034825,23.224875,41.2749,86.20625
50.419,23.26995,41.781075,86.730075
50.5449,23.319075,42.2196,87.219675
50.835325,23.381325,42.56445,87.43175
51.050675,23.41205,43.120625,88.033675
51.115175,23.49885,43.281875,88.366325
51.1471,23.534475,43.4379,88.606325
51.33605,23.62545,43.6737,88.61665
51.582075,23.74975,44.054375,88.71975
51.67965,23.876825,44.157925,88.94435
52.003,23.95575,44.20245,89.563075
52.39505,24.06895,44.3046,89.6667
52.4177,24.1391,44.381725,89.724525
52.4662,24.1716,44.4186,89.83965
52.4951,24.225675,44.66455,90.002025
52.598075,24.255975,44.7646,90.169875
52.6437,24.3503,44.85735,90.7827
52.968275,24.52785,45.02745,91.417575
53.7418,24.63145,45.1423,92.076125
53.97985,24.671525,45.387575,92.28565
54.20535,24.7551,45.53835,92.52625
54.3558,24.799375,45.78325,92.5884
54.48945,24.92665,45.8962,92.65495
54.527725,24.9619,46.28415,93.040825
54.7469,25.0143,46.486975,93.15925
54.865,25.047075,46.607425,93.3765
