SPK_SPKC02a,SPK_SPKC03a
0.452325,0.0934
1.472075,0.254375
1.54175,0.3782
1.5562,0.618875
1.7005,0.823225
1.96655,1.062375
2.127425,1.180075
2.216175,1.380725
3.259175,1.4376
4.091625,1.571325
4.148175,1.700425
4.172175,1.734275
4.44555,1.896925
4.5783,1.96655
5.1702,2.039775
5.36255,2.133175
5.5754,2.14725
5.716,2.314625
6.07015,2.47475
6.2763,2.6543
6.56235,2.799625
6.823375,2.836825
7.02495,3.124575
7.050775,3.31115
7.5435,3.4672
7.845575,3.704325
7.85325,3.747825
8.008125,3.935825
8.08595,4.0616
8.145675,4.148175
8.201575,4.44155
8.2998,4.55105
8.339225,4.58305
8.7102,4.61355
8.87615,4.642125
8.95835,4.7866
9.0005,4.898125
9.17755,4.959175
9.403425,5.0485
9.5228,5.0824
9.560775,5.128125
9.630275,5.238575
9.6833,5.3201
9.869775,5.4154
9.933475,5.956025
10.064825,6.145
10.096825,6.2287
10.20275,6.2692
10.286825,6.33965
10.43095,6.43045
10.6809,6.590875
10.7772,6.736075
10.87085,6.82345
10.9135,6.90295
10.9263,6.998075
10.945825,7.15505
11.197125,7.178725
11.25015,7.41415
11.3066,7.540175
11.3268,7.60905
11.46595,7.7008
11.62585,7.753275
11.709675,7.8456
12.016925,7.853125
12.665725,7.99645
12.839925,8.04135
13.251475,8.0834
13.47585,8.1033
13.542075,8.20155
13.62635,8.2715
13.85825,8.314175
14.001075,8.36805
14.1044,8.527775
14.1614,8.6724
14.382575,8.782525
14.6884,8.799825
14.9224,9.162275
15.0073,9.2159
15.023425,9.368725
15.04965,9.5228
15.1999,9.6272
15.515725,9.68325
15.833025,9.962075
15.88185,10.0456
16.1,10.20275
16.132475,10.2868
16.45285,10.430925
16.576975,10.558625
17.13305,10.77715
17.172125,10.796275
17.354875,10.913525
17.417075,11.059425
17.47085,11.19705
17.504825,11.2146
17.531575,11.290175
17.56895,11.307975
17.629925,11.5524
17.65005,11.7526
17.722625,12.16155
17.847275,12.28265
18.195075,12.469125
18.78505,12.653225
18.8702,12.78065
18.890425,13.09715
18.97625,13.239275
19.085475,13.475875
19.0984,13.58025
19.125675,13.74115
19.3787,13.8327
19.5378,13.87045
19.658075,13.956475
19.721225,13.98245
19.8255,14.16285
20.01325,14.285875
20.166725,14.382725
20.3254,14.6105
20.75605,14.68835
20.8064,14.720025
20.873,14.927025
20.901875,15.04965
21.078525,15.387875
21.09315,15.616725
21.2402,15.72135
21.453675,15.830625
21.638725,16.007075
22.04985,16.038125
22.282775,16.11075
22.4003,16.169575
22.44405,16.188125
22.785425,16.25925
22.803575,16.4255
23.400175,16.480775
23.6743,16.563775
25.07385,16.5901
25.209625,16.770125
25.4358,16.86775
25.909525,16.915575
25.973825,17.076775
25.992975,17.1381
26.3059,17.294725
27.04035,17.337575
27.08445,17.3549
27.89575,17.470775
28.60535,17.51765
28.63105,17.569025
28.9458,17.6233
29.077575,17.681125
29.296075,17.8868
30.013475,18.334825
30.7417,18.602725
30.871675,18.862175
31.015475,18.870125
31.0834,18.976175
31.1092,19.045025
31.143225,19.1298
31.2741,19.378675
31.472425,19.68605
31.62515,20.292025
32.8452,20.3254
33.11135,20.608225
33.31275,20.739325
33.721,20.759125
33.8155,21.093075
34.065,21.2652
34.232225,21.392325
34.489825,21.7365
35.7012,21.764925
35.75475,21.998975
36.0956,22.03515
36.281875,22.089875
36.779725,22.165275
36.8218,22.322175
36.897675,22.601175
36.948575,22.77825
36.97855,22.90915
37.009975,22.940625
37.570525,23.067075
38.216625,23.102175
38.57605,23.21745
38.593425,23.23615
38.6832,23.3146
38.723275,23.76055
38.96085,23.8506
39.056375,23.95625
39.3539,24.046175
39.498975,24.23505
39.72485,24.440175
40.07805,24.745775
40.686225,24.77245
40.80655,24.936775
41.111275,25.0378
41.836825,25.073825
42.055775,25.084675
42.085375,25.150075
42.3729,25.3877
42.553325,25.435725
42.76035,25.51895
42.7685,25.5786
43.0521,25.668825
43.167375,25.8269
43.201,25.891325
43.3437,25.909525
43.98625,25.935425
44.155325,26.042975
44.4145,26.077825
45.0117,26.153575
45.262425,26.305875
45.3503,26.378925
45.85305,26.47035
45.92285,26.6132
46.2253,26.725475
46.527375,26.91135
46.899325,26.96535
47.2419,27.0845
47.76975,27.091725
47.79265,27.26415
48.51145,27.309675
48.563925,27.321275
48.94465,27.472425
49.784275,27.5726
50.450475,27.700675
50.81645,27.793825
50.924725,27.845075
51.71205,27.979325
51.723175,28.044575
51.7971,28.082725
53.3262,28.15585
53.363675,28.274125
53.706925,28.3758
53.857275,28.539025
53.926225,28.647975
54.019,28.7023
54.144425,28.90895
54.244425,28.945775
54.3726,29.364875
54.746175,29.5684
54.942225,29.678025
55.0591,29.84455
55.949,29.9841
56.489425,30.07375
56.764875,30.213625
57.2993,30.2705
57.427675,30.39145
57.66505,30.640525
57.7689,30.70095
57.90555,30.802
57.972275,30.91165
58.405625,30.98725
58.46515,31.2112
58.6007,31.28625
59.06895,31.4631
59.1974,31.474675
59.3184,31.575125
59.356025,31.651375
59.449325,31.826525
59.6174,31.8808
59.62785,32.45045
59.877125,32.618025
59.986875,32.692825
60.02755,32.905925
60.05405,33.0221
60.37995,33.1241
60.50935,33.192425
60.68405,33.31275
60.73805,33.663975
60.8383,34.065025
61.401975,34.232175
61.41695,34.242025
61.708575,34.3936
61.90365,34.60655
62.008825,34.7669
62.3661,34.9766
62.539225,35.149275
62.6245,35.28985
62.9103,35.522225
63.19655,35.58015
63.829425,35.701175
63.9454,35.72585
63.9913,35.81305
64.0186,36.3291
64.077525,36.4258
64.102675,36.637475
64.4833,36.7171
64.757725,36.779675
64.826375,36.845025
64.92775,36.8824
65.580775,36.96685
65.60695,36.97855
65.71475,37.17525
67.054625,37.3938
67.18125,37.57055
67.251725,38.12195
67.452925,38.216625
67.470975,38.384825
67.481175,38.547025
67.5602,38.587575
67.780625,38.746
67.8467,38.895175
68.01435,39.117175
68.172525,39.2859
68.240625,39.37
68.51315,39.552975
68.68725,39.5771
68.733975,39.646675
68.816925,39.86075
68.919775,40.04835
69.15035,40.2382
69.276425,40.3805
69.484225,40.723525
69.97775,40.724975
70.248375,40.82445
70.4222,40.94395
70.73615,41.090125
70.91015,41.3209
71.063725,41.585725
71.201225,41.780325
71.594,41.9064
72.5419,41.953725
72.57725,42.132225
73.122875,42.292075
73.8637,42.333275
73.94815,42.4087
74.10205,42.553375
74.2107,42.76035
74.3378,42.768525
74.45235,42.81555
74.7651,42.88945
75.04035,43.34365
75.05005,43.41595
75.143725,43.714475
75.756725,43.8638
76.0914,44.076275
76.12165,44.3087
76.3158,44.4127
76.55105,44.568
76.956425,44.6168
77.01725,44.78415
77.84575,44.85775
78.031375,45.083125
78.216125,45.115775
78.3165,45.179875
78.475625,45.327325
78.54105,45.577225
78.665775,45.6962
78.682575,45.790825
78.83905,45.910175
79.0223,46.0435
79.33185,46.488675
79.35985,46.5274
80.08565,46.624425
80.411325,46.6848
80.82965,46.762625
81.10965,46.8451
81.203475,46.873325
81.229075,46.89935
81.2767,46.9976
81.531075,47.007425
81.721025,47.265925
81.7748,47.47595
81.800025,47.725675
81.884275,47.807125
82.009125,47.906875
82.125125,48.054025
82.201625,48.12445
82.29065,48.262225
83.1248,48.2972
83.44055,48.4634
83.8367,48.5114
83.883775,48.7214
84.055975,48.884125
84.088725,49.012025
84.2036,49.0684
84.396875,49.082
84.43415,49.175875
84.592225,49.27495
84.65155,49.4305
84.865075,49.5579
84.9411,49.62265
85.05705,49.884275
85.158575,49.936775
85.4195,50.069425
85.463875,50.190725
85.615225,50.360975
85.7655,50.42055
85.7968,50.6023
86.4303,50.642375
86.87595,51.0181
86.940975,51.4218
87.012575,51.623725
87.02605,51.657175
87.133775,51.65875
87.436675,51.712
87.4693,51.74075
87.6434,51.810425
87.742625,51.854625
87.817175,52.65985
88.0275,52.736225
88.19695,52.831475
88.324325,52.8417
88.6107,52.972225
88.75045,53.151475
88.77985,53.29835
88.86825,53.466125
88.952225,53.53565
89.125075,53.6615
89.14815,53.7584
89.219925,53.831075
89.469075,53.85725
89.6624,53.928875
89.71385,54.00095
89.7574,54.01715
89.815675,54.018975
89.868725,54.098275
89.885075,54.185575
90.156475,54.1999
90.254525,54.25735
90.2845,54.538775
90.4244,54.70435
90.5917,55.01085
90.67825,55.0591
90.775,55.19865
90.814025,55.29285
90.880725,55.584875
90.937225,55.695125
90.955125,55.821675
91.102825,56.091
91.143625,56.195525
91.279975,56.31515
91.31975,56.39435
91.429825,56.758875
91.4515,56.8985
91.506075,56.982575
91.734575,57.38255
91.839575,57.528475
91.98925,57.6173
92.782625,57.659175
93.1504,57.665025
93.249725,57.806975
93.46895,57.922425
93.603075,58.00015
93.69975,58.20175
94.051925,58.3815
94.101,58.5235
94.12955,58.551175
94.39225,58.88035
94.64445,58.964725
94.752575,59.1273
94.985825,59.187825
95.817,59.246625
96.183025,59.465125
96.398675,59.5076
96.791025,59.6864
96.980125,59.702325
97.097625,59.728025
97.3931,59.813575
97.4122,59.9029
97.56855,60.1196
97.603,60.12635
98.158975,60.28445
98.8029,60.33275
98.82005,60.37985
99.128525,60.607975
99.2314,60.738
99.358475,60.74345
99.46065,61.401975
99.95975,61.48785
100.28455,61.7565
100.3702,61.971825
100.3857,62.022375
100.420675,62.13925
101.678225,62.22425
102.05205,62.3488
102.149975,62.3661
102.46855,62.51345
102.6439,62.5631
102.797675,62.6123
102.919975,62.742675
103.161025,62.954275
103.220575,63.1636
103.4993,63.382975
104.057725,63.4149
104.159225,63.82945
104.344725,64.165425
104.363225,64.2324
104.469425,64.351175
104.530125,64.4834
104.821,64.692575
104.874925,64.88025
105.033,64.927725
105.684025,64.9819
105.865925,65.05815
106.070425,65.166825
106.165325,65.19755
106.236625,65.2945
107.072275,65.60285
107.156225,65.95845
107.17045,65.9748
107.309375,66.1041
107.4031,66.38175
107.630375,66.695525
107.693175,66.830475
107.80745,66.890175
108.132975,67.09895
108.17225,67.252875
108.322525,67.29895
108.369875,67.4812
108.45895,67.601325
108.800675,67.7236
108.936675,67.824225
108.95145,67.915425
109.03645,67.949025
109.217525,68.152
109.299375,68.350925
109.33725,68.513225
109.906175,68.578125
110.2779,68.601
111.052275,68.86005
111.341525,69.14335
111.50405,69.150275
111.624425,69.2764
111.6431,69.6247
111.789525,69.8919
112.0024,70.039575
112.211175,70.116975
112.229525,70.245975
112.289025,70.4236
112.517325,70.5606
112.52975,70.88315
112.786425,70.958125
112.849625,71.086525
113.08245,71.187275
113.105125,71.360925
113.2374,71.450775
113.3685,71.59405
113.5673,71.690775
113.761,71.8306
113.9546,72.143575
114.08815,72.21965
114.311375,72.322325
114.481625,72.3746
114.669925,72.66975
114.687425,72.77615
114.7383,72.857225
114.74505,72.922925
114.991025,73.097625
115.1744,73.1621
115.374925,73.589575
115.712125,73.78965
116.119525,73.996075
116.176475,74.104675
116.66445,74.163575
117.1582,74.376475
117.282375,74.452375
117.309225,74.569625
117.454275,74.711475
117.578975,74.7808
117.6233,74.864875
117.660025,74.958325
117.748675,75.026625
118.0069,75.087975
118.06,75.174275
118.1995,75.83185
118.289025,76.075875
118.33555,76.16665
118.38095,76.25955
118.408925,76.320325
118.4375,76.481775
118.598775,76.9119
118.677975,77.1674
119.794825,77.2408
119.84155,77.320175
119.985025,77.45005
120.126275,77.59915
120.155675,77.63335
120.225375,77.8612
120.2617,77.972225
120.348175,78.2548
120.515275,78.73205
120.568425,79.022275
120.5947,79.08145
120.716875,79.209625
120.728225,79.28465
120.918675,79.359875
120.938075,79.78195
120.999075,79.929625
121.1424,80.118725
121.18145,80.24085
121.47595,80.341
121.604025,80.620575
121.973975,81.1761
122.0299,81.301275
122.061675,81.37505
122.25315,81.489675
122.367275,81.5734
122.52425,81.6877
122.568225,81.776425
122.634675,81.80005
122.7416,82.2469
123.214525,82.338175
123.23955,83.320675
124.009875,83.587825
124.407575,83.776625
124.8262,83.882025
125.25565,83.88375
125.32425,83.943075
125.525175,84.09305
125.56095,84.3968
125.766025,84.49825
125.9073,84.57485
126.1116,84.626625
126.253925,84.7798
126.288275,84.819925
126.474725,85.003425
126.4878,85.034775
126.6835,85.103525
126.7144,85.258425
126.7542,85.40325
126.866975,85.4638
127.2281,85.48325
127.386525,85.53505
127.492975,85.5425
127.806675,85.84895
128.02235,86.1235
128.1646,86.2967
128.337,86.414325
128.50305,86.43035
128.71485,86.603275
129.247625,86.854275
129.62315,86.912625
129.720425,86.95245
129.75035,86.95395
129.798025,86.961725
130.0168,87.01255
130.14215,87.0491
130.782425,87.08345
130.863225,87.11425
130.948975,87.266675
131.033425,87.616
131.166025,87.623125
131.243575,87.832425
131.401525,88.539075
131.512325,88.952275
131.556425,89.014125
131.7115,89.2437
131.740675,89.381025
131.898925,89.513975
131.921925,89.566175
132.489775,89.65425
132.58815,89.6916
132.75105,89.829075
132.807175,90.09185
133.57825,90.2187
134.101925,90.233825
134.1397,90.36005
134.390575,90.464925
134.550475,90.5074
134.660425,90.803125
134.68475,90.88075
134.85065,90.93725
134.8983,91.06035
134.9165,91.15815
135.17545,91.319725
135.24485,91.45145
135.361275,91.5232
135.4798,91.623325
135.895875,91.671175
136.097225,91.822475
136.275375,92.296775
136.29215,92.580575
136.497525,92.72675
136.9319,92.82415
136.963175,92.973125
136.99965,93.1756
137.2763,93.2513
137.416875,93.376425
137.46215,93.603075
137.479725,93.7074
137.56725,93.7931
137.7272,94.026575
137.848175,94.118475
137.87045,94.19525
138.029575,94.2235
138.125225,94.3268
138.166375,94.349925
138.51365,94.49915
138.674125,94.635275
139.094725,95.00955
139.204375,95.4364
