SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC10a
200.202775,200.202775,200.035625,200.044,200.0216
200.32615,200.326125,200.13065,200.092225,200.3536
200.353025,200.352975,200.19305,200.34045,200.40285
200.6751,200.6751,200.303475,200.373825,200.41115
200.8051,200.926075,200.33355,200.468775,200.451025
200.926075,200.96255,200.39405,200.511575,200.521925
200.962575,201.128325,200.475175,200.637425,200.552925
201.050925,201.1502,200.54885,200.971075,200.628675
201.128325,201.200225,200.608725,201.0845,200.806175
201.1502,201.238725,200.661875,201.44135,200.883675
201.200225,201.277275,200.717325,201.496225,201.448175
201.23875,201.3116,200.77925,201.695625,201.727675
201.3116,201.388225,200.807275,201.861975,201.795575
201.38825,201.46685,200.89345,202.10625,202.15175
201.42555,201.5345,200.946775,202.140025,202.517975
201.466825,201.594275,200.982675,202.2443,202.632225
201.53445,201.692875,201.02535,202.8211,202.6812
201.5943,201.739475,201.0561,203,202.792975
201.76935,202.09945,201.0922,203.0688,202.847175
201.8827,202.138525,201.12605,203.0981,202.8809
202.099475,202.18125,201.1494,203.134425,203.08245
202.138575,202.233975,201.17665,203.16385,203.30125
202.181275,202.303975,201.211,203.20215,203.363575
202.233975,202.363675,201.2508,203.2073,204.04525
202.304,202.4142,201.273775,203.257225,204.2283
202.363675,202.5255,201.33415,203.318675,204.33275
202.414175,202.556125,201.35835,203.3206,204.537525
202.525475,202.601675,201.4297,203.3624,204.67115
202.55615,202.7197,201.47775,203.4199,205.073625
202.6017,202.797525,201.513175,203.490625,205.138475
202.7197,202.9607,201.5396,203.540225,205.373025
202.7975,203.641525,201.57785,203.83305,205.961775
202.9607,204.06285,201.621925,204.145575,206.50365
203.5836,204.0716,201.67995,204.1867,206.836075
203.641525,204.12575,201.728125,204.280825,207.217375
204.062825,204.2861,201.762825,204.36915,207.480275
204.125725,204.3434,201.7909,204.46985,207.770925
204.286075,204.445775,201.826175,204.833125,207.788275
204.3434,204.574075,201.863925,205.2957,208.11685
204.4458,204.664225,201.896725,205.408875,208.262575
204.530725,204.85475,201.962325,205.730175,208.530075
204.57405,204.953425,202.033375,205.7944,208.712575
204.664225,205.04625,202.065025,206.039775,208.81305
204.741875,205.101975,202.099475,206.18945,208.9194
204.953425,205.203775,202.17315,206.2299,209.08665
204.986225,205.266375,202.2084,206.30085,209.56105
205.04625,205.3467,202.256725,206.3112,209.7192
205.101975,205.38585,202.33435,206.3128,209.886475
205.20375,205.4346,202.36295,206.361475,209.91165
205.2664,205.4808,202.395925,206.675075,210.0244
205.33595,205.575125,202.432775,206.733225,210.213925
205.346725,205.60155,202.4613,206.74725,210.495325
205.434575,205.659325,202.493825,206.997675,210.659425
205.480825,205.70215,202.544625,207.24,210.70725
205.5653,205.81025,202.58135,207.4985,210.740375
205.575125,205.9146,202.610975,207.60955,210.898825
