SPK_SPKC06a,SPK_SPKC15a
2.55075,0.050875
2.67635,0.274925
2.73345,0.554575
2.761625,0.843925
2.8681,1.6932
3.048025,2.142125
3.125025,2.204875
3.368,2.529875
3.413225,2.53615
3.6403,2.59035
3.725725,2.655775
3.770225,2.739875
3.80885,2.82935
4.13165,3.172225
6.90015,3.26175
6.930275,3.4348
6.95755,3.59525
6.972525,3.71295
7.049175,3.90395
7.309575,4.13235
7.72705,4.47625
7.899575,5.094625
8.010775,5.43485
8.3809,6.225375
8.82015,6.8428
9.034225,6.99585
9.129925,7.195
9.18845,7.2661
9.3828,7.31165
10.7217,7.371325
10.7572,7.89465
10.81565,8.16075
10.8579,8.224575
10.999925,8.503725
11.026,8.772475
11.05425,9.1688
11.097625,9.38505
11.1517,9.3892
11.183325,9.8516
11.212825,10.181425
11.298375,10.76915
11.665275,10.823175
11.6919,10.902475
11.7235,10.999325
11.8193,11.26865
11.91705,11.36405
12.156825,11.382825
12.251,11.518
12.36285,11.592025
12.42885,11.6037
12.838,11.714075
13.027,11.72725
15.185975,11.8136
15.227025,11.854325
15.249825,11.85595
15.36265,12.01765
15.397075,12.1111
15.46425,12.185375
15.556025,12.3748
15.600275,12.41935
15.69935,12.549325
15.7358,12.559675
15.84875,12.620975
15.92405,13.398075
18.862775,13.8389
18.89325,13.926725
18.912325,14.352225
18.97615,14.65685
19.0059,15.2159
19.0587,15.267475
19.2675,15.4955
19.360475,15.556825
19.44845,15.63355
19.744925,18.866925
20.03385,18.9111
20.29345,18.9801
20.382575,19.196475
20.449925,19.84855
20.499175,19.879775
20.560825,20.0319
20.676525,20.14995
20.842,20.174725
20.88055,20.20975
20.949675,20.55365
22.835575,20.719425
22.95235,21.0231
23.054275,21.164625
23.135125,22.158925
24.00955,22.883025
25.91175,23.773275
25.949475,24.140525
25.981625,25.49425
26.10835,25.824575
26.175075,26.023575
26.283275,26.505475
26.34295,26.70325
26.4227,26.93975
26.6886,26.941
26.7897,27.006325
26.825975,27.2219
26.8918,27.242225
26.97975,28.212225
27.202775,29.856475
27.248575,29.87555
27.37495,29.983675
27.415725,30.4648
27.51385,30.626875
27.56515,31.073775
27.67255,31.2033
27.87995,31.322175
27.983275,32.402425
28.024775,32.5519
28.249625,32.709775
28.414725,32.774875
28.590625,32.8774
28.810175,32.90535
28.9028,33.03275
28.97545,33.04695
29.21545,33.746975
29.5731,33.8161
32.260075,34.196775
32.309925,34.513025
32.730475,34.762175
32.772425,34.92465
33.05185,34.9601
33.0893,35.469225
33.2447,35.859475
33.27515,35.980675
33.378075,36.20595
33.53075,36.683825
33.64665,37.06665
33.696425,37.2999
33.808775,37.876675
33.927725,38.118125
34.163625,38.811525
34.202125,39.807875
34.2734,39.987725
34.329075,40.9382
34.3737,40.99585
34.494325,41.415175
34.67065,41.462925
34.81315,41.62715
34.923625,41.723925
34.9687,41.90555
35.21435,42.051625
37.8564,42.23175
37.992575,42.328375
38.061025,42.580275
38.244025,42.623475
38.400325,42.706875
38.604925,43.2404
41.42815,44.66345
41.46895,44.7809
41.509175,44.924525
41.5389,45.41755
41.562775,45.5139
41.590325,46.060075
41.640675,46.086
41.69075,46.3646
41.740225,46.7383
41.806225,46.76205
41.8766,46.78695
42.051125,47.06285
42.229,47.618775
42.274325,48.439825
42.39545,49.086225
42.41455,50.5115
42.601775,50.542225
42.814375,50.568125
42.929525,51.292025
42.989775,51.29805
43.314975,51.629075
45.891625,51.879325
45.950575,52.01865
46.025225,52.07025
46.0999,52.145425
46.1974,53.9744
46.33685,53.994675
46.399725,54.00445
46.461175,54.090275
46.5277,54.128525
46.54855,54.44285
46.6905,54.49855
46.802,54.6565
46.892875,55.93965
47.005025,55.971325
47.120775,56.588775
47.145025,56.7578
47.219575,57.44925
47.356525,57.477075
47.47375,58.808
50.399275,58.834125
50.428025,59.030675
50.46015,59.701325
50.490575,60.174
50.564625,60.5525
50.59815,60.707725
50.62525,63.993725
50.6708,64.02045
50.71315,64.311725
50.864825,64.442025
50.89145,64.598725
50.93765,65.177175
50.9848,65.202
51.035175,65.58055
51.0847,66.7732
51.13355,67.16375
51.21665,67.337775
51.33865,67.717275
51.35995,68.4106
51.3962,68.44985
51.5577,68.63235
51.9765,68.98895
53.973725,69.601875
54.0097,69.675125
54.0274,69.71025
54.04165,69.759725
54.103125,70.22845
54.169225,70.376725
54.204125,70.692925
54.450925,70.7537
54.602475,70.877325
55.230825,71.22145
55.253,71.37915
55.328075,71.48735
55.427675,71.57255
55.55025,73.77535
55.6125,74.381675
55.877375,74.821625
58.807675,75.1119
58.819325,75.755325
58.832975,75.975125
58.84955,76.06395
58.8682,76.108425
58.8821,76.221025
59.052475,76.68605
59.168225,76.947375
59.269225,77.1256
59.34125,77.79905
59.393375,78.5308
59.48235,80.17585
59.57095,80.364475
59.6048,81.4475
59.764925,82.4615
59.8254,83.519125
60.018275,85.4799
60.14215,85.828725
