SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC09b
50.062475,50.0788,50.0113
50.1201,51.938175,50.25865
50.232325,51.994975,50.380575
50.99295,52.036325,50.47665
51.911475,52.069075,50.558525
51.95255,52.100575,50.63825
52.00315,52.1683,50.738125
52.0365,52.273175,50.915975
52.0929,52.288575,51.21035
52.1469,52.3277,51.3113
52.19225,52.3662,51.3829
52.21855,52.38575,51.5159
52.237125,52.40265,51.649575
52.28205,52.4564,52.175875
52.314375,52.473875,52.405075
52.34305,52.506175,52.653225
52.3774,52.838725,52.71405
52.396775,52.9382,52.9653
52.447675,53.0825,53.006
52.47575,55.006825,53.0664
52.532625,55.03965,53.221125
52.558975,55.0734,53.27565
52.6008,55.1117,53.35775
52.63315,55.254325,53.55775
52.690525,55.324225,53.658875
52.838425,55.37015,53.860225
52.916975,55.523975,53.9119
52.952875,55.5804,53.99965
52.98315,55.65255,54.085825
53.088125,55.7966,54.230775
53.1296,56.0605,54.40605
53.2735,56.1045,54.784625
54.923925,56.205175,54.8914
54.970325,56.353025,55.2521
54.993975,57.36545,55.510175
55.0147,58.2021,55.6277
55.044225,58.29835,55.93465
55.096025,58.338325,56.03215
55.11415,58.40215,56.13315
55.1454,58.46645,56.557425
55.179925,58.48965,56.737175
55.213525,58.56255,56.837475
55.23165,58.588675,56.971725
55.257725,58.60205,57.067225
55.31165,58.656425,57.1891
55.34085,58.813425,57.403525
55.376575,58.86195,57.509575
55.409025,58.963275,57.644325
55.483175,58.993175,57.9853
55.526375,59.0167,58.1434
55.58475,59.15615,58.4102
55.603325,59.257475,58.539525
55.63755,59.2931,58.594425
55.698875,59.316875,58.649875
55.756625,59.3887,58.863275
55.786375,59.453925,59.00895
55.812775,59.4889,59.044425
55.859125,59.55955,59.11835
55.90355,59.637725,59.1828
56.001425,59.732925,59.2206
56.063625,59.9945,59.335175
56.10255,61.641875,59.3944
56.156575,61.698175,59.556025
57.1465,61.7452,59.83015
58.070825,61.756675,59.99855
58.26145,61.782225,60.290325
58.3555,61.866675,60.409275
58.40755,61.948275,60.634175
58.472375,61.99205,60.874775
58.501625,62.094325,60.979525
58.536675,62.1409,61.207775
58.55685,62.30045,61.3804
58.58015,62.324525,61.788125
58.60435,62.4639,61.8388
58.625275,62.4973,61.87475
58.64025,62.6866,62.191225
58.65425,62.72615,62.44575
58.67575,62.819425,62.969525
58.700375,62.93375,63.131075
58.740075,63.256525,63.2247
58.765225,63.3565,63.50615
58.786875,65.21075,63.685825
58.82405,65.25315,63.7973
58.84495,65.2935,64.0985
58.886925,65.35625,64.194825
58.931675,65.3951,64.31465
58.95935,65.418675,64.50245
58.984925,65.479775,64.77435
59.033825,65.508675,64.882425
59.062975,65.5512,65.0052
59.1111,65.604425,65.518125
59.137625,65.785975,65.677025
59.18395,65.812275,65.775075
59.217525,65.834975,65.93105
59.266975,65.88295,66.173875
59.320525,66.259025,66.405675
59.370925,66.37265,66.807875
59.4188,66.5334,67.112325
59.47675,66.669775,67.490025
59.5166,66.756175,67.7099
59.53785,66.86145,68.0891
59.5811,66.99055,68.327475
59.626025,67.248275,68.985
59.681025,67.466825,69.039775
59.731125,68.65875,69.1202
59.811325,68.69335,69.187125
59.925625,68.722375,69.2234
60.639225,68.7478,69.458775
60.906425,68.79335,69.6191
61.6247,68.8105,69.759075
61.66085,68.9113,70.350275
61.69755,68.95225,70.549875
61.711525,68.968275,70.74165
61.739,68.99435,70.915975
61.754275,69.026125,71.195975
61.77655,69.088125,71.55945
61.796775,69.106625,71.691725
61.817725,69.1188,71.7382
61.848625,69.155,71.798375
61.861675,69.235,71.824975
61.88785,69.2547,71.87535
61.908175,70.15565,71.908825
61.9541,71.109825,71.951425
61.97385,71.132675,72.013275
61.98255,71.252825,72.152725
62.02405,71.3041,72.349075
62.067025,71.372125,72.39555
62.132175,71.47275,72.773975
62.1643,71.494,72.890775
62.231825,71.512875,72.921225
62.26835,71.6031,72.9865
62.321025,71.64405,73.102075
62.346375,71.79525,73.228675
62.38195,71.883575,73.41415
62.399975,71.89345,73.4613
62.43775,71.960375,73.76625
62.48815,72.02385,73.920125
62.530875,72.0939,74.03205
62.598875,72.110525,74.1013
62.6401,72.165675,74.47845
62.667625,72.18385,74.5506
62.702575,72.259675,74.652325
62.797925,72.285525,74.7183
62.870575,72.3227,74.765625
62.900375,72.372975,74.841475
62.95915,72.44445,74.935375
62.9897,72.471525,75.029975
63.03225,72.5023,75.272675
63.129975,72.519675,75.319175
63.19165,72.704775,75.4414
63.31765,72.765325,75.65825
65.145975,72.7874,76.221325
65.2646,72.8085,76.2416
65.315425,72.856175,77.113875
65.359675,72.885625,77.69495
65.3862,72.903775,78.10215
65.43485,73.1735,78.281925
65.4894,73.28815,78.465275
65.52055,73.322925,78.595025
65.573125,73.3684,78.833025
65.744925,73.395075,79.142675
65.80965,73.504225,79.355975
65.99985,73.54015,79.4925
66.11055,73.580325,79.80765
66.21645,73.63425,80.212525
66.2481,73.67485,80.6875
66.33395,73.752525,81.089575
66.374725,73.781775,81.242025
66.428925,73.839925,81.397875
66.4445,73.893825,81.56235
66.476,73.924975,81.7132
66.508425,73.943,82.0622
66.546075,74.005475,82.318375
66.57645,74.07865,82.407975
66.5902,74.126825,82.58495
66.670425,74.14795,82.950125
66.70705,74.176975,83.134375
66.75645,74.2494,83.49625
66.81485,74.30475,83.679125
66.85925,74.346775,84.0814
66.94285,74.4317,84.197525
66.995,74.458325,84.3657
67.020775,74.53895,84.487675
67.06345,74.55535,84.584925
67.10975,74.586825,84.811325
67.16765,74.601175,85.2786
67.233475,74.6446,85.40045
67.4236,74.670775,85.64785
67.65555,74.70845,85.889025
68.24045,74.73725,86.0554
68.662875,74.818175,86.1254
68.711,74.8828,86.590325
68.7311,74.898025,86.728775
68.771725,74.9276,86.98475
68.792525,75.079675,87.2774
68.835525,75.174125,87.45925
68.863,75.201775,87.775275
68.89285,75.2716,87.9603
68.90445,75.294175,88.00155
68.92455,75.334375,88.219125
68.969775,75.4767,88.791225
68.986725,75.527675,89.123975
69.01605,75.553925,89.518675
69.04375,75.591325,89.630275
69.07825,75.63085,89.7619
69.098725,75.6864,89.93845
69.127475,75.719325,90.26845
69.2225,75.7406,90.427075
69.2678,75.759175,90.789875
69.332725,75.787875,90.8912
69.511425,75.85585,90.9253
69.810325,75.953875,90.96075
70.004625,75.97415,91.2476
70.31445,76.025725,91.362425
70.380775,76.0413,91.479075
