SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC12a
0.1921,4.28785,1.964575
0.337075,26.09595,2.1808
0.901225,31.465275,2.21355
1.495575,40.212125,2.239025
1.8682,66.619425,2.32015
2.24495,73.762675,2.356175
2.32395,76.2467,2.406575
2.79455,76.727625,2.424625
3.122125,78.7171,2.4475
3.87345,79.050375,2.56635
4.072175,81.10575,2.793825
4.515475,81.2653,2.8135
4.61005,82.944875,3.0666
4.669275,83.166225,3.1893
5.1454,85.76705,3.22955
5.78355,89.5344,3.357225
5.818075,93.675575,3.5472
5.843675,93.735375,3.65965
5.8538,96.47765,3.734925
6.186225,97.519,4.287875
6.2546,97.6109,5.6088
6.718625,97.6892,5.65175
6.9943,106.68445,5.717925
7.137775,106.852125,5.737275
7.147525,107.300975,5.754475
7.574675,107.808275,5.944425
7.7453,108.051075,5.974225
8.005225,109.3833,6.007325
8.367125,110.9884,6.16625
8.465425,111.092675,6.30715
8.564225,113.363325,6.37785
8.691025,114.00535,6.535025
9.031825,116.2608,6.61185
9.66555,116.370375,6.82735
10.332075,116.489775,7.098975
10.56075,116.711925,7.186425
10.572675,119.977425,7.26125
10.5982,120.0598,7.348925
10.6104,120.201325,7.503475
10.75125,126.447575,8.03665
10.811675,126.507175,10.545575
10.8167,132.1764,10.5773
10.8382,132.541025,10.7331
11.092325,132.709175,10.78615
11.162,133.15795,10.915975
11.16805,135.147525,11.05485
11.1792,135.84715,11.15975
11.450425,136.0252,11.207475
11.452625,136.594175,11.23265
11.745325,138.94145,11.38305
11.75965,140.1031,11.53205
12.073925,141.6134,11.914275
12.347575,144.362675,16.382575
12.4708,145.2371,16.5319
12.933775,145.4624,16.661025
13.62105,147.136225,16.69435
13.7047,148.2268,16.759475
14.3686,149.505675,16.8172
15.787825,153.3301,16.850275
15.94155,154.77835,16.9832
16.161075,154.8356,17.0278
16.198975,154.8566,17.084925
16.24995,163.135075,17.24305
16.287475,167.89575,17.274
16.646425,168.5763,17.3243
16.68275,168.78255,17.55125
16.7506,171.17375,17.660375
16.817825,172.783075,17.92175
16.881325,173.01645,17.98785
16.9497,173.129925,18.166375
16.9997,176.612075,19.48105
17.98865,176.7423,20.54135
18.528625,177.182125,21.1495
18.704625,178.066225,21.30445
18.807475,179.23305,21.506575
19.15815,179.509625,21.6395
20.359025,183.28085,21.795575
20.671475,184.7144,21.831125
20.915275,185.267725,21.880725
21.179375,185.299,21.962275
21.530875,189.6227,22.053625
21.7019,192.5123,22.131425
21.75335,193.149925,22.18425
22.16255,194.619725,22.2219
22.239825,195.824825,22.254825
22.246125,198.85395,22.38835
22.31545,199.422125,22.4738
22.522025,200.8873,22.559875
23.27985,203.922775,22.62915
23.281975,204.0764,22.7817
23.352275,207.39135,22.90345
23.685575,210.33745,23.04065
24.6391,213.21615,23.376375
25.229975,213.324925,25.4447
25.4657,216.403075,25.4933
25.497975,216.793725,25.517225
25.7047,218.5234,25.6311
25.7551,219.20125,25.66045
25.908125,224.026475,25.7958
26.303025,225.66685,26.021075
26.5356,227.417025,26.0959
27.0088,227.69165,26.215775
27.026925,228.4897,26.539125
27.1273,229.893175,26.57085
27.150525,231.42805,26.943025
27.5867,231.602325,27.092125
27.864775,233.851275,27.176025
27.913325,233.97825,27.234825
28.553925,235.16755,27.267875
29.496875,235.274225,27.334925
29.727175,235.322725,27.50175
29.972175,235.384425,27.62265
30.970525,238.60725,27.650625
31.094725,239.993,27.8065
31.3364,240.167,27.8501
31.63885,240.299,27.998375
32.991975,241.6722,28.1315
33.55,243.23705,29.564975
33.710925,243.28185,29.597275
33.906075,244.369375,29.627975
34.04,245.0315,29.6803
34.07955,245.600575,29.7901
34.19245,247.27875,29.8648
34.235175,247.4338,30.998175
34.595925,247.765925,31.01975
34.66055,249.6152,31.06815
34.81635,249.6723,31.099725
36.057925,250.2997,31.19395
36.143425,250.342575,31.377175
36.2664,250.735675,31.465275
36.879575,250.884175,31.5264
36.98135,250.981925,31.619125
38.065075,251.04605,31.699825
38.2886,253.231375,31.760375
38.3786,253.31575,31.9806
38.53235,256.530675,32.207825
39.30505,256.632825,32.23375
39.457925,256.7634,32.26725
39.871775,256.840275,32.5039
40.098125,257.3235,32.56665
40.2982,257.82695,33.272325
40.46955,257.888675,34.086125
40.518575,259.7445,34.14165
40.6212,259.928125,34.195
40.676525,260.731725,34.263725
40.70865,262.21465,34.29295
40.8586,262.44905,34.395125
40.972625,263.4395,34.456375
41.1841,264.233925,34.507475
41.258075,266.72985,34.5553
41.396625,266.9707,34.588175
42.36735,268.798475,34.78265
42.5951,269.01115,34.91285
42.702375,269.141725,34.94935
43.271575,272.4845,35.037675
43.353325,272.627775,35.092375
43.731475,273.19895,35.133875
43.863225,273.3496,35.362375
43.91825,273.396675,35.382675
44.3388,274.295875,35.743575
44.698675,274.4004,35.7642
44.723475,274.950625,35.853475
44.75385,275.008775,35.93425
44.968575,277.79605,36.033375
45.067025,280.51645,36.060275
45.12775,282.1239,36.138175
45.19,282.16585,36.4248
45.2477,282.24805,36.56155
45.434925,282.5065,36.6143
