SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC14a
400.075125,400.662375,400.007775
400.2006,403.042075,400.043325
400.416225,403.255225,400.10915
400.569025,403.31175,400.15245
400.7517,403.6695,400.20735
401.055025,403.7781,400.241425
401.217075,405.12575,400.30335
401.39325,406.041525,400.392475
401.754175,409.729375,400.446725
402.005525,409.94585,400.484875
402.365775,411.465825,400.533675
402.568525,411.67315,400.571
402.725225,411.82565,400.59115
403.00685,411.951425,400.63715
403.14015,412.0596,400.69365
403.4372,412.20715,400.740375
403.8951,412.501725,400.791425
404.105925,415.3574,400.90595
404.2537,415.608475,400.942075
404.41145,415.7414,401.0048
404.602875,417.16235,401.058675
404.7227,418.11855,401.12505
404.83985,418.19905,401.2094
405.3206,418.30895,401.23665
405.454625,419.7734,401.444175
405.626975,419.922725,401.5081
405.842525,423.659575,401.63615
405.9883,432.37555,401.679675
406.158325,432.486075,401.7286
406.27535,433.25975,401.7906
406.47375,433.4501,401.9321
406.675275,433.6923,401.9848
406.802175,433.7663,402.03165
407.118525,434.0042,402.145725
407.52215,434.310375,402.17695
407.928725,438.49375,402.30655
408.170725,438.849625,402.371
408.335125,439.0098,402.419475
408.52925,439.130775,402.489025
408.691925,439.2579,402.631425
408.829475,439.591275,402.740725
408.95865,439.881375,403.690075
409.085,440.008075,403.78595
409.178725,440.1198,403.98295
409.308975,440.218325,404.18
409.5205,440.3064,404.259075
409.621375,440.3944,404.315775
409.7025,440.5042,404.3745
409.773875,440.6938,404.409825
409.8849,440.8637,404.588875
410.11425,441.0451,405.200175
410.321925,441.123525,405.4946
410.59585,441.19145,406.842625
410.8393,441.331575,406.872225
411.066075,441.404825,406.91335
411.32935,441.4626,406.9653
411.509975,441.51875,406.989625
411.65875,441.601375,407.042625
411.805025,441.7054,407.07395
411.902575,441.766275,407.170075
412.072425,441.827625,407.2034
412.22185,443.441925,407.245775
412.372875,445.24965,407.287175
412.49095,447.610775,407.345325
412.610775,452.580025,407.3769
412.731,455.980825,407.410025
412.82385,456.0597,407.4592
412.9306,456.275925,407.5228
413.1192,460.0757,407.550125
413.234975,460.179175,407.598975
413.52115,460.35365,407.658075
413.7491,460.393775,407.707825
413.942675,460.4557,407.735775
414.125775,460.588925,407.772675
414.338975,460.70855,407.833975
414.538775,460.872775,407.871325
414.7414,461.004925,407.935725
414.867475,461.227675,407.995075
415.126875,461.36315,408.1027
415.337,464.399875,408.214125
415.491925,464.6531,408.280275
415.74395,466.0461,408.3304
415.9843,466.127675,408.45385
416.1493,466.214375,408.491225
416.321675,470.777575,408.549225
416.420125,474.208225,408.6028
416.6674,474.487275,408.644825
416.832975,476.0884,408.684575
417.000425,476.158,408.732075
417.133275,476.39715,408.786125
417.201,476.62185,408.901775
417.259225,477.2892,409.0662
417.4647,480.021475,409.1244
417.856725,483.60015,409.14855
418.0462,488.8144,409.174825
418.189075,491.08555,409.194875
418.31975,492.0138,409.25705
418.571125,492.0581,409.37825
418.73385,492.1159,409.51635
418.921925,492.22895,410.033
418.996425,492.4446,410.1464
419.11115,492.4872,410.17475
419.264325,492.766325,410.21625
419.3827,492.903,410.2673
419.472525,493.1497,410.30235
419.594675,493.184675,410.3885
419.7016,493.255325,410.4388
419.883975,493.32315,410.4772
419.942725,493.4459,410.501775
420.047875,496.23615,410.5308
420.13595,496.332325,410.575775
420.24495,496.5078,410.62565
420.40525,496.766075,410.698825
420.52255,497.0027,410.773975
420.637025,497.1684,410.812275
420.765925,497.4225,410.8911
420.869775,497.778825,410.9814
420.95945,497.88395,411.005625
421.04625,498.043175,411.083675
421.1762,498.139375,411.37405
421.2801,498.22355,413.3656
421.379825,498.53465,413.3986
421.4597,498.6159,413.439475
421.5753,499.03865,413.4627
421.685925,499.1079,413.49035
421.86675,499.443775,413.517475
422.00665,499.706125,413.534825
422.20235,499.812975,413.564725
422.411675,499.9178,413.5967
422.6904,500.266325,413.637675
423.098175,500.33745,413.67775
423.3192,500.398175,413.72165
423.44075,500.44955,413.84695
423.656475,500.534375,413.884575
423.805875,500.611975,413.9736
423.950425,500.792725,414.067475
424.03345,505.40755,414.10845
424.182025,505.79025,414.25335
424.340125,507.670575,414.3347
424.462875,513.1919,414.382975
424.59875,513.631725,414.581725
424.7091,519.094575,414.64265
424.869825,519.161125,414.723775
425.0068,519.27015,414.751025
425.150525,519.289525,414.8687
425.31815,519.4066,414.996625
425.41365,528.148725,415.036475
425.530775,528.547575,415.08035
425.647225,528.671,415.15705
425.759,528.787675,415.21705
425.886675,528.872725,415.29595
425.9697,529.002875,415.359675
427.071225,529.3494,415.4849
427.494925,529.40045,415.60925
427.81025,529.481075,415.6839
428.0743,529.637525,415.735975
428.265375,533.7449,415.910625
428.460875,539.145575,416.63425
428.67425,541.867175,416.78915
428.869225,544.7319,417.3353
429.001475,545.126475,417.39155
429.19245,546.968125,417.436375
429.3831,549.808875,417.47565
429.568775,550.1352,417.504
429.7049,550.3105,417.5512
429.85585,550.403475,417.594475
430.0098,551.116225,417.653
430.183625,557.8775,417.700275
430.3415,558.953825,417.7577
431.0408,559.909875,417.789325
431.42395,560.28405,417.90835
431.9674,560.46505,417.94565
432.148675,560.679875,418.029175
432.41225,561.0502,418.05755
432.5519,565.172825,418.083975
432.83125,565.38835,418.133975
433.00645,571.410075,418.162575
433.067125,573.0971,418.190075
433.22485,575.12045,418.265525
433.356675,579.8172,418.314
433.43615,584.239275,418.352
433.532925,584.633325,418.428075
433.6112,584.70135,418.48705
433.72995,589.207775,418.5416
433.836725,596.478125,418.58375
433.980275,596.63515,418.6778
434.10835,596.7468,418.732625
434.2601,597.064975,418.8166
434.38895,597.249375,418.952675
434.49235,597.34265,419.02905
434.66895,597.390675,419.09205
434.828625,597.500775,421.874575
435.032425,597.59685,421.900025
435.140875,597.86085,421.940425
435.2694,598.029275,422.0256
435.4055,598.294175,422.0649
435.4894,598.8545,422.108975
435.63495,,422.153725
435.752425,,422.180425
435.8531,,422.2098
435.9837,,422.24885
436.101475,,422.281425
436.19885,,422.30985
436.371575,,422.337825
436.485525,,422.363275
436.6343,,422.38465
438.04275,,422.420375
438.4251,,422.49045
438.74465,,422.523075
438.884125,,422.55565
439.0749,,422.577375
439.200525,,422.597675
439.357975,,422.61945
439.5362,,422.6394
439.7199,,422.660925
439.8146,,422.720825
439.86185,,422.81015
439.968275,,422.860175
440.1063,,422.891325
440.21135,,422.93545
440.291925,,422.987525
440.390425,,423.0766
440.488525,,423.1532
440.598575,,423.24615
440.721275,,423.432825
440.8632,,423.529875
440.94495,,423.6379
440.978,,425.237125
441.017475,,425.58215
441.049225,,425.647725
441.1221,,425.807775
441.210925,,426.080125
441.28375,,426.14385
441.318925,,426.1887
441.3502,,426.207825
441.429475,,426.252825
441.526525,,426.4094
441.6321,,426.43735
441.77315,,426.5215
441.89985,,426.590175
442.433975,,426.665075
442.705925,,426.760175
442.975425,,426.835125
443.174925,,426.89
443.3657,,426.997
443.527725,,427.044575
443.657275,,427.092975
443.81555,,427.233025
443.9642,,427.26285
444.11445,,427.3114
444.208075,,427.342675
444.324925,,427.39505
444.51705,,427.4399
444.67315,,427.49435
444.873025,,427.58735
445.019375,,427.808325
