SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
250.02575,259.452575,250.036575
250.115775,259.923425,250.09405
250.235925,263.46055,250.14185
250.43135,263.683325,250.1739
250.490575,264.752975,250.19315
250.6627,273.312925,250.2257
250.807325,275.5644,250.2977
250.871475,275.817025,250.3227
250.909425,277.448,250.3598
250.97565,280.546075,250.384225
251.041925,281.66245,250.4692
251.09305,284.802925,250.545175
251.1452,284.9433,250.583225
251.209575,286.166375,250.622225
251.28525,290.6058,250.703825
251.35585,290.951575,250.7541
251.41445,292.8127,250.784525
251.4629,294.752225,250.80935
251.53365,295.2992,250.833075
251.64885,296.131375,250.86495
251.7117,297.0235,250.9532
251.799975,297.538175,250.97135
251.940825,297.64955,251.1037
252.023525,300.230425,251.495725
252.23695,300.29915,251.594
252.31745,300.370825,251.7324
252.4967,301.02425,251.8331
252.6639,301.35215,251.960025
253.596575,301.513875,252.107975
254.19565,301.7329,252.1629
254.519675,301.759925,252.468625
254.76365,304.6281,252.51845
255.364,304.89595,252.6918
256.251,306.177575,252.820875
256.3594,310.167,252.914625
256.41175,312.010625,252.9377
256.4529,312.56285,253.226775
256.503125,313.6533,253.334325
256.60535,313.9014,253.395825
256.663,314.194275,253.477925
256.7295,319.17615,253.6061
256.780725,320.467225,253.67175
256.837375,325.4445,253.73325
256.888675,325.6425,253.82535
256.92355,328.408575,253.905125
256.976025,330.4101,254.0216
257.049475,331.491275,254.12395
257.113225,332.66335,254.255225
257.18545,336.12735,254.33885
257.232,337.22835,254.476225
257.275175,337.783175,254.517125
257.327175,337.966325,254.585825
257.3624,339.0796,254.675925
257.405175,342.343625,254.8322
257.433375,342.818325,254.8972
257.468275,343.168025,254.95415
257.4998,352.304125,255.020325
257.536775,352.3752,255.2263
257.593375,353.66365,255.39675
257.657175,353.750125,255.48505
257.801125,355.8965,255.656575
257.87155,358.3114,255.77445
257.98845,359.086925,255.930925
258.205225,361.6588,256.036625
258.31095,,256.1112
258.650325,,256.1354
258.778325,,256.15835
259.175425,,256.18095
259.411975,,256.230275
259.49855,,256.248225
259.717125,,256.297325
259.79415,,256.32255
259.933175,,256.388425
260.0247,,256.42615
260.08755,,256.45335
260.140125,,256.475825
260.24615,,256.517875
260.31325,,256.550175
260.39985,,256.586225
260.494625,,256.6517
260.5502,,256.69015
260.60575,,256.711575
260.6772,,256.8333
260.70905,,256.939825
260.753625,,256.995575
260.77905,,257.02565
260.832475,,257.042225
260.9154,,257.065925
260.97355,,257.084475
261.023475,,257.105125
261.13445,,257.123275
261.239975,,257.2565
261.473,,257.2773
261.56225,,257.31635
261.790175,,257.34815
262.3284,,257.3784
262.52935,,257.4243
262.8248,,257.5151
263.076925,,257.550275
263.431525,,257.609125
263.513325,,257.74255
263.582475,,258.07935
263.628925,,258.23915
263.664975,,258.39825
263.697125,,258.469525
263.7776,,258.5506
263.8713,,258.918075
263.93395,,259.06685
263.9885,,259.181325
264.044475,,259.26075
264.110525,,259.3338
264.150925,,259.352775
264.2007,,259.369825
264.24745,,259.40185
264.286675,,259.4347
264.324475,,259.448275
264.3618,,259.55065
264.404575,,259.566875
264.458375,,259.5899
264.499225,,259.618925
264.533125,,259.669775
264.583425,,259.72205
264.619325,,259.83325
264.65805,,259.948275
264.702025,,259.971775
264.73375,,260.043425
264.78315,,260.0619
264.815675,,260.08345
264.8666,,260.154925
264.921575,,260.24825
264.957875,,260.3913
265.000425,,260.421775
265.0703,,260.454625
265.119175,,260.490075
265.175025,,260.575225
265.223775,,260.682125
265.258925,,260.733375
265.33985,,260.81895
