SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC08a,SPK_SPKC10a
300.474875,300.096075,300.261875,301.90625,300.004525
300.546925,300.1945,300.383475,306.30435,300.053675
301.0101,300.312825,301.510625,308.8941,300.236175
301.1083,300.367475,301.655725,312.03355,300.346325
301.146275,300.411925,301.727575,312.351775,300.36365
301.3306,300.5076,301.821525,317.79395,300.519875
301.48445,300.6261,301.894475,323.848475,300.559425
301.5244,300.6555,301.959225,333.125825,300.7201
301.69535,300.6812,302.069825,333.139425,300.766
302.11925,300.766875,302.170225,335.750025,300.866275
302.3322,300.80955,302.507825,335.951325,300.9086
302.380025,300.84935,302.641025,341.8341,301.111625
302.4189,300.998375,303.4144,346.72355,301.162
302.899825,301.038425,306.580475,346.904075,301.39845
303.177825,301.122075,307.59625,350.322425,301.4183
303.255475,301.20095,307.710825,352.94985,301.49155
303.556725,301.25775,307.792225,353.0934,301.5672
303.942125,301.309775,307.88575,357.56495,301.87945
304.2736,301.3827,308.0861,359.39525,301.937775
304.714425,301.4103,308.280575,359.433175,302.157625
304.8256,301.435325,308.34535,373.36485,302.18555
305.054375,301.460875,308.574075,374.589925,302.425425
305.33435,301.5065,309.404025,378.4351,302.463825
305.67865,301.543,309.898175,378.4419,302.650825
305.720125,301.6057,311.708725,378.717775,302.826075
305.88105,301.671725,311.8105,388.1405,302.9098
306.032375,301.721275,311.855325,390.294,303.36245
306.06625,301.759325,312.0185,390.754875,303.583525
306.37495,301.83485,312.10725,397.845625,303.624225
306.62845,301.886625,312.151375,402.517425,303.722
306.9506,301.9968,312.57615,402.676125,303.98835
307.094125,302.07895,313.67135,403.71345,304.23375
307.22,302.19385,313.925725,403.84335,304.665475
307.3652,302.234525,317.944725,405.94825,305.175975
307.4079,302.34235,318.040175,406.16825,305.32845
307.472825,302.448125,318.28255,406.233075,305.762725
307.591225,302.528475,318.383825,411.558475,306.1948
307.64125,302.611025,318.834175,411.965525,306.896275
307.6898,302.742025,319.080075,414.9832,307.093575
307.755675,302.8247,320.329975,415.2007,307.2713
307.882825,302.97125,320.55965,415.34795,307.3226
307.949875,303.055025,320.785725,420.2575,307.344425
308.6047,303.15175,322.635025,425.559475,307.358225
308.833875,303.238375,323.098625,425.801025,307.6825
308.953725,303.61465,323.3045,428.8273,307.857475
308.991375,303.75515,323.63065,429.0618,307.8992
309.030275,303.977225,324.1571,429.21815,307.930775
309.1099,304.14285,324.273075,431.72485,307.97405
309.483275,304.1817,324.539375,431.75445,308.009875
309.536475,304.43335,324.68895,431.94235,308.19345
310.198,304.751025,324.87285,432.880075,308.365825
310.321025,305.5125,327.0643,433.0428,308.595075
310.727725,305.803875,327.1414,433.121375,308.7231
311.745725,306.533875,327.623625,433.2066,308.812675
312.102125,306.65505,327.7888,436.4726,308.904625
312.13175,306.959125,328.2711,440.30575,309.07595
