SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a
0.5087,0.0299,0.055175
0.9346,0.059125,0.60025
0.99145,0.24085,0.692425
1.409475,0.285275,1.012325
1.43095,0.35065,2.4317
1.720775,0.397175,2.4545
1.734925,0.802875,2.584025
1.738975,0.826625,2.945725
1.762275,0.869525,4.021275
1.789125,0.89265,4.197375
1.8189,0.9572,4.2574
1.99435,1.046075,4.549775
2.351625,1.10865,4.6444
2.48865,1.129775,4.734175
3.057325,1.198325,4.9051
3.35585,1.252975,4.99025
3.6168,1.3043,5.233725
4.091925,1.38285,7.124
4.88875,1.724525,7.71045
4.907025,1.750475,7.888475
5.065725,1.76495,8.091475
5.068825,1.80535,8.164825
5.1066,1.82535,8.19565
5.1192,1.931475,8.29225
5.1304,1.991825,8.85965
5.604225,2.0709,8.911925
5.6334,2.129975,9.17085
5.72045,2.18665,10.049425
5.91985,2.24205,10.992275
6.144275,2.34415,11.049875
6.172475,2.399075,11.23625
6.404125,2.438825,11.296075
6.481825,2.462175,11.689925
6.4868,2.513475,12.78995
6.493475,2.61195,12.858525
6.590075,2.6732,14.499975
7.000125,2.73515,14.584575
7.195025,2.75495,14.69255
7.373025,2.797425,14.792775
7.37805,2.835775,15.039275
7.667625,2.914775,15.473125
7.67075,2.947325,15.748575
7.932375,3.042075,16.12095
8.0326,3.091825,16.56525
8.091875,3.1294,16.869375
8.3002,3.215975,17.871075
8.89215,3.294575,18.725775
9.229125,3.3963,18.935125
9.247825,3.465225,19.31975
9.47865,3.54745,19.503825
9.904625,3.585375,21.061775
10.105125,3.815825,21.5075
10.118575,4.257375,21.5878
10.55625,4.306575,21.65885
10.6681,4.583825,21.76395
10.717825,4.6231,21.851325
10.830325,4.644375,21.9304
10.834525,4.704825,22.05225
10.853975,4.771575,22.1
11.08525,4.7933,22.1412
11.135975,4.833925,22.23245
11.1411,4.84655,22.3461
11.156275,4.884,22.390675
11.194625,4.90505,22.511875
11.41955,4.9747,22.599775
11.428025,5.1114,22.725875
11.44715,5.1299,23.393275
11.535325,5.166575,23.96305
11.542425,5.193375,24.05385
11.56095,5.2555,24.180575
12.0127,5.3743,24.312525
12.120525,5.4016,24.5854
12.1272,5.4727,24.662475
12.137275,5.4945,24.857
12.14585,5.5173,25.748975
12.14935,5.543975,26.525275
12.161875,5.564725,27.134825
12.38115,5.65135,27.551975
13.108025,5.72055,27.771975
13.3043,5.75375,28.445375
13.409975,5.879725,28.59255
13.4367,5.898125,28.721325
13.65145,5.953975,28.830925
13.84735,5.973125,28.927525
13.916175,6.01675,28.9836
14.0981,6.0806,29.034225
14.41665,6.112775,29.11565
14.56415,6.143225,29.177
14.6443,6.180275,29.447125
14.841525,6.236225,29.54315
15.032025,6.347575,29.649575
15.082925,6.41065,29.845475
15.12105,6.433975,30.01185
15.659175,6.52985,30.119475
16.09065,6.562,30.258975
16.116325,6.586175,30.817225
16.1239,6.676275,31.926275
16.1347,6.74355,32.57165
16.887525,6.782825,32.9409
17.0429,6.871125,34.035875
17.09895,6.984475,34.115925
17.5049,7.0636,34.15525
17.674625,7.12395,34.26645
17.763775,7.2617,34.323225
17.914975,7.30925,34.396275
17.918725,7.337725,34.83815
17.937675,7.408775,35.02515
18.346525,7.59305,35.557675
18.390925,7.624375,35.799075
18.43095,8.1956,36.094
18.456925,8.2227,36.933275
18.46945,8.253175,37.548225
18.50495,8.279,37.81305
18.6623,8.31695,38.11475
18.927175,8.347525,38.151225
18.941625,8.3671,38.67545
19.895225,8.3936,38.94835
20.011325,8.45805,39.05925
20.515425,8.510775,39.152975
20.581975,8.550525,39.298675
20.65165,8.611725,39.368125
20.665225,8.64435,39.45665
20.9111,8.822125,39.5605
20.916975,8.846375,39.607825
21.009025,8.9119,39.705675
21.131575,8.93565,39.973075
21.331725,8.9685,40.379675
21.923025,9.0105,40.940125
21.930325,9.042775,43.2324
22.05835,9.072,43.268
22.10325,9.114875,43.35575
22.1079,9.1873,43.407975
22.16445,9.2485,43.5245
22.432625,9.292525,43.67605
22.65135,9.35265,43.73805
22.65525,9.372975,43.802
23.145575,9.423375,44.040375
23.911925,9.5703,44.10115
24.053625,9.613425,45.0101
24.1085,9.64555,46.10585
24.12155,9.74145,46.15385
24.149275,9.79765,46.2671
24.179,9.859725,46.274125
24.5022,9.908775,46.420475
24.50985,10.031925,46.905725
24.65525,10.069475,47.202625
24.66365,10.1769,47.756675
25.070575,10.420225,49.69295
25.253375,10.584425,49.8097
25.25705,10.644175,50.14575
25.260475,10.9433,50.304925
25.27645,10.97205,50.5046
