SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12a
400.154275,400.1264,400.0604,400.0341
400.2101,400.175925,401.25685,404.6687
400.3929,400.29635,402.017775,406.27835
400.458125,400.495625,402.20055,406.458625
400.596925,400.53285,402.30155,406.71325
400.6284,400.921275,402.77235,408.145725
400.867675,401.028425,403.456875,411.7163
401.155425,401.11125,403.543075,412.9945
401.189425,401.2565,403.608475,413.944375
401.317975,401.454875,403.66105,420.30895
401.4741,401.53925,404.02315,421.70295
401.51665,401.696575,404.269425,423.1766
401.548725,401.7492,404.6115,423.83555
401.989825,401.946425,404.699625,424.2294
402.12795,402.00955,405.230975,425.1554
402.330375,402.218425,405.797675,426.728075
402.4482,402.345125,406.252475,431.2981
403.0487,402.423325,406.34795,431.516575
403.116925,402.46165,406.5698,431.640975
403.403425,402.564975,406.6046,437.882975
403.527075,402.7723,406.73195,445.53535
403.698325,402.87515,406.849375,447.419275
403.867875,402.956725,406.99345,449.8832
406.48515,403.16825,407.170125,451.54315
406.57325,403.317225,407.342275,452.373825
406.60765,403.611025,407.551,453.50285
406.636875,403.7402,408.1237,454.88255
406.814275,404.009225,408.54945,455.785325
406.8795,406.59225,408.677575,457.429675
406.93175,406.6369,409.0201,460.07255
407.019575,406.67235,409.30445,462.616275
407.081725,406.70485,409.354675,463.679725
407.474475,406.76735,409.99635,464.8096
407.737675,406.827475,410.115925,464.941775
407.805125,406.8742,410.202325,467.1878
408.04135,407.035125,410.440525,468.663475
408.12255,407.2383,410.647525,469.30285
408.3275,407.3259,410.9768,470.0941
408.44705,407.50075,411.4426,471.088575
408.5211,407.689525,411.58425,471.251475
408.628975,407.94975,411.89625,474.45525
408.69715,408.02415,412.229325,476.92455
408.861225,408.09925,412.5168,480.180575
408.946475,408.1449,412.614525,481.193125
410.35405,408.173125,412.767325,482.638675
410.418175,408.265575,412.99215,482.898175
410.476275,408.329,413.162275,486.02825
410.535575,408.3699,413.34575,488.525475
410.569275,408.659425,413.465175,495.4559
410.621975,410.716425,413.5043,495.489575
410.673225,411.5728,413.534625,496.89475
410.7073,411.667525,414.129875,498.523825
410.747425,411.79495,414.204,502.40415
410.97645,411.8775,414.2619,506.086375
411.6644,411.969125,414.3313,510.143675
411.7393,412.047125,414.675775,512.18595
