SPK_SPKC05a,SPK_SPKC09a
0.09655,0.0154
0.14615,0.15425
0.231775,0.303225
0.43975,0.424575
0.47345,0.5922
0.66165,0.689325
0.81805,0.804775
0.92865,0.95235
1.264425,1.142875
1.542775,1.4302
1.995125,1.58615
2.04185,1.706775
2.094625,1.8522
2.13035,1.948775
2.309325,2.053925
2.47175,2.28025
2.540875,2.4035
2.568075,2.4582
2.61235,2.53575
2.83115,2.622875
2.917775,2.741125
2.96355,2.8367
3.040775,2.9835
3.108225,3.0924
3.194725,3.16225
3.384625,3.27515
3.467975,3.35235
3.54045,3.439
3.5794,3.47695
3.619625,3.52125
3.670575,3.548625
3.709325,3.619425
3.7508,3.70115
3.779875,3.9266
3.836425,4.032325
3.8724,4.4502
4.198725,4.5549
4.2289,4.68905
4.6358,4.745125
4.699625,4.82275
4.874675,4.866125
5.0368,4.927525
5.185925,5.009125
5.267425,5.06445
5.38825,5.12715
6.038675,5.25345
6.28735,5.4167
6.646875,5.52935
6.9426,5.68595
7.88815,5.96485
7.97305,6.119525
8.0441,6.2714
8.089975,6.4691
8.1231,6.6147
8.14995,6.804475
8.254075,6.9833
8.468925,7.15915
8.5143,7.266325
8.8123,7.4031
9.06785,7.573325
9.1666,7.80565
9.461025,8.001775
9.51675,8.0382
9.62765,8.216675
9.75415,8.279425
9.813125,8.428975
9.872325,8.4702
10.1879,8.548975
10.240275,8.6625
10.29995,8.75985
10.379225,8.815875
10.7445,8.8813
10.818825,8.977425
10.8366,9.036675
10.848675,9.1223
11.034675,9.250225
11.1918,9.370925
11.86825,9.4514
12.48215,9.707175
12.656275,9.8733
12.7927,9.92655
12.9521,9.972025
12.99125,10.045925
13.01475,10.194125
13.05755,10.29135
13.094925,10.3688
13.145425,10.470775
13.31145,10.583775
13.3969,10.8438
13.484175,10.9752
13.582875,11.108375
13.631175,11.256175
14.34195,11.47365
14.37445,11.612525
14.660625,11.74965
14.8202,11.980275
14.872675,12.202025
14.973575,12.34905
15.0362,12.513175
15.12615,12.75065
15.1575,12.846675
15.4256,12.995575
15.50715,13.03315
15.76715,13.125025
15.82065,13.156375
17.3397,13.252525
17.39325,13.5975
17.5081,13.68375
17.576775,13.71585
17.7088,13.75705
17.77705,13.8031
17.942975,13.8993
18.5865,13.9537
18.839125,14.028275
18.964825,14.198225
19.0434,14.356325
19.223725,14.548625
19.25075,14.63965
19.305875,14.7123
19.462425,14.788525
19.673325,14.837575
20.19475,14.905075
20.379375,14.939475
20.701425,15.09125
21.563125,15.197925
22.073025,15.256125
22.21655,15.5962
22.702525,15.775525
22.740425,15.880675
22.752175,15.99405
22.7707,16.192925
22.8643,16.370375
22.934075,16.56065
22.991925,16.7877
23.04485,17.07725
23.151525,17.17825
23.706175,17.211475
23.965175,17.257025
24.0128,17.295875
24.09875,17.359775
24.18545,17.457625
24.245675,17.545375
24.279825,17.5925
24.511975,17.6358
24.605375,17.690625
24.655225,18.012675
24.70245,18.2476
24.901325,18.38145
25.57415,18.537375
25.7422,18.61595
25.804,18.708725
25.877425,18.830625
25.98505,18.929225
26.098425,18.99915
26.177325,19.04165
26.272425,19.223275
26.353725,19.377025
26.799525,19.493775
26.868075,19.66105
27.49875,19.8937
27.71135,20.30715
27.753875,20.5348
27.818075,20.688
27.912525,20.873
27.985325,21.020225
28.099425,21.280675
28.414825,21.654975
28.866175,21.923525
29.0731,22.18025
29.17395,22.369025
29.22585,22.653275
29.26645,22.75765
29.320775,22.878675
29.40315,22.9691
29.43775,23.083225
29.490175,23.12065
29.546525,23.253625
29.605525,23.422175
