SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC09a
0.117625,0.144975,0.08395,0.011225
0.13185,0.817925,0.488825,0.11655
0.140075,0.915425,0.8996,0.3472
0.2792,1.577975,1.066875,0.891375
0.367425,1.590575,1.11375,1.0371
0.51535,1.7814,1.3019,1.0924
0.584225,2.017225,1.4078,1.220575
0.890775,2.037275,1.448575,1.497675
1.038675,2.16715,1.4719,1.5882
1.064925,2.33095,1.934325,1.76075
1.10885,2.39905,2.072,1.93745
1.2196,2.828875,2.10345,2.002075
1.4247,2.909375,2.155375,2.0267
1.517725,3.3735,2.240125,2.072
1.599125,3.434375,2.44165,2.0968
1.7207,3.515625,2.657375,2.379925
1.76595,3.525675,2.72575,2.451525
1.900025,3.91925,2.750725,2.800125
1.932625,3.988125,2.77885,2.858825
1.980675,4.030075,2.845525,2.9101
2.034525,4.446725,3.303425,2.968975
2.0475,4.879675,3.850225,2.980375
2.14805,4.975725,3.882425,3.333025
2.311925,5.411875,3.9335,3.477975
2.36585,5.455625,3.941375,3.65915
2.3841,5.572025,3.949825,3.70345
2.4485,5.58845,3.997775,3.919225
2.485025,6.04365,4.464225,4.0945
2.58355,6.9511,4.486775,4.212375
2.674275,7.81925,4.6691,4.501675
2.77785,8.29905,4.70785,4.7322
2.858075,8.3734,4.7339,4.983125
2.9735,8.73915,4.855775,4.98805
3.15135,9.00485,4.9498,5.03685
3.1842,9.100325,5.0913,5.058575
3.25035,9.3155,5.311325,5.278425
3.293075,9.3306,5.3786,5.4951
3.3737,9.662425,5.467025,5.5261
3.3965,10.187375,5.605175,5.54295
3.458775,10.37085,5.9187,5.7336
3.497275,10.51165,6.3153,6.154725
3.537525,11.24795,6.352625,6.509575
3.606575,11.25045,6.46005,6.547775
3.6551,11.922525,6.472825,6.8552
3.93445,12.074175,6.4828,7.0266
3.98005,12.885675,6.50955,7.033425
4.03105,12.962025,6.63175,7.06335
4.102375,13.101075,6.6575,7.086875
4.235625,13.3586,6.80715,7.2347
4.2415,13.440825,7.1909,7.85535
4.283,14.040625,7.252275,7.895775
4.37645,14.699875,7.2777,7.9276
4.40215,15.176275,7.310625,8.2061
4.491875,15.239425,7.34115,8.361025
4.539275,15.313775,7.580875,8.382675
4.6713,15.835325,7.6008,8.6262
4.7891,15.8849,7.7504,8.744725
4.84765,16.196625,7.81005,8.758975
4.86845,16.599925,7.883225,8.770175
4.9841,16.91745,7.9306,8.785625
4.9955,17.288025,8.011325,8.79625
5.41895,17.325775,8.07785,9.31515
5.468525,17.338525,8.10535,9.338675
5.47905,17.34765,8.117625,9.35915
5.5886,17.3776,8.133625,9.372875
5.717375,17.4335,8.350675,9.392925
5.8208,17.475825,8.360925,9.4622
5.90325,17.5199,8.3797,9.583175
5.9936,17.5866,8.438725,9.61945
6.06755,18.2954,8.5083,9.998975
6.12785,18.356525,8.5381,10.04925
6.4394,18.447,8.7473,10.067075
6.49,19.549575,8.761825,10.129675
6.51475,19.76945,8.768875,10.144775
6.593225,20.173875,8.903325,10.3271
6.686525,20.278475,9.042675,10.6831
6.72525,20.4803,9.09435,10.69795
6.76535,20.84195,9.191875,10.739125
6.82915,21.30365,9.240825,10.74575
6.9803,21.50075,9.290925,11.20485
7.025825,21.5763,9.347325,11.2266
7.042425,21.898125,9.3995,11.247075
7.139,22.13775,9.416875,11.820825
7.18435,22.22445,9.6254,11.971
7.2341,22.82215,9.68775,12.006175
7.29675,22.86445,9.752875,12.303575
7.38865,22.897225,9.8115,12.387525
7.559225,22.9369,9.930875,12.39655
7.603675,23.538975,9.95885,12.445375
7.81885,24.06445,9.981725,12.45895
7.87075,24.13425,10.049225,12.470925
8.030775,24.141725,10.1568,13.699025
8.042525,24.282625,10.62445,13.9585
8.09185,24.2964,10.66235,13.97235
8.28135,24.451825,10.671875,14.284925
8.346625,24.67795,10.68785,14.359525
8.36355,24.874275,10.704275,14.4664
8.3956,25.097125,10.8323,14.64395
8.46095,25.188575,11.19135,14.68235
8.744125,25.274925,11.781025,15.175775
8.76795,25.718375,11.81165,15.195475
8.8055,25.7515,11.83245,15.22345
8.85025,25.849525,11.938675,15.3779
8.9035,26.57575,12.06605,15.93295
9.10295,26.6898,12.127175,15.943
9.2534,26.9207,12.162675,15.962725
9.33895,27.277675,12.223475,16.13335
9.3601,27.297075,12.54615,16.259275
9.392325,27.6094,12.872475,16.3964
9.444175,27.947,12.892475,16.86935
9.4975,28.27125,12.91035,17.04025
9.55665,28.313525,12.9307,17.2978
9.625225,28.6482,12.9845,17.46795
9.896925,28.872975,13.04175,17.903175
9.91805,29.281025,13.1091,18.1947
9.940725,29.54785,13.255575,18.20675
10.036175,29.63795,13.34405,18.239275
10.2262,30.819,13.430325,18.327675
10.322725,31.022125,13.477525,18.5015
10.3943,31.052425,13.91465,18.98375
10.522125,31.216425,13.937575,18.985625
