SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC10b,SPK_SPKC11a,SPK_SPKC16a
400.00495,400.10345,400.11885,400.0629,400.484125,400.02315,400.00585
400.10345,400.1299,400.184725,400.15975,400.579225,400.0332,400.027525
400.1299,400.243675,400.231325,400.24695,400.9056,400.051825,400.049675
400.24365,400.374475,400.3724,400.294775,401.133,400.06605,400.052675
400.37445,400.40745,400.586725,400.3352,401.20405,400.078325,400.068375
400.4074,400.445075,400.67835,400.461325,401.2837,400.174025,400.0713
400.44505,400.73815,400.756375,400.540125,401.373475,400.311825,400.0816
400.738075,400.803125,400.956425,400.597025,401.419425,400.384175,400.1088
400.83895,400.838975,400.971275,400.655625,401.490375,400.449175,400.157975
400.916825,400.91695,401.003525,400.7196,401.9033,400.45655,400.15945
400.94535,400.945375,401.08585,400.798075,401.937,400.4842,400.363
401.093575,401.093675,401.14305,400.916775,402.0015,400.48955,400.384675
401.315425,401.31545,401.217075,401.00765,402.72675,400.5534,400.399025
401.39215,401.3922,401.3241,401.079375,402.777575,400.579275,400.407975
401.430275,401.430275,401.349125,401.141875,403.563875,400.6125,400.418075
401.5708,401.570825,401.362425,401.22065,404.43555,400.711875,400.426925
401.764475,401.7645,401.7641,401.347075,404.962775,400.825875,400.437625
401.89655,401.89665,401.809225,401.43295,405.1498,400.8518,400.45805
401.954475,401.9545,401.853025,401.5325,405.20995,400.878525,400.463575
401.9899,401.989925,401.89175,401.6117,405.296875,400.898475,400.46855
402.05035,402.050525,401.89505,401.6434,405.362775,400.905725,400.4736
402.080075,402.0801,401.896725,401.744775,405.46715,401.133,400.48165
402.1125,402.11255,401.89805,401.834425,405.696275,401.204125,400.488625
402.16795,402.167975,401.954,401.8888,405.988275,401.419425,400.49875
402.2348,402.2348,401.993,401.9432,406.708,401.49045,400.513825
402.2912,402.29125,402.0339,401.995325,406.759025,401.53435,400.52665
402.712375,402.7124,402.11375,402.04975,407.290075,401.60485,400.5657
402.767725,402.7678,402.12715,402.09275,407.989375,401.678375,400.598875
402.946175,402.88145,402.138675,402.151775,409.139625,401.7302,400.6132
403.05515,402.946225,402.15675,402.212925,409.818825,401.763475,400.627975
403.146,403.05525,403.18205,402.288775,409.937875,401.77805,400.65825
403.3203,403.1461,403.251175,402.356575,410.25925,401.8,400.6687
403.4006,403.3204,403.27725,402.4106,410.45725,401.863225,400.6788
403.8924,403.400625,403.32045,402.48675,410.511575,401.9033,400.691125
404.20545,403.477575,403.405875,402.5497,410.723525,402.001575,400.7005
404.3112,403.892525,403.54105,402.587575,410.91595,402.02565,400.7121
404.38565,404.20555,403.688375,402.673925,410.966825,402.0903,400.719525
404.650075,404.311225,403.716675,402.7262,411.13935,402.093925,400.72865
404.7285,404.385675,403.76035,402.7671,411.573525,402.09515,400.75085
404.8629,404.65015,403.85315,402.8825,411.78455,402.1028,400.770575
404.929575,404.7285,403.869225,402.9215,411.860125,402.115025,400.796525
404.998075,404.863,403.94745,403.017,411.910275,402.180225,400.81325
405.07715,404.929675,404.0369,403.073125,412.082725,402.261975,400.81885
405.331075,405.077225,404.068475,403.111525,412.119,402.3461,400.84605
405.38945,405.3311,404.085475,403.17435,412.247925,402.361875,400.87855
405.472925,405.389475,404.0985,403.202525,412.452425,402.3968,400.932425
405.520975,405.472975,404.183675,403.246125,412.587175,402.456525,400.975225
405.562475,405.520975,404.3161,403.29795,412.92675,402.469075,400.9891
405.6014,405.562625,404.381925,403.371475,413.1877,402.5218,401.000825
405.67745,405.601425,404.5455,403.463275,413.48595,402.565925,401.0152
405.73295,405.677475,404.811525,403.508325,413.739425,402.58265,401.025575
405.794375,405.733,404.9202,403.57045,413.778225,402.62845,401.0332
405.940525,405.794425,405.092275,403.6017,413.918625,402.633175,401.0456
406.006225,405.94055,405.15805,403.667375,414.179975,402.726825,401.056325
406.047325,406.006275,405.1983,403.7085,414.211175,402.766475,401.070125
406.1119,406.0474,405.521225,403.746675,414.312125,402.804775,401.087475
406.3686,406.111925,405.60455,403.797725,414.31635,402.925275,401.106175
406.53965,406.36865,405.61565,403.83645,414.749075,402.953775,401.122125
406.610825,406.5397,405.75375,403.902525,415.2385,403.005275,401.1338
406.665925,406.610825,405.904575,404.005125,415.35895,403.07245,401.1432
406.762375,406.665925,405.924625,404.142325,415.632625,403.1248,401.151075
406.832375,406.76245,406.111575,404.2707,415.66555,403.1638,401.16115
406.979825,406.832425,406.2199,404.347975,416.4739,403.2212,401.175525
407.595675,406.979925,406.291675,404.41465,417.18305,403.29625,401.1845
407.70075,407.59575,406.423225,404.439625,418.04615,403.32265,401.191075
407.8459,407.700775,406.466075,404.5379,418.510425,403.386825,401.216425
407.9434,407.8459,406.48115,404.658925,419.00935,403.3924,401.226825
408.280025,407.94345,406.762475,404.813275,419.0355,403.443675,401.232275
408.462775,408.28015,406.872975,404.91105,419.0398,403.48205,401.25055
408.685425,408.46285,406.945325,405.01165,419.0779,403.564,401.25815
408.78035,408.68545,407.056225,405.1366,419.202475,403.684075,401.26915
408.85245,408.7804,407.06925,405.240925,419.208275,403.692275,401.2738
408.902725,408.85245,407.092625,405.30535,419.2577,403.81995,401.28115
409.029625,408.902725,407.298525,405.4172,419.2932,403.911025,401.286875
409.1003,409.029725,407.347375,405.4938,419.525825,403.929725,401.29265
409.15575,409.1003,407.548625,405.589325,419.640375,403.9338,401.298825
409.22425,409.15585,407.8461,405.7003,419.7117,403.953375,401.3066
409.400525,409.224375,407.85865,405.8074,419.8022,403.9654,401.318025
409.702025,409.400575,407.984875,405.92725,419.870775,404.05495,401.326875
409.749275,409.702125,408.0183,406.000375,419.876375,404.062275,401.33295
409.923925,409.7493,408.048775,406.060075,419.937125,404.118175,401.341525
409.9917,409.923975,408.149725,406.117725,419.98975,404.1295,401.380075
410.0422,409.991775,408.1733,406.2147,420.014775,404.314725,401.39145
410.08905,410.042225,408.182225,406.25035,420.165675,404.3606,401.4066
410.1274,410.0891,408.368175,406.381325,420.34325,404.39635,401.4197
410.194125,410.1274,408.462975,406.464525,420.427475,404.43555,401.445325
410.246225,410.194175,408.5097,406.541375,420.54995,404.45415,401.450075
410.316175,410.246275,408.519525,406.640525,420.72095,404.53395,401.4633
410.397425,410.316275,408.610575,406.72635,420.736125,404.57665,401.467
410.45695,410.3975,408.6856,406.856625,420.89355,404.601625,401.474325
410.615625,410.520925,408.84095,406.92,420.92275,404.6626,401.49105
410.6539,410.61565,408.8669,406.9664,421.181475,404.755725,401.504075
410.726625,410.65395,409.02985,407.05115,421.249125,404.7744,401.532725
410.8037,410.7267,409.268225,407.086375,421.2992,404.826725,401.5496
410.8702,410.72995,409.55935,407.174875,421.37885,404.8961,401.555975
410.905075,410.803775,409.655325,407.28135,421.419225,404.934125,401.576525
410.986825,410.870275,410.0376,407.42475,421.791425,405.011025,401.586475
411.02685,410.905125,410.0843,407.5672,421.799925,405.1498,401.627875
411.105225,410.986825,410.114425,407.728625,422.076525,405.20995,401.671325
411.160675,411.026875,410.49625,407.8559,422.144675,405.229725,401.6969
411.180725,411.061525,410.66525,407.94215,422.333725,405.29695,401.706975
411.209575,411.105225,410.90665,408.10535,422.61705,405.301025,401.713625
411.2363,411.2096,411.087425,408.1732,422.658075,405.362775,401.727125
411.289425,411.28945,411.33095,408.278625,422.67975,405.406275,401.74635
411.390925,411.356575,411.415725,408.37995,422.947875,405.4623,401.7575
411.440775,411.390975,411.431525,408.4678,423.52205,405.467175,401.811075
411.467575,411.44085,411.547425,408.528025,423.586825,405.55485,401.824875
411.534475,411.467625,411.902825,408.65405,423.61265,405.56695,401.84315
411.631975,411.5345,411.971775,408.728475,423.65745,405.6303,401.877575
411.750075,411.63205,412.064275,408.808,423.7159,405.631625,401.889125
411.907725,411.7502,412.12495,408.863725,424.1625,405.696375,401.90145
412.00965,411.90775,412.319725,408.904725,424.281675,405.755275,401.9107
412.07245,412.009725,412.333575,409.016425,424.453625,405.768675,401.923025
412.10575,412.0725,412.34685,409.088125,424.873975,405.8258,401.9317
412.1524,412.1059,412.5368,409.168625,424.907525,405.842225,401.941125
412.20235,412.1524,412.590925,409.279875,424.9448,405.904075,401.954875
412.245525,412.2025,412.691075,409.357725,424.9884,405.939175,401.971575
412.327775,412.245625,412.727175,409.431125,425.08965,405.988375,401.984375
412.3629,412.3278,412.86165,409.492275,426.52945,406.192375,402.000275
412.4566,412.4567,413.1659,409.5434,426.701175,406.1988,402.0134
412.5325,412.532625,413.28205,409.6731,426.738,406.2161,402.02595
412.61785,412.61795,413.349275,409.76615,426.7429,406.232575,402.038225
412.7215,412.72155,413.4373,409.8208,426.776025,406.2658,402.052725
412.755275,412.755275,414.19735,409.87735,426.80685,406.297725,402.07205
412.803675,412.80375,414.4472,410.0824,426.93255,406.34275,402.103375
412.87865,412.878775,414.587375,410.209275,426.9672,406.443525,402.117875
413.404575,413.4046,414.8511,410.276675,427.0033,406.551525,402.159
413.530025,413.530075,415.029325,410.411675,427.080675,406.5942,402.1647
413.5637,413.5637,415.3402,410.477675,427.16935,406.643925,402.1908
413.652825,413.652925,415.46925,410.596225,427.175125,406.6794,402.2103
413.7955,413.728775,415.614,410.67625,427.23715,406.684325,402.243575
413.89215,413.795625,415.6618,410.7425,427.27655,406.7081,402.2739
413.951075,413.892275,415.8312,410.81555,427.29915,406.71445,402.3007
414.1029,413.95115,415.910875,410.8882,427.49005,406.73175,402.352875
414.313575,414.1029,416.0483,411.0516,427.58235,406.75455,402.39565
414.4118,414.31365,416.150925,411.114225,427.704525,406.759075,402.447475
415.29075,414.321275,416.346425,411.1872,427.78425,406.762775,402.46345
415.37215,414.355225,416.374525,411.247875,427.909325,406.8941,402.484475
415.420975,414.4119,416.40435,411.347975,427.939425,407.016625,402.49575
415.56445,414.9256,416.642825,411.40885,428.17015,407.189675,402.511
415.58315,415.290775,416.787275,411.52935,428.2303,407.207525,402.529775
415.63495,415.37215,416.816675,411.60665,428.2425,407.22175,402.557675
415.657575,415.421075,416.9318,411.714525,430.4486,407.29015,402.611775
415.723375,415.50435,416.942375,411.862725,431.085975,407.545775,402.640825
415.746125,415.56445,417.1021,412.01415,431.14065,407.578075,402.737625
415.81245,415.583175,417.109925,412.136325,431.4953,407.616925,402.757225
415.84775,415.634975,417.1198,412.210825,431.71585,407.73185,402.767475
415.980425,415.6576,417.237525,412.38195,431.92005,407.738925,402.773975
416.053525,415.66895,417.354125,412.50525,432.0223,407.933625,402.78245
416.11455,415.723425,417.44855,412.6094,432.206625,407.989475,402.787775
416.19175,415.7462,418.10555,412.742675,432.47745,408.047775,402.797775
416.233425,415.812575,418.299075,412.868175,432.624375,408.15215,402.806875
416.282975,415.847775,418.4896,412.950675,432.780175,408.2009,402.813225
416.3283,415.98055,418.522125,413.1635,432.81155,408.276375,402.82135
416.344925,416.05355,418.59025,413.288625,432.876925,408.28175,402.831875
416.399925,416.11455,418.657925,413.451625,432.936675,408.37875,402.839475
416.4964,416.19175,419.1101,413.559425,432.9599,408.450075,402.857525
