SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC11a
0.49685,0.0908,0.011325,0.026975,0.078025,0.22335,0.0334
0.6129,0.186575,0.034525,0.089625,0.72655,0.274925,0.057775
0.8635,0.256675,0.099175,0.19605,1.066475,0.6276,0.111075
0.969075,0.2923,0.212425,0.245075,1.2448,0.725525,0.1391
1.1404,0.308425,0.344675,0.267125,1.64655,0.96455,0.155475
1.248175,0.319775,0.568375,0.3095,1.752975,1.569175,0.19755
1.6255,0.36465,1.0526,0.35475,1.7656,1.904175,0.2622
2.134125,0.499175,1.847225,0.378175,1.855575,1.90685,0.40375
2.607975,0.66835,4.9114,0.38345,2.874125,1.932925,0.432975
3.179425,0.70285,6.166725,0.4279,3.179575,2.666375,0.520875
4.142125,0.755075,6.267,0.553575,3.3506,2.687525,0.54815
4.393225,0.90315,6.35695,0.59825,4.10135,2.71815,0.556525
4.76525,0.971725,6.74675,0.647675,4.59435,2.72165,0.566675
4.872225,1.018175,7.0409,0.668725,4.78125,2.75925,0.58345
5.068125,1.0507,7.146975,0.77025,4.837675,2.982675,0.587025
5.1491,1.080225,7.22585,0.89305,4.9106,3.16345,0.65345
5.5293,1.09865,7.4571,0.956925,5.431275,3.219625,0.674725
5.68805,1.1289,7.555425,1.008975,5.722275,3.2775,0.716075
5.784325,1.26355,7.5869,1.0601,5.830975,3.2888,0.7492
6.132,1.469675,7.622,1.106275,5.939525,3.719425,0.772975
6.22035,1.626525,7.698275,1.13305,6.054475,3.801225,0.82025
6.31155,1.685975,7.7938,1.21755,6.494125,4.246525,0.874975
6.360975,1.8874,7.864925,1.313375,6.80095,4.2703,0.8923
6.41205,2.04895,8.111075,1.387775,7.186875,4.28705,0.90655
6.54565,2.1065,8.17615,1.46415,7.513575,4.333425,0.9424
6.9649,2.2884,8.532125,1.536075,7.53815,4.34115,0.94875
7.053,2.439575,8.695425,1.66685,7.632575,4.685975,0.9589
7.294975,2.4841,8.836125,1.805375,8.35405,4.867825,0.9645
7.372475,2.54365,9.295025,1.812675,8.459175,4.98915,0.992075
7.648825,2.562275,9.45915,1.900375,10.3863,5.023175,1.01925
7.697575,2.742,9.482625,2.002875,11.030975,5.1505,1.03425
7.7185,2.875425,9.78515,2.177225,11.20735,5.250225,1.15695
