SPK_SPKC02a,SPK_SPKC08a,SPK_SPKC10a,SPK_SPKC11a,SPK_SPKC12a
0.743375,0.056775,0.01315,0.074825,1.216725
2.756175,0.234325,0.0612,0.086925,1.2677
2.87155,0.42205,0.112375,0.3267,1.295625
2.95825,0.5386,0.196,0.4148,1.323375
3.4308,0.69515,0.224325,0.45055,1.36255
4.9966,0.809375,0.2943,0.51475,1.744125
5.008275,0.902425,0.3212,0.6036,1.8124
6.520975,0.97045,0.379625,0.950725,1.868325
6.76175,1.05205,0.4156,0.981175,1.920625
7.15575,1.098125,0.450525,1.025175,2.054375
7.9931,1.14845,0.47365,1.216775,2.15065
14.271,1.196225,0.576725,1.2728,2.4109
14.641775,1.254825,0.597975,1.308025,2.5635
14.98495,1.302775,0.618425,1.38825,2.618475
15.39685,1.340925,0.64535,1.48535,2.66345
15.3999,1.39015,0.69255,1.5314,2.723925
15.55415,1.49965,0.7227,1.5796,2.7867
16.026175,1.5476,0.745775,1.61045,2.8911
16.46235,1.592775,0.769275,1.660325,2.967625
18.624175,1.6744,0.884,1.86115,3.05015
20.7972,1.704975,0.926425,1.951375,3.0882
21.7305,1.79135,0.9812,2.016425,3.165275
21.934725,1.819675,1.025175,2.1009,3.214375
23.138,1.916625,1.1829,2.143525,3.23045
25.121275,1.958525,1.2168,2.160875,3.3009
26.60745,2.0113,1.243675,2.179275,3.3668
26.90685,2.06725,1.260125,2.205025,4.132825
27.383225,2.130825,1.3059,2.221125,4.176475
28.3376,2.23645,1.321425,2.2689,4.4847
29.857,2.3728,1.37525,2.2718,4.6649
30.7018,2.428825,1.413,2.358525,4.866675
30.7659,2.4832,1.4358,2.409475,4.93785
31.008225,2.68635,1.454825,2.6956,4.993725
31.1499,2.756575,1.4801,2.783475,5.0527
31.22345,2.801525,1.513475,2.809925,5.44195
31.700175,2.942775,1.53585,2.82135,5.581025
31.9452,3.07365,1.560075,2.86725,5.658275
32.095775,3.1473,1.59405,2.87535,5.757775
32.269425,3.20445,1.623425,2.901475,5.790525
32.74995,3.335725,1.66275,2.93735,5.81595
33.4556,3.5569,1.696575,2.991225,5.8351
33.467325,3.844375,1.718925,3.002375,5.9246
33.61165,3.901275,1.76215,3.02945,6.037475
33.71625,4.019,1.872275,3.122375,6.185475
34.584675,4.089875,2.029775,3.25945,6.263075
35.02505,4.177,2.10605,3.29925,6.30075
35.126375,4.246175,2.142775,3.334475,6.408875
35.4095,4.3126,2.1677,3.3801,6.440475
35.46705,4.4215,2.19075,3.383075,6.471825
35.69495,4.578025,2.244075,3.4374,6.494625
35.8482,4.67845,2.29885,3.46735,6.566125
36.15875,4.7725,2.32635,3.5417,6.600325
37.010775,4.893875,2.35855,3.8081,6.652525
41.337875,4.979525,2.651725,3.903675,6.699025
41.9372,5.08235,2.684975,4.0006,6.8459
42.33725,5.199775,2.723575,4.025975,6.918275
42.824925,5.263075,2.765575,4.115725,6.950075
44.77675,5.3702,2.8811,4.39975,7.01205
44.949,5.40975,2.924375,4.473125,7.076175
45.257125,5.4561,3.095425,4.48165,7.130975
46.2715,5.505675,3.120625,4.48475,7.243625
47.0976,5.5599,3.223525,4.51415,7.2759
47.59825,5.70145,3.237925,4.587675,7.3274
47.660675,5.811775,3.27505,4.6398,7.349625
47.7064,5.8307,3.29445,4.694075,7.424025
47.7238,5.856,3.312675,4.779375,7.462425
48.6485,6.09975,3.328775,4.923875,7.5799
48.94815,6.176625,3.358875,4.9378,7.6306
48.9896,6.241875,3.39225,4.9678,7.683625
49.025975,6.2818,3.42045,5.010175,7.72365
49.787625,6.361475,3.480775,5.043475,7.758925
50.2628,6.425475,3.51315,5.27315,7.779325
50.3228,6.479075,3.54405,5.303225,7.865375
50.516125,6.5768,3.563975,5.3207,8.009875
50.83045,6.7326,3.5808,5.336925,8.06145
51.225925,6.80405,3.61175,5.388875,8.10185
51.627625,6.874925,3.704475,5.466275,8.130675
51.773925,6.93715,3.750375,5.475525,8.2025
51.8419,6.97615,3.780525,5.577875,8.2949
52.53935,7.0228,3.8445,5.814275,8.5853
52.920025,7.1294,3.8639,5.831825,9.588175
53.2036,7.17605,3.88965,5.889,9.718275
53.9682,7.24615,3.919175,5.93515,10.262475
53.999225,7.317425,3.94585,5.98805,11.14265
54.064525,7.431975,4.0006,6.0424,13.0936
54.260975,7.49115,4.02005,6.104,13.783175
54.307425,7.576425,4.0444,6.291375,14.843975
54.36425,7.788275,4.090875,6.304175,15.417675
55.81365,7.81875,4.25265,6.372975,15.759125
56.057575,7.864125,4.27515,6.5324,16.099625
56.139275,7.9124,4.316225,6.574375,16.826825
56.18915,7.961875,4.326825,6.58945,16.86905
56.6217,7.984925,4.3726,6.6054,17.420225
56.64375,8.14365,4.4297,6.64605,17.716
56.824525,8.2276,4.452975,6.65325,18.727625
57.173325,8.320525,4.47135,6.675625,18.803725
57.350275,8.4365,4.49105,6.723475,18.98655
58.00995,8.637225,4.545175,6.75615,19.54985
58.47395,8.827875,4.58165,6.7628,19.748975
58.975375,8.94715,4.598275,6.7819,19.834825
58.983125,9.078325,4.65895,6.831675,19.9313
59.02855,9.201925,4.690425,6.8989,19.9714
59.6459,9.345625,4.816975,6.990725,20.066025
59.8727,9.4648,4.8555,7.00145,20.220925
59.900175,9.535375,4.9365,7.005925,20.732825
60.1245,9.5394,4.958575,7.022325,20.778775
61.873375,9.627875,5.216725,7.068275,20.8451
62.58215,9.81235,5.238325,7.0786,20.873125
62.779225,9.89675,5.303225,7.092275,20.9029
63.638125,9.9997,5.3271,7.1335,21.127375
64.104475,10.07925,5.34445,7.2095,21.434025
64.587975,10.261775,5.363325,7.294725,21.810575
65.389975,10.352725,5.40165,7.3729,22.106275
65.52875,10.69015,5.475575,7.3908,22.16
66.009825,10.9066,5.6479,7.426475,22.283575
66.197025,11.5188,5.719325,7.4646,22.338775
66.348775,11.7379,5.756475,7.710925,22.3895
66.3967,12.09235,5.78675,7.797,22.705675
66.619775,12.261625,5.8126,7.812275,23.152375
68.404675,12.488925,5.84005,7.847075,23.6342
68.7898,12.749475,5.871375,7.908825,23.9074
69.020925,13.18275,5.90005,7.9382,24.1715
69.89305,13.457325,5.9291,7.99265,24.19255
70.27985,13.841575,5.947775,8.024525,24.459725
70.427775,14.2045,5.9749,8.047975,24.793225
72.0635,14.36585,6.0973,8.081225,24.942325
72.11395,14.493675,6.123875,8.0932,24.988625
72.449925,14.544425,6.354975,8.1294,25.526025
72.69905,14.586825,6.3971,8.216775,25.872825
72.78135,14.6558,6.43485,8.2916,26.108625
73.0615,14.740125,6.452475,8.3949,26.159075
73.15085,14.777475,6.48015,8.475225,26.4374
74.1197,14.8456,6.50215,8.5312,26.459725
74.413575,14.882825,6.549025,8.5643,26.485625
74.4803,14.95355,6.568725,8.585325,26.69335
74.794525,15.01105,6.58465,8.95615,26.769375
75.085325,15.261925,6.60775,8.973,26.87375
75.095575,15.316175,6.64245,8.9784,26.93065
75.439975,15.399375,6.67035,8.998725,27.017475
75.4864,15.485025,6.680775,9.043725,27.28095
75.538125,15.54835,6.755425,9.122425,27.506825
75.7741,15.603375,6.787475,9.186325,27.642475
76.13195,15.671825,6.81755,9.230525,27.6845
76.2306,15.81595,6.886025,9.46715,27.7102
76.25635,15.896725,6.981375,9.520125,27.80585
76.725825,16.07915,7.0429,9.5385,27.845175
76.769825,16.203325,7.1027,9.627275,27.87175
76.831425,16.25495,7.122175,9.93025,27.939675
77.304825,16.3447,7.143975,10.129275,27.97985
77.632725,16.4779,7.1828,10.29925,28.075625
77.6604,16.690675,7.201075,10.33645,28.1235
77.7176,16.788575,7.229475,10.4029,28.158225
77.810175,16.88215,7.344425,10.529225,28.2799
78.217475,16.94805,7.3697,10.5644,28.3316
78.289775,17.157525,7.4052,10.638725,28.43365
78.8221,17.3809,7.58855,10.7092,28.65125
78.86555,17.828225,7.63465,10.84705,28.6873
80.011575,18.666575,7.6866,10.892725,28.747325
80.4898,18.76665,7.747825,10.980625,28.78515
80.61615,18.8884,7.793275,11.057325,28.8413
80.830075,19.0397,7.828,11.148,28.894025
80.9528,19.104475,7.921325,11.414,28.950675
82.36245,19.278725,7.943775,11.506575,29.089375
82.650025,19.4183,7.9625,11.573425,29.149875
83.279025,19.85365,8.0912,11.5896,29.21875
83.56575,19.9412,8.16505,11.622625,29.337225
83.649225,20.197075,8.195575,11.69385,29.4011
84.3438,20.2909,8.2226,11.70355,29.455525
84.64065,20.3534,8.2428,12.09425,29.502775
84.9838,20.68255,8.263075,12.50595,29.5458
85.091225,20.723,8.2761,12.61755,29.62735
85.1086,20.80105,8.31225,13.2093,29.762775
85.9024,21.02095,8.3291,13.266675,29.804775
86.70685,21.2522,8.3554,13.26765,29.843
86.906125,21.334375,8.37985,13.278375,29.99875
87.12355,21.400625,8.401525,13.383475,30.091175
88.413375,21.684975,8.42405,13.50755,30.162475
88.5436,22.167875,8.446025,13.723625,30.2125
88.574825,22.287375,8.473675,13.813325,30.277
88.64615,22.37665,8.481525,13.91835,30.3424
88.999425,22.530425,8.564325,14.15495,30.3883
89.133575,23.62405,8.5923,14.2415,30.476225
89.2957,23.7711,8.619475,14.278525,30.51505
89.355625,23.948225,8.665075,14.306225,30.606325
90.477,24.026825,8.750875,14.31595,30.646025
90.596175,24.087,8.8399,14.345425,30.744875
90.71075,24.7798,8.87885,14.510775,30.8265
91.2799,24.946625,8.9224,14.716075,30.85295
91.3294,25.1375,8.9375,14.76365,30.8798
91.634975,25.290225,8.966925,14.844025,30.93245
91.697475,25.977925,8.99335,14.853825,30.973025
91.89475,26.090975,9.020975,14.9622,31.022975
91.97735,26.70845,9.040525,15.010275,31.14925
92.799675,27.009825,9.061125,15.0508,31.235225
93.15125,27.106675,9.101725,15.081825,31.2669
93.483575,27.21655,9.150475,15.127875,31.29535
93.519175,27.45805,9.173825,15.1602,31.330875
93.548375,27.757825,9.206725,15.195425,31.365225
93.654425,27.854625,9.2302,15.2057,31.432925
93.826,27.94915,9.33705,15.22065,31.46205
94.150425,28.3037,9.3867,15.292975,31.487575
94.18785,28.658825,9.44725,15.297375,31.53745
94.321225,28.808175,9.46715,15.345275,31.5823
95.039,28.941525,9.47585,15.750725,31.618475
95.4392,29.239325,9.4972,15.793525,31.6663
95.912775,29.33875,9.52015,15.834375,31.7055
95.9862,29.429975,9.5417,15.857975,31.7999
96.00695,29.580775,9.646025,15.86735,31.85135
97.13715,30.20275,9.72555,15.949675,31.899175
97.15435,30.487125,9.8053,15.951,31.92935
97.554825,30.875925,9.822775,16.027025,31.972075
97.659,30.924025,9.85415,16.06475,32.003925
99.346,30.978925,9.86835,16.0712,32.080975
99.3898,31.050575,9.886125,16.119,32.107025
103.2873,31.101425,10.00285,16.144375,32.14115
103.582975,31.138725,10.02155,16.200025,32.167575
103.639625,31.18785,10.0374,16.218325,32.21095
103.917075,31.26915,10.0767,16.465525,32.235075
104.10545,31.3903,10.098825,16.52765,32.268725
104.2393,31.494225,10.128025,16.5537,32.2985
104.529475,31.6164,10.147875,16.672025,32.3007
