SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC07a
0.717975,0.012525,0.05205
0.7448,0.0426,0.1656
0.7527,0.062025,0.187125
0.8488,0.0868,0.249525
0.8989,0.109575,0.327325
0.98955,0.162475,0.407475
1.069075,0.18805,0.5791
1.14165,0.20315,0.83125
1.4975,0.238375,1.445825
1.562825,0.258175,1.491025
1.71815,0.363575,2.796375
1.785225,0.392125,2.8624
2.017225,0.4694,4.40505
2.2073,0.47175,4.442775
2.568625,0.500575,4.454425
2.74685,0.5878,4.5009
2.8621,0.6433,4.764225
2.911825,0.6605,4.904925
2.960375,0.701275,5.2034
2.985975,0.7264,5.213975
2.997875,0.72995,5.597525
3.04155,0.7498,6.41185
3.1136,0.762525,8.47545
3.136025,0.775075,9.754775
3.1605,0.7915,9.791075
3.23655,0.853,9.87805
3.25975,0.929575,9.91765
3.29975,0.9917,10.409925
3.34255,1.024425,11.30155
3.4,1.032175,11.420525
3.4738,1.0507,12.65035
3.60945,1.0689,12.6996
4.00715,1.126825,13.005225
4.1632,1.151475,14.352625
4.3665,1.1825,14.354325
4.439225,1.245325,14.378175
4.47035,1.280325,14.385225
4.498725,1.318625,15.375575
4.511475,1.346975,15.564625
4.55285,1.37305,15.7017
4.59455,1.376025,18.0406
4.604675,1.407475,18.4403
4.65375,1.4281,19.12775
4.813825,1.437,20.08375
5.136425,1.5148,20.744425
5.356925,1.54745,21.621475
6.2337,1.564425,22.2484
6.4429,1.566125,22.8844
6.5643,1.615625,22.94685
6.7255,1.635075,23.263825
6.88035,1.6637,23.7925
7.284225,1.687425,24.212675
7.359875,1.71195,24.4437
7.365325,1.734675,24.819975
7.61535,1.770475,24.978975
7.641325,1.78575,25.035775
7.649325,1.82045,25.9724
7.728775,1.8872,25.98285
7.76445,1.9052,26.336775
7.814675,1.9449,26.869475
7.943125,1.96485,26.883525
8.112525,2.0046,26.9064
8.1801,2.0742,26.91985
8.947775,2.109775,26.9315
9.02965,2.160725,26.961275
9.116825,2.192525,26.99445
9.208025,2.22215,27.018125
9.2124,2.241625,27.040725
9.2639,2.2661,27.109425
9.437575,2.29435,27.1765
9.7159,2.323525,27.313225
9.74085,2.3559,28.00455
9.805875,2.386425,28.02095
9.84125,2.4351,28.0409
9.880775,2.47925,28.04815
9.97435,2.50205,28.135375
10.06835,2.5235,28.405225
10.15565,2.5384,28.59245
10.433575,2.557025,29.194375
10.48305,2.602425,29.210825
10.555225,2.67965,29.22805
10.69425,2.682,29.2515
10.9654,2.698675,29.307975
11.1451,2.70935,29.64875
11.18525,2.716125,29.730025
11.205675,2.74945,29.7439
11.258,2.752175,29.777675
11.360425,2.7687,29.852925
11.36615,2.780425,29.9257
11.476625,2.80575,29.942
11.674225,2.8274,29.952425
11.791775,2.83815,30.0032
11.935625,2.857825,30.0223
11.987975,2.898925,30.052075
12.060675,2.9208,30.119225
12.2301,2.9448,30.332975
12.3795,2.947675,30.8182
12.470575,2.9677,31.755175
12.519975,2.9813,31.796725
12.54085,3.02315,31.809675
12.563625,3.086075,31.827625
12.57375,3.115475,31.843675
12.613325,3.151875,31.8762
12.6331,3.17245,32.0093
