SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC09a
0.02235,0.03095,0.242275,0.069375,0.011225,0.1452,0.0866,0.00785,0.225475
0.171025,0.177325,0.296075,0.153575,0.06945,0.32715,0.159975,0.044775,0.265575
0.2039,0.233525,0.6315,0.277175,0.193825,0.40775,0.31545,0.08245,0.6839
0.338725,0.2779,0.886925,0.319275,0.212875,0.5028,0.352125,0.1096,0.778175
0.385,0.489275,1.319925,0.345625,0.268,0.545,0.468225,0.18775,0.7945
0.42795,0.56205,1.34925,0.431725,0.314075,0.7159,0.609675,0.247225,0.8612
0.6253,0.692775,1.369325,0.479875,0.3502,0.796975,0.6931,0.2587,0.86595
0.66445,0.959125,1.4016,0.52265,0.403125,0.867825,0.787775,0.289275,1.2356
0.7006,1.087025,1.416875,0.566975,0.4832,1.0675,0.939425,0.31185,1.48335
0.7254,1.20965,1.48025,0.6433,0.540825,1.336875,0.988525,0.3137,1.860425
0.913775,1.3925,1.510575,0.702,0.591225,1.4343,1.061525,0.33325,1.983
0.938625,1.43115,1.560075,0.7219,0.684525,1.539925,1.1195,0.358975,2.061425
0.976825,1.4415,1.670325,0.747525,0.751025,1.851175,1.212475,0.380575,2.487
1.0201,1.4773,1.73425,0.80355,0.78655,1.906975,1.370775,0.39565,2.968775
1.127275,1.5275,1.77385,0.84885,0.89265,2.0664,1.507775,0.405275,3.063575
1.20275,1.554475,1.8235,0.949925,0.9194,2.1872,1.569975,0.4284,3.328525
1.329075,1.636675,1.86415,1.040925,0.97355,2.27325,1.611575,0.449875,3.38655
1.37185,1.885375,1.88095,1.300625,1.042075,2.36175,1.669075,0.4536,3.43615
1.382225,2.000075,1.897175,1.369425,1.10025,2.631675,1.739375,0.509475,3.5575
1.4658,2.084725,1.90975,1.4081,1.183225,2.946425,1.8222,0.551275,3.5647
1.502275,2.113025,1.92805,1.501625,1.259025,3.0629,1.925425,0.6245,3.63225
1.534,2.21895,1.974325,1.544675,1.3353,3.2459,2.026325,0.668925,3.64995
1.613075,2.29065,1.9964,1.632525,1.389025,3.298575,2.116725,0.69695,3.963775
1.696425,2.43375,2.0243,1.7446,1.41955,3.435675,2.1437,0.720925,4.19195
1.746725,2.75125,2.104325,1.874875,1.609075,3.50475,2.2296,0.74185,4.234075
1.802875,2.89725,2.12775,1.920325,1.674175,3.6095,2.321925,0.77465,4.289275
1.805875,2.929325,2.156275,2.005,1.7855,3.791875,2.411425,0.867825,4.319
1.861975,2.977625,2.23855,2.085525,1.813175,4.148775,2.5096,0.89625,4.626225
1.97875,3.003225,2.279525,2.183825,1.91915,4.25485,2.581475,0.9116,4.7848
2.060775,3.102175,2.3574,2.295175,1.992475,4.478825,2.738375,0.999175,4.9127
2.182375,3.160525,2.369225,2.4064,2.062325,4.588475,2.790875,1.05155,5.05625
2.2622,3.19085,2.43975,2.52125,2.135825,4.689725,2.830375,1.08795,5.11505
2.30905,3.259625,2.486025,2.56125,2.19305,4.715225,2.89785,1.1198,5.262475
2.3926,3.346025,2.53175,2.742375,2.2095,4.7559,2.97985,1.1227,5.26495
2.57395,3.4032,2.54895,2.8391,2.246675,4.801175,3.13745,1.138475,5.302825
2.63705,3.47275,2.592875,2.936875,2.27305,4.89675,3.16445,1.1713,5.334025
2.8112,3.5121,2.619775,3.00055,2.316975,4.9328,3.1912,1.238425,5.49195
2.945375,3.72175,2.64045,3.098775,2.43145,4.970325,3.30515,1.2667,5.593125
3.106825,3.72405,2.65945,3.1996,2.566575,4.975275,3.367125,1.27475,5.6269
3.17835,3.83135,2.674875,3.307925,2.634,5.0825,3.455325,1.359025,5.637
3.1897,3.8802,2.710875,3.42675,2.68265,5.121475,3.4855,1.400025,5.653625
3.2309,3.9464,2.74225,3.4972,2.759075,5.17145,3.572975,1.410075,5.721975
3.685125,4.17575,2.781825,3.7867,2.872925,5.24545,3.63905,1.457025,5.789575
3.814625,4.27035,2.82455,4.182125,2.92885,5.329525,3.718925,1.459225,6.022575
3.967275,4.297675,2.846125,4.24915,2.95615,5.448925,3.810125,1.465075,6.105725
4.035325,4.385375,2.87955,4.35965,3.039125,5.5621,3.855475,1.5095,6.289525
4.065425,4.44275,2.927925,4.4345,3.068625,5.68125,3.91835,1.74745,6.35725
4.07425,4.452875,2.9514,4.571475,3.071675,5.7645,3.939775,1.787575,6.416475
4.180275,4.49995,2.96805,4.75315,3.1108,5.805725,3.97245,1.81935,6.562625
4.28735,4.55765,2.984775,4.879225,3.153,5.880825,4.081275,1.844125,6.6625
4.5843,4.620425,3.02555,4.90015,3.217025,5.99475,4.152475,1.875775,6.757075
4.826975,4.68495,3.0682,4.91885,3.266575,6.0522,4.259975,1.90615,6.817375
4.84675,4.700175,3.093775,4.9998,3.341625,6.3951,4.2796,1.940375,6.954625
4.937375,4.75065,3.1227,5.051475,3.410175,6.451575,4.364725,1.95925,7.131625
4.983475,4.782625,3.148825,5.1054,3.45005,6.684,4.393025,1.998225,7.417175
5.004875,4.8741,3.165825,5.1823,3.472175,6.793625,4.547375,2.05465,7.634025
5.1106,4.9439,3.218475,5.29625,3.6641,6.86135,4.5713,2.074175,7.6449
5.1484,5.0515,3.248825,5.31505,3.724675,6.92215,4.6077,2.12535,7.795975
5.1966,5.1388,3.271725,5.379,3.737625,6.982775,4.66075,2.189175,7.830875
5.2655,5.253375,3.310625,5.39485,3.790075,7.06085,4.683625,2.19615,8.204275
5.32885,5.28165,3.325425,5.433625,3.859975,7.140475,4.720075,2.248925,8.285725
5.5542,5.31105,3.3495,5.508175,3.92305,7.268175,4.7576,2.2847,8.295775
5.652275,5.34145,3.3774,5.562225,4.0204,7.43095,4.779,2.30005,8.4652
5.69355,5.36375,3.417875,5.62175,4.096075,7.49375,4.8292,2.3663,8.6288
5.865,5.438625,3.4832,5.6635,4.16055,7.608375,4.8995,2.38485,8.722675
5.902225,5.51185,3.501475,5.7133,4.2156,7.735175,4.9902,2.453075,9.04075
6.01355,5.57855,3.5334,5.77565,4.234525,7.857675,5.05825,2.46245,9.292425
6.04785,5.594875,3.56605,5.862675,4.26905,7.919325,5.077075,2.516725,9.4126
6.0642,5.75245,3.593025,5.89755,4.329725,8.052,5.0845,2.656,9.433625
6.14515,5.7973,3.6161,6.001975,4.422,8.1391,5.16515,2.6719,9.549775
6.253525,5.920725,3.645225,6.11435,4.48485,8.196825,5.2386,2.71465,9.654375
6.3107,5.990975,3.69815,6.122975,4.538475,8.60385,5.2773,2.76,9.988375
6.4315,6.0258,3.7108,6.298825,4.5956,8.68305,5.321425,2.81665,10.047125
6.578275,6.097475,3.743575,6.4193,4.6587,8.79005,5.413175,2.879975,10.067925
6.602625,6.170725,3.768675,6.523925,4.72875,8.81905,5.45705,2.932225,10.14985
6.64795,6.221875,3.816225,6.56515,4.777025,8.899475,5.491125,3.044425,10.444975
6.82405,6.254675,4.04345,6.72355,5.040325,8.986225,5.522075,3.078675,10.763775
6.885,6.29825,4.1336,6.8013,5.2221,9.086625,5.557475,3.11225,10.953925
6.903225,6.3064,4.157875,6.902425,5.25865,9.167575,5.62975,3.163,10.9911
6.916875,6.35445,4.20075,6.95425,5.324175,9.219025,5.657725,3.198825,11.19135
7.0219,6.3986,4.220125,7.044975,5.366025,9.437725,5.6638,3.21125,11.213075
7.2101,6.4432,4.23355,7.136075,5.440275,9.6214,5.706225,3.231125,11.231675
7.255275,6.50355,4.2452,7.330125,5.449025,9.67175,5.731175,3.28705,11.28155
7.392975,6.534275,4.257325,7.666275,5.605775,9.71605,5.7357,3.29695,11.410525
7.522025,6.5532,4.2759,7.73305,5.683675,9.787625,5.790325,3.30635,11.5033
7.575075,6.591675,4.3034,7.78215,5.761225,9.8666,5.83465,3.358275,11.5398
7.62285,6.670975,4.332675,7.831425,5.853875,10.007825,5.9456,3.398825,11.56865
7.67315,6.67475,4.3455,7.881975,5.99605,10.1108,6.026525,3.404825,11.7222
7.80605,6.72225,4.37125,7.9297,6.071125,10.29885,6.087175,3.415275,11.7704
7.828,6.779175,4.3821,7.984775,6.140975,10.6053,6.180425,3.434825,11.8229
7.87715,6.81155,4.4218,8.1263,6.17315,10.7649,6.29465,3.444325,11.87805
8.027275,6.8925,5.198925,8.179125,6.2027,10.85305,6.35245,3.48285,11.922375
8.032275,6.992,5.240025,8.239925,6.416725,11.25925,6.3783,3.55125,11.94535
