SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
0.058125,0.139675,0.17975,0.015775,0.031225,0.0554,0.0183,0.0035
0.3556,0.168925,0.64325,0.25615,0.042975,0.127325,0.27855,0.016725
0.755325,0.1978,0.7083,1.814325,0.0638,0.196075,0.311675,0.061775
0.847125,0.21225,0.73645,2.098775,0.3723,0.276625,0.362575,0.089475
0.855025,0.317325,0.887225,2.704575,0.380025,0.3621,0.41095,0.10685
1.19925,0.322975,1.02715,3.4207,0.38365,0.472425,0.4326,0.15285
1.3242,0.34345,1.12855,3.69515,0.455875,0.540725,0.612,0.162525
1.43225,0.3562,1.2125,3.778975,0.4791,0.552375,0.89715,0.184725
1.54195,0.563825,1.24895,4.215125,0.636925,0.624625,0.932025,0.221125
1.67565,0.628825,1.4866,4.417,0.74355,0.691825,0.978575,0.252875
1.681225,0.704425,1.5823,5.2314,0.78645,0.708675,2.109025,0.2948
1.731925,0.70635,1.6174,5.378,1.0473,0.776125,2.214475,0.33035
1.780875,0.725,1.663075,5.945675,1.07565,0.889325,2.272225,0.332475
2.49945,0.787,1.858725,7.291225,1.08225,1.01455,2.4593,0.3368
2.94245,1.1383,1.970175,7.47075,1.151875,1.1021,2.50005,0.354975
3.281375,1.1772,2.071275,8.1691,1.1901,1.19855,2.834525,0.364575
3.43165,1.240125,2.1179,8.3036,1.19575,1.3324,3.0954,0.385425
4.042475,1.2499,2.70835,9.331875,1.27715,1.6041,3.17215,0.3915
4.133975,1.25485,2.838175,10.091025,1.34225,1.662375,3.225875,0.393625
4.151975,1.2614,2.9417,10.163825,1.364225,1.78025,3.304775,0.3982
4.168575,1.266275,3.059175,12.37745,1.461275,1.919725,3.47565,0.40595
4.684175,1.324175,3.085475,14.413925,1.564475,1.971175,3.713475,0.426675
4.837025,1.432325,3.86125,14.9088,1.7069,2.12745,4.03465,0.44285
5.172725,1.48685,4.123175,15.190575,1.743325,2.193975,4.162025,0.45375
5.215125,1.49195,4.2193,15.4187,1.758875,2.33425,4.609375,0.468525
5.223875,1.502475,4.386025,15.69195,1.8029,2.431075,4.942125,0.486475
5.352375,1.525625,4.59265,16.14415,1.844925,2.573375,5.1096,0.5045
5.87155,1.5659,4.612325,17.3553,1.898075,2.63055,5.1122,0.544425
5.95785,1.56975,4.64615,17.808525,2.13715,2.740025,5.2011,0.54595
5.9713,1.59395,4.722275,17.91615,2.282025,2.80005,5.419775,0.577775
5.978175,1.6264,5.19245,18.681075,2.3613,2.8607,5.475675,0.588
6.0061,1.645075,5.2552,19.683725,2.471425,2.934775,5.483125,0.655075
6.0679,1.651675,5.79205,19.839425,2.53445,3.0423,5.65495,0.65675
6.094025,1.6649,5.85135,20.7803,2.56225,3.133825,5.913075,0.68085
6.09615,1.7101,5.974825,21.167975,2.692075,3.176275,6.093025,0.687275
6.1546,1.74905,6.09625,21.372475,2.768725,3.2393,6.5246,0.723575
6.591875,2.01525,6.3161,21.58165,2.834575,3.282925,6.7451,0.748125
6.68495,2.127025,6.6132,23.853625,3.1564,3.45385,6.9181,0.78935
7.4713,2.151375,6.68935,23.991725,3.30385,3.491225,7.1394,0.7904
7.530475,2.318325,6.708125,24.809875,3.3249,3.593675,7.379125,0.859075
7.59105,2.40835,7.1998,25.12625,3.347925,3.6565,7.597375,0.881275
8.09915,2.41455,7.2443,26.373,3.525425,3.707925,7.610025,0.954475
8.298825,2.466625,7.27575,26.44555,3.6416,3.764,7.702025,1.0107
8.351725,2.502025,7.482825,26.6503,3.685,3.86265,8.140975,1.04895
8.786525,2.630225,7.62995,27.5792,3.8082,3.951625,8.396,1.088575
9.20005,2.690225,7.9563,28.072575,3.82715,4.0242,8.453125,1.102325
9.80105,2.91775,8.29445,28.3813,4.155275,4.067125,8.820325,1.12995
10.607525,3.126075,8.5402,28.951075,4.22775,4.12085,9.2616,1.13715
10.8584,3.1519,8.669525,30.453225,4.22975,4.380275,9.3315,1.182
11.7659,3.17195,8.706825,30.884075,4.295075,4.47895,9.478425,1.189075
12.18335,3.17885,9.083575,31.571975,4.31065,4.56305,9.51975,1.21455
12.822125,3.20725,9.10035,31.709925,4.4679,4.665375,9.713625,1.215575
12.998675,3.2749,9.70005,32.715625,4.504325,4.74215,9.9425,1.2677
13.625175,3.2814,9.73875,33.291825,4.52995,4.82485,10.2934,1.271225
13.806775,3.9606,9.7857,34.422925,4.64425,4.87045,10.339225,1.356775
13.835375,3.977225,9.815725,34.5189,4.687675,4.912625,10.3983,1.415225
14.04735,4.1096,9.861475,35.501975,4.705125,4.974925,10.40575,1.4225
14.622025,4.151925,9.8892,37.20495,4.731725,5.02585,10.572325,1.45185
