SPK_SPKC08a,SPK_SPKC10a
0.098725,0.12345
0.21905,0.219075
0.608575,0.406525
1.77855,0.5607
2.185475,0.62305
2.825025,0.6669
8.321,0.6891
8.4339,0.7198
8.465225,0.835875
8.92875,1.0078
8.95205,1.016525
10.330275,1.04315
10.625275,1.05575
11.058075,1.31625
11.80915,1.357725
12.163025,1.535175
13.097825,1.683725
14.208125,1.827275
14.505375,1.9102
15.1641,2.20265
15.41995,2.255025
15.84905,2.3436
16.2536,2.346625
17.620525,2.387275
17.6715,2.420825
18.313475,2.458875
18.97765,2.506025
19.125075,2.618725
19.2324,2.79505
19.85075,3.225425
19.900875,4.16095
20.334375,4.25645
20.766975,4.475925
21.0835,4.77835
21.5324,4.812775
22.00565,4.8528
22.07675,5.15525
22.47475,5.34805
22.98785,5.414025
23.674075,5.5321
24.2205,5.638625
24.50995,5.6562
25.117475,5.7513
25.921325,6.234475
26.054625,6.406775
26.266275,6.70135
26.868125,6.74495
28.64945,6.805625
28.658625,6.985875
28.669425,7.12745
28.77005,7.40765
28.984425,7.801175
29.408225,7.9051
29.63335,8.0695
30.404275,8.183175
30.8726,8.18525
32.251775,8.218
32.638225,8.270975
32.671125,8.273525
33.428925,8.32585
33.710025,8.43395
33.812875,8.455725
34.083,8.47935
34.376625,8.480825
34.38255,8.502475
34.778525,8.666725
35.041225,8.707525
35.0444,8.725375
35.210425,8.796075
35.927225,8.974625
35.971375,9.085
36.523225,9.1818
37.027325,9.203775
37.27755,9.289025
37.50895,9.387025
38.10835,9.621725
38.21635,9.66935
38.7837,10.0916
39.163825,10.127
39.210425,10.306825
39.57525,10.368425
39.84995,10.379275
39.900775,10.56395
39.96785,10.61455
40.20505,10.6331
40.274975,11.0911
40.730025,11.180075
41.10395,11.229875
41.1638,11.29185
41.2632,11.39595
41.675375,11.62055
41.9916,12.029875
42.052675,12.047125
42.5156,12.163025
42.639575,12.856625
42.845475,12.98375
43.084925,13.2723
43.11555,13.340175
43.117775,13.3513
43.22685,13.40665
43.318825,13.7197
43.695725,13.777875
43.8306,13.84225
44.03245,13.962175
44.283425,14.15415
44.346475,14.262975
44.431225,14.44495
44.84575,14.53725
45.118925,14.5919
45.239025,14.871475
46.19115,15.08045
46.269375,15.4735
46.465225,15.969375
46.767625,16.170525
46.850875,16.2064
47.022225,16.389625
47.198525,16.5684
47.8009,16.6667
47.847925,17.005075
47.89125,17.03075
47.939,17.152975
47.972325,17.1847
48.397825,17.2065
48.447675,17.295
48.917425,17.369225
49.02925,17.738875
49.1001,17.8211
49.211625,17.87625
49.282425,17.90715
49.318525,18.054925
49.447075,18.1615
49.74075,18.30375
49.784875,18.329675
49.986825,18.358975
50.019225,18.415575
50.071775,18.57235
50.133475,18.97765
50.62935,19.00155
50.810375,19.0207
50.931425,19.126775
51.025975,19.254925
51.0454,19.755075
51.1071,20.265025
51.119175,20.28385
51.1569,20.622875
51.28615,21.113025
51.40945,21.16405
51.67875,21.203375
51.84045,21.22795
51.9608,21.2442
51.987075,21.255125
52.0105,21.28795
52.069575,21.385775
52.4825,21.534775
52.503575,21.607075
52.52285,21.993875
52.54085,22.102975
52.597875,22.19385
52.80425,22.2112
53.063625,22.27555
53.5698,22.711975
53.792525,23.018775
53.83365,23.22695
54.031675,23.463875
54.135525,23.5264
54.278675,23.553175
54.3186,23.6473
54.52205,23.8836
54.832925,23.923675
54.846725,24.15215
55.036675,24.170625
55.09325,24.202875
55.2666,24.219375
56.025725,24.3188
56.0832,24.343275
56.351625,24.419025
56.380275,24.517225
56.456375,24.5897
56.735275,24.885525
56.786875,25.0128
56.815,25.093225
57.33915,25.37775
57.779425,25.549925
58.025975,25.582775
58.982825,26.29435
59.058,26.34045
59.09865,26.5021
59.165825,26.9158
59.2911,27.060175
59.39545,27.096125
59.471,27.1305
59.50645,27.712325
59.714175,27.908825
59.865425,28.146625
60.0288,28.43545
60.06955,28.658675
60.12695,28.694125
60.32675,28.770075
60.63035,28.97245
60.823825,29.080825
60.9005,29.3943
61.01005,29.48475
61.27195,29.8314
61.3168,30.3765
61.39005,30.411475
61.528,31.33105
62.024575,31.96555
62.184675,32.1729
62.336525,32.2518
63.235525,32.69895
63.319475,32.790875
63.467975,32.8634
63.935325,32.9364
64.05445,32.9716
64.126175,33.31585
64.153025,33.663
64.20085,33.8129
64.294075,33.914625
64.830575,33.994075
64.882025,34.1422
64.9034,34.359375
64.9573,34.412875
65.14015,35.0667
65.958325,35.97135
65.9716,36.11485
66.022325,36.79105
66.1291,36.845275
66.7169,36.855325
67.32555,36.91035
67.38815,36.98425
67.445925,37.192675
67.522925,37.908725
67.6068,38.01655
68.15125,38.04915
68.1748,38.10835
68.1874,38.373275
68.37205,38.8598
68.48185,39.08645
68.52765,39.2104
68.55125,39.219125
68.580275,39.5376
68.768225,39.623725
69.3524,40.057025
69.4137,40.122475
69.496575,40.5299
69.796575,41.234325
69.8202,42.02345
69.901225,42.422975
70.0101,42.53775
70.05265,42.639575
70.1208,42.6415
70.19245,43.08495
70.227725,43.10395
70.2662,43.11675
70.3314,43.424525
70.423925,43.4714
70.435825,43.518
70.46935,43.798125
70.476925,44.12755
70.672,44.2361
70.70855,44.419775
70.714375,44.5986
70.767825,44.80245
70.820825,44.8653
70.83135,44.923375
70.87545,45.002525
70.916775,45.167
71.354125,45.23125
71.4467,45.485075
71.51205,45.6825
71.600125,45.742325
71.623725,46.07845
71.65745,46.2985
71.840875,46.469
71.90575,46.515325
71.99735,46.85085
72.089375,46.900875
72.1651,47.11765
72.2682,47.291525
72.760375,47.8742
72.7743,48.092975
72.7885,48.1221
72.958525,48.2215
72.98925,48.3522
73.022125,48.82015
73.2584,48.93775
73.558525,49.0039
73.583575,49.066825
74.0295,49.12495
74.407975,49.2663
74.4763,49.385125
74.4993,50.01275
74.5176,50.80405
74.5916,50.93625
74.7112,50.957625
75.11355,50.986925
75.224,51.31475
75.242275,51.656325
75.28065,51.97225
75.385075,52.18875
75.475825,52.28135
75.736375,52.338475
75.7541,52.534775
75.891325,52.71915
76.58,52.800875
76.780225,52.91615
76.99075,52.9468
77.454175,53.159225
77.5006,53.17675
77.535225,53.296575
77.541725,53.4272
77.565525,53.547575
77.622875,53.586775
77.754425,53.76615
77.817075,53.796675
77.851,54.015575
77.944575,54.1611
78.13435,54.6107
78.254825,54.824575
78.267725,55.197425
78.486575,55.242775
79.52665,55.39365
80.126425,55.427675
80.1673,55.4817
80.200425,55.5055
80.24205,55.977175
80.267,56.018275
80.395975,56.11355
80.8577,56.2729
80.98055,56.36775
81.27195,56.45385
81.293075,56.53105
81.298725,56.6439
81.42665,56.735275
81.460325,56.8894
81.9514,56.97695
81.99675,57.00845
82.0647,57.06765
82.137875,57.1152
82.46755,57.39415
82.812775,57.606975
83.0187,57.736725
83.07835,57.766375
83.2537,57.8056
83.3877,57.8639
83.4825,57.940575
83.538175,58.019125
83.685325,58.105675
83.846975,58.2731
83.9571,58.3478
84.0378,58.43
84.056675,58.6335
84.226325,58.694025
84.250125,58.763075
84.282325,58.841925
84.324675,58.947125
84.402875,59.00725
84.51025,59.021525
84.528625,59.070775
84.60895,59.1842
84.662175,59.32615
84.72715,59.430575
84.776125,59.453275
84.830325,59.530775
84.88435,59.66595
84.9576,60.014675
85.42695,60.117125
85.49045,60.150975
86.05075,60.189275
86.052875,60.365225
86.0794,60.398125
86.095225,60.6703
86.142325,60.8225
86.182975,60.8795
86.324175,61.038825
86.456875,61.181
86.498775,61.253
86.563475,61.5228
86.650775,61.655325
86.716325,61.71915
87.1041,61.77635
87.151225,61.9454
87.244675,61.9787
87.267625,62.008075
87.4879,62.3306
87.51225,62.5334
87.625675,62.583725
87.826925,62.8171
87.87605,62.9013
87.955475,62.98935
87.9686,63.127175
88.119625,63.2274
88.1513,63.4972
88.1756,63.5408
88.182575,63.640725
88.187725,63.8543
88.1988,63.98305
88.243325,64.0339
88.57225,64.084475
88.606375,64.112675
88.630275,64.14585
88.670075,64.340825
89.001775,64.583025
89.058925,64.720075
89.08395,64.7898
89.2043,64.83245
89.227875,64.88185
89.4775,64.89705
89.498875,65.170575
89.776125,65.270625
89.93345,65.479675
89.949625,65.497425
89.990625,65.542925
90.06125,65.763075
90.244425,65.907
90.5826,65.945025
90.67045,65.977975
90.985,66.064125
91.00005,66.21765
91.058525,66.426775
91.08835,66.48195
91.12885,66.62715
91.22365,66.754925
91.3675,66.989075
91.382125,67.3188
91.4123,67.37745
91.465525,67.446
91.519625,67.451975
91.539575,67.55825
91.573225,67.614275
91.594825,67.658375
91.633575,67.7845
91.656975,67.909375
91.672275,67.980675
91.681025,68.057875
91.78345,68.28755
91.868325,68.316725
91.93855,68.41795
91.94905,68.538875
91.96545,68.7461
91.99305,68.93155
92.00735,68.97875
92.06685,69.150475
92.0939,69.227525
92.137375,69.289425
92.143975,69.371675
92.194775,69.414825
92.225725,69.52035
92.23215,69.5764
92.256875,69.714875
92.26465,69.87015
92.458825,69.8714
92.513075,69.964075
92.521875,70.030475
92.626975,70.17485
92.696975,70.3674
92.748275,70.431375
92.77085,70.462425
92.78145,70.501725
92.812275,70.5314
92.837725,70.67275
92.85345,70.80125
92.8879,70.929225
92.9012,71.090375
92.937375,71.1667
92.9525,71.249475
92.990575,71.3549
93.06095,71.3972
93.069525,71.486275
93.0888,71.519625
93.148825,71.55515
93.173075,71.591425
93.196025,71.653525
93.220525,71.681425
93.26905,71.844875
93.3828,71.9884
93.40485,72.0585
93.4373,72.397875
93.4556,72.436275
93.459,72.57675
93.51935,72.7568
93.5546,72.86645
93.6108,72.956725
93.66935,72.982325
93.689625,73.19985
93.709525,73.2264
93.747,73.26555
93.778675,73.294225
93.81435,73.3749
93.9008,73.7004
93.969875,73.7615
94.049925,73.87295
94.0805,74.060175
94.10895,74.124175
94.158425,74.18625
94.3803,74.26095
94.401575,74.34245
94.5136,74.40575
94.707025,74.7264
94.72395,74.84755
94.761775,74.93275
94.81375,75.132425
94.866325,75.22275
94.88085,75.231525
95.0604,75.24435
95.0773,75.287175
95.084725,75.31105
95.099575,75.378
95.10735,75.399725
95.130425,75.54115
95.161275,75.730375
95.192875,75.789725
95.219875,75.90025
95.2945,75.963025
95.3246,76.1768
95.343425,76.319225
95.3999,76.431975
95.8885,76.48885
95.907225,76.574425
95.92925,76.7441
95.950775,76.920875
95.9764,77.0613
96.008675,77.13515
96.0522,77.222675
96.087925,77.430225
96.184875,77.479675
96.24475,77.5655
96.2706,77.670575
96.28555,77.817075
96.31365,77.90155
96.330925,78.070175
96.36465,78.106425
96.627775,78.51655
96.65175,78.67955
96.6729,78.876525
96.73885,79.0093
