SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC10a,SPK_SPKC12a
50.057875,50.026175,50.023275,50.075875
50.263175,50.05185,50.09845,50.126275
50.29685,50.1061,50.3985,50.150275
50.401125,50.131975,50.540825,50.17755
50.46715,50.176625,50.8064,50.202675
50.6786,50.203925,50.8897,50.31595
50.759225,50.227,51.326875,50.342175
50.7763,50.253075,51.522325,50.420175
51.016475,50.325975,51.532375,50.522775
51.12875,50.451575,51.60395,50.580225
51.193025,50.48305,51.644725,50.6473
51.22295,50.498775,51.65665,50.74155
51.242025,50.540575,51.783075,50.752025
51.47745,50.575625,51.86345,50.784875
51.622975,50.66245,51.961625,50.86115
51.649725,50.710825,52.0209,50.912225
51.7081,50.887125,52.09035,51.04235
51.762975,50.929275,52.2346,51.104575
51.82025,50.97085,52.2536,51.12295
51.854475,51.006675,52.345225,51.190975
51.9006,51.066225,52.409925,51.206825
51.946375,51.097975,52.4913,51.3529
52.006175,51.1934,52.53255,51.412175
52.015775,51.22605,52.53875,51.453825
52.0954,51.2716,52.65415,51.51855
52.18585,51.309325,52.66845,51.569475
52.2361,51.37345,52.704025,51.631825
52.2544,51.38195,52.9945,51.6944
52.2978,51.389925,53.17785,51.755175
52.383125,51.41025,53.291975,51.837825
52.445325,51.44995,53.3325,51.9231
52.464575,51.464075,53.366725,51.96595
52.485875,51.49565,53.36805,51.999875
52.525175,51.58985,53.4301,52.0528
52.544,51.61825,53.6827,52.102675
52.5715,51.635475,53.747925,52.181325
52.58625,51.672175,53.761175,52.2031
52.611775,51.70975,53.92655,52.227375
52.62765,51.73375,54.038575,52.239925
52.72145,51.743475,54.203975,52.3391
52.7572,51.76465,54.4386,52.357825
52.81315,51.7955,54.653525,52.420625
52.863275,51.863775,54.713525,52.44675
52.8884,51.915825,54.830375,52.509775
52.909525,51.94195,54.832925,52.556975
53.00905,51.967675,54.932725,52.6354
53.066875,51.98975,55.3461,52.68885
53.2186,52.030675,55.363975,52.742525
53.2555,52.053525,55.439875,52.779125
53.345825,52.0713,55.748675,52.858925
53.373525,52.1081,55.891625,52.8829
