SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC08a,SPK_SPKC13a
200.0092,200.030475,200.082125,200.23455,200.0869
200.04785,200.066375,200.20555,201.144475,200.11715
200.17845,200.1702,200.42345,201.42565,200.140475
200.1955,200.2844,200.49835,201.5391,200.1989
200.22805,200.396325,200.512375,202.22765,200.405775
200.26065,200.437475,200.6817,202.886,200.4542
200.3152,200.5451,201.1377,203.3723,200.6499
200.337825,200.59475,201.204275,203.4639,200.72465
200.434075,200.6756,201.231275,203.5586,201.0792
200.558425,200.7048,201.35985,204.405625,201.2163
200.632675,200.8013,201.409025,205.714525,201.259775
200.72015,200.848475,203.098125,205.790875,201.6783
200.7597,200.85975,203.105575,206.403575,201.768175
200.781975,200.951925,203.132175,206.5202,202.098025
200.833625,201.0343,203.3051,206.90195,202.36455
200.869675,201.10365,203.86595,207.339,203.184125
200.9087,201.130125,203.9895,207.992225,203.214825
200.950625,201.1423,204.2076,208.24465,203.310025
201.0107,201.1645,204.807075,208.4684,203.570625
201.061775,201.173625,205.05355,208.663125,203.941075
201.0861,201.184125,205.392475,209.111075,203.97415
201.1268,201.2063,206.701575,209.316275,204.3762
201.139575,201.34075,206.786475,209.6506,204.65195
201.1614,201.4087,206.8964,210.226775,204.74
201.1865,201.4543,206.99155,210.374025,204.77235
201.215325,201.484125,207.021875,210.6006,204.803675
201.22775,201.51725,207.131925,210.83665,205.057175
201.285025,201.5914,207.640375,210.97355,205.1468
201.29425,201.60265,208.0223,211.251025,205.20075
201.335775,201.646225,208.741225,211.60765,205.21865
201.34035,201.687075,208.944875,211.8355,205.326025
201.374975,201.711375,209.112575,212.15555,205.9889
201.4216,201.7493,209.16465,212.70925,206.0468
201.44655,201.758725,209.88755,212.8116,206.10565
201.496375,201.77105,210.1968,214.042525,206.3675
201.591525,201.789925,210.260425,214.455925,206.436175
201.651525,201.809775,210.436025,214.570825,206.644875
201.6935,201.821075,210.501175,214.756025,206.739775
201.712125,201.835075,210.57085,214.9141,206.753625
201.73955,201.855625,210.8833,215.175275,207.0366
201.754725,201.877775,211.468675,215.366225,207.157925
201.76525,201.899375,211.5263,216.0788,207.38365
201.871725,201.933075,211.658925,216.21845,207.4872
201.92655,201.9694,211.8024,217.193675,207.879025
201.96125,201.994625,212.221325,217.83835,208.152875
201.988525,202.02385,212.261025,217.978675,208.22955
202.030575,202.0678,212.350875,219.127225,208.5153
202.05435,202.098425,212.454375,219.27895,208.5755
202.078825,202.122175,213.393875,219.413975,208.603125
202.185925,202.166525,213.40655,219.70155,208.767
202.209625,202.2549,213.4591,220.294675,209.1562
202.23285,202.480275,213.5522,220.376325,209.5424
202.295125,202.5482,213.7348,220.491275,209.8742
202.35265,202.5876,214.29755,221.1083,210.0524
202.4338,202.64225,214.445125,221.173425,210.083425
202.5378,202.745275,214.512975,221.2363,210.2048
202.54545,202.795625,214.553975,221.670275,210.252025
202.5872,202.837975,215.021475,222.0807,210.285675
202.634325,202.968125,215.29515,222.259925,210.704
202.7665,203.04375,215.333925,222.37375,210.856075
202.799425,203.101575,215.41035,222.994075,211.1202
202.867475,203.1271,216.18635,223.36365,211.204875
202.92,203.139375,216.229875,223.673825,211.232875
202.976875,203.15165,216.343325,223.904275,211.244975
203.0234,203.162175,216.39005,223.992225,211.4902
203.0461,203.17185,216.405825,224.158325,211.629525
203.05115,203.22455,216.69625,224.9354,211.78095
203.098875,203.58985,217.57675,225.56675,211.87885
203.142125,203.7058,217.741125,226.0866,211.956175
203.171775,203.740425,217.85375,226.562425,212.09445
203.189,203.829625,217.8934,226.799975,212.1712
203.232775,203.8598,217.9874,227.0205,212.19825
203.26265,203.90095,218.6505,227.1978,212.215325
203.3031,203.932625,218.8577,227.5226,212.31245
203.309575,203.970525,218.9515,227.673025,212.54565
203.33995,203.9893,218.968225,227.78745,212.66245
203.37735,204.03385,218.996975,228.115525,212.94115
203.4055,204.08335,219.12035,228.89145,213.0109
203.40935,204.104675,219.178775,229.060275,213.093875
203.4583,204.1468,219.368325,229.3118,213.4059
