SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC05c,SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC14a
400.16865,400.031125,400.40125,400.00205,400.021075,400.008625
400.219025,400.166075,400.434025,400.044175,400.05465,400.142025
400.3376,400.21245,400.444,400.061,400.16035,400.192125
400.4196,400.235975,400.5907,400.122675,400.208325,400.232375
400.45605,400.29075,400.798875,400.146925,400.253975,400.2737
400.467875,400.341125,400.824825,400.15695,400.317675,400.410175
400.4934,400.3534,400.934925,400.25005,400.33785,400.476375
400.5212,400.389975,401.026925,400.275175,400.3777,400.54305
400.55385,400.425475,401.14365,400.281475,400.4296,400.68295
401.346125,400.4984,401.270975,400.33445,400.4319,400.776175
401.3862,400.5408,401.35005,400.415825,400.496925,400.886275
401.6914,400.636625,401.5995,400.531775,400.507,400.924925
401.7989,400.716625,401.829275,400.548675,400.535875,400.9596
401.807525,400.78705,401.8344,400.58525,400.596425,400.981
401.8931,400.840025,401.871975,400.612775,400.639325,401.076825
402.0959,400.978525,401.90795,400.7319,400.6876,401.230775
402.21355,401.004825,402.009325,400.757725,400.786625,401.254525
402.5685,401.065775,402.045425,400.770875,400.7959,401.277125
402.61405,401.132075,402.149175,400.8092,400.889975,401.390475
402.671775,401.175325,402.642525,400.9007,400.973775,401.411925
402.687875,401.230125,403.03,400.956775,401.02545,401.531975
402.94635,401.30005,403.6836,400.992325,401.081775,401.692725
403.091825,401.338025,403.778375,401.0253,401.1257,401.744075
403.1524,401.41435,403.832375,401.102775,401.17775,401.846225
403.235925,401.484025,404.235375,401.129675,401.232375,401.891
403.290225,401.51985,404.441075,401.131775,401.2877,402.0593
403.364175,401.5556,404.795925,401.1563,401.349275,402.09645
403.413825,401.6488,405.0866,401.15895,401.401775,402.12
403.422275,401.7237,405.125125,401.175875,401.4543,402.276325
403.52025,401.783075,405.13205,401.18115,401.50405,402.400975
403.973125,401.81735,405.145975,401.227,401.52785,402.49455
404.02535,401.88095,405.650875,401.23855,401.54765,402.5323
404.15395,401.947175,405.80345,401.286425,401.6315,402.5939
404.673675,402.01065,406.058,401.326375,401.6878,402.605125
404.71705,402.03505,406.255675,401.364625,401.755825,402.874625
404.96655,402.0767,407.534475,401.39315,401.79365,402.8852
405.068,402.1191,407.850625,401.395825,401.835775,403.052225
405.110375,402.162,407.88945,401.417625,401.89555,403.125325
405.1708,402.22365,407.935525,401.48455,401.93055,403.177925
405.214725,402.25945,407.9895,401.53845,401.98615,403.2219
405.239275,402.326,408.09375,401.56395,402.044875,403.251925
405.322,402.3652,408.134225,401.573575,402.09555,403.285225
405.36745,402.400175,408.351475,401.611325,402.166925,403.3389
405.3842,402.455875,409.7746,401.65585,402.214775,403.53815
405.87115,402.4888,409.943725,401.676475,402.254675,403.6081
405.89255,402.563875,410.4787,401.6997,402.309275,403.670125
405.98805,402.7287,410.503,401.753625,402.337525,403.756725
406.136225,402.7304,410.68905,401.8339,402.380325,403.811625
406.1453,402.773525,410.74725,401.899675,402.41865,403.867375
406.1816,402.82995,410.75265,401.9151,402.500375,403.914725
406.1976,402.862275,410.94305,401.9931,402.53765,403.95465
406.205275,402.914625,411.18595,402.013025,402.64115,404.01765
406.238025,402.96225,411.872875,402.04295,402.6864,404.10865
406.73445,403.015625,412.316875,402.06155,402.70235,404.137375
406.81075,403.09735,412.5165,402.10395,402.77325,404.175825
406.833525,403.18795,412.704575,402.140525,402.78605,404.206825
406.8492,403.25,412.950875,402.14415,402.822825,404.24155
406.88725,403.3529,413.07775,402.1971,402.862625,404.374175
407.80275,403.355425,413.339075,402.3031,402.906625,404.395325
407.99585,403.387825,413.417575,402.383375,402.97895,404.447375
408.012075,403.485675,413.501775,402.42085,403.013975,404.518575
408.0502,403.5352,413.528375,402.4404,403.0487,404.57285
408.108725,403.6072,413.614575,402.452325,403.094325,404.615
