SPK_SPKC01a,SPK_SPKC05a
400.005125,400.0086
400.0438,400.084175
400.083625,400.114825
400.110925,400.197975
400.169575,400.424825
400.21255,400.5359
400.254475,400.62375
400.32325,400.66085
400.4998,400.8599
400.568225,400.90005
400.58865,401.0336
400.657375,401.1288
400.66885,401.3178
400.70305,401.4112
400.78215,401.476025
400.809225,401.54485
400.856575,401.652725
400.91805,401.7187
400.989375,401.79645
401.078975,401.925925
401.190625,402.0226
401.22945,402.06645
401.335175,402.11235
401.3656,402.237725
401.4122,402.2833
401.59805,402.33225
401.721725,402.45325
401.78325,402.490625
401.9353,402.5386
402.03325,402.634025
402.093725,402.902875
402.24705,402.98995
402.354525,403.091875
402.377075,403.13985
402.406675,403.1843
402.433925,403.352725
402.528925,403.406675
402.673825,403.517225
402.72935,403.55265
402.87615,403.57375
402.906025,403.60525
402.963775,403.7189
403.014075,403.826025
403.10135,403.85795
403.163625,403.991425
403.310975,404.118225
403.403525,404.272
403.46285,404.460325
403.533975,404.5144
403.561575,404.5562
403.67555,404.654925
403.8025,404.695975
403.86375,404.79265
403.90295,405.27405
403.9832,405.315925
404.13615,405.36695
404.223775,405.41005
404.52515,405.44205
404.565775,405.485675
404.6214,405.6164
404.652525,405.73445
404.6848,405.8615
404.7169,406.004175
404.75795,406.0536
404.80225,406.09725
405.281275,406.1548
405.393825,406.21275
405.45545,406.26445
405.503975,406.31675
405.605425,406.396175
405.6641,406.48125
405.705575,406.58495
406.0017,406.723425
406.07005,406.860825
406.1453,406.9937
406.21425,407.1406
406.2437,407.240575
406.304825,407.4143
406.507375,407.566825
406.6413,407.688275
406.9932,407.819
407.14,408.1746
407.338375,408.2282
407.74995,408.2743
407.8835,408.391325
407.9853,408.472575
408.1716,408.50025
408.230975,408.557275
408.304875,408.60295
408.3409,408.882125
408.4771,408.956325
408.57765,409.012225
408.632875,409.08045
408.767975,409.15685
408.8716,409.20895
408.89805,409.337575
408.982225,409.748175
409.118175,409.78145
409.2337,409.841025
409.757575,409.915025
409.905525,409.973275
409.9753,410.02855
410.03695,410.079425
410.08445,410.169875
410.158525,410.250725
410.2675,410.30685
410.368775,410.381325
410.43345,410.42945
410.519125,410.54345
410.634775,410.63585
410.77315,410.72045
411.19655,410.8707
411.598075,411.497575
411.72635,411.6531
411.885425,411.758425
412.26115,411.897125
412.403,412.033875
412.485725,412.130975
412.579625,412.242575
412.641425,412.366375
412.7232,412.4601
412.75205,412.535225
412.92295,412.61455
413.0474,412.680325
413.1289,412.742175
413.235875,412.790825
413.347675,412.83585
413.44835,412.887425
413.51915,412.958775
413.67545,413.070975
414.25715,413.231875
414.36195,413.290775
414.4159,413.377275
414.453125,413.438075
414.516075,413.543475
414.590425,413.657125
414.6271,414.25445
414.70655,414.32455
414.77915,414.377775
414.853375,414.428975
414.905625,414.5396
415.05975,414.58765
415.1651,414.6262
415.219175,414.6735
415.357025,414.72215
415.440575,414.787375
415.49125,414.87
415.531425,414.935175
415.7239,415.078725
415.933175,415.137775
416.00935,415.1988
416.08395,415.31555
416.213675,415.414925
416.298175,415.45275
416.353,415.498575
416.4629,415.553975
416.54815,415.5995
416.6048,415.6696
416.633625,415.7311
416.68165,415.9714
416.742675,416.037225
416.808625,416.118875
416.936725,416.156425
417.0959,416.207
417.151825,416.255375
417.21155,416.3887
417.264775,416.4362
417.413775,416.480175
417.496125,416.523925
417.65745,416.592775
417.7799,416.623325
417.837125,416.6693
417.893825,416.788725
417.90025,416.827875
417.94135,416.862475
418.050625,416.934525
418.243,417.09355
418.46165,417.145325
418.6459,417.245275
418.710725,417.310925
418.752575,417.43655
418.8794,417.595625
418.94875,417.63585
419.030525,417.675275
419.078475,417.731675
419.120925,417.781975
419.184425,417.8262
419.368375,417.929775
419.443825,418.112
419.48935,418.1582
419.575825,418.205625
419.6189,418.266275
419.652225,418.399875
419.689775,418.517775
419.723975,418.5901
419.845875,418.643575
419.93225,418.707575
419.99585,418.742
420.0405,418.784125
420.15605,418.956325
420.3014,419.051425
420.352075,419.097675
420.4395,419.146275
420.471975,419.18565
420.551275,419.2594
420.64055,419.416975
420.685075,419.459375
420.740875,419.617225
420.779575,419.66135
420.8479,419.73395
420.89205,419.8564
421.05265,420.22075
421.115875,420.2673
421.2108,420.31985
421.28785,420.44045
421.3582,420.48225
421.396525,420.687925
421.434375,420.857075
421.4707,420.9561
421.53065,421.064525
421.662675,421.125
421.696225,421.2605
421.7261,421.306525
421.760625,421.360775
421.850525,421.4112
421.916775,421.5004
421.9525,421.656775
421.99525,421.69515
422.0337,421.894975
422.0898,422.1036
422.13345,422.273425
422.2783,422.39405
422.37585,422.6026
422.43975,422.873575
422.5306,422.944425
