SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a
700.1628,700.17415,700.20905,700.109325,700.105425
700.6379,701.228825,700.463325,700.16325,700.525825
700.710725,701.7725,700.502525,700.22155,700.556525
700.87795,703.818175,700.523725,700.3249,700.608125
701.25765,706.68695,700.603625,700.489,700.654775
701.411075,707.408975,700.999375,700.57275,700.691425
701.640575,708.1326,701.8022,700.7351,700.751775
701.81975,708.76955,702.00365,700.8476,700.791425
702.022075,710.536175,702.1308,701.0118,700.8291
702.650675,711.501075,702.173825,701.11055,700.862775
702.85265,712.1275,702.419275,701.208075,700.91615
703.014175,714.485625,702.42745,701.314,700.966875
703.166075,715.673175,702.671,701.451325,701.00035
703.2763,716.09885,702.703725,701.5572,701.034
703.5401,716.557375,702.9507,701.620425,701.071475
703.8071,716.998125,703.101275,701.710975,701.13935
704.058975,718.181125,703.165175,701.879175,701.17105
704.27055,718.43015,703.2254,701.95545,701.207825
704.54135,719.3541,703.25495,702.217875,701.2538
705.137025,721.215825,703.309725,702.280925,701.2897
705.316925,721.70255,703.42485,702.35595,701.304025
705.56455,724.023575,703.84225,702.417925,701.3468
705.931125,724.717775,704.0932,702.581225,701.379125
706.145775,726.47355,704.193175,702.667375,701.45215
707.012825,726.761325,704.3666,702.676425,701.4821
707.147625,727.4542,704.737175,702.8579,701.510925
707.24975,728.264375,704.81655,703.555575,701.54805
707.63805,729.02935,705.21395,703.714725,701.631425
707.876475,730.3419,705.290775,703.92205,701.816375
708.035675,731.63635,705.635075,704.092525,701.880075
708.10525,732.45215,705.823425,704.13965,702.0057
708.793325,733.289325,705.849825,704.255825,702.0987
708.96685,733.737625,706.032775,704.455875,702.22335
709.20775,734.670975,706.0945,704.587375,702.2926
709.8443,735.783275,706.572375,704.67805,702.3982
709.9199,736.245425,706.661675,704.7363,702.45855
710.1433,736.750175,706.84085,704.900575,702.5799
710.32785,738.47755,706.938375,705.2325,702.6387
710.772275,739.123825,707.01705,705.33285,702.729325
710.9741,739.638125,707.04095,705.49945,702.8618
711.062775,740.392475,707.173675,705.637875,703.07645
711.6055,740.86225,707.21745,705.6765,703.1267
711.7973,741.8967,707.265825,705.97245,703.174475
712.011975,742.525925,707.347775,706.33115,703.22065
712.1139,743.257025,707.9338,706.442075,703.25385
712.226675,743.682275,708.08735,706.532175,703.295075
712.43475,744.220725,708.25195,706.5897,703.36
712.64805,745.618425,708.502125,706.6448,703.399075
712.89315,746.3717,708.557925,706.77505,703.426475
712.967725,746.8533,708.572075,706.8867,703.455425
713.150525,747.195275,708.67205,707.130125,703.4849
713.277425,747.6488,708.8179,707.32485,703.5109
713.484375,749.070525,708.83175,707.48715,703.5503
713.533425,749.4843,708.994675,707.8554,703.597
713.60035,750.2233,709.18285,708.1432,703.66725
713.6806,750.51695,709.208675,708.298625,703.742975
713.889725,751.046375,709.4788,708.3535,703.79455
713.967825,751.3847,709.903875,708.39055,703.830375
714.14785,751.94565,709.98835,708.4359,703.90415
714.178575,752.713025,710.156775,708.5516,703.934225
714.36685,753.285,710.28145,708.77165,703.977575
714.56755,754.399325,710.810925,708.9041,704.03845
714.773725,755.13495,710.9013,708.997675,704.09285
714.871575,755.785525,710.95825,709.1192,704.1821
714.97985,756.668025,711.0157,709.2287,704.2798
715.124675,757.339775,711.055725,709.34165,704.33375
715.277325,757.84,711.068425,709.483825,704.47565
715.47405,758.60955,711.174225,709.54615,704.5924
715.572125,759.931325,711.623175,709.6139,704.669675
715.720425,760.400175,711.74905,709.66715,704.811925
715.8447,761.077075,712.059275,709.7117,704.8629
715.9977,761.809125,712.192275,709.7983,704.93
716.191975,762.1518,712.470675,710.088,704.978275
716.28275,763.104125,712.893275,710.198225,705.041475
716.388025,763.47705,713.0279,710.4686,705.108025
716.480925,764.363275,713.558425,710.516525,705.18165
716.57565,765.2113,713.786675,710.57385,705.322325
716.5859,765.597,713.9127,710.851525,705.4126
716.82445,766.591475,714.341275,711.4482,705.758425
716.94345,767.2215,714.424325,711.67195,705.89345
716.986575,767.8909,714.5115,711.7658,705.968825
717.06825,768.62385,714.884725,711.843675,706.02515
717.270625,768.941525,714.96215,711.966025,706.0528
717.381975,769.7869,715.5097,712.1181,706.09565
