SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC09a
403.49535,400.019375,400.305775
404.39755,400.084525,400.389275
404.4853,400.13835,400.5903
404.600675,400.252225,400.7212
404.83495,400.38055,400.8565
405.0124,400.450825,400.921375
405.586525,400.58745,401.2472
405.9901,400.7167,401.55645
406.72655,400.9158,401.62205
406.81235,401.266,401.79365
410.2816,402.18185,402.1289
412.91645,402.232325,402.2015
419.8374,402.4243,402.2085
419.9148,402.506175,402.344175
419.97655,402.592475,402.412425
420.180625,403.00105,403.3978
420.489675,404.032075,403.943425
420.644025,404.09825,405.336075
421.042725,404.1337,405.3582
421.194425,404.283625,405.370675
421.5682,404.3641,405.3807
423.073875,404.42755,405.6224
423.16075,404.539625,405.8199
423.199375,404.55995,406.375925
423.31385,404.948475,406.52695
423.360475,405.035725,406.575525
423.4101,405.1069,406.9897
423.89055,405.2666,407.133275
423.98735,405.37035,407.241125
424.03515,405.395275,407.29255
424.07395,405.51615,407.74535
424.11675,405.5597,408.0776
424.19175,405.648825,408.4266
424.24355,405.779525,408.7869
424.2954,405.930675,408.8115
424.42125,406.022325,409.138475
424.4754,406.063725,409.43455
424.92215,406.229475,410.105625
424.92815,406.33235,410.64435
425.70855,406.39305,410.933975
436.479125,406.648075,412.188075
436.644,406.72015,412.435025
437.367625,406.922125,412.598025
437.926825,406.9843,412.614825
438.88935,407.070825,412.768675
439.8691,407.297225,412.96045
441.711475,407.474325,413.959025
441.75885,407.525075,413.996925
441.910175,407.668,414.100125
442.000525,407.94045,414.829
444.953,408.065925,415.1392
445.0874,408.174675,415.34145
445.215775,408.3036,416.769225
445.2854,408.347225,417.3774
445.45185,408.628725,417.42785
445.510425,408.70635,417.4366
445.548025,408.85825,417.45275
445.8974,409.0684,417.497325
445.973375,409.0958,417.82615
446.041675,409.15345,418.54355
446.1246,409.1792,418.9514
446.463125,409.383975,419.028275
446.632625,409.430575,419.053825
446.790475,409.4594,419.32295
446.82575,409.5874,419.446
446.882075,409.7985,419.474975
446.897275,409.93645,419.580325
446.93595,409.9844,419.87075
447.167025,410.09595,419.92665
447.888225,410.3117,420.268875
448.1359,410.4586,420.350075
448.189325,410.531775,420.424875
448.254775,410.63115,420.89285
448.300825,410.7689,421.211775
448.34645,410.8874,421.239675
448.3916,410.929025,421.257775
448.5379,410.99615,421.708775
459.032925,411.027,421.973125
463.682325,411.08445,422.080375
468.5755,411.235125,422.2374
473.177875,411.390825,422.32115
483.074275,411.560475,422.5543
483.1932,411.7523,422.88975
483.255,411.862925,423.415325
483.74475,412.018075,423.512775
483.799525,412.054575,424.035375
483.87045,412.116525,424.35245
483.8986,412.364875,425.027725
483.917625,412.45355,425.4786
483.97285,412.6065,425.551325
484.031025,412.656,425.62175
484.11855,412.745275,426.662575
484.167275,412.88485,427.140525
484.3474,412.95595,427.246475
484.467575,413.06865,427.394325
484.6491,413.10365,427.67175
487.473725,413.18565,427.70585
487.687525,413.258725,427.962625
506.11815,413.33645,428.876125
506.1488,413.491675,429.134475
510.007,413.6424,429.152175
510.038625,413.693675,429.240925
510.0935,413.762075,429.479775
511.054725,413.83375,429.541325
511.216975,413.8649,429.658
511.46355,413.95685,430.510275
511.632125,414.052875,430.7729
511.658825,414.2996,430.93875
511.8714,414.46145,431.302275
512.22145,414.4992,431.389025
512.3488,414.6463,431.522975
512.44855,414.693825,431.612725
512.532175,414.781825,431.83395
512.630475,415.186175,432.094075
512.865975,415.30805,432.2593
513.2885,415.380375,432.42915
513.7199,415.420275,432.60355
514.3691,415.718225,432.808775
515.063375,415.802475,433.020075
515.427875,416.20025,433.102775
515.980075,416.286975,433.1052
516.102125,416.41835,433.244275
516.283725,416.711975,433.35415
516.34075,416.793725,433.502775
516.463675,416.861725,433.554775
516.520175,416.914875,433.7937
516.68285,416.997,434.1175
516.74365,417.0284,434.196675
516.792125,417.139225,434.367775
516.948425,417.18805,434.750375
517.0891,417.36035,434.833625
517.225875,417.482375,435.486125
517.2626,417.71435,435.5846
517.33095,417.943875,435.743975
517.601225,418.31475,436.334875
