SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC06a,SPK_SPKC09a,SPK_SPKC10a
200.159325,200.0612,201.525025,200.003125,200.43245
200.269625,200.105825,202.19605,200.010175,200.8406
200.3903,200.14915,202.687525,200.023825,200.88
200.48775,200.22885,203.85035,200.0379,200.9511
200.529625,200.260625,204.93465,200.052925,200.97555
200.5519,200.285925,206.40225,200.061925,201.009875
200.640825,200.3598,206.80995,200.0795,201.14315
201.2243,200.3848,207.136475,200.090725,201.17155
201.233975,200.4207,208.09525,200.110625,201.421175
201.347075,200.45845,209.236575,200.12165,201.46645
201.38025,200.6095,209.96295,200.142375,201.486225
201.517375,200.693925,210.58295,200.171025,201.52485
201.52435,200.763775,211.5799,200.187625,201.66105
201.545575,200.7938,212.220725,200.198025,201.691775
201.847675,200.821975,212.38725,200.205475,202.262125
201.9055,200.845675,213.237175,200.214425,202.2634
202.002,200.8729,213.95115,200.235475,202.294475
202.185825,200.898775,214.3721,200.25465,202.314425
202.213675,200.95725,214.906,200.278075,202.3361
202.223325,200.989675,215.465825,200.291625,202.386875
202.241925,201.023125,215.843225,200.3081,202.438325
202.657575,201.06995,215.912425,200.316575,202.67115
202.67755,201.135725,216.458275,200.32645,202.70105
202.888625,201.14325,216.527725,200.3412,202.7109
203.032525,201.19735,216.974925,200.353625,202.7275
203.0588,201.359925,217.327325,200.36205,202.75905
203.1056,201.3713,217.578625,200.376275,202.980575
203.26605,201.422775,217.640925,200.3926,202.99995
203.36905,201.4449,217.7078,200.4121,203.014325
203.406125,201.4519,217.979025,200.44655,203.025125
203.429375,201.52455,218.099325,200.4562,203.0374
203.472575,201.58195,218.3851,200.4638,203.052325
203.5758,201.6068,218.79,200.47655,203.075725
203.67705,201.639675,219.95945,200.48255,203.123325
203.698,201.68845,220.037925,200.501475,203.17055
203.8211,201.7395,220.43145,200.526025,203.185975
203.851875,201.76625,220.749825,200.54435,203.212775
203.946675,201.951425,221.64565,200.55755,203.24055
204.01025,202.019475,221.77595,200.5705,203.2533
204.224125,202.173675,222.1222,200.593575,203.2847
204.30995,202.2104,223.860875,200.616375,203.3185
204.339225,202.25875,223.948275,200.621975,203.334825
204.36315,202.276775,224.3197,200.631275,203.35595
204.57155,202.349375,224.42085,200.66295,203.36875
204.62685,202.61655,224.4663,200.669675,203.40025
204.6512,202.648075,224.69805,200.68675,203.45045
204.88465,202.675,224.756025,200.697475,203.499975
204.911075,202.679525,226.84105,200.709175,203.5264
204.995225,202.741425,227.195775,200.7348,203.5564
205.0974,203.013025,227.27225,200.7408,203.58215
205.1564,203.031375,227.5687,200.749575,203.605725
205.1656,203.063475,228.1598,200.762475,203.6339
205.2565,203.096575,228.475075,200.778825,203.664025
205.39615,203.11495,228.5383,200.784575,203.6945
205.40875,203.140775,228.56835,200.7948,203.734725
205.505725,203.261125,228.6974,200.809225,203.776575
205.53235,203.278175,228.80655,200.8349,203.80865
205.64925,203.368425,229.042975,200.84165,203.82145
205.7198,204.2694,229.075025,200.87545,203.837925
205.739025,204.34835,229.16345,200.88965,203.850775
205.9369,204.39045,229.472525,200.90265,203.88405
205.987025,204.495975,229.4873,200.9181,203.910125
206.207325,204.5441,229.5544,200.927825,203.939775
206.34565,204.592325,229.5822,200.946975,203.9707
206.5433,205.135825,229.67585,200.979075,203.983625
206.546075,205.207525,229.69145,201.001975,204.0078
206.752975,205.288375,229.78915,201.01365,204.0354
206.782525,205.3859,230.113225,201.03185,204.062675
207.0554,205.423325,230.19445,201.065625,204.0932
207.11685,205.5124,230.800625,201.080075,204.12355
207.127225,205.53885,230.8785,201.088125,204.141075
207.5055,205.575375,231.072,201.102375,204.151
207.53635,205.602975,231.12035,201.13015,204.181
207.609125,205.6125,231.250075,201.136425,204.215725
207.703875,205.644,231.312275,201.143175,204.30365
207.856725,205.651625,231.83355,201.1554,204.343975
207.92425,205.713925,231.8621,201.173975,204.373625
