SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC14a,SPK_SPKC15a
200.090575,200.006225,200.14315,200.202775,200.090425,200.151875
200.123725,200.06265,200.2442,200.2413,200.155475,200.154325
200.155625,200.091475,200.8242,203.170325,200.26935,200.2619
200.186325,200.11795,200.89705,204.4042,200.304725,200.680025
200.202925,200.13945,201.5293,204.8547,202.2054,200.79335
200.221275,200.154625,201.566875,204.878525,204.09825,200.799075
200.241425,200.18,201.81075,205.277125,204.4042,201.159125
200.269475,200.21595,202.0786,206.5724,204.637275,201.16335
200.304875,200.237125,202.09605,207.708,204.8415,201.532725
200.3349,200.2407,202.485175,207.859375,204.878575,201.655625
200.960725,200.281,202.569425,209.782475,205.0447,202.03445
201.0278,200.30865,202.63955,210.974925,205.717075,202.15925
201.07885,200.382275,202.65185,212.02305,205.829275,202.5275
201.101625,200.43835,202.8532,212.381025,207.859375,202.727775
201.1095,200.49645,202.927325,212.4542,207.890775,203.47425
201.13535,200.51375,203.170225,213.641925,208.503475,203.561575
201.6125,200.54905,203.454825,213.750775,209.20425,203.590875
202.1346,200.596325,203.508275,213.910475,209.209225,203.80075
202.16195,200.627475,203.5272,214.0413,209.23875,203.803975
202.205525,200.66025,203.560975,215.829325,209.3938,203.806675
202.328675,200.6912,203.90365,219.495125,209.78245,203.896675
202.5486,200.715625,203.95175,220.269575,209.852275,203.9001
202.594475,200.7373,204.315225,220.4581,210.7237,204.573925
202.634825,200.766625,204.3436,221.293525,211.8874,204.9371
203.17045,200.796025,204.36265,221.43535,212.92815,205.022275
203.260025,200.8373,204.643125,222.3227,213.50225,205.72605
203.299175,200.8658,204.70775,222.346875,213.60335,205.7913
203.49115,200.8912,204.7571,222.83455,213.6419,205.85465
203.5254,200.913875,204.79135,223.960625,213.706675,206.230775
203.5619,200.9424,204.97645,225.290325,214.1578,206.3073
203.6466,200.98165,205.022625,225.576325,216.219575,206.361375
203.732275,201.01905,205.486375,225.655675,216.69705,206.826725
204.098375,201.073075,205.52765,226.27325,217.729575,207.517275
204.404325,201.09875,205.63455,226.30335,219.49515,207.6695
204.6374,201.187775,205.6984,226.3379,220.26955,207.67225
204.790975,201.2171,205.790525,226.7039,220.364275,208.107
204.841625,201.2459,205.915875,228.689025,221.32435,208.303825
204.85485,201.26675,206.041325,228.7782,222.3275,208.4145
204.878675,201.299225,206.14335,229.200925,222.346825,208.709775
204.8904,201.333725,206.3501,229.381725,225.2771,209.04685
204.910925,201.3568,206.376475,229.51525,225.405025,209.195475
204.95995,201.3839,206.4018,229.630775,225.576325,209.6227
205.0448,201.41035,206.42785,229.9664,226.3033,209.625225
205.115625,201.481825,206.49505,229.987175,226.6782,209.80755
205.2341,201.548675,206.73895,230.14795,228.35015,209.950325
205.2773,201.574875,206.764475,230.26805,228.3981,210.16305
205.3374,201.60685,206.796225,230.8119,228.7782,210.201775
205.406075,201.65065,206.818625,231.2605,229.200925,210.26755
205.44495,201.68055,206.848825,231.31285,229.381675,210.39845
205.623575,201.70715,207.25835,231.3897,230.788575,210.661175
205.717225,201.734775,207.3113,231.586725,230.882,210.74245
205.7466,201.75915,207.340075,231.6004,230.98915,210.78885
205.784775,201.79235,207.622775,232.691075,231.260525,210.824075
205.803525,201.826,207.66025,233.161625,231.276675,210.91505
205.829425,201.8856,207.698975,233.401975,231.493775,210.95995
205.864475,201.9133,207.7695,233.748425,231.84435,211.012975
206.3733,201.914875,207.803275,234.641625,231.962925,211.0899
206.572525,201.974725,207.8306,235.10055,232.400575,211.21415
207.70815,202.011575,207.86605,236.0053,233.74845,211.21695
207.750675,202.03115,207.912425,239.100975,234.58225,211.2792
207.859525,202.07065,207.932675,239.6292,234.6416,211.443725
207.890925,202.10335,208.1524,239.89835,234.869575,211.517
208.004125,202.135525,208.2191,240.313225,235.100525,211.661825
208.381875,202.23715,208.251,240.33675,235.1253,211.75905
208.5036,202.26025,208.2737,240.812275,235.456,211.83505
208.543825,202.28885,208.312175,242.170675,235.564775,211.878325
208.57775,202.31805,208.332725,243.1376,236.023225,211.9627
208.591125,202.346175,208.380175,243.467725,236.642,212.117425
208.623225,202.3765,208.672025,245.504225,238.193425,212.251125
208.680725,202.380725,208.6977,246.965675,238.609125,212.3164
208.76035,202.43815,208.741925,247.111525,238.73975,212.4514
208.780325,202.464125,209.076075,247.2167,239.100975,212.507375
208.872025,202.50185,209.08415,247.5832,239.6292,212.570025
209.204375,202.532225,209.09515,248.236425,239.8984,212.631375
209.23885,202.560875,209.131175,249.271675,240.2014,212.868
209.393925,202.5881,209.796475,251.411925,240.313225,212.922025
209.782575,202.6037,209.823825,251.6583,240.5236,212.932325
209.8524,202.618375,209.840575,251.71955,240.77455,212.971875
