SPK_SPKC03a,SPK_SPKC04b
0.01905,0.069525
0.03535,0.724
0.0633,0.814625
0.082725,0.857075
0.103525,0.96185
0.1132,1.03825
0.135075,1.28645
0.15415,1.3437
0.179175,1.356775
0.19065,1.413025
0.20465,1.49385
0.237575,1.7049
0.258175,1.720475
0.275775,1.828375
0.291025,1.8817
0.32875,2.1438
0.341325,2.260475
0.357975,2.3129
0.38195,2.519075
0.4075,2.58385
0.43265,2.616475
0.449325,2.6393
0.50145,2.656325
0.516575,2.977675
0.541175,3.01635
0.58115,3.037475
0.608875,3.05075
0.629175,3.077125
0.65625,3.189275
0.667525,3.398925
0.704625,3.43005
0.718825,3.50365
0.733775,3.57695
0.751175,3.90445
0.7683,3.9548
0.78425,3.999675
0.792575,4.0941
0.8136,4.154775
0.825125,4.186575
0.85885,4.400425
0.901275,4.5524
0.9742,4.662025
1.00645,4.774925
1.040225,4.89725
1.072775,4.923225
1.089,4.9907
1.1291,5.049675
1.14725,5.1567
1.164875,5.273425
1.190625,5.3343
1.2067,5.37145
1.231425,5.447875
1.255875,5.504575
1.29365,5.671075
1.3139,5.7059
1.380125,5.733025
1.4165,5.819175
1.456,6.0218
1.478125,6.0323
1.49815,6.0543
1.52005,6.0748
1.53885,6.232775
1.564175,6.26095
1.586575,6.375525
1.6069,6.4116
1.626575,6.621625
1.6363,6.634175
1.651925,6.644525
1.660275,6.664525
1.686325,6.67695
1.714625,7.071325
1.726525,7.489325
1.748925,7.546825
1.772825,7.5832
1.813425,7.6673
1.823025,7.71645
1.849825,7.975725
1.88165,8.062225
1.903175,8.2306
1.920225,8.288075
1.9365,8.3732
1.957425,8.57285
1.9855,8.61795
2.000425,8.67945
2.014825,8.7412
2.0337,8.815775
2.048075,9.13325
2.060275,9.1988
2.07725,9.266125
2.117725,9.33935
2.13135,9.48635
2.152275,9.530725
2.179675,9.55165
2.211875,9.599275
2.22435,9.673725
2.245525,9.986925
2.26805,10.0208
2.2847,10.088925
2.317675,10.158525
2.33935,10.1938
2.353,10.247925
2.37775,10.2989
2.42235,10.335975
2.452625,10.63645
2.468725,10.707225
2.4946,10.77115
2.527875,10.79815
2.572025,10.92395
2.5958,11.110625
2.61255,11.15565
2.641175,11.177275
2.655,11.20865
2.6767,11.235675
2.68995,11.622875
2.7126,11.664175
2.73175,11.704575
2.75195,11.78115
2.76315,12.004425
2.774025,12.3156
2.80225,12.8334
2.81135,12.853275
2.82345,12.909775
2.83295,12.963775
2.851475,13.11285
2.87,13.3203
2.894725,13.34765
2.923675,13.41755
2.954575,13.5169
2.985475,13.833025
3.0067,13.8853
3.015,13.908675
3.0298,13.963225
3.06745,14.37705
3.08685,14.4004
3.1016,14.4662
3.11505,14.492
3.140425,14.942725
3.16915,15.37755
3.2225,15.71335
3.23635,15.7404
3.26905,15.7671
3.295725,15.78635
3.31385,15.799725
3.335775,15.813125
3.3524,15.8412
3.412625,15.8933
3.418725,15.988325
3.42605,16.035825
3.44035,16.1149
3.45065,16.454275
3.465675,16.544125
3.507,16.8411
3.5208,16.85265
3.542275,16.933225
3.560675,17.035575
3.5748,17.365225
3.600625,17.41915
3.61665,17.44305
3.645725,17.7387
3.67935,17.7608
3.70325,17.783425
3.72655,17.891725
3.753275,17.943125
3.7724,18.00385
3.78205,18.404475
3.8106,18.463625
3.847475,18.486
3.866175,19.04495
3.887275,19.056375
3.9066,19.071175
3.91955,19.09025
3.928075,19.22485
3.940925,19.495525
3.953625,19.501475
3.963675,19.601025
3.975875,19.7491
3.9869,19.9703
4.00075,20.000425
4.017575,20.0409
4.030425,20.0789
4.04775,20.13265
4.078175,20.54525
4.08815,20.590975
4.103425,20.657125
4.133625,20.7776
4.148625,20.84745
4.15935,21.018925
4.167225,21.036225
4.18155,21.05515
4.203425,21.0653
4.2106,21.134375
4.2184,21.209125
4.25245,21.24395
4.2594,21.40095
4.266325,21.4326
4.29135,21.658025
4.304825,21.713925
4.31535,21.835675
4.32615,21.892025
4.346625,22.283825
4.350375,22.3021
4.380825,22.319125
4.3935,22.336175
4.40875,22.349475
4.421225,22.36335
4.4345,22.438625
4.4609,22.765775
4.496675,22.876375
4.516175,23.0881
4.526275,23.124575
4.551125,23.1755
4.56385,23.271575
4.571175,23.595675
4.57495,23.6233
4.586375,23.6755
4.62145,23.72095
4.6382,24.0168
4.658275,24.042825
4.67125,24.07165
4.685825,24.086475
4.693525,24.0994
4.706125,24.1476
4.7182,24.166425
4.746825,24.184675
4.753575,24.202475
4.762125,24.21895
4.779775,24.24855
4.79765,24.3122
4.812,24.602725
4.818525,24.615975
4.835925,24.622575
4.870425,24.632775
4.914775,24.6528
4.9382,24.66755
4.95185,24.701775
4.976275,24.730225
4.997025,24.80005
5.018775,25.0317
5.03205,25.045975
5.07235,25.0721
5.07975,25.09465
5.091475,25.148325
5.11225,25.486675
5.117875,25.49635
5.128275,25.504525
5.133325,25.568825
5.144975,25.5903
5.158825,25.6214
5.17405,26.126825
5.210775,26.155825
5.22085,26.188625
5.232575,26.210075
5.257925,26.30705
5.293625,26.337575
5.311175,26.399725
5.326275,26.587325
5.3368,26.5954
5.378275,26.615
5.38735,26.6367
5.397175,26.649675
5.4117,26.76665
5.4197,26.86075
5.437775,26.9873
5.459825,27.57575
5.47145,27.621175
5.4808,28.08075
5.500025,28.0922
5.51195,28.124625
5.540175,28.139575
5.608675,28.169375
5.62205,28.22005
5.64285,28.55835
5.666375,28.56855
5.67625,28.6518
5.68605,28.670775
5.700525,28.753675
5.709475,28.788125
5.7382,29.131875
5.748375,29.15225
5.769125,29.175425
5.780025,29.19145
5.793825,29.214875
5.80245,29.259825
5.81055,29.276225
5.819575,29.2947
5.8394,29.32785
5.84405,29.35905
5.86645,29.428825
5.87795,29.723325
5.884675,29.760725
5.89265,29.809575
5.917175,30.153425
5.92525,30.178
5.956975,30.2019
5.9679,30.23485
5.997975,30.271675
6.0036,30.31785
6.01135,30.7443
6.017975,30.819475
6.046125,31.148525
6.058625,31.1692
6.0768,31.194
6.0944,31.21165
6.10085,31.27485
6.11565,31.300575
6.1242,31.3834
6.130425,31.786075
6.143575,31.79885
6.181175,31.807275
6.189525,31.8389
6.199875,31.8517
6.22015,31.891425
6.2737,31.983575
6.28185,32.123275
6.302475,32.474225
6.316625,32.629225
6.369325,32.65195
6.40685,32.7624
6.42015,32.97225
6.44295,33.002825
6.4511,33.01135
6.470825,33.094425
6.5268,33.111625
6.562025,33.2206
6.58375,33.56635
6.608725,33.71065
6.619875,33.7309
6.645725,33.744825
6.68075,33.80475
6.7016,33.846
6.720775,34.150075
6.7349,34.1683
6.75325,34.198325
6.785775,34.247175
6.8039,34.31805
6.83765,34.699125
6.85735,34.724575
6.875175,34.770575
6.892525,34.82365
6.919225,35.271125
6.9326,35.3628
6.97785,35.682175
7.010175,35.86675
7.036225,35.9486
7.074575,36.1497
7.087575,36.177725
7.102425,36.1976
7.117875,36.21015
7.15045,36.2571
7.167275,36.6005
7.19745,36.6283
7.23165,36.6531
7.245025,36.951625
7.2559,37.172275
7.2695,37.195425
7.291075,37.238675
7.341325,37.25605
7.370825,37.286475
7.431325,37.337175
7.4731,37.39935
7.50855,37.66815
7.541375,37.7057
7.566625,37.84795
7.67725,37.857425
7.730475,37.879975
7.753475,37.9178
7.78105,37.93995
7.80725,37.9526
7.82875,37.9747
7.85995,38.101225
7.876225,38.15055
7.90415,38.259925
7.927425,38.29245
7.9418,38.34395
7.967075,38.37395
7.985775,38.4041
8.035175,38.537
8.055975,38.55865
8.083125,38.700675
8.13985,38.717075
8.176875,38.73535
8.219575,38.8008
8.251575,38.90895
8.274475,38.9385
8.29575,39.05005
8.34695,39.1718
8.370725,39.225725
8.392175,39.25615
8.419825,39.282175
8.44525,39.311625
8.458275,39.37915
8.470025,39.431125
8.4868,39.486
8.4992,39.578675
8.525425,39.60865
8.566025,39.6373
8.581625,39.662375
8.602425,39.781025
8.626,39.8029
8.6593,39.839075
8.689575,39.86545
8.731725,39.9286
8.7532,39.99995
8.7896,40.505825
8.804175,40.52285
8.827425,40.60845
8.86105,40.630225
8.8782,40.678375
8.90555,40.867325
8.93725,40.90265
8.961875,40.945275
8.99635,41.0186
9.01425,41.05535
9.042925,41.096775
9.064375,41.246525
9.09345,41.282375
9.1211,41.306525
9.14245,41.3827
9.156075,41.444925
9.176475,41.53645
9.19205,41.8349
9.2099,41.856775
9.2236,41.8895
9.23995,41.903725
9.27465,41.964925
9.293325,41.990375
9.311175,42.009175
9.327575,42.133525
9.33645,42.181575
9.3605,42.253825
9.389525,42.2655
9.4902,42.3097
9.515125,42.3331
9.535325,42.346625
9.54805,42.4563
9.577225,42.79575
9.597675,42.825425
9.624,42.8668
9.6407,43.167325
9.6571,43.239975
9.68065,43.268025
9.695525,43.316025
9.710875,43.34155
9.732325,43.455
9.744725,43.472675
9.777125,43.485575
9.8049,43.606375
9.8192,43.71275
9.84205,44.0418
9.8581,44.065575
9.879725,44.085725
9.9036,44.101425
9.93245,44.115
9.9444,44.12595
9.95705,44.13615
9.981075,44.165475
9.997875,44.17655
10.028625,44.197275
10.12455,44.2303
10.162075,44.440475
10.199,44.469
10.24885,44.532775
10.278625,44.58965
10.3217,44.879
10.35145,44.895375
10.396175,44.907775
10.426375,44.92575
10.44095,44.977875
10.472375,44.99975
10.5201,45.017175
10.60665,45.0682
10.634675,45.241825
10.64705,45.311375
10.65845,45.427375
10.677825,45.7729
10.71985,45.837625
10.746575,46.5692
10.775075,47.233025
10.795025,47.370025
10.82625,47.4433
10.8964,47.479025
10.9253,47.501
10.982225,47.86255
11.047575,47.88895
11.08485,48.17765
11.1349,48.19445
11.167975,48.21175
11.19565,48.2347
11.215525,48.300475
11.241725,48.360275
11.27515,48.400425
11.295275,48.88175
11.30805,48.928125
11.3384,48.959625
11.37,48.9741
11.387075,49.03615
11.39965,49.061175
11.427475,49.160375
11.4482,49.413575
11.46465,49.491575
11.475375,49.533325
11.483075,49.914075
11.5003,49.956925
11.50805,49.993825
11.536225,50.1601
11.54895,50.466275
11.56475,50.48755
11.579775,50.512875
11.5954,50.538075
11.618,50.56015
11.641225,50.9475
11.67,50.98025
11.747675,51.010625
11.784025,51.0329
11.80975,51.08475
11.905075,51.234575
11.9654,51.3031
12.066125,51.4755
12.0954,51.562675
12.126675,51.6558
12.145675,51.781875
12.183025,51.810775
12.20305,51.835975
12.23515,51.86885
12.252075,51.89015
12.271225,51.913825
12.317975,51.963225
12.36025,52.08115
12.383675,52.10745
12.4138,52.316025
12.4949,52.35465
12.508,52.368925
12.56165,52.4274
12.589325,52.469975
12.6243,52.688
12.6747,52.897975
12.697575,53.008675
12.7138,53.1316
12.743275,53.15775
12.76555,53.202575
12.83715,53.225275
12.854475,53.245825
12.88575,53.306325
12.903125,53.351125
12.91675,53.41245
12.945525,53.687775
12.964575,53.726275
12.976425,53.75315
13.03625,53.78045
13.05845,53.793725
13.08515,53.812575
13.134075,53.830875
13.16675,53.846775
13.19165,53.8862
13.237625,53.934175
13.28115,53.96895
13.3096,54.00225
13.33105,54.155725
13.3593,54.314075
13.387275,54.32185
13.446575,54.33475
13.4679,54.354675
13.492575,54.3703
13.527325,54.406625
13.569275,54.428225
13.58655,54.463
13.60965,54.57645
13.64855,54.894525
13.680275,55.2023
13.73545,55.302875
13.8073,55.472925
13.82765,55.49315
13.85155,55.53075
13.90925,55.59115
13.935125,55.6511
13.96215,55.976025
13.97585,55.9931
14.005125,56.020775
14.022725,56.058625
14.05725,56.106925
14.08095,56.134525
14.10615,56.15055
14.14325,56.200975
14.16585,56.2436
14.181,56.291625
14.197225,56.54635
14.21125,56.5662
14.238775,56.592125
14.264,56.6618
14.2897,56.722
14.33275,56.764175
14.34815,56.891225
14.3682,56.93295
14.430625,57.0208
14.522725,57.08875
14.581325,57.35455
14.613125,57.410725
14.647675,57.44395
14.66295,57.481425
14.723225,57.767775
14.741025,57.777025
14.75535,57.78605
14.7814,57.833875
14.816475,57.863825
14.85935,57.891025
14.871975,57.961475
14.928675,57.99575
14.962975,58.212525
15.01005,58.479
15.04015,58.500975
15.0818,58.51475
15.08395,58.543775
15.12405,58.57495
15.15865,58.604325
15.2141,58.6297
15.26265,58.7206
15.317775,58.754475
15.3359,58.841725
15.357825,58.911825
15.398725,59.01485
15.4299,59.226
15.46165,59.243925
15.481975,59.252375
15.521025,59.264525
15.553975,59.278025
15.57245,59.343325
15.5921,59.482625
15.60925,59.67225
15.63365,59.746725
15.664175,59.774325
15.7032,59.811775
15.793625,59.9761
15.806375,60.052425
15.853925,60.126325
15.929975,60.1695
15.956,60.2529
15.991575,60.33075
16.02885,60.722325
16.06955,60.9689
16.1356,61.049725
16.158875,61.091075
16.1945,61.163275
16.2164,61.270475
16.24665,61.323625
16.27165,61.440575
16.29615,61.612775
16.322725,61.660875
16.3434,61.6757
16.3572,61.682275
16.38385,61.690625
16.407125,61.70175
16.419225,61.720225
16.437525,61.73235
16.475175,61.80725
16.529675,61.875375
16.581075,62.1218
16.6407,62.15665
16.674275,62.554625
16.70205,62.5669
16.740175,62.59435
16.75855,62.60315
16.807325,62.615675
16.829875,62.650325
16.85115,62.66375
16.862925,62.6838
16.8796,62.75065
16.9093,62.884875
16.94475,62.9853
16.993475,63.10585
17.021425,63.1845
17.03825,63.2143
17.0665,63.277825
17.099225,63.345225
17.15285,63.37295
17.17095,63.512075
17.210275,63.7872
17.274,63.812625
17.32325,63.909625
17.3455,63.93005
17.363175,63.997575
17.409425,64.076475
17.42645,64.214275
17.4474,64.3606
17.474525,64.4588
17.495725,64.510775
17.522025,64.532875
17.555075,64.711275
17.592725,64.845075
17.62095,64.94845
17.643225,64.999525
17.6557,65.229325
17.682125,65.4439
17.694275,65.46405
17.7176,65.496225
17.729825,65.5268
17.74515,65.544475
17.765075,65.570175
17.776325,65.690875
17.829275,65.81535
17.8689,65.915975
17.886325,65.98005
17.9704,66.077975
18.00125,66.096875
18.050875,66.161275
18.116925,66.3113
18.163225,66.3436
18.189175,66.493125
18.307525,66.532075
18.356225,66.61625
18.375575,66.698975
18.399475,66.730475
18.42495,66.744275
18.451475,66.804475
18.50625,66.83535
18.5396,66.965775
18.584425,66.999025
18.603475,67.04485
18.637975,67.1139
18.666075,67.14035
18.70425,67.180425
18.75415,67.44865
18.7826,67.484725
18.80955,67.493825
18.8222,67.508475
18.8426,67.562125
18.861075,67.608625
18.89445,67.67525
18.914775,67.764025
18.936475,67.781175
18.95255,67.803575
18.9965,67.814625
19.011175,67.83205
19.025375,67.88875
19.0525,67.9408
19.079975,68.08825
19.108575,68.323875
19.14665,68.3617
19.198175,68.40285
19.227075,68.4369
19.254175,68.56255
19.298275,68.66435
19.342225,69.21235
19.4471,69.244625
19.495475,69.35425
19.526525,69.442775
19.576625,69.602225
19.623,69.717525
19.660075,69.7561
19.7219,69.786725
19.746775,69.812125
19.777825,69.86495
19.795175,69.880225
19.814325,69.899625
19.834,69.925375
19.85945,69.948775
19.882575,69.977275
19.91425,70.007975
19.9391,70.042825
19.9571,70.127375
19.998925,70.183925
20.0422,70.23445
20.0667,70.246725
20.11955,70.29065
20.15895,70.307075
20.20595,70.336575
20.244525,70.355475
20.3058,70.4292
20.336575,70.4856
20.362025,70.60735
20.43745,70.65605
20.45105,70.69505
20.4918,70.75365
20.530525,70.782075
20.55495,71.0228
20.606525,71.12505
20.67385,71.18595
20.71205,71.2099
20.7221,71.240625
20.7659,71.273325
20.8016,71.297625
20.8214,71.340775
20.8474,71.4396
20.897725,71.6097
20.92625,71.75075
20.943175,72.05055
20.95885,72.057575
20.9783,72.09285
20.999975,72.26855
21.11865,72.45145
21.16925,72.47585
21.196725,72.534175
21.213925,72.57405
21.232225,72.59195
21.260125,72.68545
21.31385,72.8205
21.36025,72.951875
21.415275,73.04645
21.46445,73.0838
21.4823,73.10755
21.509625,73.310775
21.532325,73.328275
21.579925,73.378375
21.59565,73.406075
21.62575,73.46515
21.643225,73.5283
21.661375,73.796725
21.67185,73.80685
21.67875,73.846225
21.68655,73.877325
21.703375,74.037275
21.715175,74.28755
21.72375,74.67905
21.730225,74.708225
21.757475,74.720325
21.773,74.7663
21.7899,74.79135
21.804725,74.8169
21.820675,74.86035
21.9018,74.926425
21.986975,74.9542
22.02835,75.004675
22.0674,75.040325
22.09985,75.3569
22.11215,75.505525
22.149825,75.52125
22.19715,75.532275
22.210025,75.640625
22.2299,75.897775
22.2489,75.92575
22.276875,75.976325
22.303375,76.035675
22.316675,76.077425
22.33515,76.438275
22.3506,76.618675
22.377275,76.657
22.417175,76.6858
22.4531,76.725375
22.5471,77.08305
22.575,77.117225
22.59435,77.17345
22.6634,77.255075
22.75915,77.359825
22.81195,77.61715
22.832425,77.7006
22.88345,77.75195
22.901925,77.845475
22.929375,78.14195
22.969525,78.184025
23.005425,78.21735
23.015975,78.2738
23.0359,78.315575
23.06815,78.558
23.1154,78.619425
23.13945,78.74755
23.172925,78.8935
23.199775,78.93655
23.241525,78.948275
23.287025,78.967725
23.310075,79.1651
23.33505,79.32105
23.355775,79.33955
23.372675,79.362825
23.3947,79.39085
23.431875,79.414875
23.45525,79.46525
23.477675,79.4847
23.5301,79.540225
23.5693,79.837375
23.600825,79.853775
23.6427,79.940525
23.6902,79.9493
23.7221,80.012875
23.75445,80.085775
23.779625,80.35365
23.797225,80.373925
23.81645,80.38735
23.8399,80.397475
23.848525,80.417625
23.879075,80.431275
23.918775,80.480725
23.929425,80.4987
23.94485,80.5481
23.9607,80.643675
23.98765,80.7576
24.0255,80.847125
24.0558,80.93125
24.113875,80.9651
24.138,81.00195
24.166325,81.1544
24.203125,81.211775
24.233325,81.300075
24.26285,81.35415
24.287425,81.428575
24.3414,81.463375
