SPK_SPKC02a,SPK_SPKC05a
200.251975,200.044575
200.614625,200.0829
200.7788,200.114
201.16535,200.1542
201.60925,200.193575
201.630075,200.3091
201.771625,200.33625
201.843775,200.3596
202.1975,200.373375
202.304775,200.3996
202.4221,200.4525
202.6526,200.4702
202.7751,200.510225
202.859175,200.71825
203.020825,200.822775
203.037075,200.9703
203.198125,201.2241
203.254975,201.344525
203.297075,201.374775
203.397075,201.700175
203.496625,201.93715
203.589325,202.655975
203.6914,202.92655
203.76555,203.3243
203.8337,204.09895
203.922475,204.211825
203.981775,204.626375
204.389175,204.72185
204.686475,204.746125
204.868625,204.813875
204.933625,204.88445
205.025975,204.895225
205.533425,205.11535
205.562825,205.29905
205.86915,205.3136
205.87345,205.3426
205.991525,205.4318
206.43295,205.468275
206.59235,205.5918
206.699725,205.687075
206.981375,205.944725
207.08865,206.143725
207.180125,206.21115
207.41355,206.233175
207.5646,206.276625
207.63775,206.30005
207.965625,206.370975
208.043225,206.389175
208.060725,206.416275
208.141675,206.50065
208.506375,206.777125
208.580675,206.821425
208.61855,207.740675
208.680575,207.7968
208.9593,208.1076
209.0418,208.65435
209.3478,208.71455
209.422925,208.8263
209.806475,208.94775
209.9582,209.450875
210.27655,210.0202
210.3523,210.08875
210.6611,210.2326
210.75595,210.5349
211.188125,210.68315
211.3724,210.790325
211.758,210.854
211.9571,210.9956
212.240025,211.30975
212.425675,211.46385
212.60455,211.685025
213.6158,211.7796
213.71645,211.8882
213.798525,212.77595
213.81675,212.796325
213.985675,212.942875
214.106075,213.146075
214.1238,213.219425
214.193025,213.285575
214.274875,213.300175
214.350425,213.332475
214.478825,213.349675
214.732,213.372025
214.8124,213.442875
215.247125,213.47565
215.435175,213.600725
215.494575,213.707875
215.5879,213.7652
215.97365,213.797175
216.398275,213.880575
216.5808,213.91485
216.671025,213.93195
217.3017,213.953175
217.469575,213.9792
217.9202,214.084775
218.059375,214.1202
218.3042,214.165125
218.374675,214.190575
218.457625,214.2518
218.696325,214.301675
218.770825,214.317675
219.189575,214.321975
219.341275,214.3393
219.50665,214.35135
219.605275,214.36
219.886775,214.373825
219.95265,214.382675
220.045225,214.390625
220.113975,214.3985
220.441075,214.424725
220.512475,214.432075
220.60555,214.446325
220.933675,214.467975
220.995475,214.5118
221.094,214.559225
221.188525,214.5864
221.5052,214.606425
221.5911,214.8108
221.69415,215.022025
222.0083,215.042775
222.103575,215.0751
222.4104,215.164875
223.07605,215.5139
223.285425,215.579925
223.451075,215.593725
223.5499,215.6358
223.868325,215.64435
