SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
0.06935,0.9109,0.017675,0.0077,0.01035
0.0975,1.08425,0.0383,0.02165,0.02655
0.1146,1.520475,0.051,0.044275,0.04815
0.2343,1.66475,0.09425,0.0793,0.102225
0.2845,1.937125,0.12535,0.095375,0.12315
0.3386,2.413975,0.1637,0.1141,0.1417
0.3667,2.930575,0.19295,0.136225,0.148525
0.39215,3.7122,0.21565,0.1493,0.164675
0.50625,4.357025,0.243275,0.20165,0.196
0.5184,4.440175,0.251025,0.263775,0.211525
0.535525,4.869625,0.262475,0.2791,0.2187
0.6973,4.88725,0.27875,0.322475,0.2276
0.71315,5.156925,0.2948,0.329725,0.23465
0.7289,5.289025,0.315725,0.357125,0.247025
0.736125,5.81115,0.33685,0.369775,0.2544
0.7625,6.28925,0.345475,0.38495,0.260425
0.86605,6.31915,0.357725,0.398325,0.266925
0.9301,6.408825,0.36935,0.427225,0.283
0.935575,6.42535,0.387675,0.455275,0.324975
0.9426,6.491425,0.400675,0.479225,0.336975
0.97205,6.947075,0.4233,0.5009,0.363025
0.996825,6.989175,0.430875,0.51575,0.3732
1.0431,7.0564,0.43965,0.5335,0.38195
1.078475,7.129925,0.4592,0.610375,0.410775
1.096925,7.2501,0.478525,0.626175,0.4182
1.13155,7.265475,0.498325,0.64405,0.432525
1.264325,7.49655,0.521525,0.674325,0.45175
1.27845,7.56845,0.5451,0.6912,0.4586
1.295875,7.894025,0.5639,0.71545,0.469525
1.358425,7.949925,0.583225,0.756425,0.490825
1.4384,8.194875,0.608275,0.777975,0.530925
1.45975,8.4617,0.6263,0.792675,0.558525
1.486575,8.591925,0.65265,0.80795,0.577025
1.4971,9.102825,0.67755,0.821625,0.594375
1.5131,9.1943,0.695675,0.846925,0.61945
1.566325,9.199325,0.711,0.855925,0.6395
1.676475,9.218675,0.74015,0.8766,0.665625
1.70425,9.69735,0.76365,0.888275,0.69005
1.742475,9.85315,0.791475,0.91155,0.719875
1.77685,10.02425,0.803975,0.92485,0.769425
1.807475,10.140425,0.827225,0.949925,0.791625
1.861825,10.2866,0.847775,0.972725,0.808975
1.8703,10.407525,0.8637,0.99415,0.838625
1.90175,10.54125,0.87235,1.004525,0.855875
1.976675,10.631725,0.879925,1.029525,0.8726
2.00845,10.6657,0.8868,1.0794,0.88655
2.040725,10.809125,0.899025,1.099175,0.89535
2.0646,11.0258,0.906425,1.232025,0.905175
2.081525,11.1196,0.9156,1.257925,0.920125
2.14605,11.2472,0.9211,1.286075,0.927525
2.1799,11.254325,0.92635,1.305975,0.946675
2.3072,11.2864,0.931325,1.319225,0.9542
2.316825,11.823175,0.9418,1.33515,0.973675
2.4005,12.067375,0.948,1.34485,0.982175
2.40775,12.085125,0.9585,1.39455,0.9888
2.425425,12.1146,0.98745,1.4274,0.999325
2.490975,12.377,0.997375,1.4799,1.0075
2.58695,12.3912,1.006175,1.51005,1.01575
2.605475,12.3979,1.0168,1.5278,1.020325
2.69705,12.429075,1.0343,1.543475,1.03055
2.707475,12.514525,1.070725,1.56025,1.037875
2.8015,12.5439,1.08215,1.57785,1.045075
2.873375,12.56225,1.0968,1.61325,1.0567
2.963275,12.71855,1.10955,1.647475,1.0642
2.9771,13.04795,1.128275,1.673575,1.069925
2.983375,13.2961,1.148025,1.683775,1.092575
2.9893,13.40305,1.1724,1.719525,1.1027
3.001425,13.7971,1.193025,1.731675,1.11175
3.0234,13.8151,1.210875,1.746025,1.1256
3.03715,13.973025,1.228375,1.776575,1.136475
3.050175,14.20015,1.242275,1.7913,1.1478
3.0597,14.73555,1.257025,1.807975,1.164475
3.210775,14.747775,1.26705,1.824525,1.179975
3.281875,14.80075,1.272375,1.8373,1.193125
3.30665,14.860425,1.2776,1.851925,1.20425
3.33745,15.239425,1.29735,1.86475,1.231325
3.3677,15.754275,1.310825,1.89225,1.245675
3.38405,16.1054,1.32555,1.9057,1.27175
3.4816,16.25535,1.34485,1.930175,1.2802
3.494025,16.689425,1.358525,1.962625,1.2941
3.518575,16.73385,1.39385,2.00005,1.308025
3.6297,16.797225,1.42005,2.0173,1.326525
3.6581,16.835625,1.455025,2.025225,1.346825
3.7749,16.912375,1.48535,2.0396,1.352325
3.840375,16.96735,1.510475,2.084025,1.367125
3.864,17.030025,1.53115,2.097175,1.382
3.955125,17.036275,1.549625,2.113375,1.396925
3.988975,17.29165,1.570775,2.1254,1.405075
4.136775,17.38755,1.59375,2.150075,1.438175
4.14915,17.4942,1.623425,2.19285,1.4525
4.1985,17.525875,1.63555,2.21315,1.464025
4.217525,17.5838,1.64235,2.231725,1.478775
4.235125,18.2429,1.6495,2.247275,1.486925
4.31695,18.5697,1.654775,2.258375,1.5094
4.40285,18.827575,1.666,2.28695,1.51795
4.519725,19.024325,1.67455,2.33175,1.56935
4.558775,19.219375,1.6876,2.354175,1.58405
4.569275,19.355475,1.69765,2.3795,1.601975
4.59125,19.482925,1.7034,2.397325,1.62585
4.6388,19.773325,1.709875,2.4033,1.6773
4.754575,19.781525,1.723825,2.422975,1.692
4.759675,19.914825,1.73485,2.42855,1.7015
4.767925,20.108,1.7486,2.47515,1.711375
4.822075,20.17935,1.763325,2.509675,1.719875
4.831275,20.5034,1.78885,2.521475,1.73565
4.847,20.672275,1.795625,2.642625,1.747725
4.88035,20.701825,1.80585,2.660425,1.75755
4.94365,20.7229,1.8149,2.69475,1.773525
4.958925,21.035425,1.8218,2.723675,1.783775
5.00275,21.497375,1.835825,2.735825,1.791575
5.011675,21.728725,1.842875,2.7507,1.801325
5.076875,21.80355,1.85875,2.789325,1.81445
5.1699,21.87545,1.86825,2.8395,1.8465
5.19565,22.2034,1.873725,2.85845,1.858075
5.214825,22.44645,1.880525,2.8873,1.866575
5.27945,22.489325,1.8873,2.904425,1.8763
5.319725,22.498275,1.89135,2.91165,1.884325
5.324325,22.509975,1.903775,2.9385,1.897125
5.39465,22.639675,1.9091,2.95815,1.90445
5.415575,22.75255,1.9143,2.973875,1.90925
5.450025,22.795725,1.921025,2.989875,1.914025
5.62085,22.88585,1.932825,3.0022,1.920175
5.6259,22.900575,1.9416,3.003925,1.925275
5.642275,23.237025,1.95565,3.013475,1.96055
5.753825,23.3233,1.98395,3.039575,1.97305
5.795025,23.342425,1.9925,3.101625,1.9802
5.8046,23.354325,2.011875,3.1212,1.987275
5.861375,23.39575,2.0305,3.1332,1.993125
5.87535,23.5138,2.0462,3.174425,2.01915
5.975825,23.629275,2.08645,3.229025,2.0261
6.1086,23.9656,2.1026,3.27355,2.04255
6.2321,24.0228,2.12285,3.2936,2.050525
6.305575,24.517425,2.134275,3.318225,2.074725
6.3117,24.65815,2.16415,3.363925,2.08995
6.43685,24.6947,2.185225,3.379025,2.1009
6.590325,24.705,2.21725,3.39025,2.114825
6.6818,25.0352,2.235675,3.398475,2.130025
6.7296,25.9036,2.258925,3.434975,2.1536
6.764075,26.094825,2.2846,3.44285,2.192875
6.8106,26.731275,2.320775,3.49275,2.22185
6.885075,26.9026,2.351475,3.516325,2.269075
6.951775,27.050275,2.370275,3.529175,2.29945
7.034375,27.748125,2.3774,3.5424,2.316375
7.039325,27.7972,2.38955,3.57135,2.348125
7.14785,28.128825,2.396075,3.58515,2.360875
7.165325,28.2005,2.4076,3.604625,2.37415
7.178125,28.282775,2.411675,3.615825,2.38285
7.194225,28.3013,2.415325,3.647075,2.3866
7.211125,28.314025,2.424825,3.66495,2.389675
7.3284,28.320025,2.42895,3.7042,2.3922
7.35175,28.7709,2.456825,3.720075,2.4131
7.42025,28.93455,2.46785,3.73835,2.4179
7.508175,29.149725,2.4828,3.75735,2.4223
7.6724,29.46155,2.494525,3.76925,2.447325
7.731975,29.4757,2.5058,3.781975,2.46765
7.870675,29.601525,2.5279,3.806825,2.4831
