SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC14a
0.991825,0.808925,0.334775,0.00855,0.03285,0.222275,0.03925,0.191175
1.706375,2.1731,0.807075,1.0784,0.04405,1.987425,0.05265,0.28575
3.37295,2.385225,1.125775,1.20025,0.3069,4.1081,0.0649,0.329
4.6069,2.555425,1.2435,1.30585,0.434825,4.11565,0.077275,0.37225
5.2677,2.9892,1.4686,1.335775,0.54495,4.163775,0.0961,0.512025
5.761675,3.00515,1.88595,1.5321,0.5588,4.19285,0.109375,0.5654
6.07175,3.028775,2.010375,1.61695,0.61255,4.864425,0.12025,0.697225
6.67275,3.049975,2.933825,1.63555,0.74445,4.993675,0.1313,0.7907
9.243125,3.29645,3.122175,2.09405,0.8752,5.699675,0.147425,0.989025
9.36265,3.3102,3.512975,2.346625,0.990575,6.84395,0.1593,1.066425
9.395775,3.3141,3.790075,2.5359,1.220875,8.66935,0.176,1.153975
10.5349,3.32725,4.3209,2.90685,1.373025,8.90285,0.189025,1.323525
10.762775,3.416275,4.622675,3.76065,1.482,9.955975,0.211275,1.618325
10.9388,3.73215,5.20365,3.817275,1.50215,10.0226,0.22115,1.629025
13.2421,3.813825,6.168625,4.153025,1.587125,13.08505,0.28585,1.66415
15.978475,4.38555,6.733575,4.45485,1.6064,13.1971,0.29835,1.81115
17.23195,5.047025,7.03525,4.905275,1.615925,13.355775,0.344825,1.837125
18.286025,5.332475,7.199275,5.69525,1.620575,14.082875,0.374275,1.9991
18.5464,6.808125,8.365625,6.0927,1.74735,14.39445,0.40675,2.025775
18.80655,7.00275,8.663625,6.113125,1.849025,15.467775,0.4471,2.08845
19.149825,7.23155,8.733725,6.15035,1.96355,15.80825,0.48435,2.2436
20.392775,7.28895,8.964275,7.2507,1.97195,16.471475,0.54445,2.324325
20.613675,7.40275,9.0094,7.593825,2.00975,18.073375,0.550175,2.406325
21.163325,7.60665,9.65015,8.71015,2.094075,18.356325,0.55635,2.474225
23.639425,7.615475,9.983175,8.901125,2.101525,18.73195,0.5619,2.532725
24.24565,7.686325,10.2964,10.098975,2.120775,20.040725,0.56625,2.542375
24.390325,7.70805,10.826525,10.305925,2.124625,20.88635,0.578625,2.6078
26.83895,7.83845,10.8496,10.34025,2.209675,21.62725,0.583375,2.6649
27.30785,8.19245,13.5476,10.4079,2.3831,22.57045,0.58885,3.247725
27.42265,8.2085,13.8169,10.689825,2.44265,22.795675,0.593125,3.261975
27.851775,8.366275,13.873575,11.234475,2.4626,23.002275,0.598175,3.54995
28.594,8.4758,14.039,11.4741,2.479175,23.0528,0.605625,3.663775
28.930025,8.555275,14.092525,11.9048,2.488925,23.712,0.61225,3.86685
29.6571,8.5755,14.199625,12.42225,2.493775,27.33205,0.632425,3.908975
30.589475,8.691275,14.2607,12.657775,2.509,27.886525,0.641775,3.97795
