SPK_SPKC05a,SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC11b
0.059425,0.2553,0.2711,0.061475
0.1842,1.4061,0.4916,0.1086
0.224775,1.703925,1.4548,0.2697
0.2555,1.72665,1.7477,0.2822
0.434575,2.660025,1.76705,0.2891
0.522925,2.686875,2.175125,0.302225
0.62825,2.6947,2.30995,0.3154
0.701975,3.691425,3.2667,0.526875
0.75135,3.699975,4.301825,0.555025
0.75725,6.10025,4.34805,0.7524
0.8471,6.4406,4.418575,0.76475
1.073125,6.463625,4.913375,0.7788
1.284925,6.892075,5.411775,0.787475
1.65585,7.754725,5.99,0.7957
1.707225,7.933,6.151525,0.808975
1.90985,8.338575,6.269625,1.058225
1.981125,8.4337,6.3508,1.12525
2.03365,8.868625,6.9818,1.267125
2.100675,8.918025,7.000025,1.278675
2.212075,9.21165,7.2372,1.2885
2.3146,9.29315,7.303925,1.298375
2.47045,9.360575,7.340175,1.329925
2.495525,9.653375,7.75305,1.51025
2.610875,10.286275,7.98315,1.5782
2.64365,13.291875,8.01585,1.725525
2.659825,14.12095,8.359375,1.74475
2.7034,15.4688,8.454,1.7552
2.7279,16.0515,8.526575,1.76195
2.729375,17.024,8.69805,1.76825
2.8521,18.887775,8.71805,1.7763
3.2401,20.71955,8.8467,1.78495
3.41845,21.922475,8.868425,1.802525
3.51505,22.041075,9.118775,1.823
4.058525,22.234775,9.30305,1.923775
4.24825,22.29305,9.3081,2.290975
4.29185,22.436025,9.31975,2.669625
4.377975,23.17015,9.352775,2.6767
4.460025,23.40695,9.367775,2.704025
4.515175,23.527625,9.372875,2.71255
4.5661,23.736425,9.381375,2.725225
4.714325,23.7619,9.38675,2.72905
4.835125,23.84485,9.3999,2.739875
4.878775,24.204775,9.4077,2.753125
4.91535,24.364325,9.41325,2.767375
4.9927,24.731025,9.425125,2.786875
5.02065,24.7708,9.44015,2.850325
5.1089,25.195725,9.464,2.888975
5.1591,25.90235,9.47495,2.94025
5.30105,26.484775,9.48185,3.07535
5.6115,26.660225,9.543875,3.306475
5.704375,26.821075,9.55335,3.333025
5.749425,27.7465,9.71725,3.34895
5.79315,27.89885,9.73715,3.35915
5.8452,28.097675,9.747325,3.43625
5.906275,29.088725,9.811625,3.48895
6.01615,29.189575,9.85155,3.707175
6.217325,29.440275,9.916,3.7169
6.282275,30.410425,9.99195,3.7253
6.32325,31.375925,10.012725,3.739525
6.434125,31.49635,10.028725,3.75145
6.7024,31.64535,10.0636,3.765375
6.904975,31.839375,10.09505,3.7761
6.9443,32.020725,10.112025,3.793175
7.12225,32.058725,10.1362,3.928475
7.341325,32.150525,10.152575,4.07075
7.56695,32.369175,10.17915,4.4123
7.5953,32.767775,10.3322,4.423775
7.618,32.9142,10.3489,4.4316
7.6943,33.174825,10.385375,4.45765
7.7758,33.8188,10.397025,4.52935
7.795,33.8654,10.439875,4.5459
7.87435,33.95425,10.48075,4.565825
7.88935,34.235225,10.4879,4.60465
7.90875,35.4948,10.524075,4.646175
7.96955,37.10025,10.682875,4.915975
7.974425,37.114175,10.8407,4.925675
8.105675,37.29175,10.8767,4.972675
8.29755,37.394025,11.019425,5.042425
8.357925,37.523725,11.046025,5.108575
8.37635,37.991225,11.06235,5.3642
8.389125,38.713,11.0667,5.38155
8.539375,38.768625,11.1324,5.407425
8.733775,39.5238,11.197275,5.421475
8.765075,40.1001,11.399175,5.445125
9.2758,40.1689,11.45795,5.474375
9.319,40.784725,11.48455,5.885525
9.379475,41.092525,11.492325,5.906675
9.454725,41.1638,11.502875,5.91835
9.64685,41.580375,11.597275,5.935425
10.082525,41.5955,11.600175,5.975275
10.160775,41.70525,11.633325,6.0077
10.1798,42.031825,11.698975,6.020025
10.3711,42.220375,11.7451,6.03265
10.396875,42.4482,11.893975,6.389875
10.5102,42.638125,11.963,6.404925
10.5374,42.856275,12.111375,6.415825
10.6454,42.96885,12.20645,6.44
10.66105,43.0198,12.264775,6.447075
10.7265,43.045275,12.370975,6.4619
10.925025,43.06425,12.42905,6.46745
10.9664,43.10425,12.53015,6.4975
11.072,43.180225,12.54095,6.5931
11.16925,43.260625,12.551775,6.661925
11.176725,43.58405,12.59365,6.757325
