SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC11b
100.508075,100.025925,100.0003,100.07995,100.017775
100.540225,100.0302,100.007725,100.1051,100.021525
101.121575,100.044275,100.015975,100.115275,100.02615
101.189,100.08435,100.021825,100.12905,100.03825
101.6423,100.1429,100.02775,100.1484,100.0481
102.1912,100.165625,100.03485,100.1694,100.058125
102.69365,100.5263,100.036425,100.1848,100.066625
103.152925,100.538175,100.04315,100.194525,100.073325
103.5475,100.547875,100.052,100.213125,100.0916
103.7763,100.6703,100.06275,100.2292,100.2469
103.89155,100.703725,100.069425,100.26115,100.471125
103.9042,100.728125,100.092475,100.27345,100.49535
103.9121,101.0777,100.1,100.2988,100.50435
103.9283,101.0842,100.110425,100.537025,100.5099
103.989425,101.09085,100.118825,100.543875,100.5152
104.01615,101.12295,100.12485,100.55305,100.523425
104.130825,101.1398,100.134575,100.5633,100.531325
104.39525,101.155875,100.14785,100.5687,100.57585
104.457325,101.16495,100.169525,100.5845,100.629925
104.47975,101.177675,100.1827,100.590125,100.7162
104.96055,101.202975,100.1933,100.59735,100.77575
105.002725,101.213225,100.217,100.605725,100.833075
105.0621,101.22985,100.2441,100.614475,100.87955
105.7367,101.2465,100.256875,100.647875,100.91205
106.185575,101.2605,100.267825,100.682425,100.947
106.2224,101.2742,100.280375,100.706575,101.0339
106.287375,101.311825,100.29575,100.7291,101.04245
107.3495,101.66435,100.30545,101.05515,101.04775
107.7956,101.68085,100.31475,101.062125,101.070725
108.3799,101.6915,100.32795,101.0889,101.078825
108.7224,101.7091,100.3435,101.106325,101.098875
108.75235,101.746675,100.3593,101.114475,101.234125
109.374425,102.17695,100.374025,101.123125,101.283
109.73915,102.187925,100.397475,101.137875,101.3458
110.00095,102.204825,100.411025,101.152475,101.42225
110.150425,102.240825,100.428975,101.171275,101.445125
110.295475,102.252775,100.44695,101.200775,101.482175
110.934575,102.269325,100.461925,101.7596,101.5193
111.629425,102.2821,100.495675,101.775,101.63555
