SPK_SPKC03a,SPK_SPKC10a,SPK_SPKC13a
8.6875,0.18025,1.1708
16.571925,0.3307,2.077975
19.08935,0.380475,4.06145
21.3612,1.383325,5.7661
24.038675,2.15475,6.068325
33.553525,2.229625,6.801825
40.116275,2.2888,6.883875
41.675175,2.5609,7.442425
42.968325,2.788425,9.267375
43.37265,3.51675,10.142075
47.384725,3.550975,11.003925
52.16385,3.572025,11.641025
52.93185,3.783925,12.8232
56.431775,4.282575,13.7408
57.869825,4.860125,16.56335
58.1785,5.17505,17.836175
59.74225,5.417925,18.633425
64.646125,5.80875,19.8419
64.773225,6.0143,21.111625
66.7917,6.090125,21.9342
67.294,6.81435,22.402575
71.789825,7.05585,23.7085
72.736425,7.174225,24.817525
76.28685,7.2123,25.4682
79.084275,7.456325,26.4632
79.688375,7.990975,28.029375
83.11845,8.27705,29.193375
83.552725,8.4544,29.746525
83.696075,8.4564,30.74165
84.283825,8.7183,31.261975
84.745425,8.798025,35.225725
85.58405,8.975375,38.606875
87.946525,9.042525,39.2989
88.878475,9.29285,39.5205
91.449025,9.4483,40.33625
92.008375,9.95385,40.613875
92.106075,10.056425,41.244575
95.39165,10.196575,41.448325
101.102075,10.4482,43.5213
103.57835,11.44695,45.201975
104.028275,11.55255,45.6998
105.58445,11.59015,45.9192
106.86705,11.937075,47.6276
107.1889,11.97705,52.17195
109.92665,12.4124,52.633425
110.150475,12.543525,53.194775
110.515375,12.54565,53.995825
110.795625,12.7375,54.94275
111.110075,13.385175,55.39395
113.8508,13.411975,58.3687
113.8618,14.1121,58.988325
113.9041,14.26735,61.177825
114.106575,14.600025,62.1512
115.04035,14.784025,63.327825
116.321375,14.872625,64.83885
116.451175,14.9748,66.018275
116.5116,15.059725,66.6768
117.259425,15.2805,67.643475
117.40615,15.5065,67.980375
117.7113,15.56915,68.998375
118.65145,15.909675,69.423375
118.77095,16.16655,69.7189
119.312225,16.444075,70.83025
120.7742,16.6306,71.2844
121.083,16.917925,71.6917
121.842725,17.20825,72.43655
122.0413,17.32955,72.951175
122.044425,17.359625,73.0304
122.57195,17.5466,73.3848
123.952475,17.743975,73.9512
125.331525,17.79275,74.4581
125.48845,18.28535,75.19665
125.975425,18.453975,76.58565
126.215,18.5131,77.71665
126.508825,19.0246,78.437075
127.034525,19.2948,79.420975
127.6082,19.381175,80.54905
127.731625,19.810225,81.4153
128.532925,20.238725,82.763625
129.637375,20.2956,83.38475
129.640325,20.815225,84.7523
130.67855,21.365575,87.59875
134.470725,21.65595,89.72475
135.365775,22.612475,90.439775
136.6881,22.654325,92.723725
137.138225,23.105525,94.11405
137.281175,23.3639,94.863225
138.048725,23.50325,95.942375
138.1166,23.77825,96.0695
140.21025,23.817075,96.584825
140.936475,24.128,99.64785
140.9547,24.22555,106.2599
141.042075,24.263575,107.0208
141.365025,24.617975,108.08405
141.8303,24.7806,109.36895
145.213075,25.364375,109.897225
146.79645,25.49725,110.934
147.3212,25.663575,111.8865
147.389525,25.77645,113.66935
147.493725,25.994025,113.867675
148.1737,26.168175,115.11105
148.3514,26.35735,116.0883
148.4645,26.724,116.6928
148.782525,27.06365,122.3078
148.90415,27.12155,124.84265
149.0245,27.2749,126.51705
152.452475,27.593725,138.293425
152.510475,27.70595,144.156625
152.5786,27.973025,147.03445
153.176925,28.112675,154.0536
153.39575,28.303025,156.54655
153.70015,28.6449,157.54815
154.659025,28.739925,162.88965
155.896475,29.435525,167.8342
155.903725,30.092225,175.05935
157.081825,30.1023,
157.801325,30.136825,
157.941825,30.5167,
158.0443,30.57985,
158.120375,30.5958,
158.64925,30.611575,
158.80995,31.2028,
159.1251,31.38725,
159.9631,31.391525,
165.4344,31.5229,
166.00455,31.6624,
167.010525,32.21995,
167.701275,33.184975,
168.5071,33.2444,
168.9684,33.665175,
169.20015,34.005775,
170.3033,34.42265,
171.4547,34.6262,
171.545275,34.826625,
172.5763,35.0404,
172.647425,35.10605,
173.340925,35.58315,
174.148275,35.7111,
174.206725,35.856125,
174.817475,35.95765,
174.9053,36.3123,
175.3564,36.391925,
175.6908,36.575975,
175.7375,36.9369,
176.4123,37.364925,
178.30495,37.701575,
178.369375,37.7249,
179.00785,37.855725,
179.01395,38.0246,
179.144025,38.179225,
179.213425,38.2823,
179.40145,38.635875,
179.68925,39.200025,
,39.352225,
,39.4342,
,39.5366,
,39.829225,
,40.054975,
,40.6711,
,40.75515,
,40.89125,
,41.302375,
,41.441875,
,41.64185,
,41.8149,
,42.480575,
,42.98615,
,42.996,
,43.037475,
,43.47955,
,43.544625,
,43.838075,
,44.18405,
,44.34075,
,44.381875,
,44.840775,
,45.186075,
,45.482025,
,45.56375,
,45.61685,
,46.283425,
,46.632525,
,46.654225,
,46.826525,
,47.453125,
,47.71455,
,47.7863,
,47.945575,
,48.038825,
,48.422425,
,48.713525,
,49.017475,
,49.0791,
,49.089725,
,49.347025,
,49.380325,
,49.684375,
,50.043175,
,50.0875,
,50.3249,
,50.369275,
,50.5034,
,50.54225,
,50.99605,
,51.17025,
,51.22395,
,51.4972,
,51.595575,
,51.614625,
,51.97305,
,52.109625,
,52.1136,
,52.1522,
,52.5772,
,52.6189,
,52.743625,
,53.5841,
,53.988775,
,54.275225,
,54.44135,
,54.46655,
,54.87735,
,54.974225,
,55.0912,
,55.228925,
,55.61135,
,55.732,
,56.135225,
,56.1519,
,56.246775,
,56.284425,
,56.371,
,56.5458,
,56.7863,
,56.9471,
,57.2947,
,57.3311,
,57.353625,
,57.857825,
,57.94085,
,57.976425,
,58.477925,
,58.52565,
,58.976475,
,59.443075,
,59.6469,
,59.921125,
,60.0994,
,60.15615,
,60.606475,
,60.68825,
,61.19425,
,61.2174,
,61.2589,
,61.380875,
,61.552675,
,61.7251,
,62.011775,
,62.05995,
,62.187175,
,62.39045,
,62.4201,
,62.69655,
,62.936825,
,63.3136,
,63.3507,
,63.469875,
,63.591225,
,63.826275,
,63.97905,
,64.331225,
,64.53015,
,64.785925,
,64.9701,
,65.005375,
,65.14735,
,65.34725,
,65.5573,
,65.58685,
,65.63265,
,65.893175,
,66.61405,
,67.141575,
,67.601,
,67.760575,
,67.7825,
,67.92025,
,68.17115,
,68.4372,
,68.68605,
,68.8023,
,69.19715,
,69.560375,
,69.6147,
,69.7385,
,69.973375,
,69.996,
,70.47105,
,70.576475,
,70.765025,
,70.823675,
,70.9679,
,71.262725,
,71.4532,
,72.16175,
,72.303675,
,72.4361,
,72.882925,
,72.994175,
,73.38515,
,73.4709,
,73.8791,
,73.932875,
,74.01345,
,74.02485,
,74.518,
,74.589125,
,74.708025,
,74.795375,
,74.961325,
,75.0203,
,75.127575,
,75.1774,
,75.3093,
,75.721025,
,75.79675,
,75.80015,
,76.428175,
,76.5562,
,76.5721,
,76.582125,
,77.0911,
,77.140375,
,77.62835,
,77.661175,
,77.85655,
,78.026075,
,78.096225,
,78.23115,
,78.263625,
,78.4158,
,78.98675,
,79.285875,
,79.47385,
,79.51225,
,79.628375,
,79.67625,
,80.06605,
,80.33945,
,80.62875,
,80.72735,
,80.855775,
,81.012375,
,81.118775,
,81.1264,
,81.588225,
,81.69225,
,81.79725,
,82.1714,
,82.469425,
,82.8721,
,83.154775,
,83.3798,
,83.422975,
,83.93275,
,84.210925,
,84.247525,
,84.27695,
,84.395375,
,84.650675,
,85.0848,
,85.149475,
,85.446825,
,85.62825,
,85.743525,
,85.774975,
,86.258975,
,86.708325,
,86.759425,
,87.20615,
,87.561625,
,87.597275,
,87.833125,
,88.06065,
,88.41175,
,88.762825,
,88.845225,
,89.203875,
,89.329575,
,89.429075,
,89.6551,
,89.738925,
,89.86,
,90.346325,
,90.559275,
,90.7854,
,91.0961,
,91.2271,
,91.2998,
,91.69105,
,91.734625,
,91.90695,
,92.59055,
,92.667725,
,93.26255,
,93.306625,
,93.3086,
,93.454725,
,93.78785,
,93.893075,
,93.94105,
,93.96015,
,94.2821,
,94.393175,
,94.459725,
,94.9943,
,95.1216,
,95.201025,
,95.2385,
,95.35255,
,95.780325,
,95.969225,
,96.005625,
,96.0885,
,96.227725,
,96.2473,
,96.502275,
,96.6261,
,96.658725,
,96.762325,
,96.80945,
,97.010225,
,97.24945,
,97.281875,
,97.328925,
,97.353475,
,97.475675,
,97.81015,
,97.95605,
,98.009025,
,98.478,
,98.954825,
,98.974725,
,99.170025,
,99.329,
,99.364375,
,99.856275,
,100.0206,
,100.5005,
,100.7766,
,100.9249,
,100.94975,
,100.98735,
,101.172625,
,101.697375,
,101.70795,
,102.293475,
,102.337175,
,102.684975,
,102.68995,
,102.949625,
,103.249125,
,103.6132,
,103.7796,
,103.821975,
,103.978875,
,104.27775,
,104.48075,
,104.493575,
,104.6003,
,104.716975,
,104.80765,
,104.9831,
,105.0625,
,105.569925,
,105.81395,
,106.291175,
,107.05145,
,107.50225,
,107.574825,
,107.66825,
,108.162925,
,108.47605,
,108.69415,
,108.806125,
,109.263175,
,109.327575,
,109.52725,
,109.77795,
,109.825025,
,110.017625,
,110.051425,
,110.23965,
,110.886025,
,110.930025,
,111.1452,
,111.34965,
,111.392175,
,111.471225,
,111.7742,
,112.100425,
,112.286775,
,112.395425,
,112.430375,
,112.462525,
,112.514275,
,112.90495,
,113.124125,
,113.180025,
,113.223525,
,113.31475,
,113.767775,
,113.826875,
,113.893375,
,113.94325,
,114.22925,
,114.45495,
,114.773675,
,115.050475,
,115.445,
,115.521675,
,115.703975,
,115.831825,
,115.905125,
,115.93205,
,115.975375,
,116.742075,
,117.1768,
,117.733425,
,117.76925,
,118.2242,
,118.60205,
,118.81215,
,118.864675,
,119.26755,
,119.646925,
,119.69195,
,120.122225,
,120.2794,
,120.3041,
,120.801425,
,120.8754,
,121.250675,
,121.310475,
,121.40765,
,121.9408,
,122.353825,
,122.574075,
,123.05065,
,123.342675,
,123.39255,
,123.919875,
,124.013575,
,124.072625,
,124.6993,
,124.832375,
,125.239875,
,125.46825,
,125.895425,
,126.041325,
,126.27185,
,126.584825,
,126.635525,
,127.272625,
,127.68665,
,127.715775,
,128.25265,
,128.288975,
,128.63935,
,128.857025,
,129.592525,
,129.8227,
,130.62965,
,130.68475,
,130.7611,
,131.407175,
,131.538025,
,131.595425,
,132.46605,
,132.899725,
,132.980325,
,133.43815,
,133.46585,
,133.9992,
,134.577575,
,134.805925,
,134.95185,
,135.3886,
,135.427325,
,136.431875,
,136.8125,
,136.900875,
,137.288275,
,137.345925,
,137.79965,
,137.890275,
,137.984175,
,138.41905,
,138.5213,
,138.602225,
,138.672225,
,139.166125,
,139.629575,
,139.6688,
,140.4311,
,140.4886,
,140.578325,
,141.2136,
,141.5563,
,141.91085,
,141.99085,
,142.4444,
,142.572925,
,142.6062,
,143.18045,
,143.610775,
,143.741675,
,144.27315,
,144.40575,
,144.4567,
,145.064825,
,145.08905,
,145.537325,
,145.61325,
,145.721025,
,146.428725,
,146.479425,
,146.8496,
,146.90455,
,147.008725,
,147.075575,
,147.47595,
,148.2728,
,148.743325,
,148.780725,
,149.188975,
,149.264825,
,149.31505,
,149.375475,
,149.904725,
,149.950775,
,150.131775,
,150.62085,
,151.248575,
,151.301325,
,151.4908,
,151.966825,
,151.996625,
,152.4483,
,152.4757,
,153.0782,
,153.08645,
,153.150475,
,153.704125,
,153.748675,
,153.8685,
,154.221875,
,154.2505,
,154.696475,
,155.20445,
,155.357525,
,155.437975,
,156.31585,
,156.750175,
,156.795675,
,156.914325,
,157.59385,
,157.783475,
,157.886975,
,158.165575,
,158.21655,
,158.2589,
,158.65045,
,158.93125,
,159.151,
,159.299375,
,159.34945,
,159.846725,
,160.182225,
,160.824075,
,161.187725,
,161.2316,
,161.749975,
,161.8643,
,162.21505,
,162.587625,
,163.215475,
,163.624475,
,163.6697,
,164.418275,
,164.4471,
,164.489125,
,164.9144,
,165.30365,
,165.41485,
