SPK_SPKC07a,SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC13a,SPK_SPKC15a
200.1026,204.395425,200.1311,200.225375,200.0248
200.19785,210.8509,200.199275,200.570575,200.06165
200.3,210.947175,200.231725,200.6312,200.075875
200.47545,210.959825,200.507325,200.7852,200.0872
200.594875,210.981875,200.77325,200.9317,200.097225
200.68655,211.288575,201.684775,200.987275,200.150925
200.968575,211.555925,202.3023,201.025625,200.162625
201.0726,212.312625,202.32265,201.1411,200.23725
201.492475,212.691225,202.424925,201.17995,200.273725
201.5736,212.80005,203.0093,201.2221,200.28445
201.881225,212.880125,203.046975,201.425325,200.319875
202.003675,213.223425,204.096975,202.358575,200.32425
202.14645,213.388625,204.426425,202.413375,200.366625
202.566175,214.43485,206.22665,202.514,200.40475
202.616975,215.092975,207.176875,202.5224,200.410825
202.738175,215.31855,207.239225,202.820875,200.443625
202.8521,215.35075,207.528675,202.849825,200.456475
202.956675,216.1102,207.91205,202.924575,200.47525
203.111225,216.2673,208.271125,203.0223,200.484575
203.154875,216.382825,208.3356,203.7422,200.4927
203.2241,217.403875,208.492425,203.806525,200.499025
203.296375,220.54235,208.929475,204.06825,200.548425
203.4637,220.65,209.67,204.4369,200.615975
203.543125,220.6589,210.169625,204.51625,200.630025
203.604775,221.078225,210.50835,204.6383,200.659275
203.6807,221.531225,210.626225,204.666875,200.684125
203.756625,224.7986,212.642175,204.895325,200.709225
203.96165,226.48545,217.30505,205.033075,200.72045
204.034175,227.014925,217.346425,205.35835,200.7681
204.141475,227.873625,217.41035,205.438475,200.785675
204.1952,228.001975,217.8468,205.484125,200.78955
204.301,228.5519,218.152175,205.940075,200.793025
204.3811,229.33895,218.223575,206.6171,200.7988
204.432925,231.093325,218.329125,206.805775,200.82305
204.48925,231.3776,218.434075,206.8612,200.8462
204.69885,231.47605,218.90965,207.03755,200.8503
204.790275,231.494225,219.5866,207.068175,200.87715
204.8526,231.802325,219.849425,207.432975,200.92305
205.0004,231.843075,219.9671,207.48665,200.994225
205.29195,232.099075,219.9864,207.576675,201.0305
205.378475,233.078425,220.0205,207.82515,201.0634
205.55515,233.13365,220.160175,208.06175,201.0945
205.61295,233.3942,220.556175,208.421825,201.14075
205.742625,233.43455,221.0303,208.45085,201.15455
205.8009,233.659825,221.5348,208.48585,201.158275
205.839125,234.202325,221.5409,208.49795,201.176975
205.90385,234.546025,221.652675,208.6164,201.184375
206.128475,234.55995,221.940075,208.639875,201.197175
206.402375,235.149625,223.306175,208.886925,201.2194
206.55865,235.572425,223.626925,208.97565,201.24765
206.69035,235.635875,226.188,209.15945,201.29785
206.95975,235.663275,226.230925,209.37775,201.3657
207.005475,235.70625,226.638125,209.4602,201.40155
207.216875,236.9028,227.967725,209.531075,201.430325
207.39355,237.3552,227.99345,210.015,201.4602
207.473125,237.493475,228.345775,210.117475,201.48615
207.709175,240.09445,229.55325,210.481675,201.507175
207.777625,240.4846,230.221825,210.692625,201.531325
207.938775,240.49005,230.922625,210.7608,201.5374
207.986225,241.008475,231.101175,211.41065,201.54105
208.1627,241.37985,231.86,211.691475,201.544675
208.25125,241.400775,231.99105,211.88665,201.54915
208.297925,241.726875,232.31295,212.194325,201.597175
208.33865,241.7424,232.36365,212.51265,201.71555
208.452625,242.19195,232.37265,212.61565,201.759675
208.56105,242.20185,232.457775,213.6296,201.87595
208.7632,242.2774,232.7536,213.825575,201.929975
208.844725,243.05205,237.221525,214.50445,201.990775
209.090125,243.883275,237.51565,214.671275,202.016425
209.2706,245.176175,238.016675,214.801675,202.040725
209.8297,245.45605,238.789075,215.040825,202.046025
210.018625,245.515875,239.019425,215.614875,202.0556
210.092825,245.537525,241.522975,215.720825,202.10135
210.3682,248.486975,242.12025,215.9473,202.154475
210.639975,248.563875,243.01225,216.1302,202.2029
211.18175,248.613,243.042325,216.22525,202.224675
211.265275,248.754375,243.480775,216.386025,202.235025
211.49495,248.776225,243.566975,216.484275,202.336375
211.691825,248.93255,243.594025,216.57285,202.379375
212.080725,249.2789,244.743175,216.652475,202.413175
212.20985,249.335875,245.13685,216.724775,202.456425
212.356425,249.703875,245.954025,216.866175,202.59395
212.697475,249.746925,246.054725,216.9446,202.6501
213.05545,250.4185,248.6051,217.05365,202.720325
213.2959,250.879775,248.634975,217.211,202.76955
213.5315,251.726175,248.73305,217.5463,202.7815
213.743975,253.629325,248.759775,217.7881,202.807825
213.862825,253.669275,248.78665,218.14815,202.81935
